Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_IL6{serum}]	[Ab_sR_IL6{serum}]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR_IL6{liver}]	[Ab_IL6{liver}]	[Ab{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_IL6{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
42	1.13344e-06	3.90003	9.0265e-05	35.6348	1.01258	1.12494e-06	100.515	0.0451458	-6.26864e-27	0.43872	3.18318e-07	1.0438e-06	0.438821	4.98114e-07	3.18878e-08	0.0121074	9.23501	0.764994	23.4508	1.45393	65.3582	5.58103	0.0001265	-4.88817e-27	0.0152786	76.6876	1.07174e-06	0.438718	3.88674e-07	0.0153096	9.01372	0.986285	29.6255	1.45393	3.56029e-06	5.58103	0.000128203	38.2976	0.0538623	-3.11084e-27	2.02934
43	1.16945e-06	3.90003	8.48004e-05	35.3954	1.00951	1.05731e-06	99.5772	0.0461557	-6.22891e-27	0.438727	3.12333e-07	9.80544e-07	0.438821	5.15391e-07	3.16348e-08	0.011995	9.24167	0.75833	23.2609	1.4497	64.91	5.58102	0.000118796	-4.90749e-27	0.0158797	77.0322	1.00864e-06	0.438725	3.81993e-07	0.0151655	9.02262	0.977377	29.3817	1.4497	3.60552e-06	5.58102	0.000120509	38.4692	0.0548028	-3.10558e-27	2.06053
44	1.20558e-06	3.90003	7.97208e-05	35.1529	1.00635	9.94458e-07	98.6805	0.047163	-6.19075e-27	0.438733	3.06614e-07	9.21749e-07	0.438821	5.32931e-07	3.14066e-08	0.0118832	9.24835	0.75165	23.0704	1.44533	64.4566	5.58102	0.000111635	-4.92558e-27	0.0164879	77.3501	9.50003e-07	0.438731	3.75586e-07	0.0150222	9.03153	0.968467	29.1375	1.44533	3.65091e-06	5.58102	0.000113357	38.6276	0.0557325	-3.10004e-27	2.09134
45	1.24181e-06	3.90003	7.49998e-05	34.9077	1.0031	9.36051e-07	97.8227	0.0481676	-6.15408e-27	0.438738	3.01145e-07	8.67106e-07	0.438821	5.50732e-07	3.12019e-08	0.011772	9.25504	0.74496	22.8793	1.44083	63.9983	5.58102	0.000104978	-4.94249e-27	0.0171032	77.6429	8.95508e-07	0.438737	3.69436e-07	0.0148799	9.04044	0.959559	28.893	1.44083	3.69644e-06	5.58101	0.00010671	38.7734	0.0566516	-3.09423e-27	2.1218
46	1.27813e-06	3.90002	7.06125e-05	34.6599	0.999757	8.81781e-07	97.0018	0.0491695	-6.11881e-27	0.438744	2.9591e-07	8.16328e-07	0.438821	5.68792e-07	3.10192e-08	0.0116615	9.26173	0.738266	22.6878	1.43621	63.5356	5.58101	9.87923e-05	-4.95829e-27	0.0177253	77.9119	8.44873e-07	0.438742	3.63525e-07	0.0147385	9.04934	0.95066	28.6483	1.4362	3.7421e-06	5.58101	0.000100533	38.9072	0.0575602	-3.08819e-27	2.15191
47	1.31452e-06	3.90002	6.65359e-05	34.4098	0.996336	8.31364e-07	96.2157	0.0501688	-6.08487e-27	0.438749	2.90894e-07	7.69147e-07	0.438821	5.87109e-07	3.08575e-08	0.0115517	9.26843	0.73157	22.4961	1.43145	63.069	5.58101	9.30438e-05	-4.97301e-27	0.0183541	78.1583	7.9783e-07	0.438747	3.57841e-07	0.0145982	9.05822	0.941775	28.4036	1.43145	3.78789e-06	5.58101	9.47928e-05	39.0298	0.0584587	-3.08192e-27	2.18169
48	1.35098e-06	3.90002	6.27484e-05	34.1578	0.992836	7.84531e-07	95.4628	0.0511655	-6.0522e-27	0.438753	2.86084e-07	7.25315e-07	0.438821	6.05679e-07	3.07156e-08	0.0114426	9.27512	0.724879	22.3042	1.42658	62.5989	5.58101	8.77029e-05	-4.98673e-27	0.0189892	78.3833	7.54131e-07	0.438752	3.52368e-07	0.0144588	9.06709	0.932908	28.159	1.42658	3.8338e-06	5.581	8.94602e-05	39.1418	0.0593473	-3.07546e-27	2.21116
49	1.38748e-06	3.90002	5.92301e-05	33.9039	0.98926	7.41035e-07	94.7412	0.0521596	-6.02072e-27	0.438757	2.81467e-07	6.84599e-07	0.438821	6.24504e-07	3.05925e-08	0.0113342	9.28181	0.718195	22.1123	1.4216	62.1258	5.581	8.27413e-05	-4.99947e-27	0.0196306	78.5881	7.13544e-07	0.438756	3.47095e-07	0.0143205	9.07594	0.924064	27.9146	1.4216	3.87983e-06	5.581	8.45065e-05	39.2436	0.060226	-3.0688e-27	2.24031
50	1.42403e-06	3.90002	5.59623e-05	33.6485	0.985611	7.00645e-07	94.0494	0.0531511	-5.99039e-27	0.438761	2.77031e-07	6.46785e-07	0.438821	6.43576e-07	3.04872e-08	0.0112265	9.28848	0.711523	21.9206	1.4165	61.65	5.581	7.81326e-05	-5.0113e-27	0.020278	78.7738	6.75854e-07	0.43876	3.42009e-07	0.0141832	9.08475	0.915247	27.6706	1.4165	3.92597e-06	5.581	7.99056e-05	39.3359	0.0610952	-3.06198e-27	2.26917
51	1.46061e-06	3.90002	5.29276e-05	33.3916	0.981893	6.63146e-07	93.3858	0.0541401	-5.96113e-27	0.438765	2.72765e-07	6.11672e-07	0.438821	6.62898e-07	3.03987e-08	0.0111196	9.29513	0.704866	21.729	1.4113	61.1719	5.581	7.38526e-05	-5.02224e-27	0.0209312	78.9413	6.40858e-07	0.438764	3.371e-07	0.014047	9.09354	0.906461	27.4271	1.4113	3.9722e-06	5.581	7.5633e-05	39.4192	0.061955	-3.055e-27	2.29775
52	1.49722e-06	3.90002	5.011e-05	33.1337	0.97811	6.28336e-07	92.7489	0.0551265	-5.93289e-27	0.438769	2.68659e-07	5.79072e-07	0.438821	6.82465e-07	3.03262e-08	0.0110135	9.30177	0.698228	21.5377	1.406	60.6919	5.581	6.98784e-05	-5.03235e-27	0.0215902	79.0917	6.08372e-07	0.438767	3.32356e-07	0.0139118	9.10229	0.89771	27.1841	1.406	4.01853e-06	5.58099	7.16659e-05	39.4939	0.0628056	-3.04788e-27	2.32605
53	1.53383e-06	3.90001	4.74943e-05	32.8748	0.974264	5.9603e-07	92.1373	0.0561103	-5.90562e-27	0.438772	2.64703e-07	5.48811e-07	0.438821	7.02275e-07	3.0269e-08	0.0109082	9.30839	0.691611	21.3468	1.40061	60.2104	5.58099	6.61889e-05	-5.04166e-27	0.0222546	79.2259	5.7822e-07	0.43877	3.27768e-07	0.0137777	9.111	0.888997	26.9418	1.40061	4.06495e-06	5.58099	6.79832e-05	39.5604	0.0636472	-3.04064e-27	2.35409
54	1.57046e-06	3.90001	4.50666e-05	32.6151	0.97036	5.66053e-07	91.5497	0.0570917	-5.87927e-27	0.438775	2.60887e-07	5.20728e-07	0.438821	7.22325e-07	3.02262e-08	0.0108037	9.31498	0.685019	21.1564	1.39512	59.7276	5.58099	6.27643e-05	-5.05021e-27	0.0229244	79.3448	5.50241e-07	0.438773	3.23327e-07	0.0136447	9.11967	0.880325	26.7002	1.39512	4.11145e-06	5.58099	6.45652e-05	39.6194	0.06448	-3.03328e-27	2.38186
55	1.60709e-06	3.90001	4.28138e-05	32.3548	0.966401	5.38244e-07	90.9849	0.0580706	-5.8538e-27	0.438777	2.57205e-07	4.9467e-07	0.438821	7.42614e-07	3.01971e-08	0.0107	9.32155	0.678455	20.9665	1.38956	59.244	5.58099	5.95863e-05	-5.05804e-27	0.0235993	79.4491	5.24283e-07	0.438776	3.19025e-07	0.0135128	9.1283	0.871698	26.4596	1.38955	4.15803e-06	5.58099	6.13933e-05	39.671	0.0653041	-3.02582e-27	2.40939
56	1.64372e-06	3.90001	4.07237e-05	32.0941	0.96239	5.12452e-07	90.4416	0.059047	-5.82915e-27	0.43878	2.53648e-07	4.70498e-07	0.438821	7.63139e-07	3.01811e-08	0.0105971	9.32808	0.67192	20.7773	1.38391	58.7598	5.58099	5.66375e-05	-5.06517e-27	0.0242792	79.5397	5.00205e-07	0.438779	3.14854e-07	0.013382	9.13688	0.863118	26.2198	1.38391	4.20468e-06	5.58099	5.84505e-05	39.7159	0.0661198	-3.01827e-27	2.43668
57	1.68034e-06	3.90001	3.87849e-05	31.8332	0.958331	4.88535e-07	89.9189	0.0600209	-5.80529e-27	0.438782	2.50208e-07	4.48079e-07	0.438821	7.83897e-07	3.01777e-08	0.010495	9.33458	0.665417	20.5888	1.37818	58.2753	5.58099	5.39023e-05	-5.07164e-27	0.024964	79.6172	4.77876e-07	0.438781	3.10806e-07	0.0132523	9.14541	0.854588	25.9811	1.37818	4.25139e-06	5.58098	5.57209e-05	39.7542	0.0669271	-3.01064e-27	2.46374
58	1.71694e-06	3.90001	3.69871e-05	31.5721	0.954227	4.66365e-07	89.4155	0.0609923	-5.78217e-27	0.438785	2.46879e-07	4.27293e-07	0.438821	8.04886e-07	3.01861e-08	0.0103938	9.34105	0.658949	20.401	1.37239	57.7908	5.58098	5.13656e-05	-5.07749e-27	0.0256535	79.6825	4.57175e-07	0.438783	3.06875e-07	0.0131237	9.15389	0.846109	25.7434	1.37239	4.29817e-06	5.58098	5.31896e-05	39.7864	0.0677263	-3.00294e-27	2.49058
59	1.75353e-06	3.90001	3.53205e-05	31.3111	0.950081	4.45819e-07	88.9305	0.0619613	-5.75976e-27	0.438787	2.43655e-07	4.08026e-07	0.438821	8.26103e-07	3.02059e-08	0.0102934	9.34748	0.652517	20.2141	1.36653	57.3066	5.58098	4.90138e-05	-5.08274e-27	0.0263474	79.7361	4.37988e-07	0.438785	3.03053e-07	0.0129962	9.16232	0.837684	25.5069	1.36653	4.345e-06	5.58098	5.08429e-05	39.8127	0.0685175	-2.99517e-27	2.51719
60	1.7901e-06	3.90001	3.37757e-05	31.0503	0.945896	4.26783e-07	88.463	0.0629279	-5.73802e-27	0.438788	2.40529e-07	3.90172e-07	0.438821	8.47547e-07	3.02365e-08	0.0101939	9.35388	0.646123	20.028	1.36061	56.8228	5.58098	4.6834e-05	-5.08741e-27	0.0270458	79.7788	4.20211e-07	0.438787	2.99336e-07	0.0128699	9.17068	0.829316	25.2716	1.36061	4.39189e-06	5.58098	4.86679e-05	39.8336	0.0693009	-2.98735e-27	2.5436
61	1.82664e-06	3.90001	3.23445e-05	30.7898	0.941677	4.09154e-07	88.012	0.063892	-5.71691e-27	0.43879	2.37497e-07	3.73632e-07	0.438821	8.69213e-07	3.02775e-08	0.0100952	9.36023	0.639769	19.8429	1.35464	56.3398	5.58098	4.48142e-05	-5.09154e-27	0.0277484	79.811	4.03743e-07	0.438789	2.95718e-07	0.0127446	9.179	0.821005	25.0376	1.35464	4.43882e-06	5.58098	4.66526e-05	39.8493	0.0700766	-2.97949e-27	2.56979
62	1.86316e-06	3.90001	3.10187e-05	30.5298	0.937425	3.92831e-07	87.5767	0.0648538	-5.69641e-27	0.438792	2.34552e-07	3.58316e-07	0.438821	8.91099e-07	3.03284e-08	0.00999734	9.36654	0.633457	19.6588	1.34861	55.8577	5.58098	4.29431e-05	-5.09515e-27	0.0284551	79.8333	3.88494e-07	0.438791	2.92192e-07	0.0126205	9.18725	0.812753	24.8048	1.34861	4.4858e-06	5.58098	4.47858e-05	39.86	0.0708447	-2.97158e-27	2.59579
63	1.89965e-06	3.90001	2.97912e-05	30.2702	0.933144	3.77724e-07	87.1563	0.0658131	-5.67648e-27	0.438793	2.31691e-07	3.44137e-07	0.438821	9.13205e-07	3.03889e-08	0.00990036	9.37281	0.627187	19.4757	1.34254	55.3768	5.58098	4.12105e-05	-5.09826e-27	0.0291658	79.8464	3.74378e-07	0.438792	2.88755e-07	0.0124975	9.19544	0.804563	24.5735	1.34254	4.53282e-06	5.58098	4.30572e-05	39.8662	0.0716055	-2.96365e-27	2.6216
64	1.93611e-06	3.90001	2.86549e-05	30.0114	0.928837	3.63748e-07	86.7499	0.0667701	-5.6571e-27	0.438795	2.28908e-07	3.31016e-07	0.438821	9.35526e-07	3.04584e-08	0.00980422	9.37904	0.620961	19.2936	1.33642	54.8973	5.58098	3.96066e-05	-5.10089e-27	0.0298803	79.8506	3.61316e-07	0.438794	2.85402e-07	0.0123756	9.20357	0.796434	24.3435	1.33642	4.57988e-06	5.58097	4.1457e-05	39.8679	0.0723591	-2.95569e-27	2.64722
65	1.97254e-06	3.90001	2.76036e-05	29.7533	0.924506	3.50823e-07	86.357	0.0677246	-5.63823e-27	0.438796	2.26199e-07	3.1888e-07	0.438821	9.58058e-07	3.05367e-08	0.00970895	9.38522	0.61478	19.1127	1.33027	54.4193	5.58098	3.81226e-05	-5.10308e-27	0.0305984	79.8465	3.49234e-07	0.438795	2.82129e-07	0.0122548	9.21163	0.788369	24.115	1.33027	4.62696e-06	5.58097	3.99765e-05	39.8655	0.0731055	-2.94771e-27	2.67265
66	2.00894e-06	3.90001	2.66312e-05	29.4961	0.920155	3.38876e-07	85.9768	0.0686769	-5.61985e-27	0.438797	2.23561e-07	3.07658e-07	0.438821	9.80802e-07	3.06234e-08	0.00961453	9.39135	0.608645	18.933	1.32408	53.943	5.58098	3.67498e-05	-5.10483e-27	0.0313201	79.8346	3.38064e-07	0.438796	2.78931e-07	0.0121351	9.21963	0.780368	23.888	1.32408	4.67408e-06	5.58097	3.8607e-05	39.8591	0.073845	-2.93972e-27	2.69791
67	2.0453e-06	3.90001	2.57323e-05	29.2399	0.915786	3.27838e-07	85.6086	0.0696267	-5.60194e-27	0.438798	2.2099e-07	2.97288e-07	0.438821	1.00375e-06	3.07181e-08	0.00952096	9.39744	0.602558	18.7543	1.31786	53.4686	5.58097	3.54807e-05	-5.10616e-27	0.0320453	79.8152	3.27741e-07	0.438797	2.75806e-07	0.0120165	9.22757	0.772433	23.6625	1.31786	4.72122e-06	5.58097	3.73409e-05	39.849	0.0745777	-2.93173e-27	2.72299
68	2.08163e-06	3.9	2.49016e-05	28.9846	0.911402	3.17646e-07	85.2518	0.0705743	-5.58447e-27	0.438799	2.18482e-07	2.87709e-07	0.438821	1.02691e-06	3.08207e-08	0.00942825	9.40348	0.596518	18.577	1.31162	52.9962	5.58097	3.43079e-05	-5.10711e-27	0.0327738	79.7888	3.18205e-07	0.438798	2.72748e-07	0.011899	9.23544	0.764564	23.4386	1.31161	4.76839e-06	5.58097	3.61708e-05	39.8355	0.0753036	-2.92372e-27	2.74791
69	2.11793e-06	3.9	2.41344e-05	28.7305	0.907005	3.08238e-07	84.9059	0.0715195	-5.56742e-27	0.4388	2.16035e-07	2.78866e-07	0.438821	1.05027e-06	3.09306e-08	0.00933638	9.40947	0.590527	18.4008	1.30535	52.526	5.58097	3.32247e-05	-5.10767e-27	0.0335054	79.7557	3.09402e-07	0.438799	2.69756e-07	0.0117826	9.24324	0.756761	23.2162	1.30535	4.81558e-06	5.58097	3.50901e-05	39.8186	0.076023	-2.91572e-27	2.77266
70	2.15419e-06	3.9	2.34262e-05	28.4776	0.902597	2.99561e-07	84.5702	0.0724623	-5.55076e-27	0.438801	2.13644e-07	2.70707e-07	0.438821	1.07383e-06	3.10478e-08	0.00924537	9.41541	0.584586	18.2259	1.29906	52.058	5.58097	3.22247e-05	-5.10788e-27	0.0342401	79.7163	3.01278e-07	0.4388	2.66826e-07	0.0116673	9.25097	0.749027	22.9955	1.29906	4.86278e-06	5.58097	3.40924e-05	39.7986	0.076736	-2.90773e-27	2.79724
71	2.19042e-06	3.9	2.27729e-05	28.226	0.898182	2.91563e-07	84.2443	0.0734029	-5.53449e-27	0.438802	2.11308e-07	2.63184e-07	0.438821	1.09759e-06	3.1172e-08	0.0091552	9.42131	0.578694	18.0522	1.29276	51.5926	5.58097	3.1302e-05	-5.10774e-27	0.0349778	79.6711	2.93787e-07	0.438801	2.63955e-07	0.0115531	9.25864	0.74136	22.7763	1.29276	4.91e-06	5.58097	3.31719e-05	39.7756	0.0774426	-2.89974e-27	2.82167
72	2.22662e-06	3.9	2.21705e-05	27.9757	0.893761	2.84195e-07	83.9277	0.0743411	-5.51857e-27	0.438803	2.09024e-07	2.56252e-07	0.438821	1.12154e-06	3.13028e-08	0.00906587	9.42715	0.572853	17.8799	1.28644	51.1296	5.58097	3.04514e-05	-5.10728e-27	0.0357183	79.6202	2.86884e-07	0.438802	2.61141e-07	0.01144	9.26624	0.733761	22.5588	1.28644	4.95723e-06	5.58097	3.23231e-05	39.7498	0.078143	-2.89177e-27	2.84595
73	2.26278e-06	3.9	2.16155e-05	27.7267	0.889336	2.77413e-07	83.6199	0.0752771	-5.503e-27	0.438804	2.06789e-07	2.49869e-07	0.438821	1.14568e-06	3.144e-08	0.00897739	9.43294	0.567062	17.7089	1.28012	50.6693	5.58097	2.96675e-05	-5.1065e-27	0.0364615	79.564	2.80527e-07	0.438802	2.58381e-07	0.0113279	9.27377	0.726232	22.343	1.28012	5.00448e-06	5.58097	3.15409e-05	39.7214	0.0788373	-2.88381e-27	2.87008
74	2.29891e-06	3.9	2.11046e-05	27.4792	0.88491	2.71176e-07	83.3204	0.0762108	-5.48775e-27	0.438804	2.04601e-07	2.43997e-07	0.438821	1.17002e-06	3.15836e-08	0.00888974	9.43868	0.561323	17.5391	1.27379	50.2117	5.58097	2.89458e-05	-5.10542e-27	0.0372074	79.5028	2.74677e-07	0.438803	2.55673e-07	0.0112169	9.28123	0.718772	22.1289	1.27379	5.05173e-06	5.58097	3.08207e-05	39.6905	0.0795257	-2.87588e-27	2.89405
75	2.33501e-06	3.9	2.06345e-05	27.2332	0.880485	2.65444e-07	83.0288	0.0771421	-5.47281e-27	0.438805	2.02458e-07	2.38599e-07	0.438821	1.19454e-06	3.17332e-08	0.00880292	9.44436	0.555635	17.3708	1.26746	49.7569	5.58097	2.82819e-05	-5.10406e-27	0.0379557	79.437	2.69298e-07	0.438804	2.53014e-07	0.011107	9.28862	0.711381	21.9165	1.26746	5.09899e-06	5.58097	3.0158e-05	39.6572	0.0802082	-2.86796e-27	2.91789
76	2.37109e-06	3.9	2.02024e-05	26.9888	0.876062	2.60182e-07	82.7447	0.0780713	-5.45816e-27	0.438805	2.00358e-07	2.33641e-07	0.43882	1.21925e-06	3.18886e-08	0.00871692	9.45	0.549999	17.2038	1.26113	49.305	5.58097	2.76716e-05	-5.10242e-27	0.0387065	79.3666	2.64356e-07	0.438804	2.50403e-07	0.0109981	9.29594	0.704059	21.7057	1.26113	5.14625e-06	5.58097	2.95488e-05	39.6218	0.0808849	-2.86007e-27	2.94158
77	2.40713e-06	3.9	1.98057e-05	26.7459	0.871643	2.55357e-07	82.4678	0.0789981	-5.44379e-27	0.438806	1.98299e-07	2.29094e-07	0.43882	1.24414e-06	3.20497e-08	0.00863175	9.45559	0.544415	17.0381	1.2548	48.8561	5.58097	2.71111e-05	-5.10051e-27	0.0394596	79.2921	2.59821e-07	0.438805	2.47837e-07	0.0108903	9.30319	0.696807	21.4967	1.2548	5.19351e-06	5.58097	2.89892e-05	39.5842	0.081556	-2.85221e-27	2.96514
78	2.44315e-06	3.9	1.94417e-05	26.5046	0.867231	2.50936e-07	82.1977	0.0799227	-5.42968e-27	0.438806	1.96279e-07	2.24926e-07	0.43882	1.26921e-06	3.22163e-08	0.0085474	9.46112	0.538882	16.8738	1.24848	48.4103	5.58097	2.6597e-05	-5.09836e-27	0.0402149	79.2136	2.55664e-07	0.438805	2.45315e-07	0.0107835	9.31038	0.689624	21.2894	1.24848	5.24078e-06	5.58097	2.84757e-05	39.5447	0.0822215	-2.84437e-27	2.98856
79	2.47914e-06	3.9	1.91082e-05	26.265	0.862826	2.46892e-07	81.9339	0.080845	-5.41583e-27	0.438807	1.94297e-07	2.21111e-07	0.43882	1.29446e-06	3.23882e-08	0.00846386	9.4666	0.533402	16.7109	1.24216	47.9676	5.58097	2.61258e-05	-5.09597e-27	0.0409724	79.1313	2.51856e-07	0.438806	2.42836e-07	0.0106778	9.31749	0.682511	21.0839	1.24216	5.28805e-06	5.58097	2.80051e-05	39.5033	0.0828816	-2.83657e-27	3.01184
80	2.5151e-06	3.9	1.88029e-05	26.0271	0.85843	2.43197e-07	81.6764	0.0817651	-5.40222e-27	0.438807	1.92351e-07	2.17625e-07	0.43882	1.31989e-06	3.25653e-08	0.00838113	9.47203	0.527974	16.5494	1.23586	47.528	5.58097	2.56945e-05	-5.09335e-27	0.0417318	79.0455	2.48374e-07	0.438806	2.40396e-07	0.0105731	9.32453	0.675468	20.8801	1.23586	5.33531e-06	5.58097	2.75742e-05	39.4601	0.0835363	-2.8288e-27	3.035
81	2.55105e-06	3.9	1.85239e-05	25.7908	0.854046	2.39826e-07	81.4246	0.082683	-5.38883e-27	0.438807	1.90439e-07	2.14443e-07	0.43882	1.34548e-06	3.27475e-08	0.00829921	9.4774	0.522598	16.3892	1.22957	47.0916	5.58097	2.53003e-05	-5.0905e-27	0.0424932	78.9564	2.45194e-07	0.438806	2.37996e-07	0.0104694	9.33151	0.668494	20.678	1.22957	5.38257e-06	5.58097	2.71802e-05	39.4153	0.0841858	-2.82107e-27	3.05803
82	2.58697e-06	3.9	1.82693e-05	25.5564	0.849674	2.36756e-07	81.1783	0.0835986	-5.37566e-27	0.438808	1.88561e-07	2.11543e-07	0.43882	1.37125e-06	3.29345e-08	0.00821808	9.48273	0.517274	16.2305	1.22329	46.6585	5.58097	2.49406e-05	-5.08745e-27	0.0432565	78.8642	2.42294e-07	0.438807	2.35634e-07	0.0103667	9.33841	0.661588	20.4776	1.22329	5.42983e-06	5.58097	2.68205e-05	39.3689	0.0848302	-2.81337e-27	3.08093
83	2.62287e-06	3.9	1.80372e-05	25.3236	0.845315	2.33965e-07	80.9373	0.0845121	-5.3627e-27	0.438808	1.86714e-07	2.08906e-07	0.43882	1.39719e-06	3.31263e-08	0.00813774	9.488	0.512001	16.0731	1.21704	46.2287	5.58097	2.46127e-05	-5.0842e-27	0.0440215	78.769	2.39653e-07	0.438807	2.33307e-07	0.010265	9.34525	0.654752	20.279	1.21703	5.47708e-06	5.58097	2.64925e-05	39.321	0.0854695	-2.80571e-27	3.1037
84	2.65875e-06	3.9	1.78262e-05	25.0927	0.840972	2.31432e-07	80.7012	0.0854232	-5.34993e-27	0.438808	1.84898e-07	2.06512e-07	0.43882	1.42329e-06	3.33228e-08	0.00805818	9.49322	0.506781	15.9171	1.2108	45.8023	5.58097	2.43145e-05	-5.08076e-27	0.0447882	78.671	2.37254e-07	0.438807	2.31016e-07	0.0101643	9.35202	0.647985	20.0822	1.21079	5.52433e-06	5.58096	2.61941e-05	39.2718	0.0861038	-2.79809e-27	3.12636
85	2.69462e-06	3.9	1.76346e-05	24.8636	0.836645	2.2914e-07	80.4699	0.0863322	-5.33735e-27	0.438808	1.83112e-07	2.04344e-07	0.43882	1.44956e-06	3.35237e-08	0.00797941	9.49839	0.501612	15.7625	1.20458	45.3792	5.58097	2.40438e-05	-5.07713e-27	0.0455564	78.5704	2.35078e-07	0.438808	2.28759e-07	0.0100646	9.35871	0.641286	19.8871	1.20458	5.57157e-06	5.58096	2.5923e-05	39.2213	0.0867332	-2.79051e-27	3.14889
86	2.73047e-06	3.9	1.7461e-05	24.6363	0.832335	2.27071e-07	80.2431	0.087239	-5.32495e-27	0.438809	1.81355e-07	2.02385e-07	0.43882	1.47599e-06	3.37291e-08	0.00790141	9.50351	0.496495	15.6093	1.19838	44.9595	5.58097	2.37986e-05	-5.07332e-27	0.0463262	78.4674	2.33109e-07	0.438808	2.26534e-07	0.00996588	9.36535	0.634655	19.6937	1.19838	5.6188e-06	5.58096	2.56772e-05	39.1695	0.0873579	-2.78296e-27	3.17131
87	2.76631e-06	3.9	1.73042e-05	24.4108	0.828044	2.25208e-07	80.0206	0.0881436	-5.31271e-27	0.438809	1.79625e-07	2.00621e-07	0.43882	1.50258e-06	3.39387e-08	0.00782418	9.50857	0.491429	15.4575	1.19221	44.5432	5.58097	2.35771e-05	-5.06935e-27	0.0470975	78.362	2.31333e-07	0.438808	2.24341e-07	0.00986813	9.37191	0.628091	19.5021	1.19221	5.66602e-06	5.58096	2.5455e-05	39.1166	0.0879778	-2.77547e-27	3.1936
88	2.80213e-06	3.9	1.71629e-05	24.1872	0.823772	2.23536e-07	79.8021	0.089046	-5.30064e-27	0.438809	1.77922e-07	1.99037e-07	0.43882	1.52933e-06	3.41526e-08	0.00774771	9.51359	0.486414	15.3071	1.18607	44.1303	5.58097	2.33775e-05	-5.06522e-27	0.04787	78.2544	2.29734e-07	0.438808	2.22179e-07	0.00977135	9.3784	0.621596	19.3122	1.18606	5.71324e-06	5.58096	2.52546e-05	39.0625	0.0885931	-2.76801e-27	3.21579
89	2.83795e-06	3.9	1.70359e-05	23.9654	0.819521	2.22041e-07	79.5876	0.0899462	-5.28872e-27	0.438809	1.76244e-07	1.97619e-07	0.43882	1.55623e-06	3.43705e-08	0.007672	9.51855	0.48145	15.1581	1.17995	43.7209	5.58097	2.31983e-05	-5.06093e-27	0.0486439	78.1448	2.28301e-07	0.438808	2.20047e-07	0.00967552	9.38483	0.615167	19.1241	1.17995	5.76044e-06	5.58096	2.50745e-05	39.0075	0.0892039	-2.7606e-27	3.23786
90	2.87376e-06	3.9	1.69224e-05	23.7455	0.815291	2.20711e-07	79.3767	0.0908442	-5.27695e-27	0.438809	1.74591e-07	1.96356e-07	0.43882	1.58329e-06	3.45924e-08	0.00759704	9.52346	0.476536	15.0104	1.17386	43.315	5.58097	2.30379e-05	-5.05649e-27	0.049419	78.0332	2.2702e-07	0.438809	2.17944e-07	0.00958064	9.3912	0.608804	18.9376	1.17386	5.80763e-06	5.58096	2.4913e-05	38.9515	0.0898103	-2.75323e-27	3.25981
91	2.90956e-06	3.9	1.68211e-05	23.5274	0.811084	2.19532e-07	79.1693	0.09174	-5.26532e-27	0.43881	1.72963e-07	1.95237e-07	0.43882	1.61049e-06	3.48183e-08	0.00752282	9.52833	0.471672	14.8641	1.1678	42.9125	5.58097	2.28949e-05	-5.05191e-27	0.0501952	77.9199	2.25881e-07	0.438809	2.15869e-07	0.00948669	9.39749	0.602508	18.7529	1.1678	5.85482e-06	5.58096	2.47689e-05	38.8946	0.0904122	-2.74591e-27	3.28166
92	2.94535e-06	3.9	1.67313e-05	23.3113	0.806899	2.18494e-07	78.9652	0.0926337	-5.25382e-27	0.43881	1.71358e-07	1.94251e-07	0.43882	1.63785e-06	3.5048e-08	0.00744934	9.53314	0.466859	14.7192	1.16178	42.5135	5.58097	2.27682e-05	-5.0472e-27	0.0509725	77.8048	2.24873e-07	0.438809	2.13821e-07	0.00939368	9.40372	0.596278	18.5699	1.16178	5.90199e-06	5.58096	2.46409e-05	38.8369	0.0910098	-2.73863e-27	3.3034
93	2.98114e-06	3.9	1.66521e-05	23.097	0.802739	2.17587e-07	78.7643	0.0935252	-5.24245e-27	0.43881	1.69776e-07	1.93387e-07	0.43882	1.66536e-06	3.52814e-08	0.00737659	9.5379	0.462095	14.5756	1.15579	42.1181	5.58097	2.26564e-05	-5.04235e-27	0.0517507	77.6882	2.23986e-07	0.438809	2.118e-07	0.00930159	9.40989	0.590113	18.3886	1.15578	5.94915e-06	5.58096	2.45278e-05	38.7784	0.0916032	-2.73139e-27	3.32503
