Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_IL6{serum}]	[Ab_sR_IL6{serum}]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR_IL6{liver}]	[Ab_IL6{liver}]	[Ab{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_IL6{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
12	2.1068e-07	3.90023	0.000696141	40.0752	1.056	8.63509e-06	165.304	0.0134862	-8.8515e-27	0.438127	7.86433e-07	8.05743e-06	0.438814	1.09028e-07	6.4324e-08	0.0153838	9.08008	0.919923	27.8001	1.5113	73.8386	5.58141	0.000980164	-3.26199e-27	0.00184036	42.3432	8.07959e-06	0.438071	8.8149e-07	0.0197031	8.7926	1.2074	35.5516	1.5113	2.35309e-06	5.58141	0.000981519	21.1533	0.0192262	-2.94578e-27	0.802574
13	2.33104e-07	3.90022	0.000648697	40.037	1.05585	8.04678e-06	161.213	0.0145883	-8.69233e-27	0.438164	7.53434e-07	7.50823e-06	0.438815	1.17811e-07	6.17911e-08	0.0152979	9.08252	0.917482	27.7325	1.51116	73.7598	5.58139	0.00091333	-3.36967e-27	0.00210335	44.7581	7.5305e-06	0.438115	8.47522e-07	0.0195743	8.79683	1.20317	35.4404	1.51115	2.38316e-06	5.58139	0.000914688	22.3594	0.0206309	-2.97019e-27	0.857813
14	2.56301e-07	3.90021	0.000604525	39.9919	1.05565	7.49906e-06	157.329	0.0156867	-8.54096e-27	0.4382	7.22501e-07	6.99691e-06	0.438816	1.26899e-07	5.94282e-08	0.0152081	9.08522	0.914775	27.6575	1.51095	73.6674	5.58137	0.000851103	-3.47174e-27	0.00238212	47.0368	7.01932e-06	0.438157	8.15632e-07	0.0194421	8.8014	1.1986	35.3203	1.51095	2.41487e-06	5.58137	0.000852468	23.4976	0.0220143	-2.99246e-27	0.911574
15	2.80259e-07	3.9002	0.0005634	39.9392	1.0554	6.98914e-06	153.641	0.0167817	-8.39698e-27	0.438234	6.93494e-07	6.52086e-06	0.438817	1.36288e-07	5.7224e-08	0.015115	9.08819	0.911806	27.5753	1.51068	73.5607	5.58135	0.000793168	-3.56848e-27	0.00267631	49.1865	6.54344e-06	0.438198	7.8568e-07	0.019307	8.8063	1.1937	35.1914	1.51068	2.44797e-06	5.58135	0.000794543	24.5712	0.0233771	-3.01271e-27	0.963928
16	3.0496e-07	3.90019	0.000525114	39.8788	1.05508	6.51443e-06	150.138	0.0178731	-8.26001e-27	0.438267	6.66284e-07	6.07767e-06	0.438818	1.45972e-07	5.51679e-08	0.0150187	9.09142	0.908582	27.4859	1.51032	73.4392	5.58133	0.000739231	-3.66017e-27	0.00298557	51.2142	6.10042e-06	0.438236	7.57537e-07	0.0191691	8.8115	1.1885	35.0542	1.51032	2.48224e-06	5.58133	0.000740616	25.5839	0.0247197	-3.03106e-27	1.01494
17	3.30387e-07	3.90018	0.000489472	39.8103	1.0547	6.0725e-06	146.811	0.0189611	-8.12968e-27	0.438299	6.40749e-07	5.66507e-06	0.438818	1.5595e-07	5.32503e-08	0.0149197	9.09489	0.905107	27.3895	1.50988	73.3025	5.58131	0.000689017	-3.74705e-27	0.00330956	53.1261	5.68802e-06	0.438272	7.3108e-07	0.0190289	8.81701	1.18299	34.9089	1.50988	2.51753e-06	5.58131	0.000690414	26.5386	0.0260427	-3.04763e-27	1.06469
18	3.5652e-07	3.90017	0.000456291	39.7336	1.05424	5.6611e-06	143.65	0.0200457	-8.00564e-27	0.43833	6.16777e-07	5.28097e-06	0.438819	1.66221e-07	5.14619e-08	0.0148182	9.09861	0.901391	27.2863	1.50934	73.1503	5.58129	0.000642271	-3.82936e-27	0.00364793	54.9284	5.30411e-06	0.438307	7.06196e-07	0.0188866	8.82281	1.17719	34.7559	1.50934	2.55371e-06	5.58129	0.000643679	27.4387	0.0273464	-3.06251e-27	1.11322
19	3.83341e-07	3.90016	0.000425402	39.6485	1.0537	5.27814e-06	140.646	0.021127	-7.88756e-27	0.438359	5.94261e-07	4.9234e-06	0.438819	1.76782e-07	4.97945e-08	0.0147145	9.10256	0.897441	27.1766	1.5087	72.9824	5.58127	0.000598753	-3.90735e-27	0.00400035	56.6269	4.94676e-06	0.438339	6.82781e-07	0.0187425	8.82888	1.17112	34.5955	1.50869	2.59068e-06	5.58127	0.000600174	28.2868	0.0286313	-3.07581e-27	1.1606
20	4.10826e-07	3.90015	0.000396649	39.5549	1.05307	4.92167e-06	137.792	0.0222049	-7.77513e-27	0.438387	5.73106e-07	4.59056e-06	0.438819	1.87632e-07	4.824e-08	0.0146087	9.10673	0.893268	27.0606	1.50794	72.7986	5.58126	0.000558244	-3.98121e-27	0.00436647	58.2271	4.61412e-06	0.43837	6.60736e-07	0.0185968	8.8352	1.1648	34.4281	1.50794	2.62835e-06	5.58126	0.000559677	29.0858	0.0298979	-3.08763e-27	1.20688
21	4.38952e-07	3.90014	0.000369884	39.4528	1.05236	4.58985e-06	135.08	0.0232796	-7.66806e-27	0.438414	5.53219e-07	4.28072e-06	0.43882	1.98772e-07	4.67912e-08	0.0145013	9.11112	0.88888	26.9385	1.50706	72.5991	5.58124	0.000520535	-4.05116e-27	0.00474598	59.7342	4.3045e-06	0.438398	6.39969e-07	0.0184498	8.84178	1.15822	34.254	1.50706	2.66666e-06	5.58124	0.000521981	29.8383	0.0311466	-3.09806e-27	1.25211
