Time	[Ca_in]	[Ca_store]	[Ca_ex]	[M_P]	[M_C]	[M_B]	[P_C]	[C_C]	[P_CP]	[C_CP]	[PC_C]	[PC_N]	[PC_CP]	[PC_NP]	[B_C]	[B_CP]	[B_N]	[B_NP]	[I_N]	[CB]	[VIP]	[Cl_ex]	[Cl_o]	[GABA]	[GABA_o]	[K_in]	[K_ex]	[Na_in]	[Na_ex]
0	0.1	0.1	5	2.8	2	7.94	0.4	12	0.13	9	1.26	0.16	0.2	0.091	2.41	0.48	1.94	0.32	0.05	0.12	0	114.5	1	0.2	0.2	42.7752	1	25.388	145
1	0.112732	0.132192	5	2.96949	2.22815	7.66164	0.408828	11.8887	0.101442	8.73039	1.8478	0.346352	0.218115	0.132138	2.36094	0.554217	1.92426	0.327804	0.120195	0.0182286	0.131054	114.5	1	0.995268	0.2	42.7752	1	25.388	145
2	0.115409	0.168849	5	3.12839	2.43901	7.4124	0.440027	12.0748	0.0995435	8.4642	2.28753	0.533885	0.229019	0.163819	2.28707	0.612081	1.75727	0.331176	0.220313	0.024182	0.202142	114.5	1	1.39942	0.2	42.7752	1	25.388	145
3	0.115252	0.20617	5	3.30575	2.6299	7.22536	0.46506	12.4441	0.10087	8.20153	2.67978	0.746392	0.235588	0.185609	2.18208	0.658205	1.50061	0.33054	0.327697	0.0272518	0.252001	114.5	1	1.67233	0.2	42.7752	1	25.388	145
4	0.113948	0.242898	5	3.46856	2.7888	7.1216	0.482174	12.9337	0.102092	7.94242	3.05235	1.01096	0.239775	0.201533	2.05343	0.695246	1.20236	0.325781	0.427655	0.0289062	0.288819	114.5	1	1.86855	0.2	42.7752	1	25.388	145
5	0.111764	0.278364	5	3.55691	2.87304	7.10684	0.488376	13.4745	0.102773	7.68692	3.40627	1.35129	0.242616	0.213818	1.91475	0.724911	0.904906	0.316059	0.502235	0.0296423	0.315459	114.5	1	2.00781	0.2	42.7752	1	25.388	145
6	0.108733	0.312003	5	3.4232	2.76179	7.16805	0.473843	13.9362	0.102545	7.43499	3.70172	1.77648	0.244611	0.223482	1.78132	0.74843	0.646879	0.2999	0.532818	0.0296237	0.331359	114.5	1	2.08987	0.2	42.7752	1	25.388	145
7	0.105056	0.343364	5	2.89837	2.31546	7.27958	0.425019	14.0762	0.100526	7.18659	3.82905	2.25312	0.245914	0.230944	1.66662	0.766831	0.455486	0.276212	0.51049	0.0288106	0.329846	114.5	1	2.08209	0.2	42.7752	1	25.388	145
8	0.101214	0.372265	5	2.08955	1.63516	7.41673	0.348368	13.6765	0.0957691	6.94159	3.67617	2.6852	0.246453	0.236396	1.57947	0.781093	0.33586	0.246857	0.446322	0.0268079	0.293792	114.5	1	1.89472	0.2	42.7752	1	25.388	145
9	0.0978221	0.398898	5	1.22343	0.930492	7.56403	0.260103	12.715	0.0876103	6.69982	3.24542	2.9551	0.246055	0.240023	1.52249	0.79218	0.27235	0.218022	0.366944	0.022245	0.201062	114.5	1	1.39341	0.2	42.7752	1	25.388	145
10	0.0953609	0.42377	5	0.464844	0.359765	7.71404	0.169031	11.3279	0.0744153	6.4611	2.62147	2.98514	0.244436	0.242042	1.49311	0.800993	0.2453	0.196397	0.29554	0.0119756	0.0697082	114.5	1	0.63146	0.2	42.7752	1	25.388	145
11	0.0940361	0.447534	5	0.0623737	0.0761497	7.86324	0.0976396	9.77434	0.0554321	6.2252	1.93737	2.7625	0.241027	0.242592	1.48652	0.808294	0.242839	0.184951	0.240594	0.00281684	0.00559163	114.5	1	0.235348	0.2	42.7752	1	25.388	145
12	0.0938228	0.470848	5	0.0114707	0.020753	8.00951	0.0672162	8.295	0.0407841	5.99191	1.35626	2.34611	0.235054	0.241634	1.49809	0.81467	0.260404	0.183226	0.199547	0.00252774	0.00405694	114.5	1	0.225659	0.2	42.7752	1	25.388	145
13	0.094567	0.494295	5	0.0148402	0.0220675	8.15077	0.0513192	6.96386	0.0325773	5.76103	0.914644	1.83082	0.225699	0.238866	1.52426	0.820548	0.297662	0.189337	0.166406	0.00263967	0.00462798	114.5	1	0.229265	0.2	42.7752	1	25.388	145
14	0.0960681	0.51836	5	0.0289701	0.0411986	8.28421	0.0393516	5.78806	0.026199	5.53231	0.572822	1.29142	0.211069	0.233408	1.56278	0.826226	0.358315	0.201306	0.135184	0.00291255	0.0060439	114.5	1	0.238201	0.2	42.7752	1	25.388	145
15	0.0981328	0.543432	5	0.0657522	0.0918568	8.405	0.0319006	4.77821	0.021452	5.30545	0.309514	0.782431	0.186293	0.222804	1.61284	0.83191	0.450682	0.21751	0.101119	0.00336814	0.00847321	114.5	1	0.253513	0.2	42.7752	1	25.388	145
