Time	[RCT0]	[alpha]	[BN1]	[BN2]	[BN3]	[BN4]	[BTX]	[BM]	[RCT1]	[RC]	[beta]
82	2.51713e-15	-2.69012e-14	0.00116287	0.0121856	0.0640557	0.225274	0.0796692	53.4893	46.1283	46.1283	53.8717
83	2.27049e-15	-2.677e-14	0.000994107	0.010573	0.0564053	0.201296	0.0713007	53.5311	46.1283	46.1283	53.8717
84	-3.70765e-14	-3.08803e-14	0.000849838	0.00917188	0.0496472	0.179756	0.0637677	53.5685	46.1283	46.1283	53.8717
85	7.95382e-14	-1.83954e-14	0.000726506	0.00795473	0.0436805	0.160421	0.0569928	53.6019	46.1283	46.1283	53.8717
86	-2.06827e-13	-9.22719e-14	0.000621072	0.00689769	0.0384153	0.143079	0.0509049	53.6318	46.1283	46.1283	53.8717
87	1.94556e-14	-1.16546e-13	0.000530939	0.00597991	0.0337714	0.127537	0.0454389	53.6584	46.1283	46.1283	53.8717
88	-3.35946e-14	-9.14004e-14	0.000453887	0.00518325	0.0296775	0.113618	0.0405351	53.6822	46.1283	46.1283	53.8717
89	1.85062e-14	-9.04967e-14	0.000388017	0.00449187	0.0260701	0.101162	0.0361392	53.7034	46.1283	46.1283	53.8717
90	-3.0011e-15	-9.95841e-14	0.000331706	0.003892	0.0228929	0.0900227	0.0322015	53.7224	46.1283	46.1283	53.8717
91	2.27188e-15	-9.788e-14	0.000283568	0.00337164	0.0200957	0.0800679	0.0286767	53.7392	46.1283	46.1283	53.8717
92	3.62015e-16	-9.51387e-14	0.000242415	0.00292034	0.0176343	0.0711774	0.0255239	53.7542	46.1283	46.1283	53.8717
93	-8.69008e-17	-9.59128e-14	0.000207235	0.00252902	0.0154691	0.0632423	0.0227056	53.7675	46.1283	46.1283	53.8717
94	1.93373e-16	-9.70996e-14	0.00017716	0.00218978	0.0135653	0.0561645	0.0201881	53.7794	46.1283	46.1283	53.8717
95	-5.42163e-17	-9.65093e-14	0.00015145	0.00189574	0.0118921	0.0498551	0.0179407	53.79	46.1283	46.1283	53.8717
96	1.42023e-17	-9.61245e-14	0.000129471	0.00164092	0.0104219	0.044234	0.0159356	53.7993	46.1283	46.1283	53.8717
97	-5.73057e-18	-9.64148e-14	0.000110681	0.00142014	0.00913076	0.0392288	0.0141479	53.8077	46.1283	46.1283	53.8717
98	-2.69253e-18	-9.64846e-14	9.46187e-05	0.00122887	0.00799718	0.0347747	0.0125548	53.815	46.1283	46.1283	53.8717
99	8.92106e-19	-9.63399e-14	8.08873e-05	0.00106322	0.00700231	0.0308129	0.011136	53.8216	46.1283	46.1283	53.8717
100	-1.12533e-18	-9.63211e-14	6.91486e-05	0.000919761	0.00612947	0.0272911	0.00987321	53.8274	46.1283	46.1283	53.8717
