Time	[L]	[R]	[C]	[I]	[X]	[A]
0	0.1	1	0	1	0	0
1	0.1	0.999903	9.52367e-05	0.999957	1.86746e-06	4.15405e-05
2	0.1	0.999812	0.000184979	0.999832	3.66373e-06	0.000165907
3	0.1	0.999729	0.000269579	0.999632	5.35622e-06	0.000367931
4	0.1	0.999653	0.000349332	0.999363	6.95056e-06	0.000642694
5	0.1	0.999587	0.000424517	0.999031	8.45212e-06	0.00098555
6	0.1	0.99953	0.000495394	0.998641	9.866e-06	0.00139211
7	0.1	0.999483	0.000562213	0.998197	1.11971e-05	0.00185823
8	0.1	0.999447	0.000625206	0.997706	1.24499e-05	0.00238
9	0.1	0.999423	0.000684594	0.99717	1.36289e-05	0.00295372
10	0.1	0.99941	0.000740584	0.996595	1.47382e-05	0.00357593
11	0.1	0.99941	0.00079337	0.995984	1.57819e-05	0.00424335
12	0.1	0.999423	0.000843139	0.995341	1.67635e-05	0.00495287
13	0.1	0.999449	0.000890063	0.994669	1.76867e-05	0.00570159
14	0.1	0.999489	0.000934307	0.993972	1.85548e-05	0.00648677
15	0.1	0.999542	0.000976025	0.993253	1.9371e-05	0.00730582
16	0.1	0.99961	0.00101536	0.992515	2.01384e-05	0.00815632
17	0.1	0.999693	0.00105246	0.99176	2.08597e-05	0.00903597
18	0.1	0.99979	0.00108744	0.99099	2.15376e-05	0.00994264
19	0.1	0.999902	0.00112043	0.990209	2.21747e-05	0.0108743
20	0.1	1.00003	0.00115155	0.989418	2.27734e-05	0.011829
21	0.1	1.00017	0.0011809	0.988619	2.3336e-05	0.012805
22	0.1	1.00033	0.00120859	0.987815	2.38645e-05	0.0138007
23	0.1	1.0005	0.0012347	0.987007	2.43612e-05	0.0148143
24	0.1	1.00069	0.00125935	0.986196	2.48277e-05	0.0158445
25	0.1	1.0009	0.0012826	0.985385	2.5266e-05	0.0168899
26	0.1	1.00112	0.00130454	0.984574	2.56777e-05	0.0179492
27	0.1	1.00135	0.00132524	0.983766	2.60645e-05	0.019021
28	0.1	1.00161	0.00134479	0.982961	2.64279e-05	0.0201044
29	0.1	1.00188	0.00136324	0.98216	2.67692e-05	0.0211981
30	0.1	1.00216	0.00138067	0.981365	2.70899e-05	0.0223013
31	0.1	1.00246	0.00139712	0.980577	2.73912e-05	0.0234129
32	0.1	1.00278	0.00141267	0.979796	2.76742e-05	0.0245321
33	0.1	1.00311	0.00142735	0.979023	2.79402e-05	0.025658
34	0.1	1.00346	0.00144123	0.97826	2.81902e-05	0.0267899
35	0.1	1.00382	0.00145434	0.977507	2.84252e-05	0.027927
36	0.1	1.0042	0.00146674	0.976764	2.86461e-05	0.0290687
37	0.1	1.0046	0.00147847	0.976032	2.88539e-05	0.0302143
38	0.1	1.00501	0.00148957	0.975313	2.90492e-05	0.0313632
39	0.1	1.00544	0.00150007	0.974605	2.9233e-05	0.0325149
40	0.1	1.00588	0.00151001	0.97391	2.9406e-05	0.0336689
41	0.1	1.00634	0.00151943	0.973229	2.95688e-05	0.0348246
42	0.1	1.00681	0.00152835	0.972561	2.97222e-05	0.0359817
43	0.1	1.0073	0.0015368	0.971907	2.98668e-05	0.0371396
44	0.1	1.0078	0.00154482	0.971267	3.0003e-05	0.0382982
45	0.1	1.00832	0.00155243	0.970642	3.01315e-05	0.0394568
46	0.1	1.00886	0.00155965	0.970032	3.02528e-05	0.0406153
47	0.1	1.00941	0.00156651	0.969437	3.03674e-05	0.0417733
48	0.1	1.00997	0.00157303	0.968857	3.04757e-05	0.0429306
49	0.1	1.01055	0.00157923	0.968293	3.05781e-05	0.0440867
50	0.1	1.01114	0.00158513	0.967744	3.06751e-05	0.0452416
51	0.1	1.01175	0.00159075	0.967211	3.0767e-05	0.046395
52	0.1	1.01237	0.00159611	0.966694	3.08543e-05	0.0475467
53	0.1	1.01301	0.00160122	0.966193	3.09371e-05	0.0486964
54	0.1	1.01366	0.0016061	0.965708	3.10159e-05	0.049844
55	0.1	1.01433	0.00161076	0.965239	3.10909e-05	0.0509893
56	0.1	1.01501	0.00161522	0.964786	3.11624e-05	0.0521322
57	0.1	1.0157	0.00161949	0.964349	3.12307e-05	0.0532726
58	0.1	1.01641	0.00162358	0.963929	3.12959e-05	0.0544102
59	0.1	1.01713	0.00162751	0.963525	3.13585e-05	0.0555451
60	0.1	1.01786	0.00163127	0.963137	3.14185e-05	0.056677
61	0.1	1.01861	0.0016349	0.962765	3.14762e-05	0.0578059
62	0.1	1.01937	0.00163838	0.96241	3.15317e-05	0.0589318
63	0.1	1.02014	0.00164174	0.96207	3.15852e-05	0.0600544
64	0.1	1.02093	0.00164498	0.961747	3.1637e-05	0.0611739
65	0.1	1.02173	0.00164811	0.96144	3.16871e-05	0.06229
66	0.1	1.02254	0.00165114	0.961148	3.17357e-05	0.0634028
67	0.1	1.02336	0.00165407	0.960873	3.1783e-05	0.0645122
68	0.1	1.0242	0.00165692	0.960614	3.1829e-05	0.0656181
69	0.1	1.02505	0.00165968	0.96037	3.1874e-05	0.0667206
70	0.1	1.02591	0.00166236	0.960142	3.1918e-05	0.0678196
71	0.1	1.02679	0.00166497	0.959929	3.1961e-05	0.068915
72	0.1	1.02767	0.00166752	0.959732	3.20034e-05	0.0700069
73	0.1	1.02857	0.00167	0.959551	3.2045e-05	0.0710953
74	0.1	1.02948	0.00167243	0.959384	3.2086e-05	0.07218
75	0.1	1.0304	0.0016748	0.959233	3.21265e-05	0.0732612
76	0.1	1.03133	0.00167713	0.959097	3.21666e-05	0.0743388
77	0.1	1.03228	0.00167941	0.958976	3.22064e-05	0.0754128
78	0.1	1.03323	0.00168166	0.95887	3.22458e-05	0.0764832
79	0.1	1.0342	0.00168386	0.958779	3.2285e-05	0.0775501
80	0.1	1.03518	0.00168603	0.958702	3.23241e-05	0.0786134
81	0.1	1.03617	0.00168817	0.958639	3.2363e-05	0.0796731
82	0.1	1.03717	0.00169029	0.958591	3.24018e-05	0.0807294
83	0.1	1.03818	0.00169237	0.958558	3.24407e-05	0.081782
84	0.1	1.0392	0.00169443	0.958538	3.24796e-05	0.0828312
85	0.1	1.04023	0.00169648	0.958533	3.25185e-05	0.0838769
86	0.1	1.04128	0.0016985	0.958541	3.25576e-05	0.0849191
87	0.1	1.04233	0.00170051	0.958563	3.25968e-05	0.0859579
88	0.1	1.04339	0.0017025	0.958599	3.26363e-05	0.0869933
89	0.1	1.04446	0.00170448	0.958648	3.26759e-05	0.0880253
90	0.1	1.04555	0.00170645	0.958711	3.27158e-05	0.0890539
91	0.1	1.04664	0.00170841	0.958787	3.27559e-05	0.0900791
92	0.1	1.04774	0.00171036	0.958876	3.27964e-05	0.0911011
93	0.1	1.04886	0.00171231	0.958977	3.28372e-05	0.0921198
94	0.1	1.04998	0.00171425	0.959092	3.28783e-05	0.0931353
95	0.1	1.05111	0.00171618	0.95922	3.29198e-05	0.0941475
96	0.1	1.05225	0.00171812	0.95936	3.29617e-05	0.0951566
97	0.1	1.0534	0.00172005	0.959513	3.3004e-05	0.0961625
98	0.1	1.05456	0.00172198	0.959677	3.30467e-05	0.0971653
99	0.1	1.05573	0.00172391	0.959855	3.30898e-05	0.098165
100	0.1	1.05691	0.00172584	0.960044	3.31334e-05	0.0991617
