Time	[V_membrane]	[n]	[jm]	[Ca_er_Ca_equations]	[Ca_i]
0	-61	0.0005	0.12	60	0.11
1	-61.0037	0.00049407	0.119987	59.9999	0.11012
2	-61.0073	0.00048918	0.119975	59.9997	0.110239
3	-61.0109	0.000485139	0.119962	59.9996	0.110357
4	-61.0144	0.000481792	0.11995	59.9994	0.110475
5	-61.018	0.00047901	0.119937	59.9993	0.110592
6	-61.0215	0.00047669	0.119925	59.9991	0.110709
7	-61.025	0.000474747	0.119912	59.999	0.110825
8	-61.0285	0.000473112	0.119899	59.9989	0.11094
9	-61.0319	0.000471729	0.119887	59.9987	0.111055
10	-61.0354	0.000470552	0.119874	59.9986	0.111169
11	-61.0389	0.000469541	0.119862	59.9984	0.111282
12	-61.0423	0.000468667	0.119849	59.9983	0.111395
13	-61.0457	0.000467905	0.119836	59.9982	0.111507
14	-61.0492	0.000467235	0.119824	59.998	0.111618
15	-61.0526	0.00046664	0.119811	59.9979	0.111729
16	-61.056	0.000466105	0.119798	59.9978	0.11184
17	-61.0594	0.000465621	0.119785	59.9976	0.111949
18	-61.0628	0.000465177	0.119773	59.9975	0.112058
19	-61.0662	0.000464767	0.11976	59.9974	0.112167
20	-61.0696	0.000464384	0.119747	59.9972	0.112275
21	-61.073	0.000464024	0.119735	59.9971	0.112382
22	-61.0763	0.000463682	0.119722	59.997	0.112489
23	-61.0797	0.000463356	0.119709	59.9968	0.112595
24	-61.083	0.000463042	0.119696	59.9967	0.112701
25	-61.0864	0.000462738	0.119683	59.9966	0.112806
26	-61.0897	0.000462443	0.119671	59.9964	0.11291
27	-61.0931	0.000462156	0.119658	59.9963	0.113014
28	-61.0964	0.000461873	0.119645	59.9962	0.113117
29	-61.0997	0.000461596	0.119632	59.996	0.11322
30	-61.1031	0.000461323	0.119619	59.9959	0.113322
31	-61.1064	0.000461054	0.119607	59.9958	0.113424
32	-61.1097	0.000460787	0.119594	59.9956	0.113525
33	-61.113	0.000460523	0.119581	59.9955	0.113625
34	-61.1163	0.000460262	0.119568	59.9954	0.113725
35	-61.1195	0.000460002	0.119555	59.9953	0.113825
36	-61.1228	0.000459743	0.119542	59.9951	0.113924
37	-61.1261	0.000459487	0.119529	59.995	0.114022
38	-61.1294	0.000459231	0.119516	59.9949	0.11412
39	-61.1326	0.000458977	0.119503	59.9948	0.114217
40	-61.1359	0.000458724	0.11949	59.9946	0.114314
41	-61.1391	0.000458472	0.119477	59.9945	0.11441
42	-61.1424	0.00045822	0.119465	59.9944	0.114506
43	-61.1456	0.00045797	0.119452	59.9942	0.114601
44	-61.1488	0.000457721	0.119439	59.9941	0.114696
45	-61.1521	0.000457472	0.119426	59.994	0.11479
46	-61.1553	0.000457224	0.119413	59.9939	0.114884
47	-61.1585	0.000456977	0.1194	59.9938	0.114977
48	-61.1617	0.00045673	0.119387	59.9936	0.11507
49	-61.1649	0.000456484	0.119374	59.9935	0.115162
50	-61.1681	0.000456239	0.11936	59.9934	0.115254
51	-61.1712	0.000455995	0.119347	59.9933	0.115345
52	-61.1744	0.000455751	0.119334	59.9931	0.115436
53	-61.1776	0.000455508	0.119321	59.993	0.115526
54	-61.1807	0.000455265	0.119308	59.9929	0.115616
55	-61.1839	0.000455024	0.119295	59.9928	0.115706
56	-61.187	0.000454783	0.119282	59.9927	0.115794
57	-61.1902	0.000454542	0.119269	59.9925	0.115883
58	-61.1933	0.000454302	0.119256	59.9924	0.115971
59	-61.1965	0.000454063	0.119243	59.9923	0.116058
60	-61.1996	0.000453824	0.11923	59.9922	0.116145
61	-61.2027	0.000453587	0.119216	59.9921	0.116232
62	-61.2058	0.000453349	0.119203	59.9919	0.116318
63	-61.2089	0.000453113	0.11919	59.9918	0.116403
64	-61.212	0.000452877	0.119177	59.9917	0.116489
65	-61.2151	0.000452641	0.119164	59.9916	0.116573
66	-61.2182	0.000452407	0.119151	59.9915	0.116658
67	-61.2212	0.000452172	0.119137	59.9914	0.116741
68	-61.2243	0.000451939	0.119124	59.9912	0.116825
69	-61.2274	0.000451706	0.119111	59.9911	0.116908
70	-61.2304	0.000451474	0.119098	59.991	0.11699
71	-61.2335	0.000451242	0.119084	59.9909	0.117072
72	-61.2365	0.000451012	0.119071	59.9908	0.117154
73	-61.2395	0.000450781	0.119058	59.9907	0.117235
74	-61.2425	0.000450552	0.119045	59.9906	0.117316
75	-61.2456	0.000450323	0.119031	59.9904	0.117396
76	-61.2486	0.000450094	0.119018	59.9903	0.117476
77	-61.2516	0.000449867	0.119005	59.9902	0.117556
78	-61.2546	0.00044964	0.118992	59.9901	0.117635
79	-61.2576	0.000449413	0.118978	59.99	0.117713
80	-61.2605	0.000449187	0.118965	59.9899	0.117792
81	-61.2635	0.000448962	0.118952	59.9898	0.11787
82	-61.2665	0.000448738	0.118938	59.9896	0.117947
83	-61.2695	0.000448514	0.118925	59.9895	0.118024
