Time	[A]	[B]	[C]	[D]	[E]	[F]	[X]	[Y]	[Z]
83	22.0992	4.63941	0.33577	0.439991	0.277771	0.264998	10	2	1
84	22.0992	4.63943	0.33577	0.439991	0.277772	0.264998	10	2	1
85	22.0992	4.63944	0.33577	0.439991	0.277772	0.264998	10	2	1
86	22.0992	4.63945	0.335771	0.439991	0.277772	0.264998	10	2	1
87	22.0992	4.63946	0.335771	0.439991	0.277772	0.264998	10	2	1
88	22.0992	4.63947	0.335771	0.439992	0.277772	0.264999	10	2	1
89	22.0992	4.63947	0.335771	0.439992	0.277773	0.264999	10	2	1
90	22.0992	4.63948	0.335771	0.439992	0.277773	0.264999	10	2	1
91	22.0992	4.63948	0.335771	0.439992	0.277773	0.264999	10	2	1
92	22.0992	4.63949	0.335772	0.439992	0.277773	0.264999	10	2	1
93	22.0992	4.63949	0.335772	0.439992	0.277773	0.264999	10	2	1
94	22.0992	4.63949	0.335772	0.439992	0.277773	0.264999	10	2	1
95	22.0992	4.63949	0.335772	0.439992	0.277773	0.264999	10	2	1
96	22.0992	4.6395	0.335772	0.439992	0.277773	0.264999	10	2	1
97	22.0992	4.6395	0.335772	0.439992	0.277773	0.264999	10	2	1
98	22.0992	4.6395	0.335772	0.439992	0.277773	0.264999	10	2	1
99	22.0992	4.6395	0.335772	0.439992	0.277773	0.264999	10	2	1
100	22.0992	4.6395	0.335772	0.439992	0.277773	0.264999	10	2	1
