Time	[NADPH]	[ADP]	[ATP]	[X]	[Y]	[NADP_super_+]
0	0.7	2	0.5	2	1	0.5
1	0.687754	1.97136	0.528643	2.07215	1	0.512246
2	0.671253	1.95422	0.545776	2.14865	1	0.528747
3	0.655514	1.94133	0.55867	2.22496	1	0.544486
4	0.641733	1.93131	0.568687	2.29914	1	0.558267
5	0.630275	1.92392	0.576085	2.36983	1	0.569725
6	0.621272	1.91904	0.580958	2.43593	1	0.578728
7	0.61475	1.91658	0.583418	2.49651	1	0.58525
8	0.61066	1.91638	0.583617	2.55085	1	0.58934
9	0.608896	1.91826	0.581738	2.59837	1	0.591104
10	0.609308	1.92201	0.577987	2.63872	1	0.590692
11	0.611717	1.92742	0.57258	2.67169	1	0.588283
12	0.615925	1.93426	0.565738	2.69722	1	0.584075
13	0.62172	1.94233	0.55767	2.71539	1	0.57828
14	0.628895	1.95142	0.548582	2.7264	1	0.571105
15	0.637242	1.96133	0.538667	2.73054	1	0.562758
16	0.646564	1.9719	0.528101	2.72816	1	0.553436
17	0.656675	1.98295	0.517049	2.71968	1	0.543325
18	0.667401	1.99434	0.505658	2.70558	1	0.532599
19	0.678583	2.00594	0.494064	2.68635	1	0.521417
20	0.690075	2.01761	0.482388	2.6625	1	0.509925
21	0.701744	2.02926	0.470738	2.63454	1	0.498256
22	0.713473	2.04079	0.45921	2.60299	1	0.486527
23	0.725153	2.05211	0.447894	2.56838	1	0.474847
24	0.736687	2.06313	0.436869	2.53121	1	0.463313
25	0.747988	2.07379	0.426205	2.49195	1	0.452012
26	0.758976	2.08403	0.415969	2.4511	1	0.441024
27	0.76958	2.09378	0.406222	2.40909	1	0.43042
28	0.779734	2.10298	0.397018	2.36638	1	0.420266
29	0.789375	2.11159	0.388412	2.32337	1	0.410625
30	0.798447	2.11955	0.380455	2.28047	1	0.401553
31	0.806896	2.12681	0.373194	2.23807	1	0.393104
32	0.814669	2.13332	0.366679	2.19652	1	0.385331
33	0.821716	2.13904	0.360957	2.15619	1	0.378284
34	0.827989	2.14393	0.356074	2.11741	1	0.372011
35	0.833438	2.14792	0.352076	2.08051	1	0.366562
36	0.838016	2.15099	0.349007	2.0458	1	0.361984
37	0.841679	2.15309	0.346912	2.0136	1	0.358321
38	0.844381	2.15417	0.345831	1.98419	1	0.355619
39	0.846078	2.1542	0.345801	1.95787	1	0.353922
40	0.846733	2.15314	0.346855	1.9349	1	0.353267
41	0.846311	2.15098	0.349017	1.91553	1	0.353689
42	0.844784	2.1477	0.352301	1.90002	1	0.355216
43	0.842135	2.14329	0.356709	1.88857	1	0.357865
44	0.838356	2.13777	0.362228	1.88137	1	0.361644
45	0.833454	2.13117	0.368827	1.87858	1	0.366546
46	0.827453	2.12355	0.376451	1.88031	1	0.372547
47	0.820397	2.11497	0.385025	1.8866	1	0.379603
48	0.81235	2.10555	0.39445	1.89747	1	0.38765
49	0.803402	2.0954	0.404599	1.91285	1	0.396598
50	0.793665	2.08468	0.415324	1.9326	1	0.406335
51	0.783275	2.07354	0.426457	1.9565	1	0.416725
52	0.772388	2.06219	0.437809	1.98426	1	0.427612
53	0.761181	2.05082	0.449183	2.01549	1	0.438819
54	0.749843	2.03962	0.460376	2.04976	1	0.450157
55	0.738569	2.02881	0.471188	2.08654	1	0.461431
56	0.727559	2.01857	0.481429	2.12526	1	0.472441
57	0.717003	2.00908	0.490923	2.16531	1	0.482997
58	0.707083	2.00048	0.499518	2.20604	1	0.492917
59	0.697959	1.99291	0.50709	2.2468	1	0.502041
60	0.68977	1.98646	0.513542	2.28697	1	0.51023
61	0.682627	1.98119	0.51881	2.32594	1	0.517373
62	0.676614	1.97714	0.522858	2.36312	1	0.523386
63	0.671786	1.97432	0.52568	2.39802	1	0.528214
64	0.668167	1.97271	0.527293	2.43017	1	0.531833
65	0.665757	1.97226	0.52774	2.4592	1	0.534243
66	0.664531	1.97292	0.527079	2.48479	1	0.535469
67	0.664446	1.97462	0.525384	2.50672	1	0.535554
68	0.665439	1.97726	0.522741	2.52483	1	0.534561
69	0.667434	1.98076	0.519242	2.53902	1	0.532566
70	0.670347	1.98502	0.514984	2.54928	1	0.529653
71	0.674086	1.98993	0.510065	2.55565	1	0.525914
72	0.678555	1.99541	0.504586	2.55821	1	0.521445
73	0.683655	2.00136	0.498643	2.55711	1	0.516345
74	0.68929	2.00767	0.492331	2.55253	1	0.51071
75	0.695362	2.01426	0.485741	2.54468	1	0.504638
76	0.701779	2.02104	0.478958	2.5338	1	0.498221
77	0.70845	2.02793	0.472066	2.52015	1	0.49155
78	0.715292	2.03486	0.46514	2.50402	1	0.484708
79	0.722221	2.04175	0.458252	2.48569	1	0.477779
80	0.729164	2.04853	0.451471	2.46546	1	0.470836
81	0.736047	2.05514	0.444858	2.44363	1	0.463953
82	0.742804	2.06153	0.438473	2.4205	1	0.457196
83	0.749373	2.06763	0.432369	2.39637	1	0.450627
84	0.755694	2.0734	0.426597	2.37155	1	0.444306
85	0.761716	2.07879	0.421205	2.34632	1	0.438284
86	0.767385	2.08376	0.416235	2.32096	1	0.432615
87	0.772657	2.08827	0.411729	2.29575	1	0.427343
88	0.777488	2.09228	0.407722	2.27095	1	0.422512
89	0.781837	2.09575	0.404249	2.24683	1	0.418163
90	0.785669	2.09866	0.401339	2.22362	1	0.414331
91	0.788951	2.10098	0.399019	2.20157	1	0.411049
92	0.791654	2.10269	0.397312	2.18088	1	0.408346
93	0.793752	2.10376	0.396236	2.16178	1	0.406248
94	0.795226	2.1042	0.395803	2.14444	1	0.404774
95	0.796058	2.10398	0.396021	2.12905	1	0.403942
96	0.796238	2.10311	0.396892	2.11577	1	0.403762
97	0.795762	2.10159	0.39841	2.10473	1	0.404238
98	0.794632	2.09944	0.400561	2.09605	1	0.405368
99	0.792857	2.09668	0.403325	2.08983	1	0.407143
100	0.790455	2.09333	0.406671	2.08613	1	0.409545
