Time	[NatP]	[MisP]	[Hsp70]	[Hsp90]	[Hsp70_dam]	[Hsp90_dam]	[Hsp90_Proteasome]	[Hsp70_Proteasome]	[Hsp70Client]	[Hsp90Client]	[Hsp70_Hsp70Client]	[Hsp90_Hsp90Client]	[Akt]	[Akt_Hsp90]	[CHIP]	[Akt_CHIP_Hsp90]	[Akt_Proteasome]	[Hsf1]	[Hsf1_Hsp90]	[Hsp90_MisP]	[Hsp70_MisP]	[Hsf1_Hsf1_Hsf1]	[Hsf1_Hsf1_Hsf1_P]	[Hsf1_Hsf1]	[HSEHsp70]	[HSEHsp90]	[HSEHsp70_Hsf1_Hsf1_Hsf1]	[HSEHsp70_Hsf1_Hsf1_Hsf1_P]	[HSEHsp90_Hsf1_Hsf1_Hsf1]	[HSEHsp90_Hsf1_Hsf1_Hsf1_P]	[Jnk]	[Jnk_P]	[Ppx]	[Mkp1]	[Mkp1_P]	[Mkp1_Proteasome]	[Hsp70_Ppx]	[Pkc]	[p38]	[p38_P]	[Proteasome]	[MisP_Proteasome]	[AggP]	[SeqAggP]	[AggP_Proteasome]	[ROS]	[ATP]	[ADP]	[Source]	[Sink]	[p38Death]	[JNKDeath]	[PIDeath]	[CellDeath]
10	17600.1	3.72556	1387.3	1815.39	0.00138696	0.00181533	0.0877372	0.080441	473.713	559.381	26.2866	40.619	337.604	32.3945	255.007	79.9925	0.0232018	1.35841	98.6415	467.953	408.184	3.80095e-07	8.86539e-07	3.81447e-05	2	2	1.91613e-07	8.09239e-07	1.91613e-07	8.09239e-07	96.1512	3.84885	1.77017	0.0360424	99.9641	1.66714e-06	98.2298	100	96.1512	3.84885	499.384	0.424403	1.47684e-07	9.83779e-15	1.53042e-09	10.0038	10000	1000	1	1	5.66119e-06	5.66119e-06	4.70873e-17	1.13224e-05
11	17600.1	4.04817	1387.45	1815.56	0.00152574	0.00199693	0.0961897	0.0881924	473.711	559.377	26.2895	40.6225	337.601	32.3973	255.008	79.9918	0.0254363	1.35829	98.6416	467.777	408.024	3.92895e-07	9.29361e-07	3.8202e-05	2	2	2.14041e-07	9.21638e-07	2.14041e-07	9.21638e-07	96.151	3.84899	1.76997	0.0360397	99.9641	1.82826e-06	98.23	100	96.151	3.84899	499.325	0.465179	2.02967e-07	1.66399e-14	2.40148e-09	10.0041	10000	1000	1	1	6.23853e-06	6.23853e-06	8.59465e-17	1.24771e-05
12	17600.1	4.3626	1387.6	1815.72	0.00166454	0.00217857	0.104586	0.0958922	473.708	559.374	26.2922	40.626	337.598	32.4	255.009	79.991	0.0276557	1.35817	98.6417	467.606	407.869	4.04866e-07	9.69769e-07	3.82345e-05	2	2	2.35932e-07	1.03338e-06	2.35932e-07	1.03338e-06	96.1509	3.84913	1.76978	0.0360371	99.9641	1.98828e-06	98.2302	100	96.1509	3.84913	499.266	0.505663	2.6924e-07	2.6557e-14	3.57562e-09	10.0045	10000	1000	1	1	6.81588e-06	6.81588e-06	1.45166e-16	1.36318e-05
13	17600.2	4.66904	1387.75	1815.88	0.00180337	0.00236022	0.112926	0.103541	473.705	559.371	26.2949	40.6293	337.595	32.4026	255.01	79.9903	0.02986	1.35805	98.6419	467.44	407.716	4.16233e-07	1.00838e-06	3.82522e-05	2	2	2.5726e-07	1.14411e-06	2.5726e-07	1.14411e-06	96.1507	3.84927	1.7696	0.0360346	99.9641	2.1472e-06	98.2304	100	96.1507	3.84927	499.208	0.545857	3.47136e-07	4.04637e-14	5.10925e-09	10.0049	10000	1000	1	1	7.39326e-06	7.39326e-06	2.31367e-16	1.47865e-05
14	17600.2	4.96771	1387.9	1816.04	0.00194221	0.0025419	0.12121	0.111138	473.702	559.367	26.2975	40.6326	337.593	32.4051	255.01	79.9895	0.0320494	1.35793	98.642	467.277	407.567	4.27144e-07	1.04562e-06	3.82608e-05	2	2	2.78017e-07	1.25361e-06	2.78017e-07	1.25361e-06	96.1506	3.84941	1.76941	0.0360322	99.9641	2.30503e-06	98.2306	100	96.1506	3.84941	499.15	0.585763	4.37219e-07	5.93523e-14	7.06173e-09	10.0053	10000	1000	1	1	7.97066e-06	7.97066e-06	3.52328e-16	1.59413e-05
15	17600.2	5.2588	1388.04	1816.19	0.00208107	0.00272359	0.129439	0.118686	473.7	559.364	26.3001	40.6358	337.59	32.4076	255.011	79.9888	0.0342239	1.35782	98.6421	467.12	407.422	4.377e-07	1.08176e-06	3.82642e-05	2	2	2.98209e-07	1.36175e-06	2.98209e-07	1.36175e-06	96.1505	3.84955	1.76923	0.0360299	99.9641	2.46179e-06	98.2308	100	96.1505	3.84955	499.092	0.625383	5.39987e-07	8.43316e-14	9.49507e-09	10.0057	10000	1000	1	1	8.54809e-06	8.54809e-06	5.17041e-16	1.70962e-05
16	17600.2	5.5425	1388.18	1816.33	0.00221995	0.00290531	0.137614	0.126182	473.697	559.361	26.3026	40.6389	337.588	32.41	255.012	79.988	0.0363837	1.35771	98.6422	466.966	407.279	4.47964e-07	1.11698e-06	3.82644e-05	2	2	3.17849e-07	1.46842e-06	3.17849e-07	1.46842e-06	96.1503	3.84969	1.76906	0.0360276	99.9641	2.61747e-06	98.2309	100	96.1503	3.84969	499.035	0.66472	6.55879e-07	1.16625e-13	1.24736e-08	10.006	10000	1000	1	1	9.12553e-06	9.12553e-06	7.35764e-16	1.82511e-05
17	17600.2	5.819	1388.32	1816.48	0.00235885	0.00308705	0.145733	0.133629	473.695	559.358	26.305	40.6419	337.585	32.4123	255.013	79.9873	0.0385289	1.35761	98.6423	466.817	407.14	4.5798e-07	1.15143e-06	3.82627e-05	2	2	3.36952e-07	1.57358e-06	3.36952e-07	1.57358e-06	96.1502	3.84983	1.76889	0.0360255	99.9641	2.77209e-06	98.2311	100	96.1502	3.84983	498.978	0.703777	7.85276e-07	1.57567e-13	1.60636e-08	10.0064	10000	1000	1	1	9.70299e-06	9.70299e-06	1.02006e-15	1.9406e-05
18	17600.2	6.08847	1388.45	1816.62	0.00249776	0.00326881	0.153798	0.141027	473.693	559.355	26.3074	40.6448	337.583	32.4145	255.013	79.9866	0.0406595	1.3575	98.6424	466.672	407.004	4.67778e-07	1.18517e-06	3.826e-05	2	2	3.55539e-07	1.67721e-06	3.55539e-07	1.67721e-06	96.15	3.84997	1.76872	0.0360234	99.9642	2.92565e-06	98.2313	100	96.15	3.84997	498.922	0.742555	9.28506e-07	2.08601e-13	2.03333e-08	10.0068	10000	1000	1	1	1.02805e-05	1.02805e-05	1.38284e-15	2.0561e-05
19	17600.2	6.35111	1388.58	1816.75	0.00263669	0.00345059	0.16181	0.148374	473.69	559.352	26.3098	40.6476	337.58	32.4168	255.014	79.9858	0.0427756	1.3574	98.6425	466.53	406.871	4.77378e-07	1.21827e-06	3.82568e-05	2	2	3.73628e-07	1.77929e-06	3.73628e-07	1.77929e-06	96.1499	3.85011	1.76856	0.0360214	99.9642	3.07816e-06	98.2314	100	96.1499	3.85011	498.866	0.781056	1.08585e-06	2.71272e-13	2.53521e-08	10.0072	10000	1000	1	1	1.0858e-05	1.0858e-05	1.83838e-15	2.1716e-05
