Time	[SO4_ex]	[EtOH_ex]	[O2_ex]	[O2]	[H2O]	[ATP]	[APS]	[PPi]	[PAPS]	[SO4]	[EtOH]	[ADP]	[H2S]	[CYS]	[NADH]	[NAD]	[AcCoA]	[OAH]	[S1]	[S2]	[C1]	[C2]	[ADP_mit]	[ATP_mit]	[Ho]	[Hm]
24	0	0	0	6.23754	0	1.56954	0.0118982	0	0.0114933	0.020466	2.16239	0.430456	0.0320001	0.323421	1.81353	0.186474	0.331687	1.69955	1.2828	0.7172	0	0	0.174568	1.82543	0	0
25	0	0	0	6.23922	0	1.56931	0.0155317	0	0.0115945	0.0304728	2.13634	0.430687	0.0303033	0.291769	1.81179	0.188206	0.327687	1.66245	1.27204	0.727961	0	0	0.174837	1.82516	0	0
26	0	0	0	6.24034	0	1.56899	0.0215541	0	0.0129388	0.0455309	2.11951	0.431013	0.0292109	0.263391	1.81064	0.18936	0.325148	1.63922	1.26502	0.734984	0	0	0.17509	1.82491	0	0
27	0	0	0	6.24111	0	1.56851	0.0309871	0	0.0159098	0.0679163	2.10838	0.431486	0.0290583	0.23807	1.80985	0.190153	0.32352	1.62453	1.26037	0.739629	0	0	0.17537	1.82463	0	0
28	0	0	0	6.24168	0	1.56783	0.0452957	0	0.0211024	0.10067	2.1006	0.432175	0.0303026	0.215659	1.80926	0.190739	0.322456	1.61505	1.25718	0.742816	0	0	0.175722	1.82428	0	0
29	0	0	0	6.24216	0	1.56684	0.0664643	0	0.0293854	0.147483	2.09461	0.433163	0.0335769	0.196097	1.80877	0.19123	0.32173	1.60864	1.25482	0.745181	0	0	0.176193	1.82381	0	0
30	0	0	0	6.24264	0	1.56546	0.0969515	0	0.0419498	0.212038	2.08923	0.434542	0.0397571	0.179438	1.80829	0.191715	0.321193	1.60388	1.25282	0.747182	0	0	0.176833	1.82317	0	0
31	0	0	0	6.24324	0	1.56362	0.139353	0	0.0602921	0.296387	2.08359	0.436383	0.0500273	0.165878	1.80773	0.192265	0.320731	1.59975	1.25083	0.749172	0	0	0.177685	1.82231	0	0
32	0	0	0	6.24416	0	1.56131	0.195547	0	0.0860459	0.39814	2.07702	0.438686	0.0659066	0.155789	1.80707	0.192928	0.32025	1.59542	1.24858	0.751419	0	0	0.178775	1.82123	0	0
33	0	0	0	6.24595	0	1.55868	0.265244	0	0.120558	0.507313	2.06942	0.44132	0.0891793	0.149742	1.80633	0.193669	0.319649	1.59012	1.24596	0.754039	0	0	0.180112	1.81989	0	0
34	0	0	0	6.25033	0	1.556	0.344321	0	0.164173	0.60527	2.06248	0.444002	0.121654	0.148492	1.80582	0.194185	0.318786	1.58301	1.24333	0.756665	0	0	0.181785	1.81821	0	0
35	0	0	0	6.26251	0	1.5536	0.424007	0	0.215392	0.668888	2.06334	0.446403	0.164725	0.15292	1.80663	0.193372	0.317442	1.57306	1.24257	0.757426	0	0	0.184289	1.81571	0	0
36	0	0	0	6.29604	0	1.55156	0.492267	0	0.270286	0.680608	2.09367	0.448438	0.218832	0.163875	1.81176	0.188236	0.315366	1.55907	1.24955	0.750455	0	0	0.189319	1.81068	0	0
37	0	0	0	6.37767	0	1.54927	0.537703	0	0.322672	0.638903	2.20592	0.450727	0.28307	0.181968	1.82693	0.173068	0.312625	1.54035	1.2779	0.722102	0	0	0.201118	1.79888	0	0
38	0	0	0	6.53948	0	1.54496	0.554105	0	0.365316	0.559406	2.49988	0.455038	0.355058	0.207391	1.85718	0.142824	0.310115	1.51856	1.34805	0.651949	0	0	0.228147	1.77185	0	0
39	0	0	0	6.78282	0	1.53541	0.542412	0	0.392163	0.464603	3.11151	0.464591	0.430737	0.239851	1.89757	0.102433	0.308965	1.4983	1.46827	0.531726	0	0	0.28394	1.71606	0	0
40	0	0	0	7.04946	0	1.51609	0.509035	0	0.400617	0.372542	4.14609	0.483914	0.504198	0.278519	1.93383	0.0661706	0.308464	1.48237	1.61024	0.389764	0	0	0.383617	1.61638	0	0
41	0	0	0	7.26932	0	1.48247	0.462523	0	0.391858	0.292892	5.6069	0.517532	0.568994	0.321788	1.95808	0.041917	0.305818	1.46572	1.73007	0.269927	0	0	0.53253	1.46747	0	0
42	0	0	0	7.41848	0	1.43342	0.410779	0	0.369356	0.228579	7.40927	0.566579	0.620438	0.36711	1.97214	0.027859	0.300417	1.44113	1.81099	0.189015	0	0	0.712411	1.28759	0	0
43	0	0	0	7.5075	0	1.37662	0.359512	0	0.337624	0.178621	9.44153	0.623383	0.656335	0.411625	1.97999	0.0200067	0.295983	1.41271	1.86106	0.138945	0	0	0.880945	1.11905	0	0
44	0	0	0	7.55218	0	1.33005	0.31175	0	0.301526	0.140297	11.5978	0.66995	0.676107	0.453338	1.98435	0.0156477	0.297574	1.39665	1.89221	0.107793	0	0	0.994552	1.00545	0	0
45	0	0	0	7.56238	0	1.31274	0.268285	0	0.265405	0.110584	13.7792	0.687258	0.679842	0.491792	1.98665	0.0133483	0.309752	1.41311	1.91234	0.0876638	0	0	1.03027	0.969733	0	0
46	0	0	0	7.54061	0	1.33346	0.228733	0	0.232163	0.0869974	15.8821	0.66654	0.667699	0.527985	1.98756	0.0124404	0.337507	1.48333	1.92577	0.0742293	0	0	0.981203	1.0188	0	0
47	0	0	0	7.48141	0	1.38693	0.192552	0	0.20293	0.0678757	17.7781	0.613066	0.639421	0.563997	1.98728	0.0127246	0.388477	1.63425	1.93477	0.0652313	0	0	0.846564	1.15344	0	0
48	0	0	0	7.36834	0	1.45384	0.159621	0	0.177388	0.0522913	19.2819	0.546162	0.593881	0.602664	1.98559	0.0144081	0.476272	1.90925	1.94043	0.0595736	0	0	0.645873	1.35413	0	0
49	0	0	0	7.16943	0	1.5101	0.130307	0	0.154503	0.039773	20.0995	0.489903	0.528947	0.647192	1.98178	0.0182192	0.623949	2.38381	1.94308	0.0569168	0	0	0.438911	1.56109	0	0
50	0	0	0	6.84955	0	1.54544	0.105029	0	0.133455	0.0299614	19.7922	0.454559	0.442819	0.699753	1.97459	0.0254071	0.85401	3.16591	1.94249	0.0575069	0	0	0.285287	1.71471	0	0
51	0	0	0	6.46361	0	1.56299	0.0838542	0	0.114035	0.0224383	17.9913	0.437008	0.339575	0.756454	1.96379	0.0362141	1.11858	4.2699	1.93789	0.0621067	0	0	0.20164	1.79836	0	0
52	0	0	0	6.21317	0	1.56938	0.0664928	0	0.096359	0.0167708	15.0411	0.430622	0.237267	0.800494	1.95207	0.0479312	1.25313	5.31939	1.92743	0.0725731	0	0	0.170984	1.82902	0	0
53	0	0	0	6.14024	0	1.57098	0.0524661	0	0.0805823	0.0125695	11.854	0.429016	0.158315	0.812761	1.94032	0.0596776	1.21174	5.80779	1.90807	0.0919251	0	0	0.164171	1.83583	0	0
54	0	0	0	6.13536	0	1.57126	0.0412512	0	0.0668016	0.00950841	9.00147	0.428736	0.108144	0.792173	1.92669	0.0733136	1.08285	5.69622	1.87656	0.123444	0	0	0.163832	1.83617	0	0
55	0	0	0	6.14693	0	1.57121	0.0323652	0	0.0550014	0.00733319	6.69513	0.428792	0.079056	0.750041	1.91034	0.0896587	0.918894	5.19061	1.82804	0.171956	0	0	0.16499	1.83501	0	0
56	0	0	0	6.16307	0	1.57103	0.0253924	0	0.0450593	0.00586101	4.99908	0.428973	0.0625936	0.697175	1.89204	0.107965	0.74893	4.47788	1.75758	0.242425	0	0	0.166611	1.83339	0	0
57	0	0	0	6.18012	0	1.57079	0.0199886	0	0.0367881	0.00497634	3.86744	0.429207	0.0532053	0.640502	1.87357	0.126427	0.601847	3.72012	1.66631	0.33369	0	0	0.168353	1.83165	0	0
58	0	0	0	6.19589	0	1.57055	0.0158804	0	0.0299793	0.00462853	3.16786	0.42945	0.0476405	0.584019	1.85682	0.14318	0.495196	3.05312	1.56672	0.433277	0	0	0.169994	1.83001	0	0
59	0	0	0	6.20911	0	1.57033	0.0128636	0	0.024437	0.00483462	2.74998	0.429671	0.0440059	0.529962	1.84294	0.157058	0.427	2.54643	1.47617	0.523826	0	0	0.17139	1.82861	0	0
60	0	0	0	6.21936	0	1.57014	0.0108046	0	0.0199964	0.00568966	2.49981	0.429858	0.041229	0.479492	1.83228	0.167719	0.385745	2.19882	1.40491	0.595086	0	0	0.172488	1.82751	0	0
61	0	0	0	6.22683	0	1.56998	0.00964495	0	0.0165332	0.00738759	2.34745	0.430017	0.0387666	0.433092	1.82456	0.175445	0.36096	1.97412	1.35373	0.646268	0	0	0.173302	1.8267	0	0
62	0	0	0	6.23204	0	1.56984	0.00941222	0	0.0139693	0.0102566	2.25308	0.430161	0.0364094	0.390833	1.81918	0.180816	0.345886	1.83301	1.31879	0.68121	0	0	0.173887	1.82611	0	0
63	0	0	0	6.23557	0	1.56969	0.0102404	0	0.0122802	0.0148145	2.1939	0.430311	0.0341482	0.352567	1.81555	0.184449	0.336582	1.74534	1.29557	0.704429	0	0	0.174307	1.82569	0	0
64	0	0	0	6.23792	0	1.56951	0.0124031	0	0.0115077	0.0218502	2.15643	0.430491	0.0320927	0.318047	1.81313	0.186866	0.33077	1.69093	1.28036	0.719643	0	0	0.174622	1.82538	0	0
65	0	0	0	6.23948	0	1.56927	0.0163641	0	0.0117813	0.0325372	2.13251	0.430734	0.0304319	0.287	1.81153	0.188466	0.327105	1.65704	1.27044	0.729555	0	0	0.174883	1.82512	0	0
66	0	0	0	6.24051	0	1.56892	0.0228495	0	0.0133493	0.0485781	2.11701	0.431079	0.0294272	0.259175	1.81046	0.189535	0.324776	1.63579	1.26397	0.736031	0	0	0.175136	1.82486	0	0
67	0	0	0	6.24123	0	1.56842	0.0329406	0	0.0166233	0.0723557	2.10668	0.431581	0.0294302	0.234368	1.80972	0.190277	0.323279	1.62232	1.25967	0.740331	0	0	0.175423	1.82458	0	0
68	0	0	0	6.24177	0	1.56769	0.0481749	0	0.0222353	0.107015	2.09938	0.43231	0.030921	0.212445	1.80917	0.190834	0.322295	1.61358	1.25669	0.743312	0	0	0.175789	1.82421	0	0
69	0	0	0	6.24224	0	1.56665	0.0706101	0	0.0310989	0.156286	2.09361	0.433351	0.0345647	0.193363	1.80869	0.191315	0.321617	1.60761	1.25443	0.745566	0	0	0.176282	1.82372	0	0
70	0	0	0	6.24273	0	1.5652	0.102746	0	0.0444516	0.223709	2.08829	0.434796	0.0412794	0.177198	1.8082	0.191802	0.321104	1.60307	1.25247	0.747526	0	0	0.176951	1.82305	0	0
71	0	0	0	6.24336	0	1.56329	0.147122	0	0.0638203	0.310827	2.08257	0.436706	0.052297	0.164173	1.80763	0.192365	0.32065	1.599	1.25047	0.749528	0	0	0.177837	1.82216	0	0
72	0	0	0	6.24437	0	1.56093	0.205371	0	0.0908202	0.414257	2.07585	0.439066	0.0691803	0.154688	1.80696	0.193043	0.32016	1.59459	1.24818	0.751822	0	0	0.178962	1.82104	0	0
73	0	0	0	6.2464	0	1.55828	0.276702	0	0.126686	0.522681	2.0682	0.44172	0.0937299	0.149343	1.80622	0.193777	0.319532	1.58909	1.24552	0.754476	0	0	0.180337	1.81966	0	0
74	0	0	0	6.25151	0	1.55563	0.356297	0	0.171524	0.616425	2.06182	0.44437	0.127714	0.14892	1.80581	0.194187	0.318613	1.58163	1.24302	0.756982	0	0	0.182085	1.81792	0	0
75	0	0	0	6.26581	0	1.5533	0.434759	0	0.223484	0.672594	2.06533	0.446699	0.172404	0.154299	1.80704	0.192963	0.317176	1.57117	1.24294	0.757063	0	0	0.184818	1.81518	0	0
76	0	0	0	6.30457	0	1.5513	0.499905	0	0.27827	0.675643	2.10381	0.448702	0.228045	0.166307	1.81328	0.186721	0.314991	1.55651	1.25208	0.747918	0	0	0.190512	1.80949	0	0
77	0	0	0	6.39631	0	1.54886	0.540929	0	0.329456	0.626955	2.2359	0.451142	0.293504	0.185496	1.83051	0.169488	0.312237	1.53723	1.28543	0.714568	0	0	0.203918	1.79608	0	0
78	0	0	0	6.57119	0	1.54402	0.552718	0	0.36986	0.543964	2.56822	0.455979	0.366167	0.211983	1.86287	0.137126	0.309942	1.51553	1.36323	0.63677	0	0	0.23419	1.76581	0	0
79	0	0	0	6.82206	0	1.53338	0.537222	0	0.393868	0.448938	3.23681	0.466622	0.441693	0.245405	1.90347	0.0965268	0.309121	1.49627	1.4892	0.510797	0	0	0.295345	1.70466	0	0
80	0	0	0	7.08443	0	1.51235	0.501362	0	0.399515	0.358618	4.33402	0.487645	0.51397	0.284846	1.93807	0.0619301	0.308679	1.4814	1.63006	0.369939	0	0	0.401683	1.59832	0	0
81	0	0	0	7.29339	0	1.47679	0.453692	0	0.388439	0.28144	5.84674	0.523209	0.576698	0.328577	1.96054	0.0394586	0.305826	1.46488	1.74418	0.255823	0	0	0.555523	1.44448	0	0
82	0	0	0	7.43215	0	1.42668	0.40181	0	0.364325	0.219558	7.68281	0.57332	0.625579	0.373963	1.97345	0.0265511	0.300609	1.44046	1.81969	0.18031	0	0	0.734481	1.26552	0	0
83	0	0	0	7.5133	0	1.37139	0.350994	0	0.331767	0.17162	9.73041	0.628613	0.658734	0.418224	1.98066	0.0193446	0.297163	1.41433	1.86629	0.133708	0	0	0.89467	1.10533	0	0
84	0	0	0	7.55192	0	1.3296	0.303879	0	0.295579	0.134808	11.8848	0.670405	0.675736	0.459584	1.98464	0.0153574	0.300529	1.40378	1.89543	0.104566	0	0	0.995202	1.0048	0	0
85	0	0	0	7.55664	0	1.31895	0.26102	0	0.259896	0.106168	14.0467	0.681051	0.676705	0.497826	1.9867	0.0133029	0.315305	1.42927	1.91437	0.0856324	0	0	1.01625	0.983748	0	0
86	0	0	0	7.52864	0	1.34587	0.221982	0	0.22732	0.0833542	16.1086	0.654135	0.661746	0.534136	1.9874	0.0126003	0.346853	1.51284	1.92702	0.0729754	0	0	0.951924	1.04808	0	0
87	0	0	0	7.4607	0	1.40251	0.186292	0	0.198711	0.0648433	17.9336	0.597495	0.630457	0.570733	1.98688	0.0131202	0.403706	1.68386	1.93544	0.0645573	0	0	0.803637	1.19636	0	0
88	0	0	0	7.33371	0	1.46771	0.153936	0	0.17359	0.0498018	19.3193	0.532292	0.581508	0.610544	1.98484	0.0151582	0.501099	1.99075	1.94058	0.0594242	0	0	0.598629	1.40137	0	0
89	0	0	0	7.11294	0	1.51925	0.125321	0	0.150935	0.0377874	19.9438	0.480755	0.512678	0.656723	1.98043	0.0195668	0.663573	2.51648	1.94265	0.0573529	0	0	0.401085	1.59891	0	0
90	0	0	0	6.77071	0	1.55027	0.100804	0	0.130062	0.0284208	19.3526	0.449732	0.422762	0.710767	1.9724	0.0276028	0.907313	3.36641	1.9413	0.0586968	0	0	0.262697	1.7373	0	0
91	0	0	0	6.39681	0	1.56493	0.0803644	0	0.110859	0.0212678	17.2709	0.435074	0.318195	0.766551	1.96106	0.0389381	1.15743	4.49652	1.93561	0.0643867	0	0	0.192238	1.80776	0	0
92	0	0	0	6.18878	0	1.5699	0.0636606	0	0.0934592	0.0158975	14.2203	0.430101	0.219503	0.805197	1.9493	0.0506964	1.25074	5.45279	1.92337	0.0766343	0	0	0.168617	1.83138	0	0
93	0	0	0	6.13731	0	1.57107	0.0501944	0	0.0780039	0.0119295	11.0942	0.428926	0.146749	0.810314	1.93717	0.0628258	1.18355	5.80072	1.90142	0.0985784	0	0	0.163938	1.83606	0	0
94	0	0	0	6.1378	0	1.57125	0.0394461	0	0.0645658	0.00905007	8.36819	0.428749	0.101644	0.784492	1.92285	0.0771506	1.04371	5.5858	1.86622	0.133785	0	0	0.164081	1.83592	0	0
95	0	0	0	6.15082	0	1.57116	0.0309445	0	0.0531022	0.00701801	6.21313	0.42884	0.0756886	0.73959	1.90588	0.094117	0.875745	5.0196	1.81258	0.187419	0	0	0.165381	1.83462	0	0
96	0	0	0	6.16739	0	1.57096	0.0242871	0	0.0434711	0.00566339	4.66685	0.429036	0.0609923	0.685631	1.88734	0.112656	0.708948	4.28394	1.73638	0.263618	0	0	0.167052	1.83295	0	0
97	0	0	0	6.18428	0	1.57073	0.0191432	0	0.0354756	0.00488303	3.65778	0.429274	0.0525621	0.62884	1.86915	0.130847	0.571124	3.53936	1.64144	0.358556	0	0	0.168785	1.83121	0	0
98	0	0	0	6.19949	0	1.57049	0.0152524	0	0.0289065	0.00463882	3.04194	0.429512	0.0474781	0.572791	1.85304	0.146958	0.4749	2.90964	1.54259	0.457406	0	0	0.170373	1.82963	0	0
99	0	0	0	6.21197	0	1.57028	0.0124238	0	0.0235722	0.00496169	2.67487	0.429723	0.0440415	0.519467	1.83997	0.160034	0.414601	2.4452	1.45633	0.543671	0	0	0.171696	1.8283	0	0
100	0	0	0	6.22148	0	1.5701	0.0105376	0	0.0193153	0.00596362	2.45431	0.429901	0.041308	0.469866	1.83008	0.169916	0.378306	2.13238	1.39029	0.609707	0	0	0.172718	1.82728	0	0
