Time	[Ca_ER]	[Ca_Cyt]
0	1	1
1	1.95438	0.434363
2	2.60892	0.38269
3	3.21046	0.394432
4	3.77299	0.424183
5	4.25007	0.494456
6	2.7269	2.0965
7	2.23862	1.69237
8	1.99212	1.40136
9	1.89452	1.20308
10	1.89456	1.0709
11	1.94306	0.994333
12	1.98495	0.973266
13	1.98031	0.995474
14	1.95772	1.01198
15	1.95551	1.00475
16	1.964	0.996356
17	1.96735	0.99699
18	1.96443	1.00087
19	1.96224	1.00153
20	1.96297	1.00001
21	1.96409	0.999343
22	1.96406	0.999831
23	1.96356	1.00025
24	1.96345	1.00014
25	1.96364	0.999925
26	1.96374	0.99992
27	1.96368	1.00001
28	1.96362	1.00004
29	1.96363	1
30	1.96366	0.999983
31	1.96367	0.999994
32	1.96365	1.00001
33	1.96365	1.00001
34	1.96365	0.999997
35	1.96366	0.999995
36	1.96366	1
37	1.96365	1
38	1.96365	1
39	1.96365	0.999998
40	1.96366	0.999997
41	1.96366	1
42	1.96365	1
43	1.96365	1
44	1.96365	1
45	1.96365	0.999999
46	1.96366	0.999999
47	1.96366	1
48	1.96365	1
49	1.96365	1
50	1.96365	1
51	1.96365	1
52	1.96365	1
53	1.96365	1
54	1.96365	1
55	1.96365	1
56	1.96365	1
57	1.96365	1
58	1.96365	1
59	1.96365	1
60	1.96365	1
61	1.96365	1
62	1.96365	1
63	1.96365	1
64	1.96365	1
65	1.96365	1
66	1.96365	1
67	1.96365	1
68	1.96365	1
69	1.96365	1
70	1.96365	1
71	1.96365	1
72	1.96365	1
73	1.96365	1
74	1.96365	1
75	1.96365	1
76	1.96365	1
77	1.96365	1
78	1.96365	1
79	1.96365	1
80	1.96365	1
81	1.96365	1
82	1.96365	1
83	1.96365	1
84	1.96365	1
85	1.96365	1
86	1.96365	1
87	1.96365	1
88	1.96365	1
89	1.96365	1
90	1.96365	1
91	1.96365	1
92	1.96365	1
93	1.96365	1
94	1.96365	1
95	1.96365	1
96	1.96365	1
97	1.96365	1
98	1.96365	1
99	1.96365	1
100	1.96365	1
