Time	[Pc1]	[Po2]	[Po1]	[Pc2]
0	0.963	0	0	0.037
1	0.00477645	0.462795	0.163155	0.369274
2	0.00333028	0.322639	0.113764	0.560266
3	0.00249804	0.241982	0.0853411	0.670179
4	0.0020191	0.195566	0.068984	0.733431
5	0.00174348	0.168854	0.0595708	0.769832
6	0.00158487	0.153482	0.0541537	0.79078
7	0.00149359	0.144635	0.0510362	0.802835
8	0.00144106	0.139544	0.0492422	0.809772
9	0.00141083	0.136615	0.0482098	0.813765
10	0.00139343	0.134929	0.0476156	0.816062
11	0.00138342	0.133958	0.0472737	0.817385
12	0.00137766	0.1334	0.0470769	0.818146
13	0.00137434	0.133079	0.0469637	0.818583
14	0.00137243	0.132894	0.0468985	0.818835
15	0.00137133	0.132787	0.046861	0.81898
16	0.0013707	0.132726	0.0468394	0.819064
17	0.00137034	0.132691	0.046827	0.819112
18	0.00137013	0.13267	0.0468198	0.81914
19	0.00137001	0.132659	0.0468157	0.819156
20	0.00136994	0.132652	0.0468134	0.819165
21	0.0013699	0.132648	0.046812	0.81917
22	0.00136988	0.132646	0.0468112	0.819173
23	0.00136986	0.132645	0.0468107	0.819175
24	0.00136985	0.132644	0.0468105	0.819176
25	0.00136985	0.132643	0.0468103	0.819176
26	0.00136985	0.132643	0.0468103	0.819177
27	0.00136985	0.132643	0.0468102	0.819177
28	0.00136984	0.132643	0.0468102	0.819177
29	0.00136984	0.132643	0.0468102	0.819177
30	0.00136984	0.132643	0.0468101	0.819177
31	0.00136984	0.132643	0.0468101	0.819177
32	0.00136984	0.132643	0.0468101	0.819177
33	0.00136984	0.132643	0.0468101	0.819177
34	0.00136984	0.132643	0.0468101	0.819177
35	0.00136984	0.132643	0.0468101	0.819177
36	0.00136984	0.132643	0.0468101	0.819177
37	0.00136984	0.132643	0.0468101	0.819177
38	0.00136984	0.132643	0.0468101	0.819177
39	0.00136984	0.132643	0.0468101	0.819177
40	0.00136984	0.132643	0.0468101	0.819177
41	0.00136984	0.132643	0.0468101	0.819177
42	0.00136984	0.132643	0.0468101	0.819177
43	0.00136984	0.132643	0.0468101	0.819177
44	0.00136984	0.132643	0.0468101	0.819177
45	0.00136984	0.132643	0.0468101	0.819177
46	0.00136984	0.132643	0.0468101	0.819177
47	0.00136984	0.132643	0.0468101	0.819177
48	0.00136984	0.132643	0.0468101	0.819177
49	0.00136984	0.132643	0.0468101	0.819177
50	0.00136984	0.132643	0.0468101	0.819177
51	0.00136984	0.132643	0.0468101	0.819177
52	0.00136984	0.132643	0.0468101	0.819177
53	0.00136984	0.132643	0.0468101	0.819177
54	0.00136984	0.132643	0.0468101	0.819177
55	0.00136984	0.132643	0.0468101	0.819177
56	0.00136984	0.132643	0.0468101	0.819177
57	0.00136984	0.132643	0.0468101	0.819177
58	0.00136984	0.132643	0.0468101	0.819177
59	0.00136984	0.132643	0.0468101	0.819177
60	0.00136984	0.132643	0.0468101	0.819177
61	0.00136984	0.132643	0.0468101	0.819177
62	0.00136984	0.132643	0.0468101	0.819177
63	0.00136984	0.132643	0.0468101	0.819177
64	0.00136984	0.132643	0.0468101	0.819177
65	0.00136984	0.132643	0.0468101	0.819177
66	0.00136984	0.132643	0.0468101	0.819177
67	0.00136984	0.132643	0.0468101	0.819177
68	0.00136984	0.132643	0.0468101	0.819177
69	0.00136984	0.132643	0.0468101	0.819177
70	0.00136984	0.132643	0.0468101	0.819177
71	0.00136984	0.132643	0.0468101	0.819177
72	0.00136984	0.132643	0.0468101	0.819177
73	0.00136984	0.132643	0.0468101	0.819177
74	0.00136984	0.132643	0.0468101	0.819177
75	0.00136984	0.132643	0.0468101	0.819177
76	0.00136984	0.132643	0.0468101	0.819177
77	0.00136984	0.132643	0.0468101	0.819177
78	0.00136984	0.132643	0.0468101	0.819177
79	0.00136984	0.132643	0.0468101	0.819177
80	0.00136984	0.132643	0.0468101	0.819177
81	0.00136984	0.132643	0.0468101	0.819177
82	0.00136984	0.132643	0.0468101	0.819177
83	0.00136984	0.132643	0.0468101	0.819177
84	0.00136984	0.132643	0.0468101	0.819177
85	0.00136984	0.132643	0.0468101	0.819177
86	0.00136984	0.132643	0.0468101	0.819177
87	0.00136984	0.132643	0.0468101	0.819177
88	0.00136984	0.132643	0.0468101	0.819177
89	0.00136984	0.132643	0.0468101	0.819177
90	0.00136984	0.132643	0.0468101	0.819177
91	0.00136984	0.132643	0.0468101	0.819177
92	0.00136984	0.132643	0.0468101	0.819177
93	0.00136984	0.132643	0.0468101	0.819177
94	0.00136984	0.132643	0.0468101	0.819177
95	0.00136984	0.132643	0.0468101	0.819177
96	0.00136984	0.132643	0.0468101	0.819177
97	0.00136984	0.132643	0.0468101	0.819177
98	0.00136984	0.132643	0.0468101	0.819177
99	0.00136984	0.132643	0.0468101	0.819177
100	0.00136984	0.132643	0.0468101	0.819177
