Time	[N0]	[N1]	[N2]	[N3]
0	1.75445	27.4059	45.6191	1.57098
1	1.75445	27.4059	45.6191	1.57098
2	1.75445	27.4059	45.6191	1.57098
3	1.75445	27.4059	45.6191	1.57098
4	1.75445	27.4059	45.6191	1.57098
5	1.75445	27.4059	45.6191	1.57098
6	1.75445	27.4059	45.6191	1.57098
7	1.75445	27.4059	45.6191	1.57098
8	1.75445	27.4059	45.6191	1.57098
9	1.75445	27.4059	45.6191	1.57098
10	1.75445	27.4059	45.6191	1.57098
11	1.75445	27.4059	45.6191	1.57098
12	1.75445	27.4059	45.6191	1.57098
13	1.75445	27.4059	45.6191	1.57098
14	1.75445	27.4059	45.6191	1.57098
15	1.75445	27.4059	45.6191	1.57098
16	1.75445	27.4059	45.6191	1.57098
17	1.75445	27.4059	45.6191	1.57098
18	1.75445	27.4059	45.6191	1.57098
19	1.75445	27.4059	45.6191	1.57098
20	1.75445	27.4059	45.6191	1.57098
21	1.75445	27.4059	45.6191	1.57098
22	1.75445	27.4059	45.6191	1.57098
23	1.75445	27.4059	45.6191	1.57098
24	1.75445	27.4059	45.6191	1.57098
25	1.75445	27.4059	45.6191	1.57098
26	1.75445	27.4059	45.6191	1.57098
27	1.75445	27.4059	45.6191	1.57098
28	1.75445	27.4059	45.6191	1.57098
29	1.75445	27.4059	45.6191	1.57098
30	1.75445	27.4059	45.6191	1.57098
31	1.75445	27.4059	45.6191	1.57098
32	1.75445	27.4059	45.6191	1.57098
33	1.75445	27.4059	45.6191	1.57098
34	1.75445	27.4059	45.6191	1.57098
35	1.75445	27.4059	45.6191	1.57098
36	1.75445	27.4059	45.6191	1.57098
37	1.75445	27.4059	45.6191	1.57098
38	1.75445	27.4059	45.6191	1.57098
39	1.75445	27.4059	45.6191	1.57098
40	1.75445	27.4059	45.6191	1.57098
41	1.75445	27.4059	45.6191	1.57098
42	1.75445	27.4059	45.6191	1.57098
43	1.75445	27.4059	45.6191	1.57098
44	1.75445	27.4059	45.6191	1.57098
45	1.75445	27.4059	45.6191	1.57098
46	1.75445	27.4059	45.6191	1.57098
47	1.75445	27.4059	45.6191	1.57098
48	1.75445	27.4059	45.6191	1.57098
49	1.75445	27.4059	45.6191	1.57098
50	1.75445	27.4059	45.6191	1.57098
51	1.75445	27.4059	45.6191	1.57098
52	1.75445	27.4059	45.6191	1.57098
53	1.75445	27.4059	45.6191	1.57098
54	1.75445	27.4059	45.6191	1.57098
55	1.75445	27.4059	45.6191	1.57098
56	1.75445	27.4059	45.6191	1.57098
57	1.75445	27.4059	45.6191	1.57098
58	1.75445	27.4059	45.6191	1.57098
59	1.75445	27.4059	45.6191	1.57098
60	1.75445	27.4059	45.6191	1.57098
61	1.75445	27.4059	45.6191	1.57098
62	1.75445	27.4059	45.6191	1.57098
63	1.75445	27.4059	45.6191	1.57098
64	1.75445	27.4059	45.6191	1.57098
65	1.75445	27.4059	45.6191	1.57098
66	1.75445	27.4059	45.6191	1.57098
67	1.75445	27.4059	45.6191	1.57098
68	1.75445	27.4059	45.6191	1.57098
69	1.75445	27.4059	45.6191	1.57098
70	1.75445	27.4059	45.6191	1.57098
71	1.75445	27.4059	45.6191	1.57098
72	1.75445	27.4059	45.6191	1.57098
73	1.75445	27.4059	45.6191	1.57098
74	1.75445	27.4059	45.6191	1.57098
75	1.75445	27.4059	45.6191	1.57098
76	1.75445	27.4059	45.6191	1.57098
77	1.75445	27.4059	45.6191	1.57098
78	1.75445	27.4059	45.6191	1.57098
79	1.75445	27.4059	45.6191	1.57098
80	1.75445	27.4059	45.6191	1.57098
81	1.75445	27.4059	45.6191	1.57098
82	1.75445	27.4059	45.6191	1.57098
83	1.75445	27.4059	45.6191	1.57098
84	1.75445	27.4059	45.6191	1.57098
85	1.75445	27.4059	45.6191	1.57098
86	1.75445	27.4059	45.6191	1.57098
87	1.75445	27.4059	45.6191	1.57098
88	1.75445	27.4059	45.6191	1.57098
89	1.75445	27.4059	45.6191	1.57098
90	1.75445	27.4059	45.6191	1.57098
91	1.75445	27.4059	45.6191	1.57098
92	1.75445	27.4059	45.6191	1.57098
93	1.75445	27.4059	45.6191	1.57098
94	1.75445	27.4059	45.6191	1.57098
95	1.75445	27.4059	45.6191	1.57098
96	1.75445	27.4059	45.6191	1.57098
97	1.75445	27.4059	45.6191	1.57098
98	1.75445	27.4059	45.6191	1.57098
99	1.75445	27.4059	45.6191	1.57098
100	1.75445	27.4059	45.6191	1.57098
