Time	[Ras2_GDP]	[Cdc25]	[Ras2_GDP_Cdc25]	[Ras2_Cdc25]	[GDP]	[GTP]	[Ras2_GTP_Cdc25]	[Ras2_GTP]	[Ira2]	[Ras2_GTP_Ira2]	[CYR1]	[Ras2_GTP_CYR1]	[ATP]	[cAMP]	[PKA]	[cAMP_PKA]	[IIcAMP_PKA]	[IIIcAMP_PKA]	[IVcAMP_PKA]	[C]	[R_2cAMP]	[R]	[R_C]	[Pde1]	[Pde1f]	[cAMP_Pde1f]	[AMP]	[PPA2]	[Pde2]	[cAMP_Pde2]	[Cdc25f]	[Ira2P]	[Ras2_GTP_Ira2P]
0	20000	300	0	0	1.5e+06	5e+06	0	0	200	0	200	0	2.4e+07	0	2500	0	0	0	0	0	0	0	0	1400	0	0	0	4000	6500	0	0	0	0
1	19613.5	0.0152585	168.026	5.90766e-05	1.5e+06	5e+06	131.958	46.6673	164.146	35.8544	195.987	4.01254	2.4e+07	54.4169	2499.69	0.312823	1.9776e-05	8.36136e-10	2.51738e-14	2.78243e-15	2.64436e-15	1.38069e-16	7.75924e-33	1400	1.68992e-19	3.04293e-20	1.82428	4000	6494.61	5.38566	7.26287e-19	5.77587e-18	1.5367e-17
2	19492.9	0.0153203	155.609	5.81214e-05	1.5e+06	5e+06	144.375	87.9766	96.575	103.425	184.288	15.712	2.4e+07	417.525	2494.84	5.15281	0.00543969	3.85455e-06	1.83562e-09	4.45758e-10	4.0002e-10	4.57382e-11	9.24266e-22	1400	2.0155e-14	4.97745e-14	48.1505	4000	6437.53	62.4674	1.41277e-13	4.21944e-13	4.27696e-12
3	19383.1	0.0153697	154.206	5.80135e-05	1.5e+06	5e+06	145.778	134.791	51.2741	148.726	166.573	33.4274	2.4e+07	1241.19	2476.56	23.3235	0.113633	0.000373022	7.78299e-07	2.98271e-07	2.52622e-07	4.56486e-08	1.0058e-15	1400	7.17444e-12	6.69863e-11	267.933	4000	6286.55	213.452	1.01278e-10	1.2038e-10	2.6884e-09
4	19281.5	0.0154054	153.761	5.79792e-05	1.5e+06	5e+06	146.223	191.133	29.4834	170.517	143.169	56.8311	2.4e+07	2626.87	2434.48	64.6154	0.897854	0.00843847	4.79223e-05	2.5218e-05	2.01966e-05	5.02145e-06	1.33138e-11	1400	3.67985e-10	8.25768e-09	834.929	4000	6028.54	471.462	8.8643e-09	4.81098e-09	1.87678e-07
5	19184.2	0.0154341	153.366	5.79488e-05	1.5e+06	5e+06	146.619	252.313	20.2267	179.773	116.223	83.7774	2.4e+07	4634.74	2358.54	137.147	4.22523	0.0883869	0.00106752	0.000720179	0.000546073	0.000174106	1.75318e-08	1400	7.18144e-09	3.08151e-07	1926.9	4000	5672.64	827.364	2.58604e-07	8.03066e-08	4.70678e-06
6	19089	0.0154594	152.958	5.79175e-05	1.5e+06	5e+06	147.026	315.694	15.6839	184.316	88.9938	111.006	2.4e+07	7243.43	2241.81	243.427	14.178	0.562961	0.0123823	0.0103349	0.00741713	0.00291778	5.42222e-06	1400	7.73784e-08	5.49696e-06	3684.52	4000	5252.64	1247.36	3.76756e-06	7.93857e-07	6.43058e-05
7	18995.4	0.0154813	152.534	5.78848e-05	1.5e+06	5e+06	147.45	381.801	12.8649	187.135	64.2772	135.723	2.4e+07	10357.9	2083.26	377.026	37.083	2.49703	0.0896782	0.0904804	0.0615777	0.0289027	0.000599299	1400	5.49608e-07	5.83957e-05	6178.35	4000	4813.96	1686.04	3.33742e-05	5.24266e-06	0.000559775
8	18902.9	0.0154993	152.087	5.78504e-05	1.5e+06	5e+06	147.897	451.741	10.8516	189.145	43.7858	156.214	2.4e+07	13838.5	1888.68	522.542	79.6899	8.35729	0.451619	0.52943	0.350443	0.178987	0.0286549	1400	2.80715e-06	0.000414306	9405.42	4000	4395.27	2104.73	0.000197338	2.4586e-05	0.00336711
9	18811.5	0.015513	151.613	5.78139e-05	1.5e+06	5e+06	148.371	525.98	9.3164	190.669	28.1595	171.841	2.4e+07	17528.3	1669.49	659.447	145.789	22.2683	1.69892	2.08327	1.47424	0.609033	0.530745	1400	1.05201e-05	0.00204471	13309.6	4000	4019.87	2480.13	0.000784723	8.2879e-05	0.0143993
10	18721.1	0.0155227	151.111	5.7775e-05	1.5e+06	5e+06	148.871	604.21	8.10846	191.846	17.175	182.825	2.4e+07	21278.3	1440.51	768.163	233.122	49.1199	5.02751	5.87217	4.83765	1.03452	2.25264	1399.99	2.96867e-05	0.0072351	17808.1	4000	3696.66	2803.34	0.00222645	0.000208645	0.0448899
11	18631.7	0.0155289	150.586	5.77342e-05	1.5e+06	5e+06	149.393	685.552	7.14135	192.745	10.0484	189.952	2.4e+07	24969	1217.83	835.778	332.759	92.4685	12.1784	14.1082	12.8988	1.20947	3.8733	1399.98	7.01378e-05	0.0204552	22812	4000	3424.74	3075.26	0.00536677	0.000441785	0.113022
12	18543.3	0.0155324	150.043	5.76915e-05	1.5e+06	5e+06	149.929	768.851	6.35671	193.393	5.76526	194.235	2.4e+07	28523.7	1014.49	858.733	431.613	152.303	24.9376	30.1457	28.8705	1.27515	5.70459	1399.95	0.000148502	0.0502032	28238.7	4000	3198.04	3301.96	0.0115042	0.000838011	0.249052
13	18456.2	0.0155341	149.491	5.76474e-05	1.5e+06	5e+06	150.472	852.924	5.7124	193.794	3.35889	196.641	2.4e+07	31910.4	840.345	842.1	516.648	224.134	44.3433	57.0284	55.7259	1.30247	7.82947	1399.89	0.000285966	0.109603	34018.3	4000	3008.57	3491.43	0.02183	0.00144581	0.492349
14	18370.6	0.0155345	148.935	5.76023e-05	1.5e+06	5e+06	151.013	936.715	5.17743	193.938	2.07199	197.928	2.4e+07	35132.8	701.36	796.76	578.632	300.028	70.0491	96.2088	94.8938	1.31499	10.1328	1399.78	0.000503404	0.215052	40094.7	4000	2848.4	3651.6	0.0369278	0.00228883	0.882285
