Time	[asp]	[ni]	[T]	[Tasp]	[Tni]	[W]	[TW]	[Tasp_W]	[Tni_W]	[TA]	[Tasp_A]	[Tni_A]	[WA]	[TWA]	[Tasp_WA]	[Tni_WA]	[A]	[Ap]	[B]	[Bp]	[Z]	[Y]	[Yp]	[M]	[MYp]	[MYpYp]	[MYpYpYp]	[MYpYpYpYp]	[ATP]
0	0	0	3.12e-06	0	0	2.89e-06	5.91e-07	0	0	4.44e-07	0	0	6.78e-07	8.47e-07	0	0	3e-06	3.48e-08	1.93e-06	6.87e-08	2e-05	9.9e-06	7e-09	6.24e-09	7.77e-10	2.99e-10	3.78e-10	2.31e-09	0.1
1	0	0	3.12592e-06	0	0	2.81724e-06	7.21118e-07	0	0	4.05644e-07	0	0	7.18324e-07	7.49322e-07	0	0	3.08551e-06	4.50022e-08	1.92025e-06	7.84545e-08	2e-05	9.89917e-06	8.72598e-09	6.2328e-09	9.66885e-10	4.01762e-10	5.29972e-10	1.87258e-09	0.1
2	0	0	3.12677e-06	0	0	2.8108e-06	7.27309e-07	0	0	3.98909e-07	0	0	7.18877e-07	7.49013e-07	0	0	3.09177e-06	4.52261e-08	1.91512e-06	8.35789e-08	2e-05	9.8985e-06	8.89669e-09	6.10023e-09	9.64833e-10	4.08753e-10	5.49743e-10	1.98044e-09	0.1
3	0	0	3.12709e-06	0	0	2.81042e-06	7.27678e-07	0	0	3.98225e-07	0	0	7.18891e-07	7.49006e-07	0	0	3.0924e-06	4.52771e-08	1.9132e-06	8.55037e-08	2e-05	9.89838e-06	8.92578e-09	6.07758e-09	9.64395e-10	4.09904e-10	5.53093e-10	1.99902e-09	0.1
4	0	0	3.12717e-06	0	0	2.81042e-06	7.27698e-07	0	0	3.98144e-07	0	0	7.18886e-07	7.48992e-07	0	0	3.09249e-06	4.52899e-08	1.91249e-06	8.6209e-08	2e-05	9.89836e-06	8.93178e-09	6.07291e-09	9.64301e-10	4.10139e-10	5.53783e-10	2.00286e-09	0.1
5	1e-07	0	3.12718e-06	0	0	2.81043e-06	7.27698e-07	0	0	3.98132e-07	0	0	7.18884e-07	7.48989e-07	0	0	3.0925e-06	4.5294e-08	1.91223e-06	8.64651e-08	2e-05	9.89835e-06	8.93334e-09	6.0717e-09	9.64277e-10	4.10201e-10	5.53963e-10	2.00386e-09	0.1
6	1e-07	0	2.93747e-06	1.89654e-07	0	2.81027e-06	6.83442e-07	4.41256e-08	0	3.74033e-07	2.4149e-08	0	7.19045e-07	7.03689e-07	4.54328e-08	0	3.09436e-06	4.3093e-08	1.91361e-06	8.50937e-08	2e-05	9.90769e-06	6.29248e-09	7.94904e-09	8.8923e-10	2.66451e-10	2.53462e-10	6.4582e-10	0.1
7	1e-07	0	2.87422e-06	2.52774e-07	0	2.81004e-06	6.68636e-07	5.88034e-08	0	3.66092e-07	3.2196e-08	0	7.19247e-07	6.88705e-07	6.05683e-08	0	3.09513e-06	4.18591e-08	1.91622e-06	8.24822e-08	2e-05	9.91056e-06	5.22323e-09	8.5303e-09	7.92101e-10	1.97015e-10	1.55564e-10	3.2902e-10	0.1
8	1e-07	0	2.85313e-06	2.7378e-07	0	2.80993e-06	6.63706e-07	6.36878e-08	0	3.63474e-07	3.48782e-08	0	7.19337e-07	6.83733e-07	6.56095e-08	0	3.09534e-06	4.14288e-08	1.91797e-06	8.07282e-08	2e-05	9.91116e-06	4.966e-09	8.65136e-09	7.63781e-10	1.80616e-10	1.35592e-10	2.72656e-10	0.1
9	1e-07	0	2.8461e-06	2.80771e-07	0	2.80988e-06	6.62066e-07	6.53136e-08	0	3.62609e-07	3.57718e-08	0	7.1937e-07	6.82081e-07	6.72881e-08	0	3.0954e-06	4.12811e-08	1.91888e-06	7.98219e-08	2e-05	9.91134e-06	4.88655e-09	8.6873e-09	7.54683e-10	1.75609e-10	1.29724e-10	2.56682e-10	0.1
10	0	0	2.84376e-06	2.83098e-07	0	2.80986e-06	6.6152e-07	6.58547e-08	0	3.62322e-07	3.60694e-08	0	7.19382e-07	6.81532e-07	6.7847e-08	0	3.09542e-06	4.12303e-08	1.9193e-06	7.94033e-08	2e-05	9.9114e-06	4.86051e-09	8.69894e-09	7.51667e-10	1.73975e-10	1.27832e-10	2.51591e-10	0.1
