Time	[Phosphoenol pyruvate]	[Extracellular Glucose]	[Glucose-6-Phosphate]	[Pyruvate]	[Fructose-6-Phosphate]	[Glucose-1-Phosphate]	[6-Phosphogluconate]	[sedoheptulose-7-phosphate]	[Glyceraldehyde-3-Phosphate]	[Erythrose-4-phosphate]	[Xylulose-5-phosphate]	[Ribose-5-phosphate]	[Dihydroxyacetonephosphate]	[3-Phosphoglycerate]	[2-Phosphoglycerate]	[Ribulose-5-phosphate]
57	1.12648	1.35357	3.68466	4.27334	0.631043	0.614483	0.901541	0.225089	0.452378	0.162108	0.177973	0.504713	0.422555	0.947898	0.173456	0.137977
58	1.12369	1.34202	3.67598	4.27164	0.629571	0.611621	0.897439	0.224366	0.452458	0.161988	0.177721	0.503946	0.422382	0.94542	0.173012	0.137779
59	1.12125	1.3305	3.66771	4.2698	0.628169	0.60892	0.893605	0.223679	0.452535	0.161873	0.177479	0.503211	0.422207	0.943232	0.172622	0.137587
60	1.11914	1.31899	3.65982	4.26781	0.626832	0.60637	0.890022	0.223023	0.452605	0.161763	0.177247	0.502505	0.422026	0.941312	0.172282	0.137401
61	1.11733	1.30751	3.65229	4.26568	0.625556	0.603963	0.886673	0.222397	0.452669	0.161657	0.177025	0.501826	0.421837	0.939647	0.171988	0.137221
62	1.11581	1.29606	3.6451	4.26342	0.624338	0.60169	0.883542	0.221801	0.452724	0.161555	0.176811	0.501173	0.421639	0.938231	0.17174	0.137048
63	1.11459	1.28463	3.63823	4.26105	0.623175	0.599544	0.880613	0.221232	0.452772	0.161457	0.176606	0.500545	0.421431	0.937052	0.171536	0.13688
64	1.11364	1.27323	3.63167	4.25857	0.622065	0.597518	0.877872	0.22069	0.452813	0.161361	0.17641	0.499941	0.421213	0.936099	0.171373	0.136718
65	1.11294	1.26185	3.6254	4.25598	0.621005	0.595605	0.875305	0.220173	0.452849	0.161269	0.176221	0.499362	0.420986	0.93536	0.17125	0.136562
66	1.11249	1.25051	3.6194	4.25328	0.619991	0.593798	0.872898	0.219679	0.452879	0.16118	0.17604	0.498805	0.420751	0.934819	0.171163	0.136412
67	1.11226	1.23919	3.61366	4.25048	0.61902	0.592091	0.87064	0.219207	0.452904	0.161094	0.175866	0.498271	0.420508	0.934464	0.171111	0.136268
68	1.11224	1.22791	3.60815	4.24758	0.618091	0.590479	0.868519	0.218756	0.452925	0.16101	0.175699	0.497757	0.420258	0.934284	0.171091	0.13613
