Time	[B0]	[S0]	[B1]	[S1]	[B2]	[S2]	[B3]	[S3]	[B4]	[S4]	[M0]	[M1]	[M2]	[M3]	[M4]	[L0]	[L1]	[L2]	[L3]	[L4]	[glu]
15	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
16	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
17	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
18	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
19	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
20	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
21	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
22	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
23	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
24	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
25	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
26	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
27	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
28	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
29	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
30	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
31	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
32	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
33	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
34	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
35	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
36	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
37	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
38	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
39	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
40	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
41	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
42	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
43	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
44	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
45	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
46	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
47	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
48	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
49	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
50	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
51	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
52	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
53	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
54	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
55	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
56	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
57	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
58	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
59	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
60	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
61	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
62	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
63	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
64	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
65	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
66	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
67	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
68	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
69	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
70	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
71	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
72	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
73	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
74	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
75	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
76	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
77	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
78	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
79	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
80	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
81	1.45347e-13	6.61266e-16	5.34805e-13	4.02639e-14	7.39444e-13	9.06174e-13	4.81564e-13	9.63373e-12	2.22025e-13	7.97771e-11	1.17097e-18	8.36926e-16	1.78614e-13	1.13273e-13	1.13379e-08	1.87557e-21	2.13103e-17	1.3852e-13	5.56002e-10	8.18283e-07	0.000826949
