Time	[M]	[FC]	[FN]
0	0.1	0.1	0.1
1	1.41362	0.0929134	0.0769644
2	2.61082	0.282143	0.111598
3	3.77314	0.672591	0.240235
4	4.88595	1.33747	0.513205
5	5.65768	2.24437	0.96701
6	5.68068	3.1677	1.56907
7	5.34283	3.93279	2.21572
8	4.92286	4.53429	2.82373
9	4.48405	4.99356	3.35365
10	4.04191	5.32299	3.79006
11	3.60186	5.52879	4.12774
12	3.16682	5.61474	4.36557
13	2.73915	5.58397	4.50419
14	2.32142	5.43988	4.54516
15	1.91687	5.18661	4.49075
16	1.52997	4.82957	4.34403
17	1.16716	4.37608	4.10906
18	0.837797	3.8363	3.79139
19	0.555188	3.22471	3.39872
20	0.336002	2.56171	2.94189
21	0.195489	1.875	2.43601
22	0.144419	1.20126	1.9015
23	0.226912	0.603434	1.36762
24	0.650016	0.240803	0.891331
25	1.56779	0.232259	0.56938
26	2.67249	0.436211	0.436109
27	3.77554	0.851797	0.481881
28	4.75078	1.5068	0.713039
29	5.25168	2.31584	1.12342
30	5.15736	3.07527	1.6484
31	4.81384	3.68193	2.19126
32	4.4033	4.1381	2.68565
33	3.97485	4.45941	3.10023
34	3.54318	4.65542	3.42245
35	3.11432	4.73161	3.64809
36	2.69194	4.69194	3.7765
37	2.27931	4.54027	3.80879
38	1.88019	4.28118	3.74712
39	1.49959	3.92063	3.59467
40	1.14465	3.4668	3.35586
41	0.825909	2.93135	3.03686
42	0.558836	2.33142	2.64649
43	0.365283	1.69311	2.19774
44	0.278769	1.05873	1.71054
45	0.388614	0.513207	1.21905
46	0.931522	0.239317	0.793712
47	1.91541	0.291195	0.528847
48	3.01916	0.552668	0.447338
49	4.09348	1.04074	0.546606
50	4.95372	1.75515	0.833093
51	5.23511	2.55953	1.28414
52	5.0275	3.26378	1.81742
53	4.65421	3.81179	2.3426
54	4.23646	4.21529	2.80648
55	3.80701	4.48794	3.18542
56	3.37667	4.6376	3.47029
57	2.95047	4.66905	3.65835
58	2.53188	4.58616	3.74963
59	2.12436	4.393	3.74563
60	1.73209	4.09466	3.64889
61	1.36083	3.69788	3.46304
62	1.01892	3.21206	3.1931
63	0.71876	2.65083	2.84619
64	0.478473	2.03461	2.43264
65	0.324303	1.39533	1.96796
66	0.306333	0.789284	1.477
67	0.580886	0.343417	1.0069
68	1.36268	0.236182	0.648756
69	2.43115	0.389875	0.4704
70	3.53255	0.752671	0.472642
71	4.54345	1.3529	0.659103
72	5.16609	2.13491	1.02893
73	5.16962	2.90746	1.53046
74	4.85784	3.5373	2.06825
75	4.4568	4.01431	2.56816
76	4.0316	4.35407	2.99307
77	3.60102	4.56728	3.32761
78	3.17225	4.65999	3.56633
79	2.74933	4.63638	3.70804
80	2.33563	4.50031	3.75356
81	1.93484	4.25625	3.70491
82	1.55181	3.90998	3.56511
83	1.19338	3.46939	3.33841
84	0.86964	2.94565	3.03073
85	0.595536	2.35526	2.65055
86	0.392668	1.72338	2.21038
87	0.294667	1.09103	1.72945
88	0.387409	0.539778	1.24074
89	0.901881	0.24776	0.812096
90	1.87003	0.286509	0.539084
91	2.9712	0.538567	0.449281
92	4.04792	1.01588	0.540171
93	4.92305	1.72135	0.818203
94	5.2313	2.52501	1.26282
95	5.03661	3.23425	1.79371
96	4.66702	3.78758	2.3196
97	4.25038	4.19578	2.78575
98	3.82127	4.47274	3.1676
99	3.39097	4.62648	3.45565
100	2.96465	4.66189	3.64695
