Time	[IIa]	[VIII]	[VIIIa]	[APC_PS]	[IX]	[IXa]	[XIa]	[XI]	[XIIa]	[VII]	[VIIa]	[X]	[Xa]	[IXa_VIIIa]	[V]	[Va]	[II]	[F]	[Fg]	[DP]	[P]	[XF]	[XIII]	[Pg]	[APC]	[IIa_Tmod]	[PC]	[Tmod]	[TF]	[VIIa_TF]	[VII_TF]	[Xa_TFPI]	[TFPI]	[PS]	[VKH2]	[Va_Xa]	[CA]	[XII]	[K]	[ATIII_Heparin]	[Xa_ATIII_Heparin]	[VK]	[C_warf]	[VKO]	[Pk]	[FDP]	[D]	[TAT]	[VIIa_TF_Xa_TFPI]	[XIIIa]	[IIa_ATIII_Heparin]	[A_warf]	[IXa_ATIII_Heparin]	[VK_p]	Values[Integral_Fibrin]
0	0	0.7	0	0	89.6	0	0	30.6	0	10	0	174.3	0	0	26.7	0	1394.4	0	8945.5	0	0	0	70.3	2154.3	0	0	60	50	300	0	0	0	2.5	300	0.1	0	0	375	0	0	0	1	0	0.1	450	0	0	0	0	0	0	0	0	0	0
1	0.0124357	8.12064e-07	0.00172898	0.00484366	0.487088	0.0332774	0.00323557	5.32367	0	0.000451543	2.66358e-08	23.6093	0.0924005	0.000281442	0.0184602	0.0561821	129.599	64.8691	0.588543	620.055	0.948078	663.388	4.52505	465.836	0.000588855	0.00239548	6.94981	2.04044	91.5581	0.0205495	0.000415136	0.022831	2.47712	87.8795	0.0344613	0.000519146	0	127.982	0	0	0	0.435268	0	0.0334178	164.631	105.486	514.569	267.165	4.67762e-05	10.3914	0	0	0	0.0226956	408.365
2	0.0119436	8.12067e-07	0.0016279	0.0113432	0.592415	0.0442331	0.0045061	7.65363	0	0.00051427	3.31575e-08	21.9888	0.0936016	0.000357646	0.0192245	0.0553072	132.373	77.9767	0.611371	588.256	1.56612	771.513	4.38727	523.168	0.00132531	0.00501726	7.47153	4.30381	86.6747	0.0221243	0.000447815	0.0231139	2.47684	88.0276	0.0371569	0.000517091	0	130.929	0	0	0	0.511859	0	0.0338967	178.549	22.2626	565.994	219.479	5.08832e-05	5.48173	0	0	0	0.050582	479.573
3	0.0116577	8.12069e-07	0.00156743	0.0177965	0.618882	0.0506198	0.00561807	9.73948	0	0.000594798	4.19059e-08	20.4575	0.0953138	0.00039516	0.0196987	0.0544832	135.532	92.0634	0.625059	690.531	2.24269	788.986	4.27177	564.874	0.00205424	0.00735959	7.91929	6.40887	81.9926	0.024198	0.000490223	0.0235257	2.47642	88.1996	0.0406548	0.000518321	0	133.84	0	0	0	0.569523	0	0.0349228	191.788	31.7575	658.774	180.414	5.66178e-05	3.00377	0	0	0	0.0823664	564.667
4	0.0114652	8.1207e-07	0.00151794	0.0241829	0.626124	0.0559675	0.00660037	11.6071	0	0.000688188	5.2865e-08	19.0267	0.0968546	0.000423464	0.0200301	0.0536954	139.142	103.498	0.634375	819.645	2.88268	729.001	4.17208	591.588	0.00277064	0.00949237	8.31333	8.36788	77.4958	0.0264671	0.000536413	0.0239026	2.47603	88.4222	0.0444589	0.000518875	0	136.717	0	0	0	0.613089	0	0.0364918	204.381	44.7725	774.873	148.416	6.29467e-05	1.74991	0	0	0	0.117085	662.793
5	0.0112984	8.12071e-07	0.00147398	0.0303818	0.629047	0.0609826	0.00745394	13.2796	0	0.000791135	6.58975e-08	17.7101	0.0977719	0.000448266	0.0203254	0.05296	143.218	110.343	0.642713	944.371	3.41509	623.567	4.08515	605.608	0.00345926	0.0114237	8.66324	10.1919	73.1735	0.0287418	0.000582671	0.0241302	2.4758	88.704	0.0482595	0.000516483	0	139.559	0	0	0	0.646171	0	0.0385202	216.36	55.7335	888.637	122.208	6.90632e-05	1.11211	0	0	0	0.154019	770.102
6	0.0111338	8.12072e-07	0.0014349	0.0362826	0.630966	0.0656957	0.00818397	14.778	0	0.000901563	8.08985e-08	16.5198	0.0979565	0.000470302	0.0206253	0.0522883	147.744	113.166	0.651336	1042.78	3.82444	505.679	4.00948	609.902	0.00410685	0.0131577	8.97377	11.8915	69.0186	0.0309095	0.000626802	0.0241786	2.47575	89.0439	0.0518734	0.00051077	0	142.367	0	0	0	0.671464	0	0.0408924	227.755	63.2634	979.521	100.74	7.44855e-05	0.784329	0	0	0	0.192636	882.128
7	0.0109711	8.12073e-07	0.00140059	0.041826	0.632527	0.0700325	0.00880503	16.1212	0	0.00101832	9.78594e-08	15.4632	0.0975096	0.000489542	0.0209305	0.0516824	152.685	113.55	0.660239	1106.06	4.12925	397.002	3.94401	607.171	0.00470661	0.0147114	9.24718	13.4763	65.0256	0.0329092	0.00066762	0.0240712	2.47585	89.4356	0.055202	0.000502404	0	145.142	0	0	0	0.690966	0	0.0434887	238.594	67.8034	1038.26	83.1543	7.90132e-05	0.61278	0	0	0	0.23254	995.625
8	0.0108193	8.12074e-07	0.00137075	0.0470018	0.633857	0.0739437	0.00933764	17.3256	0	0.00114093	1.16892e-07	14.5415	0.0966195	0.000506034	0.0212241	0.0511379	157.999	112.832	0.668875	1135.39	4.35447	306.995	3.88765	599.525	0.00525776	0.0161136	9.48432	14.9552	61.1903	0.0347134	0.000704597	0.0238536	2.47606	89.8705	0.0582017	0.000492405	0	147.884	0	0	0	0.706152	0	0.0461999	248.904	70.3629	1065.03	68.7463	8.26435e-05	0.520355	0	0	0	0.273435	1108.87
9	0.0106881	8.12075e-07	0.00134492	0.051831	0.634997	0.0774173	0.00980379	18.4061	0	0.00126947	1.3823e-07	13.75	0.0954821	0.000519962	0.021485	0.0506473	163.635	111.8	0.676572	1136.8	4.52022	237.176	3.8392	588.529	0.00576326	0.0173981	9.68505	16.336	57.509	0.0363158	0.000737622	0.0235738	2.47634	90.3383	0.0608638	0.000481752	0	150.593	0	0	0	0.718112	0	0.0489341	258.712	71.7792	1065.03	56.9414	8.54853e-05	0.468478	0	0	0	0.315101	1221.19
