Time	[IR]	[IRins]	[IRp]	[IRip]	[IRi]	[IRS]	[IRSip]	[X]	[Xp]	[V1a]	[V1b]	[V1c]	[V1d]	[V1e]	[V1g]	[v1r]	[V2]	[Vm2]	[V3]	[Vm3]	[simXp]	[intamount]	[measIRp]	[measdoublestep]	[measanna]	[measdosR]
0	10	0	0	0	0	10	0	10	0	389.413	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	0.0869204	8.2539	0.00160674	0.879262	0.778306	9.98225	0.0177484	9.75486	0.24514	3.38479	0.165097	3.00043	2.53974	3.47475	0.460651	2.82741	0.560808	0.578495	0.281975	0.0277272	0.24514	0.165757	1	158.603	297.465	243.87
2	0.0901131	8.64421	0.00168272	0.480391	0.783604	9.99011	0.00988626	9.59684	0.403162	3.50912	0.172904	3.14232	2.65984	2.7706	0.482435	2.84666	0.320088	0.322235	0.154522	0.0456006	0.403162	0.1264	1	88.3458	165.695	135.842
3	0.0874711	8.74382	0.00170213	0.412012	0.754993	9.99142	0.00858239	9.50579	0.494209	3.40624	0.174896	3.17853	2.69052	2.73537	0.487999	2.74272	0.278889	0.279736	0.13287	0.0558986	0.494209	0.116701	1	76.6941	143.842	117.926
4	0.0871951	8.78169	0.0017095	0.378018	0.751386	9.99206	0.0079416	9.43867	0.561328	3.39549	0.175654	3.19229	2.70217	2.72798	0.490113	2.72962	0.258365	0.258851	0.122081	0.0634903	0.561328	0.11294	1	70.9679	133.102	109.121
5	0.0871467	8.80351	0.00171375	0.357198	0.750437	9.99245	0.00755052	9.3867	0.613302	3.3936	0.17609	3.20022	2.70889	2.72567	0.491331	2.72617	0.245789	0.246104	0.11543	0.069369	0.613302	0.110763	1	67.4731	126.548	103.747
6	0.0871476	8.81782	0.00171654	0.343161	0.750154	9.99271	0.0072874	9.34544	0.654555	3.39364	0.176376	3.20543	2.71329	2.72501	0.49213	2.72514	0.237308	0.237527	0.110918	0.0740351	0.654555	0.109331	1	65.1218	122.138	100.132
7	0.0871621	8.82789	0.0017185	0.333132	0.750101	9.9929	0.00709966	9.31221	0.687789	3.3942	0.176578	3.20908	2.71639	2.72495	0.492692	2.72495	0.231248	0.231408	0.107676	0.0777941	0.687789	0.108323	1	63.4442	118.991	97.5525
8	0.0871796	8.83528	0.00171994	0.325687	0.750134	9.99304	0.00696042	9.28517	0.714826	3.39488	0.176725	3.21177	2.71867	2.72512	0.493105	2.72507	0.226749	0.22687	0.105258	0.0808521	0.714826	0.107582	1	62.1998	116.657	95.6392
9	0.0871964	8.84088	0.00172103	0.320008	0.750198	9.99315	0.00685428	9.26303	0.736973	3.39554	0.176837	3.21381	2.72039	2.72537	0.493417	2.7253	0.223317	0.22341	0.103406	0.0833571	0.736973	0.107021	1	61.2513	114.879	94.1808
10	0.0872115	8.84521	0.00172187	0.31559	0.750269	9.99323	0.00677175	9.24479	0.755206	3.39613	0.176924	3.21538	2.72172	2.72563	0.493659	2.72556	0.220647	0.22072	0.10196	0.0854194	0.755206	0.106586	1	60.5138	113.495	93.0468
11	0.0872247	8.84861	0.00172253	0.312101	0.750338	9.99329	0.0067066	9.22973	0.770273	3.39664	0.176992	3.21662	2.72277	2.72588	0.493849	2.72581	0.218538	0.218596	0.100814	0.0871236	0.770273	0.106244	1	59.9316	112.403	92.1515
12	0.0872359	8.85133	0.00172306	0.309314	0.750401	9.99335	0.00665456	9.21724	0.78276	3.39708	0.177046	3.21761	2.7236	2.7261	0.494001	2.72604	0.216854	0.2169	0.0998965	0.088536	0.78276	0.105972	1	59.4666	111.531	91.4365
13	0.0872454	8.85351	0.00172349	0.307067	0.750457	9.99339	0.00661262	9.20687	0.793133	3.39745	0.17709	3.2184	2.72428	2.72629	0.494122	2.72624	0.215496	0.215533	0.0991552	0.0897092	0.793133	0.105752	1	59.0918	110.828	90.8602
14	0.0872534	8.85527	0.00172383	0.305243	0.750505	9.99342	0.00657857	9.19824	0.801764	3.39776	0.177125	3.21904	2.72482	2.72646	0.494221	2.72642	0.214393	0.214423	0.0985522	0.0906855	0.801764	0.105575	1	58.7875	110.258	90.3924
15	0.0872601	8.85672	0.00172411	0.303753	0.750547	9.99345	0.00655076	9.19104	0.808957	3.39802	0.177154	3.21956	2.72526	2.72661	0.494301	2.72657	0.213492	0.213517	0.0980589	0.091499	0.808957	0.10543	1	58.5391	109.792	90.0103
16	0.0872658	8.8579	0.00172434	0.30253	0.750583	9.99347	0.00652795	9.18504	0.814958	3.39824	0.177178	3.21999	2.72563	2.72673	0.494367	2.7267	0.212753	0.212774	0.0976536	0.0921778	0.814958	0.105311	1	58.3352	109.409	89.6969
17	0.0872705	8.85887	0.00172453	0.301523	0.750613	9.99349	0.00650917	9.18003	0.81997	3.39843	0.177197	3.22035	2.72593	2.72684	0.494422	2.72681	0.212144	0.212161	0.0973195	0.0927446	0.81997	0.105214	1	58.1673	109.094	89.4388
18	0.0872745	8.85967	0.00172469	0.300691	0.750639	9.99351	0.00649364	9.17584	0.824158	3.39858	0.177213	3.22064	2.72617	2.72693	0.494466	2.72691	0.211641	0.211655	0.0970431	0.0932183	0.824158	0.105133	1	58.0286	108.834	89.2255
19	0.0872779	8.86034	0.00172481	0.300001	0.750661	9.99352	0.00648078	9.17234	0.82766	3.39871	0.177227	3.22088	2.72638	2.727	0.494503	2.72698	0.211225	0.211236	0.0968139	0.0936145	0.82766	0.105066	1	57.9137	108.619	89.0488
20	0.0872807	8.86089	0.00172492	0.299429	0.750679	9.99353	0.00647012	9.16941	0.830591	3.39882	0.177238	3.22108	2.72655	2.72707	0.494534	2.72705	0.210879	0.210888	0.0966237	0.093946	0.830591	0.105011	1	57.8184	108.44	88.9022
21	0.087283	8.86134	0.00172501	0.298953	0.750695	9.99354	0.00646124	9.16696	0.833044	3.39891	0.177247	3.22125	2.72669	2.72712	0.49456	2.72711	0.210591	0.210599	0.0964653	0.0942235	0.833044	0.104965	1	57.7391	108.291	88.7802
22	0.087285	8.86173	0.00172509	0.298557	0.750708	9.99355	0.00645385	9.1649	0.835099	3.39899	0.177254	3.22139	2.7268	2.72717	0.494581	2.72715	0.210352	0.210358	0.0963334	0.0944558	0.835099	0.104926	1	57.673	108.167	88.6787
23	0.0872866	8.86204	0.00172515	0.298227	0.750719	9.99355	0.00644769	9.16318	0.836819	3.39905	0.177261	3.2215	2.7269	2.7272	0.494599	2.72719	0.210152	0.210157	0.0962233	0.0946505	0.836819	0.104895	1	57.618	108.064	88.594
24	0.087288	8.86231	0.0017252	0.297951	0.750728	9.99356	0.00644255	9.16174	0.838261	3.39911	0.177266	3.2216	2.72698	2.72724	0.494614	2.72723	0.209985	0.20999	0.0961315	0.0948135	0.838261	0.104868	1	57.572	107.978	88.5234
25	0.0872892	8.86253	0.00172524	0.297721	0.750736	9.99356	0.00643825	9.16053	0.839469	3.39915	0.17727	3.22168	2.72705	2.72726	0.494626	2.72726	0.209846	0.20985	0.0960547	0.0949502	0.839469	0.104846	1	57.5336	107.906	88.4643
26	0.0872901	8.86271	0.00172528	0.297528	0.750742	9.99357	0.00643466	9.15952	0.840482	3.39919	0.177274	3.22175	2.72711	2.72728	0.494636	2.72728	0.20973	0.209733	0.0959905	0.0950647	0.840482	0.104827	1	57.5015	107.846	88.415
27	0.0872909	8.86287	0.00172531	0.297367	0.750748	9.99357	0.00643166	9.15867	0.841331	3.39922	0.177277	3.2218	2.72716	2.7273	0.494645	2.7273	0.209632	0.209635	0.0959368	0.0951607	0.841331	0.104811	1	57.4747	107.795	88.3737
28	0.0872916	8.863	0.00172533	0.297232	0.750752	9.99357	0.00642915	9.15796	0.842042	3.39925	0.17728	3.22185	2.7272	2.72732	0.494652	2.72732	0.209551	0.209553	0.0958919	0.0952412	0.842042	0.104798	1	57.4523	107.753	88.3392
29	0.0872922	8.86311	0.00172535	0.29712	0.750756	9.99357	0.00642704	9.15736	0.842638	3.39927	0.177282	3.22189	2.72723	2.72733	0.494658	2.72733	0.209483	0.209485	0.0958543	0.0953086	0.842638	0.104788	1	57.4335	107.718	88.3104
30	0.0872927	8.8632	0.00172537	0.297025	0.750759	9.99357	0.00642528	9.15686	0.843139	3.39929	0.177284	3.22192	2.72726	2.72735	0.494663	2.72734	0.209426	0.209427	0.0958228	0.0953652	0.843139	0.104778	1	57.4177	107.689	88.2862
31	0.0872931	8.86327	0.00172539	0.296946	0.750762	9.99358	0.00642381	9.15644	0.843558	3.3993	0.177285	3.22195	2.72728	2.72735	0.494667	2.72735	0.209378	0.209379	0.0957964	0.0954127	0.843558	0.104771	1	57.4045	107.664	88.2659
32	0.0872934	8.86334	0.0017254	0.29688	0.750764	9.99358	0.00642257	9.15609	0.84391	3.39932	0.177287	3.22197	2.7273	2.72736	0.494671	2.72736	0.209338	0.209339	0.0957743	0.0954525	0.84391	0.104764	1	57.3935	107.643	88.2489
33	0.0872937	8.86339	0.00172541	0.296824	0.750766	9.99358	0.00642153	9.15579	0.844205	3.39933	0.177288	3.22199	2.72732	2.72737	0.494674	2.72737	0.209304	0.209305	0.0957558	0.0954859	0.844205	0.104759	1	57.3842	107.626	88.2346
34	0.0872939	8.86344	0.00172542	0.296778	0.750768	9.99358	0.00642066	9.15555	0.844453	3.39934	0.177289	3.22201	2.72733	2.72737	0.494676	2.72737	0.209276	0.209277	0.0957402	0.0955139	0.844453	0.104755	1	57.3765	107.611	88.2227
35	0.0872941	8.86347	0.00172543	0.296738	0.750769	9.99358	0.00641994	9.15534	0.844661	3.39934	0.177289	3.22202	2.72734	2.72738	0.494679	2.72738	0.209252	0.209253	0.0957272	0.0955374	0.844661	0.104751	1	57.37	107.599	88.2127
36	0.0872943	8.8635	0.00172543	0.296706	0.75077	9.99358	0.00641932	9.15517	0.844835	3.39935	0.17729	3.22203	2.72735	2.72738	0.49468	2.72738	0.209232	0.209233	0.0957163	0.0955571	0.844835	0.104748	1	57.3645	107.589	88.2043
37	0.0872945	8.86353	0.00172544	0.296678	0.750771	9.99358	0.00641881	9.15502	0.844981	3.39936	0.177291	3.22204	2.72736	2.72739	0.494682	2.72738	0.209216	0.209216	0.0957071	0.0955736	0.844981	0.104745	1	57.3599	107.58	88.1973
38	0.0872946	8.86355	0.00172544	0.296655	0.750772	9.99358	0.00641838	9.1549	0.845103	3.39936	0.177291	3.22205	2.72737	2.72739	0.494683	2.72739	0.209202	0.209202	0.0956994	0.0955875	0.845103	0.104743	1	57.3561	107.573	88.1914
39	0.0872947	8.86357	0.00172544	0.296636	0.750773	9.99358	0.00641802	9.15479	0.845206	3.39937	0.177291	3.22206	2.72737	2.72739	0.494684	2.72739	0.20919	0.209191	0.095693	0.0955991	0.845206	0.104741	1	57.3529	107.567	88.1864
40	0.0872947	8.86359	0.00172545	0.29662	0.750773	9.99358	0.00641772	9.15471	0.845292	3.39937	0.177292	3.22206	2.72738	2.72739	0.494685	2.72739	0.20918	0.209181	0.0956876	0.0956088	0.845292	0.104739	1	57.3502	107.562	88.1823
41	0.0872948	8.8636	0.00172545	0.296606	0.750774	9.99358	0.00641747	9.15464	0.845365	3.39937	0.177292	3.22207	2.72738	2.72739	0.494686	2.72739	0.209172	0.209173	0.0956831	0.095617	0.845365	0.104738	1	57.3479	107.558	88.1788
42	0.0872949	8.86361	0.00172545	0.296595	0.750774	9.99358	0.00641726	9.15457	0.845425	3.39937	0.177292	3.22207	2.72739	2.7274	0.494686	2.7274	0.209165	0.209166	0.0956793	0.0956238	0.845425	0.104737	1	57.346	107.554	88.1759
43	0.0872949	8.86362	0.00172545	0.296585	0.750774	9.99358	0.00641708	9.15452	0.845476	3.39938	0.177292	3.22207	2.72739	2.7274	0.494687	2.7274	0.20916	0.20916	0.0956761	0.0956296	0.845476	0.104736	1	57.3444	107.551	88.1735
44	0.087295	8.86363	0.00172546	0.296577	0.750775	9.99358	0.00641693	9.15448	0.845519	3.39938	0.177292	3.22208	2.72739	2.7274	0.494687	2.7274	0.209155	0.209155	0.0956734	0.0956344	0.845519	0.104735	1	57.3431	107.549	88.1714
45	0.087295	8.86363	0.00172546	0.296571	0.750775	9.99358	0.00641681	9.15445	0.845554	3.39938	0.177293	3.22208	2.72739	2.7274	0.494688	2.7274	0.209151	0.209151	0.0956712	0.0956384	0.845554	0.104735	1	57.342	107.546	88.1697
46	0.087295	8.86364	0.00172546	0.296565	0.750775	9.99358	0.0064167	9.15442	0.845584	3.39938	0.177293	3.22208	2.72739	2.7274	0.494688	2.7274	0.209147	0.209147	0.0956693	0.0956418	0.845584	0.104734	1	57.3411	107.545	88.1682
47	0.0872951	8.86364	0.00172546	0.29656	0.750775	9.99358	0.00641661	9.15439	0.845609	3.39938	0.177293	3.22208	2.7274	2.7274	0.494688	2.7274	0.209145	0.209145	0.0956677	0.0956447	0.845609	0.104734	1	57.3403	107.543	88.167
48	0.0872951	8.86365	0.00172546	0.296556	0.750775	9.99358	0.00641654	9.15437	0.84563	3.39938	0.177293	3.22208	2.7274	2.7274	0.494688	2.7274	0.209142	0.209142	0.0956664	0.0956471	0.84563	0.104733	1	57.3396	107.542	88.166
49	0.0872951	8.86365	0.00172546	0.296553	0.750776	9.99358	0.00641648	9.15435	0.845648	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20914	0.20914	0.0956653	0.0956491	0.845648	0.104733	1	57.3391	107.541	88.1652
50	0.0872951	8.86365	0.00172546	0.29655	0.750776	9.99358	0.00641642	9.15434	0.845663	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209138	0.209138	0.0956644	0.0956508	0.845663	0.104733	1	57.3386	107.54	88.1645
51	0.0872951	8.86366	0.00172546	0.296548	0.750776	9.99358	0.00641638	9.15432	0.845676	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209137	0.209137	0.0956636	0.0956522	0.845676	0.104732	1	57.3382	107.539	88.1638
52	0.0872951	8.86366	0.00172546	0.296546	0.750776	9.99358	0.00641634	9.15431	0.845686	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209136	0.209136	0.0956629	0.0956534	0.845686	0.104732	1	57.3379	107.539	88.1633
53	0.0872951	8.86366	0.00172546	0.296544	0.750776	9.99358	0.00641631	9.1543	0.845695	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209135	0.209135	0.0956624	0.0956544	0.845695	0.104732	1	57.3376	107.538	88.1629
54	0.0872951	8.86366	0.00172546	0.296543	0.750776	9.99358	0.00641629	9.1543	0.845703	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209134	0.209134	0.0956619	0.0956552	0.845703	0.104732	1	57.3373	107.538	88.1626
55	0.0872951	8.86366	0.00172546	0.296542	0.750776	9.99358	0.00641627	9.15429	0.845709	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209133	0.209133	0.0956615	0.0956559	0.845709	0.104732	1	57.3372	107.537	88.1623
56	0.0872952	8.86366	0.00172546	0.296541	0.750776	9.99358	0.00641625	9.15429	0.845714	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209133	0.209133	0.0956612	0.0956565	0.845714	0.104732	1	57.337	107.537	88.162
57	0.0872952	8.86366	0.00172546	0.29654	0.750776	9.99358	0.00641623	9.15428	0.845718	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209132	0.209132	0.0956609	0.095657	0.845718	0.104732	1	57.3369	107.537	88.1618
58	0.0872952	8.86366	0.00172546	0.296539	0.750776	9.99358	0.00641622	9.15428	0.845722	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209132	0.209132	0.0956607	0.0956574	0.845722	0.104732	1	57.3367	107.537	88.1616
59	0.0872952	8.86366	0.00172546	0.296539	0.750776	9.99358	0.00641621	9.15428	0.845725	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209131	0.209131	0.0956605	0.0956577	0.845725	0.104731	1	57.3367	107.536	88.1615
