Time	[_2PGA_c]	[ATP_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[NADP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[NADPH_c]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
0	0.1	0.3417	2.23133	0.2405	8.48313	1.519	0.5	1.3165	0.1	0.5	0	1	0.1	0.1	0.0841958	0	0.41282	0.0841958	0.41282	0.5	0.01	0.5	0.1	0.01	0.1	5	3.9	3.9	10	0	2	10	2.5	0	0.01	0	2.76867	10.5169	0.0795278	0.37	0.0795278	1	4.2405	0.1	2.2418	2
1	0.12767	0.687388	4.90111	0.986586	1.82541	2.34287	0.300834	1.54221	0.984119	0.105134	0	1	1.52295	3.51137	0.000326845	0	0.00577526	0.000290266	0.011395	0.859596	0.01	0.0608889	0.0233383	0.01	0.0229852	5	0.488626	2.47705	0.39355	0	3.93074	5.06875	0.0823937	0	0.375144	0	0.0988937	26.1953	9.09759e-05	0.00485612	0.00545469	0.45075	2.67054	292.089	1.6704	0.0692609
2	0.194668	1.33483	4.92147	0.894943	2.02673	2.29071	0.328736	1.61994	1.63428	0.116185	0	1	2.37108	3.50778	0.000330715	0	0.00399692	0.000160378	0.0114675	1.42808	0.01	0.0915992	0.0249852	0.01	0.024635	5	0.492224	1.62892	0.59993	0	3.94307	6.13188	0.0918678	0	0.37441	0	0.0785279	22.6891	0.000219745	0.00559048	0.00550046	0.657729	2.81435	467.494	0.945229	0.0569258
3	0.233769	1.6458	4.93228	0.80426	2.15426	2.22941	0.35728	1.55158	2.09848	0.127114	0	1	2.93075	3.50452	0.000334095	0	0.00601861	0.000199976	0.0115298	1.94877	0.01	0.109919	0.0273138	0.01	0.0269623	5	0.495477	1.06925	0.765022	0	3.94821	6.88231	0.0978614	0	0.373291	0	0.0677175	20.5953	0.000415097	0.00670861	0.00553979	0.763939	2.96633	592.736	0.702624	0.0517863
4	0.25893	1.80991	4.9387	0.739241	2.2397	2.17869	0.380499	1.49618	2.44125	0.135974	0	1	3.2783	3.50219	0.000336518	0	0.00881961	0.000273963	0.0115741	2.34668	0.01	0.121992	0.029349	0.01	0.0289962	5	0.497815	0.721703	0.891564	0	3.95099	7.41297	0.101872	0	0.371729	0	0.0613025	19.2683	0.00068401	0.00827084	0.00556782	0.826535	3.08207	684.82	0.59391	0.0490061
5	0.276279	1.90935	4.94279	0.69464	2.30051	2.14022	0.398571	1.45691	2.70012	0.142881	0	1	3.4705	3.50054	0.000338237	0	0.0119532	0.000371201	0.0116055	2.63946	0.01	0.130555	0.0309577	0.01	0.0306041	5	0.499465	0.529498	0.987785	0	3.95271	7.80286	0.104722	0	0.369984	0	0.0572053	18.395	0.000978573	0.0100163	0.00558766	0.867349	3.16514	754.051	0.53374	0.0472869
6	0.288757	1.97482	4.94554	0.663858	2.3461	2.11175	0.412677	1.42886	2.8986	0.148282	0	1	3.56054	3.49934	0.00033949	0	0.0144137	0.000455692	0.0116283	2.85469	0.01	0.136918	0.0321936	0.01	0.0318395	5	0.50066	0.439457	1.06153	0	3.95385	8.10258	0.106856	0	0.368635	0	0.0544555	17.8069	0.00120196	0.0113654	0.00560211	0.895611	3.22439	806.943	0.496322	0.0461452
7	0.297995	2.02037	4.94745	0.64209	2.38183	2.09061	0.423961	1.40835	3.05253	0.152607	0	1	3.59654	3.49844	0.000340442	0	0.0157421	0.000503776	0.0116456	3.01789	0.01	0.141781	0.0331486	0.01	0.0327942	5	0.501563	0.403456	1.11858	0	3.95464	8.34332	0.108524	0	0.367923	0	0.0525464	17.4067	0.00131866	0.0120773	0.00561309	0.915978	3.2673	847.853	0.471283	0.0453593
8	0.304982	2.05334	4.94881	0.62635	2.41085	2.07478	0.433241	1.39301	3.17306	0.156163	0	1	3.60954	3.49773	0.000341193	0	0.0162966	0.000524329	0.0116593	3.14618	0.01	0.145574	0.0338964	0.01	0.0335418	5	0.502272	0.39046	1.16311	0	3.95519	8.54424	0.109876	0	0.367632	0	0.0511908	17.1353	0.00136644	0.0123675	0.00562175	0.931087	3.29887	879.824	0.453656	0.0448088
9	0.310358	2.07791	4.94978	0.614904	2.43516	2.06296	0.441021	1.38131	3.26827	0.159141	0	1	3.61397	3.49716	0.000341802	0	0.016501	0.000532007	0.0116704	3.24892	0.01	0.148592	0.034483	0.01	0.0341281	5	0.502845	0.38603	1.19817	0	3.95558	8.71721	0.111005	0	0.367529	0	0.0502159	16.9551	0.0013839	0.0124712	0.00562877	0.942546	3.32213	905.038	0.440782	0.0444192
10	0.314551	2.09665	4.95049	0.606678	2.45604	2.05432	0.447624	1.37224	3.34403	0.161667	0	1	3.61541	3.49668	0.000342305	0	0.016573	0.000534752	0.0116795	3.33139	0.01	0.151043	0.0349382	0.01	0.034583	5	0.503316	0.38459	1.22598	0	3.95586	8.86986	0.111973	0	0.367495	0	0.0495116	16.8413	0.00139004	0.0125054	0.00563456	0.951386	3.339	925.08	0.431117	0.0441422
11	0.317858	2.11119	4.951	0.600939	2.47435	2.0482	0.453278	1.3651	3.40473	0.163828	0	1	3.61584	3.49629	0.000342726	0	0.0165981	0.000535736	0.0116872	3.39718	0.01	0.153074	0.0352846	0.01	0.0349292	5	0.50371	0.384162	1.2482	0	3.95605	9.00728	0.11282	0	0.367484	0	0.0490047	16.7767	0.00139218	0.0125157	0.00563941	0.958302	3.35086	941.121	0.423704	0.0439457
12	0.320491	2.12264	4.95136	0.597146	2.49071	2.04412	0.458159	1.35944	3.45364	0.165692	0	1	3.61594	3.49596	0.000343082	0	0.016607	0.000536102	0.0116936	3.44914	0.01	0.154788	0.035541	0.01	0.0351854	5	0.504043	0.384064	1.26606	0	3.95619	9.13304	0.113575	0	0.367482	0	0.048645	16.7494	0.00139294	0.0125181	0.00564351	0.963773	3.35873	954.038	0.417922	0.0438081
13	0.322603	2.13177	4.9516	0.594883	2.50554	2.04168	0.462408	1.35488	3.49326	0.167315	0	1	3.61593	3.49567	0.000343386	0	0.0166102	0.000536249	0.0116991	3.48961	0.01	0.15626	0.0357233	0.01	0.0353676	5	0.504327	0.384068	1.28048	0	3.95629	9.24965	0.114258	0	0.367482	0	0.0483966	16.7504	0.00139321	0.0125181	0.00564702	0.968143	3.36344	964.497	0.413346	0.0437141
14	0.32431	2.13913	4.95177	0.593832	2.51916	2.04054	0.466138	1.35119	3.52551	0.168739	0	1	3.6159	3.49543	0.00034365	0	0.0166114	0.000536315	0.0117039	3.52061	0.01	0.157544	0.0358452	0.01	0.0354893	5	0.504573	0.384098	1.2922	0	3.95635	9.35895	0.114884	0	0.367483	0	0.0482338	16.7733	0.00139332	0.0125174	0.00565005	0.971661	3.36563	973.006	0.409683	0.0436531
15	0.325699	2.14511	4.95186	0.593735	2.53181	2.04043	0.469443	1.34818	3.5519	0.17	0	1	3.61587	3.49521	0.00034388	0	0.0166119	0.000536349	0.0117081	3.54383	0.01	0.158679	0.0359182	0.01	0.0355622	5	0.504787	0.384128	1.30176	0	3.95638	9.46236	0.115464	0	0.367483	0	0.0481371	16.8133	0.00139336	0.0125167	0.00565271	0.974517	3.36583	979.966	0.406717	0.0436172
16	0.326835	2.15002	4.95191	0.594392	2.54366	2.04114	0.472399	1.34569	3.5736	0.171129	0	1	3.61585	3.49502	0.000344084	0	0.0166121	0.000536367	0.0117118	3.56073	0.01	0.159696	0.035952	0.01	0.0355959	5	0.504976	0.384154	1.3096	0	3.9564	9.5609	0.116007	0	0.367484	0	0.048092	16.8666	0.00139338	0.0125161	0.00565505	0.97685	3.36446	985.687	0.404293	0.0436006
17	0.327772	2.15408	4.95191	0.595644	2.55486	2.0425	0.475068	1.34363	3.59153	0.172148	0	1	3.61583	3.49485	0.000344266	0	0.0166121	0.000536377	0.0117151	3.57249	0.01	0.160618	0.0359545	0.01	0.0355983	5	0.505145	0.384173	1.31606	0	3.9564	9.6554	0.116519	0	0.367484	0	0.0480875	16.9303	0.00139339	0.0125156	0.00565715	0.978771	3.36186	990.414	0.402294	0.0435991
18	0.328548	2.15747	4.95189	0.597361	2.5655	2.04436	0.477502	1.3419	3.60643	0.173077	0	1	3.61581	3.4947	0.000344431	0	0.0166121	0.000536382	0.0117181	3.58011	0.01	0.161463	0.0359324	0.01	0.0355761	5	0.505298	0.384187	1.32141	0	3.95639	9.74648	0.117005	0	0.367485	0	0.0481149	17.0021	0.00139339	0.0125153	0.00565905	0.980362	3.35828	994.34	0.40063	0.0436094
19	0.329195	2.16032	4.95183	0.599441	2.57568	2.04659	0.479741	1.34045	3.61888	0.173933	0	1	3.6158	3.49456	0.000344581	0	0.0166121	0.000536382	0.0117208	3.58441	0.01	0.162244	0.0358911	0.01	0.0355347	5	0.505437	0.384196	1.32586	0	3.95637	9.83465	0.117469	0	0.367485	0	0.0481675	17.0803	0.00139338	0.0125151	0.00566078	0.981689	3.35396	997.62	0.399232	0.0436289
20	0.329739	2.16274	4.95176	0.601803	2.58547	2.04913	0.481821	1.33921	3.62934	0.174727	0	1	3.6158	3.49444	0.00034472	0	0.016612	0.00053638	0.0117233	3.58607	0.01	0.162971	0.0358349	0.01	0.0354784	5	0.505565	0.384201	1.3296	0	3.95634	9.9203	0.117915	0	0.367485	0	0.0482401	17.1633	0.00139337	0.012515	0.00566237	0.982805	3.34907	1000.38	0.398048	0.0436556
21	0.330199	2.16482	4.95167	0.604379	2.5949	2.05187	0.483768	1.33815	3.6382	0.175471	0	1	3.6158	3.49432	0.000344848	0	0.0166119	0.000536375	0.0117257	3.58563	0.01	0.163655	0.0357673	0.01	0.0354108	5	0.505684	0.384203	1.33275	0	3.95631	10.0038	0.118344	0	0.367485	0	0.0483284	17.2502	0.00139336	0.0125149	0.00566386	0.983749	3.34375	1002.71	0.397036	0.0436881
22	0.330591	2.16661	4.95157	0.607117	2.60404	2.05478	0.485607	1.33723	3.64575	0.176174	0	1	3.6158	3.4942	0.000344969	0	0.0166118	0.000536369	0.0117278	3.58356	0.01	0.164301	0.0356913	0.01	0.0353347	5	0.505795	0.384203	1.33542	0	3.95628	10.0853	0.11876	0	0.367485	0	0.048429	17.34	0.00139335	0.0125149	0.00566525	0.984556	3.3381	1004.7	0.396162	0.043725
