Time	[x1]	[x2]	[E1]	[E2]	[E]	[E+x1]
71	8.45745	8.45745	49.9705	49.9705	0.0590845	1
72	8.45968	8.45968	49.9705	49.9705	0.059069	1
73	8.46175	8.46175	49.9705	49.9705	0.0590545	1
74	8.46369	8.46369	49.9705	49.9705	0.059041	1
75	8.4655	8.4655	49.9705	49.9705	0.0590284	1
76	8.46718	8.46718	49.9705	49.9705	0.0590167	1
77	8.46876	8.46876	49.9705	49.9705	0.0590057	1
78	8.47022	8.47022	49.9705	49.9705	0.0589955	1
79	8.47159	8.47159	49.9705	49.9705	0.058986	1
80	8.47287	8.47287	49.9705	49.9705	0.0589771	1
81	8.47406	8.47406	49.9705	49.9705	0.0589688	1
82	8.47518	8.47518	49.9705	49.9705	0.058961	1
83	8.47621	8.47621	49.9705	49.9705	0.0589538	1
84	8.47718	8.47718	49.9705	49.9705	0.0589471	1
85	8.47809	8.47809	49.9705	49.9705	0.0589408	1
86	8.47893	8.47893	49.9705	49.9705	0.0589349	1
87	8.47972	8.47972	49.9705	49.9705	0.0589295	1
88	8.48045	8.48045	49.9705	49.9705	0.0589244	1
89	8.48114	8.48114	49.9705	49.9705	0.0589196	1
90	8.48178	8.48178	49.9705	49.9705	0.0589152	1
91	8.48238	8.48238	49.9705	49.9705	0.058911	1
92	8.48293	8.48293	49.9705	49.9705	0.0589072	1
93	8.48345	8.48345	49.9705	49.9705	0.0589035	1
94	8.48394	8.48394	49.9705	49.9705	0.0589002	1
95	8.48439	8.48439	49.9706	49.9706	0.058897	1
96	8.48481	8.48481	49.9706	49.9706	0.0588941	1
97	8.48521	8.48521	49.9706	49.9706	0.0588914	1
98	8.48558	8.48558	49.9706	49.9706	0.0588888	1
99	8.48592	8.48592	49.9706	49.9706	0.0588864	1
100	8.48624	8.48624	49.9706	49.9706	0.0588842	1
