Time	[IL6]	[IFN]	[(IFN-R-JAK)2*-STAT3C]	[(IFN-R-JAK)2*-STAT3C*]	[STAT1C*-STAT3C*]	[STAT1N*-STAT3N*]	[gp80]	[IL6-gp80]	[gp130]	[JAK(IFN)]	[gp130-JAK]	[IL6-gp80-gp130-JAK]	[(IL6-gp80-gp130-JAK)2]	[(IL6-gp80-gp130-JAK)2*]	[(IL6-gp80-gp130-JAK)2*-STAT3C]	[STAT3C]	[STAT3C*]	[(IL6-gp80-gp130-JAK)2*-STAT3C*]	[(STAT3C*)2]	[(IL6-gp80-gp130-JAK)2*-SOCS3]	[(IL6-gp80-gp130-JAK)2*-SHP2]	[STAT3C-STAT3C*]	[SOCS3]	[PP1]	[PP1-STAT3C*]	[PP1-(STAT3C*)2]	[mRNA-SOCS3C]	[Grb2]	[(IL6-gp80-gp130-JAK)2*-SHP2*]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2]	[SOS]	[SHP2*-Grb2]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS]	[Ras-GDP]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS-Ras-GDP]	[Ras-GTP]	[Raf]	[Raf-Ras-GTP]	[Ras-GTP*]	[Raf*]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS-Ras-GTP]	[SHP2*-Grb2-SOS]	[Grb2-SOS]	[SHP2*]	[Phosp1]	[Raf*-Phosp1]	[MEK]	[MEK-Raf*]	[MEK-P]	[MEK-P-Raf*]	[MEK-PP]	[MEK-PP-Phosp2]	[Phosp2]	[MEK-P-Phosp2]	[ERK]	[ERK-MEK-PP]	[ERK-P]	[ERK-P-MEK-PP]	[ERK-PP]	[Phosp3]	[ERK-PP-Phosp3]	[ERK-P-Phosp3]	[PP2-STAT1N*-STAT3N*]	[PP1-STAT1C*-STAT3C*]	[CEBPi]	[CEBP]	[CEBPn]	[R-JAK]	[IFN-R-JAK]	[(IFN-R-JAK)2]	[(IFN-R-JAK)2*]	[(IFN-R-JAK)2*-STAT1C]	[STAT1C]	[STAT1C*]	[(IFN-R-JAK)2*-STAT1C*]	[(STAT1C*)2]	[(IFN-R-JAK)2*-SHP2]	[PP1-STAT1C*]	[STAT1C-STAT1C*]	[mRNA-SOCS1C]	[SOCS1]	[(IFN-R-JAK)2*-SOCS1]	[PP1-(STAT1C*)2]	[(IFN-R-JAK)2*-STAT1C-SOCS1]	[(IFN-R-JAK)2*-STAT1C-SHP2-SOCS1]	[(IFN-R-JAK)2*-STAT1C-SHP2]	[R]	[SHP2]	[STAT3*]	[STAT1*]	[(IL6-gp80-gp130-JAK)2*-STAT1]	[(IL6-gp80-gp130-JAK)2*-STAT1*]	[JAK(IL-6)]	[(STAT1N*)2]	[PP2-STAT1N*]	[STAT1N*]	[STAT1N]	[mRNA-SOCS1N]	[PP2-(STAT1N*)2]	[STAT1N-STAT1N*]	[(STAT3N*)2]	[PP2]	[PP2-(STAT3N*)2]	[STAT3N*]	[PP2-STAT3N*]	[STAT3N]	[STAT3N-STAT3N*]	[mRNA-SOCS3N]
0	0	0.1	0	0	0	0	8	0	0.8	12	0	0	0	0	0	1000	0	0	0	0	0	0	0	50	0	0	0	85	0	0	34	0	0	19000	0	0	67	0	0	0	0	0	0	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	0	0	40493	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	12	100	0	0	0	0	12	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0
1	0	0.1	1.45647e-11	6.96974e-26	2.17371e-25	7.09258e-29	8	0	0.8	5.586	0.900218	0	0	0	0	1000	9.22591e-12	0	1.23706e-25	0	0	2.44242e-16	2.63387e-42	50	6.10392e-14	4.16048e-28	4.83519e-39	74.7841	0	0	23.7841	0	0	19000	0	0	67	0	0	0	0	0	10.2159	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	2.56477e-31	7.07391e-28	40493	0	0	6.40594	0.00805506	5.88846e-07	2.4959e-10	2.88613e-10	1000	1.68244e-11	1.59835e-24	3.82484e-25	4.12186e-12	1.04165e-13	4.16796e-16	9.711e-39	5.06557e-42	7.80795e-55	1.20573e-27	2.43539e-55	8.20128e-58	1.41584e-62	5.586	100	9.28719e-12	1.6929e-11	0	0	11.0998	1.18111e-28	2.44524e-32	7.39483e-30	4.41369e-35	1.7466e-34	4.14479e-31	1.14115e-34	4.17182e-29	60	1.55742e-31	9.54626e-31	3.29043e-33	3.79627e-35	4.5355e-35	8.31379e-35
2	0	0.1	4.22337e-10	1.73182e-22	2.76272e-21	1.90847e-24	8	0	0.8	3.83976	1.6907	0	0	0	0	1000	5.82116e-10	0	1.0582e-21	0	0	3.24957e-14	5.78331e-37	50	8.11799e-12	7.57023e-24	4.99003e-34	68.2736	0	0	17.2736	0	0	19000	0	0	67	0	0	0	0	0	16.7264	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	1.46188e-26	1.89764e-23	40493	0	0	8.13766	0.0225581	9.58536e-06	6.03938e-09	1.27144e-08	1000	1.58947e-09	7.53541e-21	7.22709e-21	2.06473e-10	2.04832e-11	8.19886e-14	1.71001e-33	1.89996e-36	1.19087e-47	4.774e-23	7.68322e-48	5.74669e-50	2.18177e-54	3.83976	100	5.90266e-10	1.61004e-09	0	0	10.3093	4.57326e-24	4.16485e-27	5.98904e-25	7.19089e-30	1.44505e-29	3.38627e-26	1.96286e-29	7.61517e-25	60	6.05924e-27	4.53727e-26	3.30415e-28	4.72742e-30	3.75415e-30	4.03507e-30
3	0	0.1	2.58882e-09	1.18252e-20	4.96074e-19	5.29651e-22	8	0	0.8	3.09245	2.38481	0	0	0	0	1000	5.57092e-09	0	1.50139e-19	0	0	4.73692e-13	5.69673e-34	50	1.18291e-10	1.65506e-21	3.18002e-31	63.8638	0	0	12.8638	0	0	19000	0	0	67	0	0	0	0	0	21.1362	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	6.2527e-24	5.24938e-21	40493	0	0	8.86849	0.0389739	4.32864e-05	3.48183e-08	9.83883e-08	1000	1.92438e-08	7.90794e-19	1.64224e-18	1.7926e-09	3.78113e-10	1.51403e-12	1.42666e-30	2.46594e-33	1.16418e-43	1.67092e-20	1.08187e-43	1.30793e-45	7.75238e-50	3.09245	100	5.68968e-09	1.96234e-08	0	0	9.61519	1.56507e-21	3.39255e-24	3.16933e-22	6.42504e-27	7.73597e-27	1.78917e-23	1.59824e-26	1.67053e-22	60	2.04876e-24	1.77396e-23	1.98345e-25	3.20557e-27	1.95544e-27	1.66171e-27
4	0	0.1	8.84467e-09	2.05935e-19	1.71101e-17	2.48139e-20	8	0	0.8	2.71338	2.99431	0	0	0	0	1000	2.59812e-08	0	4.42852e-18	0	0	2.94685e-12	6.71712e-32	50	7.35616e-10	6.5943e-20	2.75471e-29	60.7522	0	0	9.75216	0	0	19000	0	0	67	0	0	0	0	0	24.2478	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	3.96334e-22	2.451e-19	40493	0	0	9.23037	0.0560112	0.000118635	1.15403e-07	3.89708e-07	1000	1.04669e-07	1.88322e-17	6.62223e-17	7.86201e-09	2.75618e-09	1.10401e-11	1.44093e-28	3.41061e-31	6.29545e-41	9.14008e-19	7.72881e-41	1.27021e-42	1.03178e-46	2.71338	100	2.67197e-08	1.07436e-07	0	0	9.00569	8.37297e-20	3.35674e-22	2.31408e-20	7.24701e-25	5.69371e-25	1.29921e-21	1.5745e-24	6.67934e-21	60	1.10646e-22	1.06939e-21	1.61341e-23	2.82774e-25	1.42722e-25	1.05588e-25
5	0	0.1	2.22511e-08	1.75454e-18	2.46464e-16	4.52158e-19	8	0	0.8	2.50432	3.52951	0	0	0	0	1000	8.30232e-08	0	5.70624e-17	0	0	1.16932e-11	2.53553e-30	50	2.91788e-09	1.06825e-18	8.17993e-28	58.4928	0	0	7.49276	0	0	19000	0	0	67	0	0	0	0	0	26.5072	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	9.10255e-21	4.45059e-18	40493	0	0	9.42205	0.0731278	0.000249715	2.85138e-07	1.08561e-06	1000	3.72775e-07	2.04023e-16	1.06616e-15	2.3973e-08	1.22554e-08	4.91072e-11	4.70839e-27	1.42371e-29	7.31305e-39	1.85966e-17	1.10695e-38	2.3045e-40	2.38946e-44	2.50432	100	8.59528e-08	3.85079e-07	0	0	8.47049	1.66687e-18	1.07615e-20	5.87119e-19	2.66243e-23	1.45372e-23	3.27188e-20	5.01593e-23	1.08594e-19	60	2.26226e-21	2.38394e-20	4.52408e-22	8.41813e-24	3.67287e-24	2.46278e-24
6	0	0.1	4.63744e-08	9.64209e-18	2.07154e-15	4.59731e-18	8	0	0.8	2.38348	3.99946	0	0	0	0	1000	2.10178e-07	0	4.41214e-16	0	0	3.51549e-11	4.70245e-29	50	8.76931e-09	9.92944e-18	1.24577e-26	56.8178	0	0	5.8178	0	0	19000	0	0	67	0	0	0	0	0	28.1822	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	1.11558e-19	4.50885e-17	40493	0	0	9.52556	0.0900559	0.000446904	5.87222e-07	2.43725e-06	1000	1.0228e-06	1.35815e-15	9.73907e-15	5.83353e-08	4.01446e-08	1.60915e-10	7.64269e-26	2.82525e-28	3.26859e-37	2.05268e-16	5.87344e-37	1.47696e-38	1.87224e-42	2.38348	100	2.18983e-07	1.06311e-06	0	0	8.00054	1.80117e-17	1.71518e-19	7.74107e-18	4.83475e-22	1.92705e-22	4.27714e-19	7.93506e-22	1.01313e-18	60	2.53817e-20	2.86952e-19	6.55402e-21	1.27876e-22	4.96077e-23	3.07556e-23
7	0	0.1	8.50897e-08	3.94284e-17	1.20874e-14	3.14641e-17	8	0	0.8	2.31157	4.41213	0	0	0	0	1000	4.54415e-07	0	2.41304e-15	0	0	8.75632e-11	5.36324e-28	50	2.18349e-08	6.33048e-17	1.20196e-25	55.5569	0	0	4.55692	0	0	19000	0	0	67	0	0	0	0	0	29.4431	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	8.92485e-19	3.07449e-16	40493	0	0	9.58033	0.106654	0.000717004	1.06837e-06	4.73212e-06	1000	2.35294e-06	6.49784e-15	6.06182e-14	1.21741e-07	1.06909e-07	4.28677e-10	7.71037e-25	3.37963e-27	7.70944e-36	1.49651e-15	1.57453e-35	4.66464e-37	7.00593e-41	2.31157	100	4.76337e-07	2.46027e-06	0	0	7.58787	1.28627e-16	1.69986e-18	6.54492e-17	5.40995e-21	1.63713e-21	3.58283e-18	7.79999e-21	6.48365e-18	60	1.89454e-19	2.27145e-18	6.05684e-20	1.22936e-21	4.32326e-22	2.50683e-22
8	0	0.1	1.42419e-07	1.30318e-16	5.42212e-14	1.61907e-16	8	0	0.8	2.26786	4.77449	0	0	0	0	1000	8.76723e-07	0	1.0279e-14	0	0	1.90393e-10	4.30187e-27	50	4.74608e-08	3.07474e-16	8.33349e-25	54.5968	0	0	3.59675	0	0	19000	0	0	67	0	0	0	0	0	30.4032	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	5.24983e-18	1.57609e-15	40493	0	0	9.60715	0.122847	0.00106372	1.77693e-06	8.27962e-06	1000	4.76883e-06	2.44988e-14	2.86303e-13	2.27315e-07	2.45258e-07	9.83737e-10	5.52218e-24	2.8072e-26	1.13761e-34	8.09472e-15	2.60258e-34	8.8641e-36	1.54367e-39	2.26786	100	9.24374e-07	5.01507e-06	0	0	7.22551	6.81907e-16	1.19631e-17	4.01841e-16	4.25933e-20	1.00961e-20	2.17831e-17	5.44175e-20	3.16131e-17	60	1.0538e-18	1.32856e-17	4.04579e-19	8.49705e-21	2.74629e-21	1.50039e-21
9	0	0.1	2.22403e-07	3.66962e-16	1.99468e-13	6.71739e-16	8	0	0.8	2.2408	5.09267	0	0	0	0	1000	1.55212e-06	0	3.62522e-14	0	0	3.73601e-10	2.64202e-26	50	9.31e-08	1.21578e-15	4.49754e-24	53.8592	0	0	2.85915	0	0	19000	0	0	67	0	0	0	0	0	31.1408	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	2.44788e-17	6.51386e-15	40493	0	0	9.61759	0.138597	0.00148822	2.76135e-06	1.33989e-05	1000	8.78711e-06	7.71798e-14	1.09848e-12	3.90162e-07	5.02836e-07	2.01754e-09	3.05363e-23	1.77006e-25	1.17939e-33	3.49596e-14	2.98212e-33	1.1467e-34	2.27644e-38	2.2408	100	1.64559e-06	9.29197e-06	0	0	6.90733	2.88818e-15	6.5017e-17	1.93814e-15	2.56737e-19	4.88976e-20	1.03998e-16	2.93065e-19	1.25493e-16	60	4.69255e-18	6.18115e-17	2.11387e-18	4.57639e-20	1.37338e-20	7.10695e-21
