Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[NADPH_c]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
0	0.1	2.23133	0.2405	8.48313	1.519	0.5	1.3165	0.1	0.5	0	1	0.1	0.3417	0.1	0.0841958	0	0.41282	0.0841958	0.41282	0.5	0.01	0.5	0.1	0.01	0.1	5	3.9	3.9	10	0	2	10	2.5	0	0.01	0	2.76867	10.5169	0.0795278	0.37	0.0795278	1	4.2405	0.1	2.2418	2
1	0.12764	4.90052	0.991783	1.83427	2.34556	0.301663	1.54173	0.984064	0.10545	0	1	1.52295	0.686388	3.51126	0.000326968	0	0.00577507	0.000290241	0.0113973	0.856853	0.01	0.0610794	0.0232702	0.01	0.022917	5	0.488741	2.47705	0.393855	0	3.93043	5.12135	0.0827872	0	0.375144	0	0.099485	26.4618	9.09573e-05	0.00485612	0.00545615	0.450596	2.66265	292.106	1.67188	0.069572
2	0.194819	4.92165	0.886339	2.01888	2.28533	0.327947	1.61932	1.6351	0.115904	0	1	2.37109	1.33937	3.50785	0.000330601	0	0.00399697	0.000160384	0.0114652	1.42986	0.01	0.0911788	0.025114	0.01	0.0247641	5	0.49215	1.62891	0.599432	0	3.94315	6.07541	0.0915131	0	0.37441	0	0.0783543	22.562	0.000219756	0.00559048	0.005499	0.658341	2.82833	467.666	0.941302	0.0568502
3	0.233833	4.93384	0.774066	2.10869	2.20662	0.352023	1.55032	2.0981	0.125147	0	1	2.93075	1.64999	3.50505	0.000333482	0	0.00601962	0.000200031	0.0115182	1.96703	0.01	0.10782	0.0278893	0.01	0.0275386	5	0.494955	1.06925	0.764149	0	3.94887	6.55379	0.0958098	0	0.373291	0	0.0661591	19.749	0.000415206	0.00670858	0.00553244	0.764328	3.01932	592.566	0.699695	0.0511308
4	0.258677	4.94169	0.682414	2.14284	2.12911	0.368607	1.49592	2.43668	0.131506	0	1	3.27826	1.8106	3.50329	0.000335272	0	0.00882261	0.000274111	0.0115509	2.39646	0.01	0.117242	0.030675	0.01	0.0303236	5	0.496713	0.721743	0.889673	0	3.95223	6.69626	0.0975036	0	0.371729	0	0.0583074	17.6324	0.00068432	0.00827059	0.00555307	0.826074	3.18847	683.525	0.593476	0.0477717
5	0.275512	4.94716	0.607344	2.14245	2.05503	0.378641	1.45878	2.68812	0.135392	0	1	3.4704	1.90486	3.50228	0.000336286	0	0.0119591	0.000371505	0.0115693	2.73984	0.01	0.122316	0.03338	0.01	0.0330286	5	0.497716	0.5296	0.983945	0	3.9545	6.61767	0.0975818	0	0.369985	0	0.0528354	15.9658	0.000979177	0.0100151	0.00556472	0.865589	3.33762	750.778	0.53636	0.0454994
6	0.287289	4.95121	0.54295	2.11895	1.9825	0.383936	1.43371	2.87581	0.137497	0	1	3.56035	1.96379	3.50177	0.000336801	0	0.0144227	0.000456186	0.0115786	3.02822	0.01	0.124466	0.0361041	0.01	0.0357534	5	0.49823	0.439649	1.05474	0	3.95617	6.39382	0.096579	0	0.368638	0	0.0487889	14.5977	0.00120286	0.0113621	0.00557059	0.892144	3.47455	800.809	0.5025	0.0438272
7	0.295633	4.95434	0.484941	2.07876	1.90879	0.386085	1.41701	3.01543	0.138423	0	1	3.59625	2.00137	3.50156	0.000337003	0	0.015754	0.000504464	0.0115823	3.29054	0.01	0.124479	0.0390079	0.01	0.0386581	5	0.498441	0.403753	1.1078	0	3.95747	6.07283	0.0947961	0	0.367929	0	0.0456608	13.4349	0.00131985	0.0120712	0.00557287	0.910383	3.60627	837.933	0.481616	0.0425253
8	0.301517	4.95683	0.430768	2.02554	1.83151	0.386229	1.40635	3.11788	0.138609	0	1	3.60912	2.02475	3.50154	0.000337012	0	0.0163116	0.000525222	0.0115824	3.54806	0.01	0.12285	0.0422702	0.01	0.0419217	5	0.498463	0.390876	1.14724	0	3.95854	5.68507	0.0924053	0	0.367642	0	0.0431651	12.4192	0.00136793	0.0123584	0.00557292	0.922898	3.73772	865.127	0.468902	0.0414645
9	0.305549	4.95886	0.379087	1.96132	1.74876	0.385134	1.40033	3.19076	0.138356	0	1	3.61342	2.03775	3.50163	0.000336901	0	0.0165195	0.000533126	0.0115803	3.8157	0.01	0.11991	0.0460938	0.01	0.0457471	5	0.498369	0.386576	1.176	0	3.95944	5.25009	0.0895018	0	0.367541	0	0.0411357	11.5132	0.00138574	0.0124588	0.0055716	0.931211	3.87215	884.454	0.461916	0.0405618
10	0.308107	4.96052	0.329241	1.88705	1.65888	0.383354	1.39816	3.23927	0.137891	0	1	3.61471	2.04242	3.50179	0.000336724	0	0.0165954	0.000536118	0.011577	4.10649	0.01	0.115886	0.0507448	0.01	0.0504003	5	0.498208	0.385285	1.19613	0	3.96024	4.78081	0.0861308	0	0.36751	0	0.0394761	10.6923	0.00139226	0.0124896	0.00556953	0.93623	4.01187	897.308	0.459423	0.0397589
