Time	[L_WCC]	[L_WCCVVDn]	[Period]	[T]	[VVDc]	[VVDn]	[WC1c]	[WC2c]	[X]	[Y]	[active_hypoWCCn]	[c_hypoFRQ_to_hyperFRQ]	[cycle]	[degraded_L_WCCCVVDn]	[degraded_VVDc]	[degraded_VVDn]	[degraded_WC1c]	[degraded_WC2c]	[degraded_active_hypoWCCn]	[degraded_frq_mRNA]	[degraded_hyperFFCn]	[degraded_hyperFRQc]	[degraded_hyperWCCc]	[degraded_hyperWCCn]	[degraded_vvd_mRNA]	[degraded_wc1_mRNA]	[degraded_wc2_mRNA]	[frq_gene]	[frq_level_A]	[frq_mRNA]	[hyperFRQc]	[hyperFRQn]	[hyperWCCc]	[hyperWCCn]	[hypoFRQc]	[hypoFRQn]	[hypoWCCc]	[hypoWCCn]	[n_hypoFRQ_to_hyperFRQ]	[time]	[total_FRQ]	[total_FRQc]	[total_FRQn]	[total_VVD]	[total_WC1]	[total_WC2]	[total_WCCn]	[total_hyper_FRQ]	[total_hypoWCC]	[total_hypo_FRQ]	[vvd_gene]	[vvd_mRNA]	[wc1_gene]	[wc1_mRNA]	[wc2_gene]	[wc2_mRNA]	[line]	[line2]	[line3]	[total_hyperWCC]	[hyper_hypo_WCC]
56	0	0	0	56	0	0	0.0402501	6.09408	0	0	0.0798876	2.57404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.928672	0.373116	0.0653728	0.371629	0.059191	0.960417	0.398287	0.382375	0.671444	6.09254	0	1.79719	1.33353	0.463659	0	1.60478	7.6586	0.810522	0.438489	1.05382	1.3587	1	0	1	0.536152	1	0.631884	1.8728	0.985	1.67	0.43082	0.408818
57	0	0	0	57	0	0	0.0401841	6.09271	0	0	0.0768254	2.52034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.846782	0.3874	0.0679947	0.376367	0.0869615	0.976381	0.414014	0.381145	0.635377	6.08891	0	1.84579	1.36378	0.482009	0	1.59686	7.64939	0.799164	0.455395	1.01652	1.39039	1	0	1	0.534911	1	0.632647	1.8728	0.985	1.67	0.463329	0.455798
58	0	0	0	58	0	0	0.0400587	6.09258	0	0	0.0723365	2.43577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.726677	0.399543	0.0705907	0.387447	0.121587	0.973197	0.427468	0.382094	0.587987	6.05559	0	1.8708	1.37274	0.498059	0	1.59151	7.64403	0.781911	0.470134	0.970081	1.40067	1	0	1	0.532958	1	0.633617	1.8728	0.985	1.67	0.509034	0.524733
59	0	0	0	59	0	0	0.0398753	6.09386	0	0	0.0668056	2.32351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.582128	0.408207	0.0729377	0.404561	0.157073	0.948473	0.437192	0.385551	0.535838	5.99406	0	1.86681	1.35668	0.51013	0	1.5897	7.64369	0.759716	0.481144	0.921389	1.38567	1	0	1	0.530393	1	0.634692	1.8728	0.985	1.67	0.561634	0.609552
60	0	0	0	60	0	0	0.0396526	6.09658	0	0	0.0610526	2.19225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.440089	0.412266	0.0748052	0.425802	0.185971	0.903792	0.441948	0.391451	0.488149	5.90798	0	1.83281	1.31606	0.516753	0	1.59208	7.64901	0.735173	0.487072	0.879601	1.34574	1	0	1	0.527544	1	0.6357	1.8728	0.985	1.67	0.611773	0.695512
61	0	0	0	61	0	0	0.0394236	6.10052	0	0	0.0560397	2.05552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.326094	0.411155	0.075991	0.44813	0.202942	0.845139	0.44108	0.39923	0.452864	5.80438	0	1.77337	1.25629	0.517071	0	1.59863	7.65972	0.711846	0.487146	0.852094	1.28622	1	0	1	0.524868	1	0.636471	1.8728	0.985	1.67	0.651072	0.764084
62	0	0	0	62	0	0	0.0392239	6.10523	0	0	0.0525235	1.92715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.25106	0.405039	0.0763628	0.468367	0.20628	0.780573	0.434716	0.407926	0.434324	5.69277	0	1.69669	1.18561	0.511079	0	1.60864	7.67465	0.693127	0.481402	0.84225	1.21529	1	0	1	0.522792	1	0.636893	1.8728	0.985	1.67	0.674647	0.801006
63	0	0	0	63	0	0	0.0390813	6.11016	0	0	0.0508922	1.81743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.213016	0.394709	0.0758859	0.483987	0.197178	0.717354	0.423669	0.41643	0.433331	5.58297	0	1.61162	1.11206	0.499555	0	1.6209	7.69198	0.681401	0.470595	0.84976	1.14102	1	0	1	0.521584	1	0.636931	1.8728	0.985	1.67	0.681165	0.801597
64	0	0	0	64	0	0	0.0390099	6.11476	0	0	0.05118	1.73276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.20632	0.381318	0.0746216	0.493468	0.178512	0.660732	0.409171	0.423718	0.448046	5.48328	0	1.52584	1.04205	0.483793	0	1.63393	7.70969	0.677738	0.455939	0.871763	1.0699	1	0	1	0.521333	1	0.636612	1.8728	0.985	1.67	0.671979	0.770828
65	0	0	0	65	0	0	0.0390115	6.11856	0	0	0.0531412	1.67773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.227438	0.366152	0.072707	0.49634	0.154028	0.614303	0.392624	0.429027	0.474768	5.40009	0	1.44579	0.980455	0.465331	0	1.64632	7.72586	0.681938	0.438859	0.903795	1.00693	1	0	1	0.521973	1	0.636009	1.8728	0.985	1.67	0.650368	0.719596
66	0	0	0	66	0	0	0.0390773	6.12122	0	0	0.0563391	1.65694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.27522	0.350507	0.0703281	0.493074	0.127601	0.58077	0.375454	0.431938	0.508814	5.33861	0	1.37706	0.931277	0.445782	0	1.65684	7.73898	0.692754	0.420835	0.940751	0.956224	1	0	1	0.523325	1	0.635221	1.8728	0.985	1.67	0.620675	0.659766
67	0	0	0	67	0	0	0.0391919	6.12256	0	0	0.0602571	1.6753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.348158	0.335636	0.0676973	0.484819	0.102409	0.56229	0.359048	0.432385	0.545609	5.30373	0	1.32467	0.897927	0.426745	0	1.66467	7.74804	0.708275	0.403334	0.977994	0.921338	1	0	1	0.525143	1	0.634352	1.8728	0.985	1.67	0.587228	0.600441
68	0	0	0	68	0	0	0.0393367	6.12259	0	0	0.0644134	1.73604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.441533	0.322711	0.0650372	0.473031	0.0804156	0.560237	0.344704	0.4306	0.581562	5.3001	0	1.29269	0.882948	0.409741	0	1.66936	7.75261	0.726392	0.387748	1.01216	0.904941	1	0	1	0.527178	1	0.633494	1.8728	0.985	1.67	0.553447	0.546796
69	0	0	0	69	0	0	0.0394948	6.12141	0	0	0.0684378	1.83753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.546821	0.312746	0.0625663	0.459147	0.0623987	0.574681	0.333552	0.426999	0.614352	5.33118	0	1.28354	0.887426	0.396118	0	1.67083	7.75274	0.745189	0.375312	1.04135	0.908233	1	0	1	0.529222	1	0.632712	1.8728	0.985	1.67	0.521545	0.500835
70	0	0	0	70	0	0	0.0396526	6.11922	0	0	0.07209	1.97092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.653699	0.306507	0.0604835	0.444374	0.0483382	0.6041	0.326449	0.422082	0.642742	5.39733	0	1.29754	0.910607	0.386933	0	1.66928	7.74885	0.763171	0.366991	1.06482	0.930549	1	0	1	0.531127	1	0.632048	1.8728	0.985	1.67	0.492712	0.462717
71	0	0	0	71	0	0	0.0398008	6.11627	0	0	0.0752395	2.12068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.752868	0.304425	0.0589519	0.429628	0.0378427	0.645587	0.323892	0.416335	0.666224	5.49417	0	1.33286	0.950013	0.382844	0	1.66507	7.74154	0.779306	0.363377	1.08256	0.969479	1	0	1	0.532807	1	0.631526	1.8728	0.985	1.67	0.467471	0.43182
72	0	0	0	72	0	0	0.0399337	6.11279	0	0	0.0778288	2.2684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.837819	0.30657	0.0580852	0.415565	0.0304703	0.695424	0.325978	0.410187	0.68467	5.61207	0	1.38606	1.00199	0.384063	0	1.65865	7.73151	0.792969	0.364655	1.09486	1.0214	1	0	1	0.534219	1	0.631151	1.8728	0.985	1.67	0.446035	0.407391
73	0	0	0	73	0	0	0.040048	6.10903	0	0	0.079838	2.3977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.904962	0.312676	0.0579393	0.402653	0.0259458	0.749703	0.332441	0.403991	0.69804	5.73774	0	1.45276	1.06238	0.39038	0	1.65052	7.7195	0.803824	0.370616	1.10203	1.08214	1	0	1	0.535344	1	0.630924	1.8728	0.985	1.67	0.428599	0.388917
74	0	0	0	74	0	0	0.0401415	6.10522	0	0	0.0812504	2.49757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.952636	0.322217	0.0585127	0.391276	0.024336	0.804759	0.342714	0.39803	0.706103	5.85708	0	1.5282	1.12698	0.401226	0	1.64114	7.70621	0.81169	0.380729	1.10413	1.14747	1	0	1	0.536175	1	0.630841	1.8728	0.985	1.67	0.415612	0.376415
75	0	0	0	75	0	0	0.0402117	6.10155	0	0	0.0820189	2.56313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.979636	0.334476	0.059752	0.38185	0.0262373	0.857306	0.35602	0.392547	0.708139	5.9583	0	1.60755	1.19178	0.415772	0	1.631	7.69234	0.816395	0.394228	1.10069	1.21333	1	0	1	0.536695	1	0.630904	1.8728	0.985	1.67	0.408088	0.370758
76	0	0	0	76	0	0	0.0402551	6.09821	0	0	0.0820315	2.59397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.983675	0.348614	0.0615615	0.374966	0.0329528	0.904294	0.37144	0.387784	0.702636	6.03364	0	1.68591	1.25291	0.433002	0	1.62062	7.67858	0.81762	0.410176	1.09042	1.27573	1	0	1	0.536863	1	0.631123	1.8728	0.985	1.67	0.407918	0.374093
77	0	0	0	77	0	0	0.0402651	6.09543	0	0	0.081085	2.59164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.960199	0.363689	0.0638121	0.371514	0.0464445	0.942552	0.38794	0.384034	0.687231	6.07942	0	1.75799	1.30624	0.451752	0	1.61057	7.66574	0.814761	0.427501	1.07127	1.33049	1	0	1	0.536595	1	0.631525	1.8728	0.985	1.67	0.417958	0.390154
78	0	0	0	78	0	0	0.0402318	6.09344	0	0	0.0789089	2.55753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.902593	0.378646	0.0663472	0.372705	0.0685899	0.968397	0.404366	0.381687	0.659442	6.09469	0	1.81776	1.34704	0.470713	0	1.60157	7.65477	0.806941	0.444993	1.04113	1.37276	1	0	1	0.535767	1	0.632143	1.8728	0.985	1.67	0.441295	0.423862
79	0	0	0	79	0	0	0.0401442	6.0925	0	0	0.0752971	2.49211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.805778	0.392282	0.0689841	0.379767	0.0994082	0.977613	0.41941	0.381222	0.618654	6.07981	0	1.85829	1.3699	0.488395	0	1.59449	7.64685	0.793359	0.461267	0.999876	1.39702	1	0	1	0.53426	1	0.63299	1.8728	0.985	1.67	0.479175	0.479235
80	0	0	0	80	0	0	0.039996	6.09288	0	0	0.0703451	2.39652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.673995	0.403271	0.0715136	0.393234	0.135217	0.966449	0.431631	0.383091	0.568486	6.03564	0	1.87286	1.36972	0.503144	0	1.59037	7.64326	0.774048	0.474785	0.951576	1.39808	1	0	1	0.532054	1	0.634017	1.8728	0.985	1.67	0.528451	0.555342
81	0	0	0	81	0	0	0.0397947	6.09472	0	0	0.0646189	2.27578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.526904	0.410314	0.0737069	0.4122	0.169054	0.933787	0.43961	0.387499	0.51692	5.9643	0	1.85742	1.3441	0.513317	0	1.59009	7.64501	0.750593	0.484021	0.904419	1.3734	1	0	1	0.529333	1	0.635088	1.8728	0.985	1.67	0.581255	0.642683
82	0	0	0	82	0	0	0.0395654	6.09794	0	0	0.0590361	2.14076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.393048	0.41246	0.0753391	0.434234	0.193906	0.882978	0.44229	0.394197	0.473132	5.87065	0	1.81307	1.29544	0.517629	0	1.59407	7.65244	0.726074	0.487799	0.867329	1.32527	1	0	1	0.526494	1	0.636025	1.8728	0.985	1.67	0.62814	0.724223
83	0	0	0	83	0	0	0.0393434	6.10222	0	0	0.0545153	2.00569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.293281	0.409412	0.0762298	0.456126	0.205772	0.821155	0.439301	0.402446	0.443835	5.76285	0	1.7461	1.23057	0.515531	0	1.60204	7.66492	0.704123	0.485642	0.846281	1.26046	1	0	1	0.524	1	0.636674	1.8728	0.985	1.67	0.661898	0.782126
84	0	0	0	84	0	0	0.0391626	6.10709	0	0	0.051682	1.88336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.232762	0.401596	0.0762815	0.474874	0.204187	0.756349	0.431054	0.4112	0.431951	5.65084	0	1.66528	1.15794	0.507336	0	1.61306	7.68098	0.68782	0.477877	0.843151	1.1874	1	0	1	0.522228	1	0.636952	1.8728	0.985	1.67	0.679061	0.805385
85	0	0	0	85	0	0	0.0390458	6.11196	0	0	0.0507841	1.78244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.207099	0.38997	0.0754971	0.48831	0.191095	0.6951	0.418554	0.419355	0.437188	5.54398	0	1.57912	1.08507	0.494051	0	1.62578	7.69869	0.679068	0.465467	0.856543	1.11365	1	0	1	0.521378	1	0.636849	1.8728	0.985	1.67	0.679405	0.793194
86	0	0	0	86	0	0	0.0390022	6.11631	0	0	0.0517415	1.7084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.211095	0.37576	0.0739694	0.495309	0.169781	0.641948	0.40312	0.425972	0.45692	5.44982	0	1.4948	1.01771	0.477089	0	1.63873	7.71603	0.678443	0.449729	0.882892	1.04507	1	0	1	0.521477	1	0.636414	1.8728	0.985	1.67	0.66509	0.753309
87	0	0	0	87	0	0	0.0390294	6.1197	0	0	0.0542251	1.66566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.242304	0.360264	0.0718569	0.495777	0.144135	0.600076	0.386173	0.43041	0.486959	5.3742	0	1.41837	0.960341	0.45803	0	1.65054	7.73121	0.685319	0.432121	0.917369	0.98625	1	0	1	0.52241	1	0.635729	1.8728	0.985	1.67	0.639912	0.697552
88	0	0	0	88	0	0	0.0391156	6.12188	0	0	0.0577542	1.65902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.299835	0.344767	0.0693577	0.490479	0.11786	0.571976	0.369132	0.432385	0.522532	5.32214	0	1.35523	0.916743	0.438489	0	1.66013	7.74289	0.698147	0.414125	0.954917	0.941107	1	0	1	0.523967	1	0.634899	1.8728	0.985	1.67	0.608339	0.637059
89	0	0	0	89	0	0	0.0392437	6.12272	0	0	0.061813	1.6931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.381221	0.330496	0.0666898	0.480721	0.0937097	0.559563	0.353355	0.431955	0.559363	5.29849	0	1.3101	0.89006	0.420045	0	1.66681	7.75028	0.714885	0.397186	0.991317	0.912919	1	0	1	0.525894	1	0.634025	1.8728	0.985	1.67	0.574431	0.579462
90	0	0	0	90	0	0	0.0393954	6.12228	0	0	0.065956	1.7697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.480226	0.318575	0.064076	0.467988	0.0731716	0.563781	0.34009	0.429432	0.594334	5.30761	0	1.28652	0.882356	0.404166	0	1.67028	7.75316	0.733462	0.382651	1.02377	0.903871	1	0	1	0.527954	1	0.633188	1.8728	0.985	1.67	0.54116	0.528597
91	0	0	0	91	0	0	0.0395547	6.12069	0	0	0.069862	1.88461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.58732	0.309937	0.0617291	0.453644	0.0566717	0.58411	0.330377	0.425278	0.625568	5.35204	0	1.28615	0.894047	0.392106	0	1.67058	7.75172	0.752102	0.371666	1.05085	0.914487	1	0	1	0.529959	1	0.632447	1.8728	0.985	1.67	0.510316	0.485624
92	0	0	0	92	0	0	0.0397097	6.11819	0	0	0.0733359	2.02622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.69226	0.305228	0.0598367	0.43879	0.0440044	0.618459	0.324944	0.419995	0.652146	5.43052	0	1.30847	0.923688	0.384781	0	1.66798	7.74646	0.769487	0.365065	1.07214	0.943403	1	0	1	0.531787	1	0.631835	1.8728	0.985	1.67	0.482795	0.450309
93	0	0	0	93	0	0	0.0398527	6.11501	0	0	0.0762789	2.17736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.786681	0.304745	0.0585445	0.424237	0.0347286	0.66354	0.32414	0.414051	0.673741	5.53664	0	1.35097	0.968284	0.382684	0	1.66289	7.73804	0.784748	0.363289	1.08779	0.987679	1	0	1	0.53337	1	0.631367	1.8728	0.985	1.67	0.458965	0.421924
94	0	0	0	94	0	0	0.039979	6.1114	0	0	0.0786518	2.31984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.86523	0.308424	0.0579451	0.410558	0.0284436	0.715494	0.327919	0.407848	0.690289	5.65913	0	1.40978	1.02392	0.385864	0	1.65577	7.72719	0.797384	0.366369	1.09814	1.04341	1	0	1	0.534675	1	0.631048	1.8728	0.985	1.67	0.439002	0.399769
95	0	0	0	95	0	0	0.0400857	6.1076	0	0	0.0804396	2.43903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.925197	0.315893	0.0580725	0.398179	0.0249819	0.770472	0.335891	0.40171	0.701712	5.784	0	1.48033	1.08637	0.393964	0	1.64711	7.71462	0.807134	0.373966	1.10342	1.10636	1	0	1	0.535691	1	0.630876	1.8728	0.985	1.67	0.423161	0.383498
96	0	0	0	96	0	0	0.0401707	6.10381	0	0	0.0816184	2.52629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.965274	0.326546	0.0589047	0.38748	0.0245859	0.824951	0.347403	0.395901	0.707633	5.89772	0	1.55781	1.1515	0.406308	0	1.63739	7.70103	0.813837	0.385451	1.10353	1.17235	1	0	1	0.536408	1	0.630847	1.8728	0.985	1.67	0.412066	0.373406
97	0	0	0	97	0	0	0.0402314	6.10024	0	0	0.0821208	2.5787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.984022	0.339615	0.0603713	0.378926	0.0281014	0.875764	0.361617	0.390659	0.707064	5.98989	0	1.63737	1.21538	0.421989	0	1.6271	7.68712	0.817286	0.399986	1.09772	1.23738	1	0	1	0.536803	1	0.630967	1.8728	0.985	1.67	0.407028	0.370793
98	0	0	0	98	0	0	0.0402632	6.09709	0	0	0.081802	2.59687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.978402	0.35422	0.062363	0.373207	0.0371092	0.919864	0.37757	0.386238	0.698154	6.05438	0	1.71402	1.27408	0.439933	0	1.61677	7.6736	0.817066	0.416583	1.08439	1.29743	1	0	1	0.536819	1	0.631251	1.8728	0.985	1.67	0.410317	0.378384
99	0	0	0	99	0	0	0.0402582	6.09458	0	0	0.0804263	2.5825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.942928	0.369381	0.0647402	0.371345	0.053682	0.953928	0.394184	0.382964	0.678346	6.08871	0	1.78223	1.32331	0.458924	0	1.60702	7.66134	0.812455	0.434121	1.06131	1.34811	1	0	1	0.536357	1	0.63173	1.8728	0.985	1.67	0.425027	0.400474
100	0	0	0	100	0	0	0.0402058	6.09295	0	0	0.0777246	2.5366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.870894	0.38399	0.0673363	0.374616	0.0792526	0.974032	0.410253	0.381265	0.645562	6.09259	0	1.83561	1.35802	0.477589	0	1.59863	7.65137	0.80254	0.451327	1.02683	1.38428	1	0	1	0.535286	1	0.632435	1.8728	0.985	1.67	0.453868	0.44201
