Time	[L_WCC]	[L_WCCVVDn]	[Period]	[T]	[VVDc]	[VVDn]	[WC1c]	[WC2c]	[X]	[Y]	[active_hypoWCCn]	[c_hypoFRQ_to_hyperFRQ]	[cycle]	[degraded_L_WCCCVVDn]	[degraded_VVDc]	[degraded_VVDn]	[degraded_WC1c]	[degraded_WC2c]	[degraded_active_hypoWCCn]	[degraded_frq_mRNA]	[degraded_hyperFFCn]	[degraded_hyperFRQc]	[degraded_hyperWCCc]	[degraded_hyperWCCn]	[degraded_vvd_mRNA]	[degraded_wc1_mRNA]	[degraded_wc2_mRNA]	[frq_gene]	[frq_level_A]	[frq_mRNA]	[hyperFRQc]	[hyperFRQn]	[hyperWCCc]	[hyperWCCn]	[hypoFRQc]	[hypoFRQn]	[hypoWCCc]	[hypoWCCn]	[n_hypoFRQ_to_hyperFRQ]	[time]	[total_FRQ]	[total_FRQc]	[total_FRQn]	[total_VVD]	[total_WC1]	[total_WC2]	[total_WCCn]	[total_hyper_FRQ]	[total_hypoWCC]	[total_hypo_FRQ]	[vvd_gene]	[vvd_mRNA]	[wc1_gene]	[wc1_mRNA]	[wc2_gene]	[wc2_mRNA]	[line]	[line2]	[line3]	[total_hyperWCC]	[hyper_hypo_WCC]
11	0	0	0	11	0	0	0.0402513	6.09862	0	0	0.0820802	2.59205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.98464	0.346753	0.0613039	0.375667	0.0317678	0.8988	0.369406	0.388338	0.703843	6.02581	0	1.67626	1.24555	0.43071	0	1.62195	7.68031	0.817691	0.408056	1.09218	1.26821	1	0	1	0.536865	1	0.631085	1.8728	0.985	1.67	0.407435	0.373047
12	0	0	0	12	0	0	0.040266	6.09575	0	0	0.081269	2.59381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.964975	0.361768	0.0635075	0.371719	0.0442864	0.938358	0.385834	0.38444	0.689836	6.07542	0	1.74947	1.30013	0.449342	0	1.61182	7.6673	0.815391	0.425276	1.07428	1.32419	1	0	1	0.536658	1	0.631463	1.8728	0.985	1.67	0.416005	0.387242
13	0	0	0	13	0	0	0.0402389	6.09364	0	0	0.0792626	2.56366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.912046	0.376806	0.0660168	0.37225	0.0652813	0.966002	0.402342	0.38189	0.663705	6.09454	0	1.81117	1.34281	0.468359	0	1.60263	7.65603	0.808249	0.442822	1.0456	1.36834	1	0	1	0.535909	1	0.632052	1.8728	0.985	1.67	0.437532	0.418452
14	0	0	0	14	0	0	0.0401586	6.09256	0	0	0.0758349	2.50216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.820212	0.390684	0.0686524	0.378519	0.095128	0.977555	0.417642	0.381159	0.624453	6.08342	0	1.85453	1.36824	0.486294	0	1.59525	7.64765	0.795416	0.459336	1.00561	1.3952	1	0	1	0.534491	1	0.632871	1.8728	0.985	1.67	0.473647	0.471003
15	0	0	0	15	0	0	0.040018	6.09276	0	0	0.0710298	2.4102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.692057	0.402085	0.0712084	0.391195	0.130656	0.969105	0.430303	0.382715	0.575087	6.04286	0	1.8727	1.37119	0.501511	0	1.5907	7.64344	0.776773	0.473293	0.957802	1.39941	1	0	1	0.532367	1	0.633881	1.8728	0.985	1.67	0.521851	0.544842
16	0	0	0	16	0	0	0.0398223	6.09441	0	0	0.0653536	2.29213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.545319	0.409691	0.0734575	0.409579	0.165176	0.939065	0.438889	0.386807	0.523161	5.97473	0	1.8611	1.34876	0.512347	0	1.5899	7.64449	0.75369	0.483148	0.909967	1.37795	1	0	1	0.529693	1	0.634957	1.8728	0.985	1.67	0.574754	0.631621
17	0	0	0	17	0	0	0.0395946	6.09747	0	0	0.059697	2.15812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.408303	0.412488	0.0751723	0.431402	0.191467	0.890198	0.442276	0.393248	0.477934	5.88349	0	1.82013	1.30269	0.517448	0	1.59334	7.65122	0.729098	0.48766	0.871182	1.33247	1	0	1	0.526841	1	0.635921	1.8728	0.985	1.67	0.622869	0.71497
18	0	0	0	18	0	0	0.0393697	6.10164	0	0	0.0549987	2.02225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.303624	0.410086	0.0761643	0.453495	0.205066	0.829297	0.439995	0.401357	0.446562	5.77693	0	1.75554	1.23938	0.51616	0	1.60085	7.66312	0.706627	0.48625	0.84792	1.26929	1	0	1	0.52428	1	0.636612	1.8728	0.985	1.67	0.658561	0.776679
19	0	0	0	19	0	0	0.0391821	6.10646	0	0	0.0519304	1.89772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.238288	0.402825	0.0763239	0.472785	0.205108	0.764451	0.432365	0.410111	0.432437	5.66487	0	1.67597	1.16728	0.508689	0	1.61155	7.67883	0.689475	0.479149	0.842548	1.19682	1	0	1	0.522401	1	0.636939	1.8728	0.985	1.67	0.677893	0.804575
20	0	0	0	20	0	0	0.0390564	6.11137	0	0	0.0507864	1.79374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.208554	0.391614	0.0756415	0.486978	0.193305	0.702454	0.420331	0.418401	0.435617	5.55689	0	1.59004	1.09407	0.495973	0	1.62414	7.69645	0.679709	0.467255	0.854018	1.12279	1	0	1	0.52143	1	0.636883	1.8728	0.985	1.67	0.680282	0.796567
21	0	0	0	21	0	0	0.0390035	6.11581	0	0	0.0515235	1.71605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.209001	0.377656	0.0741998	0.494817	0.172815	0.648076	0.405187	0.425256	0.453731	5.46076	0	1.50512	1.02573	0.479387	0	1.63715	7.71395	0.67807	0.451856	0.878986	1.05326	1	0	1	0.521413	1	0.636485	1.8728	0.985	1.67	0.667632	0.759547
22	0	0	0	22	0	0	0.0390222	6.11934	0	0	0.0538394	1.66909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.236829	0.362249	0.0721504	0.496083	0.147494	0.604625	0.388349	0.429993	0.482736	5.3825	0	1.42737	0.966874	0.4605	0	1.64917	7.72949	0.68407	0.434399	0.912729	0.992974	1	0	1	0.522251	1	0.635826	1.8728	0.985	1.67	0.643577	0.705113
23	0	0	0	23	0	0	0.0391019	6.12168	0	0	0.0572662	1.65761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.291113	0.34668	0.0696878	0.491447	0.121116	0.57466	0.37124	0.432283	0.517873	5.32719	0	1.36227	0.92134	0.440928	0	1.65909	7.74167	0.696256	0.416368	0.950156	0.9459	1	0	1	0.523743	1	0.635009	1.8728	0.985	1.67	0.612563	0.644697
24	0	0	0	24	0	0	0.0392257	6.1227	0	0	0.0612858	1.68635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.369754	0.332187	0.0670285	0.482169	0.0965852	0.560185	0.355229	0.432143	0.554751	5.29968	0	1.31463	0.892372	0.422258	0	1.66616	7.74963	0.712622	0.399215	0.986894	0.915414	1	0	1	0.525638	1	0.634135	1.8728	0.985	1.67	0.578754	0.58644
25	0	0	0	25	0	0	0.0393754	6.12241	0	0	0.0654393	1.75767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.467025	0.31991	0.0643952	0.469729	0.0755464	0.562296	0.341582	0.429861	0.59009	5.30446	0	1.28818	0.882206	0.405977	0	1.67004	7.75307	0.731076	0.384305	1.01995	0.903877	1	0	1	0.527693	1	0.63329	1.8728	0.985	1.67	0.545275	0.534609
26	0	0	0	26	0	0	0.0395345	6.12095	0	0	0.0693891	1.86825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.573692	0.310813	0.0620032	0.455519	0.0585368	0.580676	0.33137	0.425884	0.621868	5.34441	0	1.28486	0.891489	0.393373	0	1.67073	7.75215	0.749794	0.372816	1.04775	0.912046	1	0	1	0.529713	1	0.632534	1.8728	0.985	1.67	0.514056	0.490627
27	0	0	0	27	0	0	0.0396906	6.11855	0	0	0.0729252	2.00738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.67944	0.305583	0.0600439	0.440677	0.0454067	0.613421	0.325368	0.420716	0.649065	5.41883	0	1.30442	0.919004	0.385412	0	1.66848	7.74734	0.767397	0.365627	1.06978	0.938788	1	0	1	0.531569	1	0.631904	1.8728	0.985	1.67	0.486083	0.454377
28	0	0	0	28	0	0	0.0398355	6.11544	0	0	0.0759387	2.15838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.775564	0.304561	0.0586693	0.426047	0.0357266	0.657359	0.323973	0.414831	0.671298	5.52202	0	1.34456	0.96192	0.382642	0	1.66368	7.73928	0.782963	0.363231	1.08613	0.981332	1	0	1	0.533185	1	0.631418	1.8728	0.985	1.67	0.461774	0.425156
29	0	0	0	29	0	0	0.0399641	6.11188	0	0	0.0783849	2.3029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.856324	0.307729	0.0579791	0.41223	0.0290786	0.708669	0.327188	0.40864	0.688487	5.64321	0	1.40157	1.0164	0.385167	0	1.65679	7.7287	0.795951	0.365709	1.09713	1.03586	1	0	1	0.534526	1	0.63108	1.8728	0.985	1.67	0.441309	0.40224
30	0	0	0	30	0	0	0.0400734	6.10808	0	0	0.0802477	2.42566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.918734	0.31475	0.0580148	0.399664	0.0252563	0.763476	0.334663	0.402477	0.700572	5.76859	0	1.4709	1.07823	0.392678	0	1.64829	7.7163	0.806076	0.372765	1.10305	1.09814	1	0	1	0.53558	1	0.630889	1.8728	0.985	1.67	0.424921	0.385224
31	0	0	0	31	0	0	0.0401613	6.10428	0	0	0.0815062	2.51723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.961391	0.325042	0.0587609	0.388729	0.0244398	0.818206	0.345772	0.396613	0.707228	5.88439	0	1.54778	1.14325	0.404533	0	1.63868	7.7028	0.813174	0.383803	1.10384	1.16398	1	0	1	0.536335	1	0.630842	1.8728	0.985	1.67	0.413169	0.374301
32	0	0	0	32	0	0	0.0402253	6.10068	0	0	0.0821003	2.57407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.982962	0.337853	0.0601528	0.37987	0.0273883	0.869657	0.359698	0.391284	0.707564	5.97973	0	1.62736	1.20751	0.419851	0	1.62843	7.68889	0.817053	0.398006	1.09885	1.22935	1	0	1	0.536773	1	0.630943	1.8728	0.985	1.67	0.407259	0.370623
33	0	0	0	33	0	0	0.0402611	6.09746	0	0	0.0818967	2.59648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.980676	0.352319	0.0620856	0.373742	0.0355908	0.914786	0.375489	0.386743	0.699842	6.04793	0	1.70468	1.2671	0.437575	0	1.61808	7.67528	0.817329	0.414404	1.08658	1.29028	1	0	1	0.536842	1	0.631205	1.8728	0.985	1.67	0.409333	0.376716
34	0	0	0	34	0	0	0.0402613	6.09485	0	0	0.08067	2.58614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.949354	0.36747	0.064423	0.371324	0.0510981	0.950327	0.392086	0.383302	0.681555	6.08612	0	1.77431	1.3178	0.456509	0	1.60821	7.6628	0.813323	0.431893	1.06486	1.34241	1	0	1	0.536447	1	0.631657	1.8728	0.985	1.67	0.422422	0.396694
35	0	0	0	35	0	0	0.0402155	6.0931	0	0	0.078148	2.5442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.882246	0.382217	0.0670019	0.373875	0.0755256	0.972437	0.408299	0.381376	0.650451	6.09383	0	1.82995	1.35465	0.475301	0	1.59959	7.65247	0.804125	0.449219	1.03183	1.38074	1	0	1	0.53546	1	0.632333	1.8728	0.985	1.67	0.4494	0.435538
36	0	0	0	36	0	0	0.040113	6.09247	0	0	0.074176	2.47106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.775755	0.395323	0.0696329	0.382528	0.108097	0.976869	0.422779	0.381455	0.606787	6.07155	0	1.86461	1.37219	0.492412	0	1.59316	7.64551	0.78906	0.464956	0.988242	1.39965	1	0	1	0.533773	1	0.633233	1.8728	0.985	1.67	0.490625	0.496463
