Time	[A]	[R]	[E]	[G]	[A_im]
0	1	0	0	1e+08	0
1	2.53285	484.169	2210.41	1.38114e+06	0
2	1.76465	836.602	3577.61	1.35095e+06	0
3	1.35672	1006.86	4140.06	1.6226e+06	0
4	1.14031	1076.59	4315.46	1.71716e+06	0
5	1.01722	1093.48	4308.45	1.72582e+06	0
6	0.939964	1082.88	4217.55	1.69468e+06	0
7	0.885596	1057.97	4090.09	1.64592e+06	0
8	0.843	1025.68	3948.69	1.59016e+06	0
9	0.806774	989.745	3804.09	1.53245e+06	0
10	0.774277	952.237	3661.27	1.47513e+06	0
11	0.744203	914.353	3522.47	1.41928e+06	0
12	0.715892	876.81	3388.61	1.36536e+06	0
13	0.688995	840.046	3259.98	1.31351e+06	0
14	0.663319	804.331	3136.58	1.26376e+06	0
15	0.638745	769.828	3018.27	1.21606e+06	0
16	0.615192	736.63	2904.87	1.17033e+06	0
17	0.592597	704.784	2796.15	1.12649e+06	0
18	0.570909	674.301	2691.91	1.08447e+06	0
19	0.550085	645.17	2591.95	1.04416e+06	0
20	0.530083	617.365	2496.05	1.0055e+06	0
21	0.510865	590.847	2404.03	968403	0
22	0.492397	565.572	2315.71	932800	0
23	0.474645	541.491	2230.91	898621	0
24	0.457578	518.552	2149.49	865801	0
25	0.441166	496.703	2071.28	834279	0
26	0.425381	475.891	1996.13	803995	0
27	0.410197	456.065	1923.93	774894	0
28	0.395588	437.175	1854.52	746925	0
29	0.381529	419.173	1787.8	720038	0
30	0.367999	402.013	1723.64	694185	0
31	0.354975	385.65	1661.94	669322	0
32	0.342436	370.042	1602.59	645408	0
33	0.330363	355.151	1545.49	622401	0
34	0.318737	340.938	1490.54	600263	0
35	0.307539	327.368	1437.66	578958	0
36	0.296753	314.407	1386.76	558452	0
37	0.286362	302.024	1337.76	538711	0
38	0.276351	290.189	1290.58	519705	0
39	0.266704	278.874	1245.15	501403	0
40	0.257408	268.052	1201.39	483777	0
41	0.248448	257.699	1159.25	466799	0
42	0.239812	247.79	1118.64	450445	0
43	0.231487	238.305	1079.53	434688	0
44	0.223461	229.222	1041.84	419506	0
45	0.215723	220.522	1005.51	404877	0
46	0.208261	212.185	970.507	390777	0
47	0.201066	204.196	936.765	377187	0
48	0.194127	196.536	904.24	364088	0
49	0.187435	189.191	872.885	351459	0
50	0.18098	182.145	842.653	339284	0
51	0.174753	175.386	813.504	327544	0
52	0.168746	168.899	785.394	316224	0
53	0.162951	162.672	758.286	305307	0
54	0.15736	156.694	732.142	294778	0
55	0.151966	150.952	706.924	284623	0
56	0.14676	145.438	682.6	274828	0
57	0.141737	140.14	659.134	265378	0
58	0.13689	135.049	636.497	256262	0
59	0.132212	130.157	614.656	247467	0
60	0.127697	125.454	593.583	238981	0
61	0.123339	120.932	573.25	230794	0
62	0.119133	116.584	553.628	222893	0
63	0.115073	112.402	534.693	215268	0
64	0.111154	108.379	516.42	207910	0
65	0.10737	104.508	498.783	200808	0
66	0.103717	100.784	481.76	193954	0
67	0.100191	97.2	465.33	187338	0
68	0.0967861	93.7503	449.47	180953	0
69	0.0934988	90.4295	434.16	174788	0
70	0.0903248	87.2324	419.381	168838	0
71	0.0872601	84.1538	405.113	163093	0
72	0.0843007	81.1891	391.338	157547	0
73	0.081443	78.3337	378.039	152192	0
74	0.0786834	75.5833	365.199	147022	0
75	0.0760184	72.9336	352.801	142031	0
76	0.0734448	70.3807	340.83	137211	0
77	0.0709592	67.9209	329.271	132557	0
78	0.0685587	65.5504	318.108	128063	0
79	0.0662403	63.2659	307.329	123723	0
80	0.0640011	61.064	296.92	119532	0
81	0.0618383	58.9414	286.867	115485	0
82	0.0597493	56.8952	277.159	111576	0
83	0.0577316	54.9225	267.783	107801	0
84	0.0557825	53.0204	258.727	104155	0
85	0.0538999	51.1862	249.98	100634	0
86	0.0520813	49.4175	241.533	97233	0
87	0.0503246	47.7117	233.373	93948.1	0
88	0.0486276	46.0665	225.492	90775.1	0
89	0.0469882	44.4796	217.879	87710.3	0
90	0.0454045	42.9489	210.526	84749.9	0
91	0.0438746	41.4722	203.423	81890.2	0
92	0.0423966	40.0476	196.561	79127.8	0
93	0.0409687	38.6731	189.933	76459.4	0
94	0.0395892	37.3469	183.529	73881.6	0
95	0.0382564	36.0673	177.344	71391.3	0
96	0.0369687	34.8324	171.368	68985.6	0
97	0.0357247	33.6407	165.595	66661.5	0
98	0.0345227	32.4907	160.018	64416.2	0
99	0.0333614	31.3808	154.629	62247	0
100	0.0322394	30.3095	149.424	60151.4	0
