Time	[Cold]	[Salt]	[Drought]	[H2O2]	[Heavy Metal]	[Ethylene]	[RLKs]	[LRR]	[CRKs]	[LecRK2]	[ETR1]	[ETR2]	[MAPKKK]	[MAPKKK]	[MAPKKK1]	[CTR1]	[MAPKK]	[MAPKK]	[MAPK]	[MAPK]	[MAPKK1]	[MAPKK2]	[MAPKK3]	[MAPKK4]	[MAPKK5]	[MAPKK6]	[MAPKK7]	[MAPKK9]	[MAPK2]	[MAPK3]	[MAPK4]	[MAPK6]	[WRKY1]	[WRKY1]	[WRKY12]	[WRKY12]	[WRKY8]	[WRKY8]	[WRKY25]	[WRKY25]	[WRKY22]	[WRKY22]	[WRKY29]	[WRKY29]	[WRKY33]	[WRKY33]	[WRKY28]	[WRKY28]	[MYB2]	[MYB2]	[MYB4]	[MYB4]	[MYB44]	[NAC]	[bZIP]	[AP2]	[Response]
10	0.921006	0.924835	0.923615	0.921006	0.921006	0.969792	0.938721	0.927149	0.92593	0.950755	0.985812	0.985812	0.946531	0.946531	1.02906	1.01333	1.04225	1.04225	1.13689	1.13689	1.0547	1.12496	1.08276	1.08276	1.08276	1.08276	1.08276	1.08528	1.2007	1.15906	1.17865	1.17068	1.19703	1.19703	1.17615	1.17615	1.21037	1.21037	1.19436	1.19436	1.18013	1.18013	1.18013	1.18013	1.18439	1.18439	1.17615	1.17615	1.19935	1.19935	1.19935	1.19935	1.19665	1.19665	1.19665	1.19665	1.19895
11	0.9379	0.941347	0.940243	0.9379	0.9379	0.982212	0.954	0.943446	0.942342	0.964902	0.996792	0.996792	0.961091	0.961091	1.03618	1.02185	1.04832	1.04832	1.13414	1.13414	1.05963	1.12322	1.08534	1.08534	1.08534	1.08534	1.08534	1.08726	1.19181	1.15408	1.17184	1.16461	1.18848	1.18848	1.16956	1.16956	1.20058	1.20058	1.18607	1.18607	1.17316	1.17316	1.17316	1.17316	1.17703	1.17703	1.16956	1.16956	1.19052	1.19052	1.19052	1.19052	1.18811	1.18811	1.18811	1.18811	1.19019
12	0.953256	0.956375	0.955373	0.953256	0.953256	0.993524	0.967891	0.958282	0.957281	0.977787	1.00679	1.00679	0.974337	0.974337	1.04262	1.02958	1.05376	1.05376	1.1316	1.1316	1.06403	1.12162	1.08755	1.08755	1.08755	1.08755	1.08755	1.08903	1.18376	1.14957	1.16566	1.15911	1.18074	1.18074	1.16359	1.16359	1.1917	1.1917	1.17855	1.17855	1.16685	1.16685	1.16685	1.16685	1.17036	1.17036	1.16359	1.16359	1.18256	1.18256	1.18256	1.18256	1.18039	1.18039	1.18039	1.18039	1.18227
13	0.967215	0.970045	0.969135	0.967215	0.967215	1.00382	0.980518	0.97178	0.970869	0.98951	1.01587	1.01587	0.986381	0.986381	1.04845	1.03659	1.05865	1.05865	1.12927	1.12927	1.06798	1.12015	1.08947	1.08947	1.08947	1.08947	1.08947	1.09061	1.17645	1.14547	1.16006	1.15412	1.17372	1.17372	1.15818	1.15818	1.18365	1.18365	1.17173	1.17173	1.16113	1.16113	1.16113	1.16113	1.16432	1.16432	1.15818	1.15818	1.17536	1.17536	1.17536	1.17536	1.1734	1.1734	1.1734	1.1734	1.1751
14	0.979902	0.982474	0.981646	0.979902	0.979902	1.01317	0.991993	0.984052	0.983224	1.00017	1.02413	1.02413	0.997327	0.997327	1.05373	1.04296	1.06306	1.06306	1.12712	1.12712	1.07153	1.11881	1.09113	1.09113	1.09113	1.09113	1.09113	1.09202	1.16984	1.14176	1.15498	1.1496	1.16736	1.16736	1.15327	1.15327	1.17635	1.17635	1.16555	1.16555	1.15594	1.15594	1.15594	1.15594	1.15884	1.15884	1.15327	1.15327	1.16884	1.16884	1.16884	1.16884	1.16707	1.16707	1.16707	1.16707	1.16861
15	0.991432	0.993771	0.993018	0.991432	0.991432	1.02168	1.00242	0.995207	0.994453	1.00986	1.03163	1.03163	1.00727	1.00727	1.05852	1.04874	1.06704	1.06704	1.12515	1.12515	1.07472	1.11758	1.09259	1.09259	1.09259	1.09259	1.09259	1.09329	1.16384	1.13838	1.15037	1.1455	1.16159	1.16159	1.14882	1.14882	1.16974	1.16974	1.15995	1.15995	1.15124	1.15124	1.15124	1.15124	1.15387	1.15387	1.14882	1.14882	1.16294	1.16294	1.16294	1.16294	1.16133	1.16133	1.16133	1.16133	1.16272
16	1.00191	1.00404	1.00335	1.00191	1.00191	1.0294	1.01189	1.00534	1.00466	1.01866	1.03845	1.03845	1.01631	1.01631	1.06285	1.05398	1.07063	1.07063	1.12335	1.12335	1.0776	1.11646	1.09387	1.09387	1.09387	1.09387	1.09387	1.09443	1.1584	1.13532	1.14619	1.14177	1.15636	1.15636	1.14479	1.14479	1.16375	1.16375	1.15488	1.15488	1.14698	1.14698	1.14698	1.14698	1.14936	1.14936	1.14479	1.14479	1.15758	1.15758	1.15758	1.15758	1.15613	1.15613	1.15613	1.15613	1.15739
17	1.01143	1.01336	1.01274	1.01143	1.01143	1.03641	1.0205	1.01455	1.01393	1.02665	1.04463	1.04463	1.02451	1.02451	1.06678	1.05873	1.07387	1.07387	1.12171	1.12171	1.0802	1.11543	1.09501	1.09501	1.09501	1.09501	1.09501	1.09546	1.15347	1.13255	1.1424	1.13839	1.15162	1.15162	1.14113	1.14113	1.15832	1.15832	1.15028	1.15028	1.14312	1.14312	1.14312	1.14312	1.14528	1.14528	1.14113	1.14113	1.15273	1.15273	1.15273	1.15273	1.15141	1.15141	1.15141	1.15141	1.15255
18	1.02008	1.02184	1.02127	1.02008	1.02008	1.04278	1.02831	1.02292	1.02235	1.03391	1.05024	1.05024	1.03196	1.03196	1.07035	1.06305	1.0768	1.0768	1.12021	1.12021	1.08254	1.1145	1.09602	1.09602	1.09602	1.09602	1.09602	1.09639	1.149	1.13002	1.13896	1.13533	1.14732	1.14732	1.13781	1.13781	1.1534	1.1534	1.14611	1.14611	1.13961	1.13961	1.13961	1.13961	1.14157	1.14157	1.13781	1.13781	1.14833	1.14833	1.14833	1.14833	1.14713	1.14713	1.14713	1.14713	1.14817
19	1.02793	1.02953	1.02902	1.02793	1.02793	1.04856	1.03541	1.03051	1.03	1.0405	1.05533	1.05533	1.03873	1.03873	1.07358	1.06696	1.07946	1.07946	1.11885	1.11885	1.08467	1.11366	1.09692	1.09692	1.09692	1.09692	1.09692	1.09722	1.14495	1.12773	1.13584	1.13255	1.14343	1.14343	1.1348	1.1348	1.14894	1.14894	1.14232	1.14232	1.13643	1.13643	1.13643	1.13643	1.13821	1.13821	1.1348	1.1348	1.14434	1.14434	1.14434	1.14434	1.14326	1.14326	1.14326	1.14326	1.14419
20	1.03506	1.03652	1.03605	1.03506	1.03506	1.0538	1.04186	1.03741	1.03694	1.04649	1.05995	1.05995	1.04487	1.04487	1.07652	1.07051	1.08186	1.08186	1.1176	1.1176	1.08659	1.11289	1.09772	1.09772	1.09772	1.09772	1.09772	1.09798	1.14127	1.12566	1.13301	1.13002	1.13989	1.13989	1.13207	1.13207	1.14489	1.14489	1.13889	1.13889	1.13355	1.13355	1.13355	1.13355	1.13516	1.13516	1.13207	1.13207	1.14072	1.14072	1.14072	1.14072	1.13974	1.13974	1.13974	1.13974	1.14059
21	1.04154	1.04286	1.04244	1.04154	1.04154	1.05856	1.04771	1.04368	1.04325	1.05192	1.06415	1.06415	1.05045	1.05045	1.07918	1.07373	1.08404	1.08404	1.11647	1.11647	1.08833	1.11218	1.09845	1.09845	1.09845	1.09845	1.09845	1.09866	1.13794	1.12377	1.13044	1.12773	1.13669	1.13669	1.12959	1.12959	1.14122	1.14122	1.13578	1.13578	1.13093	1.13093	1.13093	1.13093	1.13239	1.13239	1.12959	1.12959	1.13744	1.13744	1.13744	1.13744	1.13655	1.13655	1.13655	1.13655	1.13732
22	1.04742	1.04863	1.04824	1.04742	1.04742	1.06288	1.05303	1.04936	1.04898	1.05685	1.06795	1.06795	1.05552	1.05552	1.08159	1.07665	1.08601	1.08601	1.11544	1.11544	1.0899	1.11155	1.09909	1.09909	1.09909	1.09909	1.09909	1.09928	1.13491	1.12206	1.12811	1.12565	1.13378	1.13378	1.12734	1.12734	1.13789	1.13789	1.13295	1.13295	1.12856	1.12856	1.12856	1.12856	1.12988	1.12988	1.12734	1.12734	1.13446	1.13446	1.13446	1.13446	1.13365	1.13365	1.13365	1.13365	1.13435
23	1.05276	1.05386	1.0535	1.05276	1.05276	1.0668	1.05785	1.05452	1.05417	1.06133	1.0714	1.0714	1.06011	1.06011	1.08378	1.0793	1.0878	1.0878	1.11451	1.11451	1.09133	1.11097	1.09968	1.09968	1.09968	1.09968	1.09968	1.09984	1.13217	1.12051	1.126	1.12377	1.13114	1.13114	1.12529	1.12529	1.13487	1.13487	1.13039	1.13039	1.1264	1.1264	1.1264	1.1264	1.1276	1.1276	1.12529	1.12529	1.13176	1.13176	1.13176	1.13176	1.13102	1.13102	1.13102	1.13102	1.13166
24	1.05761	1.0586	1.05828	1.05761	1.05761	1.07036	1.06223	1.05921	1.05889	1.06539	1.07454	1.07454	1.06428	1.06428	1.08577	1.0817	1.08942	1.08942	1.11366	1.11366	1.09262	1.11044	1.10021	1.10021	1.10021	1.10021	1.10021	1.10034	1.12968	1.1191	1.12408	1.12206	1.12874	1.12874	1.12344	1.12344	1.13213	1.13213	1.12806	1.12806	1.12445	1.12445	1.12445	1.12445	1.12554	1.12554	1.12344	1.12344	1.12931	1.12931	1.12931	1.12931	1.12864	1.12864	1.12864	1.12864	1.12922
25	1.06201	1.06291	1.06262	1.06201	1.06201	1.07359	1.0662	1.06347	1.06318	1.06907	1.07738	1.07738	1.06807	1.06807	1.08757	1.08388	1.09089	1.09089	1.11288	1.11288	1.09379	1.10996	1.10068	1.10068	1.10068	1.10068	1.10068	1.1008	1.12742	1.11782	1.12234	1.1205	1.12657	1.12657	1.12176	1.12176	1.12964	1.12964	1.12595	1.12595	1.12267	1.12267	1.12267	1.12267	1.12366	1.12366	1.12176	1.12176	1.12708	1.12708	1.12708	1.12708	1.12648	1.12648	1.12648	1.12648	1.127
26	1.06601	1.06683	1.06656	1.06601	1.06601	1.07652	1.06981	1.06733	1.06706	1.07242	1.07996	1.07996	1.07151	1.07151	1.08921	1.08586	1.09222	1.09222	1.11218	1.11218	1.09486	1.10953	1.10111	1.10111	1.10111	1.10111	1.10111	1.10121	1.12537	1.11666	1.12076	1.11909	1.1246	1.1246	1.12023	1.12023	1.12739	1.12739	1.12404	1.12404	1.12106	1.12106	1.12106	1.12106	1.12196	1.12196	1.12023	1.12023	1.12506	1.12506	1.12506	1.12506	1.12451	1.12451	1.12451	1.12451	1.12499
27	1.06964	1.07038	1.07014	1.06964	1.06964	1.07917	1.07309	1.07083	1.07059	1.07546	1.0823	1.0823	1.07463	1.07463	1.09069	1.08765	1.09343	1.09343	1.11154	1.11154	1.09582	1.10914	1.1015	1.1015	1.1015	1.1015	1.1015	1.10159	1.12351	1.11561	1.11933	1.11782	1.12281	1.12281	1.11885	1.11885	1.12534	1.12534	1.1223	1.1223	1.1196	1.1196	1.1196	1.1196	1.12042	1.12042	1.11885	1.11885	1.12323	1.12323	1.12323	1.12323	1.12273	1.12273	1.12273	1.12273	1.12316
28	1.07293	1.0736	1.07338	1.07293	1.07293	1.08159	1.07606	1.07402	1.0738	1.07821	1.08442	1.08442	1.07746	1.07746	1.09204	1.08928	1.09452	1.09452	1.11096	1.11096	1.0967	1.10878	1.10185	1.10185	1.10185	1.10185	1.10185	1.10193	1.12182	1.11465	1.11803	1.11666	1.12119	1.12119	1.11759	1.11759	1.12348	1.12348	1.12073	1.12073	1.11828	1.11828	1.11828	1.11828	1.11901	1.11901	1.11759	1.11759	1.12157	1.12157	1.12157	1.12157	1.12112	1.12112	1.12112	1.12112	1.12151
29	1.07591	1.07653	1.07633	1.07591	1.07591	1.08378	1.07876	1.0769	1.07671	1.08071	1.08635	1.08635	1.08003	1.08003	1.09326	1.09076	1.09552	1.09552	1.11044	1.11044	1.09749	1.10845	1.10217	1.10217	1.10217	1.10217	1.10217	1.10224	1.12029	1.11378	1.11685	1.1156	1.11972	1.11972	1.11645	1.11645	1.1218	1.1218	1.1193	1.1193	1.11707	1.11707	1.11707	1.11707	1.11774	1.11774	1.11645	1.11645	1.12006	1.12006	1.12006	1.12006	1.11965	1.11965	1.11965	1.11965	1.12001
30	1.07863	1.07918	1.079	1.07863	1.07863	1.08576	1.08121	1.07952	1.07935	1.08298	1.0881	1.0881	1.08236	1.08236	1.09437	1.0921	1.09642	1.09642	1.10996	1.10996	1.09821	1.10816	1.10246	1.10246	1.10246	1.10246	1.10246	1.10252	1.1189	1.11299	1.11578	1.11465	1.11838	1.11838	1.11542	1.11542	1.12027	1.12027	1.118	1.118	1.11598	1.11598	1.11598	1.11598	1.11659	1.11659	1.11542	1.11542	1.11869	1.11869	1.11869	1.11869	1.11832	1.11832	1.11832	1.11832	1.11864
31	1.08109	1.08159	1.08143	1.08109	1.08109	1.08757	1.08343	1.0819	1.08174	1.08504	1.08969	1.08969	1.08448	1.08448	1.09538	1.09332	1.09724	1.09724	1.10953	1.10953	1.09886	1.10789	1.10272	1.10272	1.10272	1.10272	1.10272	1.10277	1.11764	1.11228	1.1148	1.11378	1.11717	1.11717	1.11448	1.11448	1.11888	1.11888	1.11682	1.11682	1.11499	1.11499	1.11499	1.11499	1.11554	1.11554	1.11448	1.11448	1.11745	1.11745	1.11745	1.11745	1.11711	1.11711	1.11711	1.11711	1.11741
32	1.08332	1.08378	1.08363	1.08332	1.08332	1.0892	1.08545	1.08406	1.08391	1.08691	1.09113	1.09113	1.0864	1.0864	1.09629	1.09442	1.09798	1.09798	1.10913	1.10913	1.09945	1.10765	1.10295	1.10295	1.10295	1.10295	1.10295	1.103	1.1165	1.11163	1.11392	1.11299	1.11607	1.11607	1.11363	1.11363	1.11762	1.11762	1.11575	1.11575	1.11409	1.11409	1.11409	1.11409	1.11459	1.11459	1.11363	1.11363	1.11633	1.11633	1.11633	1.11633	1.11602	1.11602	1.11602	1.11602	1.11628
33	1.08535	1.08577	1.08563	1.08535	1.08535	1.09069	1.08728	1.08602	1.08589	1.08861	1.09243	1.09243	1.08814	1.08814	1.09712	1.09543	1.09865	1.09865	1.10877	1.10877	1.09999	1.10743	1.10317	1.10317	1.10317	1.10317	1.10317	1.10321	1.11546	1.11104	1.11312	1.11228	1.11507	1.11507	1.11285	1.11285	1.11648	1.11648	1.11478	1.11478	1.11327	1.11327	1.11327	1.11327	1.11373	1.11373	1.11285	1.11285	1.1153	1.1153	1.1153	1.1153	1.11502	1.11502	1.11502	1.11502	1.11526
34	1.08719	1.08757	1.08745	1.08719	1.08719	1.09204	1.08894	1.0878	1.08768	1.09015	1.09362	1.09362	1.08973	1.08973	1.09788	1.09634	1.09927	1.09927	1.10845	1.10845	1.10048	1.10723	1.10336	1.10336	1.10336	1.10336	1.10336	1.1034	1.11451	1.11051	1.11239	1.11163	1.11416	1.11416	1.11215	1.11215	1.11544	1.11544	1.1139	1.1139	1.11253	1.11253	1.11253	1.11253	1.11295	1.11295	1.11215	1.11215	1.11437	1.11437	1.11437	1.11437	1.11412	1.11412	1.11412	1.11412	1.11434
35	1.08886	1.0892	1.08909	1.08886	1.08886	1.09326	1.09045	1.08942	1.0893	1.09154	1.0947	1.0947	1.09116	1.09116	1.09856	1.09716	1.09982	1.09982	1.10816	1.10816	1.10092	1.10705	1.10354	1.10354	1.10354	1.10354	1.10354	1.10358	1.11366	1.11002	1.11174	1.11104	1.11334	1.11334	1.11152	1.11152	1.1145	1.1145	1.1131	1.1131	1.11186	1.11186	1.11186	1.11186	1.11224	1.11224	1.11152	1.11152	1.11353	1.11353	1.11353	1.11353	1.1133	1.1133	1.1133	1.1133	1.1135
36	1.09038	1.09069	1.09059	1.09038	1.09038	1.09437	1.09182	1.09088	1.09078	1.09281	1.09567	1.09567	1.09247	1.09247	1.09918	1.09791	1.10032	1.10032	1.10789	1.10789	1.10132	1.10688	1.1037	1.1037	1.1037	1.1037	1.1037	1.10373	1.11288	1.10958	1.11114	1.11051	1.11259	1.11259	1.11094	1.11094	1.11365	1.11365	1.11238	1.11238	1.11125	1.11125	1.11125	1.11125	1.11159	1.11159	1.11094	1.11094	1.11277	1.11277	1.11277	1.11277	1.11256	1.11256	1.11256	1.11256	1.11274
37	1.09175	1.09204	1.09195	1.09175	1.09175	1.09538	1.09306	1.09221	1.09212	1.09396	1.09656	1.09656	1.09365	1.09365	1.09974	1.09859	1.10078	1.10078	1.10765	1.10765	1.10169	1.10673	1.10384	1.10384	1.10384	1.10384	1.10384	1.10387	1.11218	1.10918	1.11059	1.11002	1.11191	1.11191	1.11041	1.11041	1.11287	1.11287	1.11172	1.11172	1.1107	1.1107	1.1107	1.1107	1.11101	1.11101	1.11041	1.11041	1.11207	1.11207	1.11207	1.11207	1.11188	1.11188	1.11188	1.11188	1.11205
