Time	Values[V]	Values[m]	Values[h]	Values[n]
0	0	0.052932	0.59612	0.31768
1	-0.00327329	0.0529486	0.596113	0.317684
2	-0.00546188	0.0529638	0.596097	0.317694
3	-0.00664557	0.0529726	0.596076	0.317707
4	-0.00697896	0.0529758	0.596054	0.31772
5	-0.00669384	0.0529749	0.596035	0.31773
6	-0.00603907	0.0529712	0.596019	0.317738
7	-0.00523708	0.0529664	0.596009	0.317742
8	-0.00445868	0.0529614	0.596003	0.317743
9	-0.00381423	0.0529572	0.596	0.317743
10	-0.00335693	0.052954	0.595999	0.317741
11	-0.00309377	0.0529521	0.596	0.317738
12	-0.00299991	0.0529513	0.596002	0.317736
13	-0.00303304	0.0529513	0.596003	0.317734
14	-0.00314565	0.0529519	0.596004	0.317732
15	-0.003294	0.0529528	0.596005	0.317731
16	-0.00344349	0.0529538	0.596005	0.317731
17	-0.00357092	0.0529546	0.596004	0.317731
18	-0.00366415	0.0529552	0.596003	0.317731
19	-0.00372032	0.0529556	0.596002	0.317731
20	-0.00374319	0.0529558	0.596	0.317732
21	-0.00374029	0.0529558	0.595999	0.317732
22	-0.00372059	0.0529557	0.595998	0.317733
23	-0.00369265	0.0529556	0.595997	0.317733
24	-0.00366341	0.0529554	0.595997	0.317733
25	-0.00363772	0.0529552	0.595996	0.317733
26	-0.00361826	0.0529551	0.595996	0.317733
27	-0.00360589	0.052955	0.595996	0.317733
28	-0.0036001	0.052955	0.595996	0.317733
29	-0.00359955	0.052955	0.595996	0.317733
30	-0.00360256	0.052955	0.595996	0.317732
31	-0.00360747	0.052955	0.595995	0.317732
32	-0.00361288	0.052955	0.595995	0.317732
33	-0.00361778	0.0529551	0.595995	0.317732
34	-0.0036216	0.0529551	0.595995	0.317732
35	-0.00362409	0.0529551	0.595995	0.317732
36	-0.00362531	0.0529551	0.595995	0.317732
37	-0.00362549	0.0529551	0.595995	0.317732
38	-0.00362494	0.0529551	0.595995	0.317732
39	-0.00362398	0.0529551	0.595995	0.317732
40	-0.00362289	0.0529551	0.595995	0.317732
41	-0.00362187	0.0529551	0.595995	0.317732
42	-0.00362104	0.0529551	0.595994	0.317732
43	-0.00362047	0.0529551	0.595994	0.317732
44	-0.00362015	0.0529551	0.595994	0.317732
45	-0.00362004	0.0529551	0.595994	0.317732
46	-0.00362009	0.0529551	0.595994	0.317732
47	-0.00362023	0.0529551	0.595994	0.317732
48	-0.0036204	0.0529551	0.595994	0.317732
49	-0.00362058	0.0529551	0.595994	0.317732
50	-0.00362073	0.0529551	0.595994	0.317732
51	-0.00362083	0.0529551	0.595994	0.317732
52	-0.00362088	0.0529551	0.595994	0.317732
53	-0.0036209	0.0529551	0.595994	0.317732
54	-0.00362088	0.0529551	0.595994	0.317732
55	-0.00362085	0.0529551	0.595994	0.317732
56	-0.0036208	0.0529551	0.595994	0.317732
57	-0.00362076	0.0529551	0.595994	0.317732
58	-0.00362073	0.0529551	0.595994	0.317732
59	-0.0036207	0.0529551	0.595994	0.317732
60	-0.00362068	0.0529551	0.595994	0.317732
61	-0.00362067	0.0529551	0.595994	0.317732
62	-0.00362067	0.0529551	0.595994	0.317732
63	-0.00362067	0.0529551	0.595994	0.317732
64	-0.00362068	0.0529551	0.595994	0.317732
65	-0.00362068	0.0529551	0.595994	0.317732
66	-0.00362068	0.0529551	0.595994	0.317732
67	-0.00362069	0.0529551	0.595994	0.317732
68	-0.00362069	0.0529551	0.595994	0.317732
69	-0.00362068	0.0529551	0.595994	0.317732
70	-0.00362068	0.0529551	0.595994	0.317732
71	-0.00362068	0.0529551	0.595994	0.317732
72	-0.00362067	0.0529551	0.595994	0.317732
73	-0.00362067	0.0529551	0.595994	0.317732
74	-0.00362067	0.0529551	0.595994	0.317732
75	-0.00362067	0.0529551	0.595994	0.317732
76	-0.00362067	0.0529551	0.595994	0.317732
77	-0.00362067	0.0529551	0.595994	0.317732
78	-0.00362067	0.0529551	0.595994	0.317732
79	-0.00362067	0.0529551	0.595994	0.317732
80	-0.00362067	0.0529551	0.595994	0.317732
81	-0.00362067	0.0529551	0.595994	0.317732
82	-0.00362067	0.0529551	0.595994	0.317732
83	-0.00362067	0.0529551	0.595994	0.317732
84	-0.00362067	0.0529551	0.595994	0.317732
85	-0.00362067	0.0529551	0.595994	0.317732
86	-0.00362067	0.0529551	0.595994	0.317732
87	-0.00362067	0.0529551	0.595994	0.317732
88	-0.00362067	0.0529551	0.595994	0.317732
89	-0.00362067	0.0529551	0.595994	0.317732
90	-0.00362067	0.0529551	0.595994	0.317732
91	-0.00362067	0.0529551	0.595994	0.317732
92	-0.00362067	0.0529551	0.595994	0.317732
93	-0.00362067	0.0529551	0.595994	0.317732
94	-0.00362067	0.0529551	0.595994	0.317732
95	-0.00362067	0.0529551	0.595994	0.317732
96	-0.00362067	0.0529551	0.595994	0.317732
97	-0.00362067	0.0529551	0.595994	0.317732
98	-0.00362067	0.0529551	0.595994	0.317732
99	-0.00362067	0.0529551	0.595994	0.317732
100	-0.00362067	0.0529551	0.595994	0.317732
