Time	[APCC]	[APCCYCdk1Y00YCdk1Y01YInt]	[APCCYCdk1Y10YCdk1Y11YInt]	[APCCYCdk2Y000YCdk2Y002YInt]	[APCCYCdk2Y010YCdk2Y012YInt]	[APCCYCdk2Y100YCdk2Y102YInt]	[APCCYCdk2Y110YCdk2Y112YInt]	[APCCYCyclinAYInt]	[APCCYEmi1]	[Cdk1Y00]	[Cdk1Y01]	[Cdk1Y10]	[Cdk1Y11]	[Cdk1Y11YpRbY10YpRbY20YInt]	[Cdk1Y11YpRbY11YpRbY21YInt]	[Cdk2Y000]	[Cdk2Y001]	[Cdk2Y002]	[Cdk2Y010]	[Cdk2Y011]	[Cdk2Y011YpRbY10YpRbY20YInt]	[Cdk2Y011YpRbY11YpRbY21YInt]	[Cdk2Y012]	[Cdk2Y012YpRbY10YpRbY20YInt]	[Cdk2Y012YpRbY11YpRbY21YInt]	[Cdk2Y100]	[Cdk2Y101]	[Cdk2Y102]	[Cdk2Y110]	[Cdk2Y111]	[Cdk2Y112]	[Cdk4Y00]	[Cdk4Y01]	[Cdk4Y01YpRbY00YpRbY10YInt]	[Cdk4Y01YpRbY01YpRbY11YInt]	[Cdk4Y10]	[Cdk4Y11]	[CyclinA]	[CyclinD]	[CyclinE]	[E2F]	[Emi1]	[p27]	[pRbY00]	[pRbY01]	[pRbY10]	[pRbY11]	[pRbY20]	[pRbY21]	[totalYCyclinYD]	[totalYCyclinYE]	[totalYCyclinYA]	[totalYp27]	[hypophosphorylatedYpRb]	[hyperphosphorylatedYpRb]	[totalYEmi1]	[activeYCdk2]
10	24711.6	74.1491	0	37.8337	64.3404	64.3404	-4.66262	6.08826	4874.12	98977.8	948.094	0	0	0	0	34416.4	2103.91	483.967	1718.19	38.8132	25.4234	0.736703	-274.818	-2577.32	-79.1182	58495.1	3575.85	822.565	1114.41	33.8324	-59.8276	46300.7	6769.39	651.836	12.4793	40647.9	5617.63	77.9241	14573.4	177.205	301.091	219.15	13884	4883.95	96.0828	57459.5	1660.62	-2082.99	-51.2281	26960.5	5929.61	1997.9	124132	59120.1	-2134.22	5093.27	-236.005
11	24733.9	73.3097	0	37.4901	63.5665	63.5665	-4.68949	6.04557	4839.85	98989.8	936.878	0	0	0	0	34497.2	2097.9	479.327	1794.22	43.4337	29.3527	0.840377	-282.597	-2787.52	-83.8328	58457.3	3554.97	812.245	1247.83	39.5276	-60.1253	46404.3	6813.88	532.969	10.6243	40592.4	5645.79	77.3169	14624.5	176.347	298.586	217.391	13839.8	3945.74	80.4877	59082.4	1687.87	-2442.18	-56.7586	27084.2	5912.17	1963.04	124130	60770.3	-2498.94	5057.24	-239.163
12	24755.8	72.6002	0	37.2112	62.9042	62.9042	-4.72012	6.00616	4805.78	99000.2	927.243	0	0	0	0	34577.5	2092.04	475.468	1866.87	48.0632	33.3723	0.94592	-290.438	-2991.55	-88.4341	58417.3	3534.39	803.286	1378.2	45.2636	-60.4747	46506.1	6841.76	432.04	8.91201	40540.9	5670.35	76.7512	14672.2	175.524	296.191	215.657	13798.3	3168.07	66.6586	60535.2	1712.67	-2815.86	-62.0205	27184.3	5895.28	1931.84	124127	62247.9	-2877.88	5021.43	-242.375
13	24777.3	71.9806	0	36.9759	62.3198	62.3198	-4.75506	5.96905	4771.92	99009.3	918.704	0	0	0	0	34656.4	2086.3	472.136	1936.86	52.6938	37.4658	1.05281	-298.271	-3189.91	-92.9369	58376.4	3514.2	795.283	1505.36	50.9959	-60.8795	46603.9	6857.56	347.06	7.37416	40493.1	5690.95	76.2151	14715.2	174.732	293.869	213.944	13759.3	2523.59	54.5701	61845.8	1735.07	-3202.11	-67.0198	27263.7	5878.92	1903.19	124125	63580.9	-3269.13	4985.86	-245.578
14	24798.5	71.4234	0	36.7696	61.7906	61.7906	-4.79398	5.9336	4738.29	99017.6	910.932	0	0	0	0	34733.6	2080.65	469.157	2004.67	57.3165	41.6194	1.16055	-306.039	-3383	-97.3452	58335.7	3494.47	787.959	1629.26	56.6914	-61.3338	46697	6864.95	275.864	6.01943	40448.6	5707.59	75.7008	14753.2	173.968	291.598	212.249	13722.6	1988.78	44.1101	63038.5	1755.22	-3599.22	-71.7655	27325.7	5863.1	1876.38	124122	64793.8	-3670.99	4950.53	-248.723
15	24819.4	70.9101	0	36.5826	61.3009	61.3009	-4.83616	5.89943	4704.88	99025.4	903.705	0	0	0	0	34808.5	2075.08	466.413	2070.59	61.9218	45.821	1.26869	-313.694	-3571.13	-101.656	58295.8	3475.23	781.13	1749.91	62.3254	-61.8275	46784.7	6866.76	216.348	4.84217	40406.8	5720.49	75.2036	14785.9	173.23	289.365	210.572	13688	1543.83	35.1238	64134.2	1773.3	-4005.65	-76.2678	27373.1	5847.79	1850.93	124118	65907.5	-4081.92	4915.45	-251.772
16	24840.1	70.4282	0	36.4082	60.8404	60.8404	-4.88075	5.86625	4671.7	99032.7	896.875	0	0	0	0	34881	2069.58	463.827	2134.83	66.5001	50.0602	1.37684	-321.199	-3754.57	-105.865	58257.2	3456.52	774.67	1867.37	67.8797	-62.3495	46867.1	6865.08	166.585	3.82869	40367.4	5729.98	74.7202	14813.5	172.516	287.162	208.911	13655.3	1172.23	27.4405	65149.9	1789.5	-4420.01	-80.5367	27408.5	5832.99	1826.54	124114	66939.4	-4500.54	4880.61	-254.699
17	24860.6	69.9695	0	36.2424	60.4021	60.4021	-4.92691	5.8339	4638.76	99039.7	890.341	0	0	0	0	34951.1	2064.15	461.349	2197.52	71.0425	54.3278	1.48464	-328.526	-3933.54	-109.964	58220	3438.34	768.496	1981.72	73.341	-62.8892	46944.4	6861.43	124.885	2.96168	40329.8	5736.49	74.2484	14836.3	171.826	284.985	207.266	13624.1	860.363	20.8911	66100.1	1804.04	-4841.02	-84.5814	27434.2	5818.69	1803.02	124109	67904.2	-4925.6	4846.02	-257.483
18	24880.9	69.5284	0	36.0822	59.9812	59.9812	-4.97388	5.80228	4606.04	99046.4	884.039	0	0	0	0	35018.6	2058.78	458.945	2258.76	75.5407	58.6157	1.59178	-335.652	-4108.24	-113.948	58184.4	3420.7	762.55	2093.06	78.6997	-63.4369	47016.9	6856.84	89.8013	2.22278	40293.8	5740.42	73.7869	14854.8	171.158	282.828	205.636	13594.5	597.09	15.3168	66996.4	1817.08	-5267.55	-88.4104	27452.1	5804.88	1780.23	124105	68813.5	-5355.96	4811.67	-260.112
19	24901	69.1012	0	35.9259	59.5744	59.5744	-5.02099	5.7713	4573.55	99053	877.923	0	0	0	0	35083.7	2053.49	456.594	2318.62	79.9874	62.9167	1.69801	-342.565	-4278.84	-117.811	58150.3	3403.59	756.793	2201.48	83.9492	-63.9846	47085.1	6852.02	60.1232	1.59426	40259	5742.17	73.3348	14869.5	170.512	280.692	204.02	13566.1	373.313	10.5739	67848.2	1828.81	-5698.52	-92.0314	27463.7	5791.53	1758.1	124099	69677	-5790.55	4777.57	-262.577
