Time	[Epidermal_Growth_Factor]	[EGFR]	[EGF_EGFR]	[(EGF_EGFR)2]	[(EGF_EGFR)2-P]	[PLCg]	[(EGF_EGFR)2_PLCg]	[(EGF_EGFR)2_PLCg-P]	[PLCg-P]	[Grb2]	[(EGF_EGFR)2_Grb2]	[SOS]	[(EGF_EGFR)2_Grb2_SOS]	[Grb2_SOS]	[Shc]	[(EGF_EGFR)2_Shc]	[(EGF_EGFR)_Shc-P]	[Shc-P]	[(EGF_EGFR)2_Shc_Grb2]	[Shc_Grb2]	[(EGF_EGFR)2_Shc_Grb2_SOS]	[Shc_Grb2_SOS]	[PLCgP-I]
22	580.348	0.347858	10.2282	11.7182	1.41767	39.9558	3.26854	9.62626	4.18602	22.3199	1.25788	2.16526	0.584865	2.53047	31.3575	0.713665	11.2068	48.4151	2.36219	27.2253	2.55589	26.1635	47.9634
23	580.356	0.356185	10.4789	12.3131	1.49254	37.2762	3.22209	9.55232	4.24835	21.3183	1.29682	2.09109	0.576042	2.43494	28.103	0.676265	10.8399	51.0069	2.21025	28.2657	2.40315	26.4948	50.701
24	580.365	0.36502	10.7434	12.9424	1.5716	34.6526	3.16691	9.45927	4.30493	20.4364	1.33413	2.03233	0.568144	2.34772	25.0635	0.637927	10.4417	53.5432	2.06692	29.1949	2.25672	26.7951	53.4163
25	580.374	0.374311	11.0204	13.6059	1.65476	32.0933	3.10244	9.34522	4.35506	19.66	1.37019	1.98502	0.561225	2.26883	22.2416	0.59888	10.015	56.0048	1.93217	30.0227	2.11686	27.0681	56.104
26	580.384	0.384009	11.3084	14.3025	1.74187	29.6072	3.02824	9.20841	4.39802	18.9767	1.40537	1.94641	0.555317	2.19797	19.6384	0.559403	9.5633	58.3742	1.80576	30.7586	1.98367	27.3166	58.7582
27	580.394	0.394065	11.606	15.0303	1.83267	27.2032	2.94405	9.04728	4.43315	18.3755	1.44002	1.91461	0.550437	2.13468	17.2533	0.519811	9.09088	60.6367	1.68735	31.4117	1.85716	27.5431	61.3724
28	580.404	0.404429	11.9116	15.787	1.9268	24.89	2.8498	8.86055	4.45983	17.8471	1.47444	1.88822	0.546589	2.07842	15.0841	0.480458	8.60251	62.7795	1.57654	31.9901	1.73724	27.7495	63.9398
29	580.415	0.415047	12.2237	16.5692	2.02375	22.6762	2.74566	8.64739	4.47753	17.3831	1.50889	1.86621	0.543772	2.02863	13.1265	0.441719	8.10348	64.7927	1.47294	32.5013	1.6238	27.9376	66.4532
30	580.426	0.425859	12.5404	17.3726	2.12294	20.5696	2.63209	8.40741	4.48582	16.9761	1.54362	1.8478	0.541973	1.98476	11.3743	0.403984	7.59943	66.6688	1.37617	32.9519	1.51667	28.1088	68.9051
31	580.437	0.4368	12.8598	18.1919	2.22363	18.5769	2.50983	8.14084	4.48443	16.6198	1.57881	1.83238	0.541178	1.94627	9.81919	0.367635	7.09626	68.4029	1.28593	33.3479	1.41569	28.2645	71.288
32	580.448	0.447798	13.1795	19.0213	2.32502	16.704	2.37995	7.84857	4.47324	16.3083	1.6146	1.81946	0.541362	1.91265	8.45111	0.333033	6.59992	69.9929	1.20192	33.6946	1.32068	28.4058	73.5942
33	580.459	0.458778	13.4975	19.854	2.42621	14.9553	2.24376	7.5322	4.45236	16.0367	1.65109	1.80866	0.542499	1.88342	7.2583	0.300499	6.1162	71.4387	1.12392	33.997	1.23149	28.5339	75.8164
34	580.47	0.469659	13.8112	20.6829	2.52629	13.3333	2.10285	7.19407	4.42209	15.8002	1.68833	1.79965	0.544551	1.85812	6.22767	0.270297	5.65055	72.7427	1.05174	34.2593	1.14794	28.6497	77.9477
35	580.48	0.480358	14.1183	21.5008	2.62433	11.8391	1.95898	6.83723	4.38295	15.595	1.72633	1.79219	0.54748	1.83634	5.34514	0.242622	5.20783	73.9096	0.98522	34.4856	1.06989	28.7541	79.9817
36	580.491	0.490797	14.4165	22.3002	2.71944	10.4719	1.81401	6.46531	4.3357	15.4172	1.76506	1.78604	0.551239	1.81766	4.59607	0.217591	4.79214	74.9454	0.924197	34.6796	0.997206	28.8478	81.913
37	580.501	0.500897	14.7037	23.0742	2.8108	9.22938	1.66984	6.08247	4.28126	15.2636	1.80445	1.78102	0.555776	1.80173	3.96566	0.195244	4.40667	75.858	0.868524	34.8444	0.929736	28.9317	83.737
38	580.511	0.510589	14.9779	23.8166	2.8977	8.10738	1.52827	5.69319	4.22075	15.1311	1.84441	1.77697	0.561034	1.78819	3.43941	0.175545	4.05362	76.6562	0.818039	34.9834	0.867342	29.0065	85.4504
39	580.52	0.51981	15.2375	24.522	2.97955	7.10057	1.39097	5.30208	4.15536	15.017	1.88481	1.77375	0.566953	1.77673	3.00341	0.15839	3.73419	77.3495	0.77256	35.0994	0.809875	29.0727	87.051
40	580.529	0.528509	15.4812	25.1859	3.05593	6.20246	1.25938	4.91373	4.0864	14.9189	1.92551	1.77123	0.573469	1.76705	2.64468	0.143625	3.44856	77.9481	0.731875	35.1949	0.757175	29.1311	88.538
41	580.537	0.536649	15.7081	25.8051	3.12655	5.40578	1.13469	4.53248	4.01515	14.8346	1.96636	1.7693	0.580517	1.75891	2.35136	0.131054	3.19609	78.4619	0.695744	35.2726	0.709065	29.1822	89.9119
42	580.544	0.544204	15.9176	26.3775	3.19126	4.7027	1.01779	4.16226	3.94287	14.7622	2.00719	1.76788	0.588029	1.75206	2.11282	0.12046	2.97534	78.9008	0.663896	35.3346	0.66535	29.2267	91.1744
43	580.551	0.551159	16.1097	26.9021	3.25006	4.08515	0.909279	3.80651	3.87074	14.6999	2.04784	1.76688	0.595941	1.74631	1.91975	0.111613	2.78434	79.2743	0.636035	35.3831	0.62582	29.2651	92.3283
44	580.558	0.557514	16.2844	27.379	3.30306	3.54503	0.809477	3.46805	3.79983	14.6462	2.08816	1.76622	0.604185	1.74146	1.76406	0.104287	2.62069	79.591	0.611842	35.42	0.590246	29.2979	93.3776
45	580.563	0.563277	16.4421	27.8092	3.35047	3.07444	0.718462	3.14906	3.73103	14.5999	2.12798	1.76585	0.612699	1.73737	1.6389	0.0982642	2.48176	79.859	0.590989	35.447	0.558386	29.3257	94.327
46	580.568	0.568469	16.5836	28.1944	3.39257	2.6658	0.636097	2.85105	3.6651	14.5598	2.16718	1.76571	0.621422	1.7339	1.53852	0.093345	2.3648	80.0856	0.573142	35.4656	0.529985	29.349	95.1819
47	580.573	0.573113	16.7097	28.5367	3.42969	2.31203	0.56208	2.57493	3.60262	14.525	2.20563	1.76574	0.630298	1.73094	1.45814	0.0893489	2.26711	80.2773	0.557971	35.4772	0.504785	29.3682	95.9483
48	580.577	0.577241	16.8213	28.8391	3.46222	2.00654	0.495984	2.32106	3.54401	14.4946	2.24323	1.76592	0.639273	1.7284	1.39383	0.0861178	2.1861	80.4394	0.545156	35.483	0.482523	29.3839	96.6324
49	580.581	0.580888	16.9196	29.1043	3.49053	1.74332	0.437291	2.08928	3.48954	14.4679	2.27987	1.76621	0.648297	1.7262	1.34239	0.0835149	2.11936	80.577	0.534396	35.484	0.462939	29.3964	97.2406
50	580.584	0.584092	17.0056	29.3355	3.51502	1.51697	0.385433	1.87906	3.43935	14.4445	2.31548	1.76658	0.657328	1.72427	1.30125	0.0814246	2.06469	80.6942	0.525407	35.4812	0.445781	29.406	97.7792
51	580.587	0.586891	17.0805	29.5359	3.53608	1.32261	0.339818	1.68954	3.39345	14.4237	2.35001	1.76701	0.666323	1.72257	1.26834	0.0797497	2.02013	80.7943	0.517935	35.4754	0.430804	29.4133	98.2546
52	580.589	0.589322	17.1454	29.7085	3.55408	1.15596	0.299852	1.51962	3.35177	14.4051	2.3834	1.76747	0.675248	1.72104	1.24199	0.0784099	1.984	80.8804	0.511747	35.4672	0.417776	29.4185	98.6728
53	580.591	0.591423	17.2012	29.8564	3.56938	1.01323	0.264954	1.36802	3.31417	14.3885	2.41562	1.76796	0.684071	1.71967	1.22087	0.0773395	1.9548	80.9549	0.506639	35.4572	0.40648	29.4218	99.0396
54	580.593	0.593229	17.2491	29.9822	3.58229	0.89108	0.234576	1.2334	3.28044	14.3736	2.44665	1.76847	0.692765	1.71843	1.20395	0.0764847	1.93129	81.0197	0.502431	35.4458	0.396715	29.4236	99.3605
55	580.595	0.594774	17.2899	30.0887	3.59311	0.786631	0.2082	1.11434	3.25034	14.3601	2.47649	1.76898	0.701306	1.71728	1.19037	0.0758025	1.91242	81.0766	0.498971	35.4334	0.388295	29.4241	99.6405
56	580.596	0.596087	17.3244	30.1783	3.60212	0.697368	0.185353	1.00944	3.2236	14.3478	2.50513	1.76948	0.709674	1.71622	1.17948	0.0752579	1.8973	81.1268	0.496124	35.4204	0.381052	29.4236	99.8842
57	580.597	0.597198	17.3536	30.253	3.60957	0.621118	0.165601	0.917329	3.19996	14.3366	2.53258	1.76997	0.717853	1.71523	1.17075	0.0748232	1.88522	81.1714	0.493781	35.4071	0.374834	29.4221	100.096
58	580.598	0.598133	17.378	30.3149	3.61566	0.556009	0.148556	0.836692	3.17913	14.3263	2.55886	1.77046	0.72583	1.71431	1.16376	0.074476	1.87558	81.2115	0.491848	35.3935	0.369506	29.4199	100.28
59	580.599	0.598914	17.3983	30.3658	3.62058	0.500427	0.133867	0.766293	3.16084	14.3168	2.58399	1.77092	0.733593	1.71344	1.15817	0.0741988	1.86789	81.2476	0.490246	35.3799	0.364947	29.4171	100.439
60	580.6	0.599561	17.415	30.4071	3.62452	0.452989	0.121227	0.704983	3.14484	14.308	2.60799	1.77137	0.741134	1.71261	1.15371	0.0739773	1.86176	81.2803	0.488913	35.3664	0.36105	29.4138	100.576
61	580.6	0.600094	17.4288	30.4403	3.62761	0.412507	0.11036	0.651704	3.13087	14.2999	2.6309	1.77181	0.748448	1.71184	1.15017	0.0738004	1.85688	81.3103	0.487796	35.3532	0.357722	29.4102	100.695
62	580.601	0.600529	17.4399	30.4666	3.62999	0.377967	0.101028	0.605496	3.11871	14.2924	2.65275	1.77222	0.755531	1.7111	1.14737	0.0736591	1.85299	81.3378	0.486854	35.3402	0.354881	29.4063	100.797
63	580.601	0.60088	17.4488	30.487	3.63177	0.348497	0.0930196	0.565489	3.10815	14.2854	2.67356	1.77261	0.762379	1.7104	1.14518	0.0735465	1.84988	81.3631	0.48605	35.3276	0.352456	29.4022	100.885
64	580.601	0.601158	17.4558	30.5024	3.63305	0.323356	0.0861524	0.530905	3.09899	14.2789	2.69339	1.77299	0.768992	1.70973	1.14349	0.0734569	1.84741	81.3866	0.48536	35.3154	0.350386	29.3979	100.961
65	580.601	0.601376	17.4612	30.5137	3.6339	0.301908	0.0802671	0.501048	3.09107	14.2728	2.71226	1.77335	0.775371	1.70909	1.1422	0.0733856	1.84543	81.4085	0.484759	35.3036	0.348618	29.3936	101.026
66	580.602	0.601543	17.4652	30.5214	3.6344	0.283612	0.0752258	0.475304	3.08422	14.267	2.73022	1.77368	0.781518	1.70849	1.14123	0.0733293	1.84385	81.4289	0.484232	35.2922	0.347107	29.3892	101.082
67	580.602	0.601666	17.4682	30.5263	3.63461	0.268004	0.0709095	0.453129	3.07831	14.2617	2.7473	1.77401	0.787434	1.70791	1.14054	0.073285	1.84258	81.4479	0.483764	35.2813	0.345813	29.3848	101.13
68	580.602	0.601753	17.4701	30.5287	3.63458	0.254691	0.0672151	0.434045	3.07322	14.2566	2.76354	1.77431	0.793124	1.70736	1.14006	0.0732503	1.84156	81.4658	0.483344	35.2708	0.344704	29.3805	101.171
69	580.602	0.60181	17.4713	30.5291	3.63436	0.243335	0.064054	0.417636	3.06884	14.2519	2.77897	1.7746	0.79859	1.70683	1.13976	0.0732235	1.84074	81.4826	0.482964	35.2608	0.343751	29.3762	101.206
70	580.602	0.601842	17.4719	30.528	3.63399	0.23365	0.0613499	0.403534	3.06507	14.2475	2.79363	1.77488	0.803839	1.70633	1.13961	0.0732031	1.84007	81.4984	0.482617	35.2512	0.342931	29.372	101.236
71	580.602	0.601853	17.4719	30.5255	3.63349	0.225389	0.0590372	0.391424	3.06183	14.2433	2.80756	1.77514	0.808875	1.70585	1.13956	0.0731878	1.83954	81.5133	0.482297	35.242	0.342223	29.3679	101.262
72	580.602	0.601847	17.4714	30.522	3.6329	0.218344	0.0570596	0.381028	3.05905	14.2393	2.82079	1.77538	0.813703	1.7054	1.13962	0.0731766	1.8391	81.5273	0.482001	35.2333	0.341609	29.3639	101.285
73	580.602	0.601827	17.4707	30.5176	3.63223	0.212336	0.0553687	0.372108	3.05667	14.2356	2.83336	1.77562	0.81833	1.70496	1.13974	0.0731688	1.83875	81.5406	0.481725	35.2249	0.341076	29.36	101.304
74	580.602	0.601796	17.4696	30.5127	3.63151	0.207214	0.0539233	0.364456	3.05462	14.2321	2.84529	1.77584	0.82276	1.70455	1.13993	0.0731637	1.83846	81.5531	0.481467	35.217	0.34061	29.3562	101.32
75	580.602	0.601757	17.4683	30.5072	3.63074	0.202848	0.0526877	0.357895	3.05287	14.2288	2.85662	1.77605	0.827001	1.70415	1.14016	0.0731608	1.83823	81.565	0.481224	35.2095	0.340203	29.3526	101.334
76	580.602	0.60171	17.4669	30.5014	3.62996	0.199126	0.0516315	0.352268	3.05137	14.2256	2.86737	1.77625	0.831058	1.70378	1.14042	0.0731596	1.83803	81.5762	0.480994	35.2023	0.339844	29.3491	101.346
77	580.602	0.601659	17.4653	30.4953	3.62915	0.195954	0.0507288	0.347445	3.05008	14.2227	2.87758	1.77644	0.834938	1.70342	1.14071	0.0731599	1.83787	81.5868	0.480778	35.1954	0.339527	29.3457	101.356
78	580.602	0.601603	17.4636	30.4891	3.62834	0.193251	0.0499574	0.34331	3.04898	14.2198	2.88728	1.77661	0.838646	1.70308	1.14102	0.0731613	1.83774	81.5969	0.480572	35.1889	0.339246	29.3424	101.365
79	580.602	0.601545	17.4619	30.4828	3.62753	0.190949	0.049298	0.339765	3.04804	14.2172	2.89648	1.77678	0.842189	1.70275	1.14135	0.0731635	1.83763	81.6065	0.480377	35.1827	0.338995	29.3393	101.372
