Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[NADPH_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[Rib_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
10	0.316236	4.94841	0.650317	2.55309	2.0987	0.463176	1.36413	3.3704	0.384462	0.167474	0	1	3.61554	2.11315	3.49577	0.00217569	0	0.0165706	0.000534587	0.184899	3.24061	0.01	0.156867	0.0335878	0.960026	0.0332321	5	0.504233	0.01	1.23321	0	3.95508	9.70788	0.116367	0	0.367492	0	0.0515946	18.1615	0.0013898	0.0125084	0.00585153	0.955492	3.25099	931.994	0.422712	0.0449167
11	0.319523	4.9491	0.641568	2.56554	2.09009	0.468031	1.35713	3.43117	0.384038	0.169334	0	1	3.61596	2.12726	3.49544	0.00216019	0	0.0165959	0.000535582	0.183271	3.30745	0.01	0.158642	0.0339929	0.951065	0.0336371	5	0.504555	0.01	1.2555	0	3.95536	9.80034	0.11695	0	0.367481	0	0.0508982	17.9918	0.00139196	0.0125186	0.00585383	0.962328	3.26834	948.049	0.415607	0.0446431
12	0.322117	4.94965	0.634543	2.57535	2.08307	0.471968	1.35165	3.47973	0.383947	0.170842	0	1	3.61605	2.13821	3.49519	0.00214771	0	0.0166049	0.000535961	0.181963	3.36237	0.01	0.160034	0.0343266	0.943865	0.0339707	5	0.504811	0.01	1.27329	0	3.95557	9.87349	0.117409	0	0.367479	0	0.0503535	17.858	0.00139274	0.0125208	0.00585565	0.967687	3.28238	960.871	0.410138	0.0444313
13	0.324176	4.95008	0.628888	2.58312	2.07736	0.475162	1.34732	3.51867	0.383958	0.172065	0	1	3.61604	2.1468	3.49498	0.00213765	0	0.0166083	0.000536121	0.18091	3.40744	0.01	0.161134	0.0346008	0.938067	0.0342448	5	0.505017	0.01	1.28753	0	3.95573	9.93165	0.117773	0	0.367479	0	0.0499243	17.7519	0.00139304	0.0125206	0.0058571	0.971917	3.29375	971.144	0.405882	0.0442659
14	0.325817	4.95042	0.624328	2.58931	2.07271	0.477755	1.34388	3.54996	0.383996	0.173057	0	1	3.616	2.15358	3.49482	0.00212951	0	0.0166098	0.000536201	0.180061	3.44435	0.01	0.162007	0.0348256	0.933391	0.0344695	5	0.505181	0.01	1.29896	0	3.95586	9.97808	0.118063	0	0.36748	0	0.0495842	17.6674	0.00139317	0.0125197	0.00585825	0.975275	3.30296	979.396	0.402542	0.0441358
15	0.32713	4.95069	0.620647	2.59425	2.06892	0.47986	1.34114	3.57515	0.384036	0.173862	0	1	3.61596	2.15896	3.49469	0.00212294	0	0.0166105	0.000536249	0.179375	3.47455	0.01	0.162703	0.0350096	0.929614	0.0346535	5	0.505314	0.01	1.30816	0	3.95597	10.0153	0.118294	0	0.367481	0	0.0493133	17.5999	0.00139323	0.0125188	0.00585918	0.977952	3.31043	986.038	0.399902	0.0440328
16	0.328184	4.9509	0.617671	2.59822	2.06584	0.481569	1.33895	3.59547	0.384071	0.174516	0	1	3.61593	2.16324	3.49458	0.00211761	0	0.0166109	0.000536282	0.17882	3.49922	0.01	0.163259	0.0351601	0.926559	0.0348039	5	0.505421	0.01	1.31557	0	3.95605	10.0451	0.11848	0	0.367482	0	0.0490968	17.5457	0.00139327	0.012518	0.00585993	0.980095	3.31649	991.393	0.397805	0.0439509
17	0.329031	4.95108	0.615263	2.6014	2.06334	0.482958	1.33719	3.61187	0.384101	0.175047	0	1	3.6159	2.16668	3.49449	0.0021133	0	0.0166112	0.000536307	0.178371	3.51936	0.01	0.163706	0.0352829	0.924088	0.0349266	5	0.505507	0.01	1.32155	0	3.95611	10.0691	0.118629	0	0.367483	0	0.0489233	17.5022	0.0013933	0.0125173	0.00586053	0.981814	3.3214	995.716	0.396132	0.0438855
18	0.329713	4.95122	0.613313	2.60397	2.0613	0.484085	1.33578	3.62513	0.384125	0.175478	0	1	3.61587	2.16943	3.49442	0.00210981	0	0.0166114	0.000536326	0.178007	3.53578	0.01	0.164064	0.0353831	0.922086	0.0350268	5	0.505576	0.01	1.32638	0	3.95617	10.0885	0.118749	0	0.367483	0	0.0487839	17.4672	0.00139332	0.0125167	0.00586101	0.983197	3.32538	999.209	0.394792	0.0438331
19	0.330264	4.95133	0.611733	2.60603	2.05965	0.485	1.33464	3.63586	0.384145	0.175828	0	1	3.61586	2.17164	3.49437	0.00210697	0	0.0166116	0.000536342	0.177713	3.54917	0.01	0.164353	0.0354648	0.920463	0.0351084	5	0.505633	0.01	1.33029	0	3.95621	10.1041	0.118846	0	0.367484	0	0.0486716	17.439	0.00139334	0.0125163	0.0058614	0.984311	3.32862	1002.04	0.393717	0.043791
