Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[NADPH_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[Rib_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
48	0.332601	4.9518	0.604956	2.6148	2.05249	0.488949	1.32982	3.68167	0.384229	0.177337	0	1	3.61577	2.18097	3.49413	0.0020948	0	0.0166124	0.000536408	0.176448	3.60747	0.01	0.165573	0.0358202	0.913501	0.0354638	5	0.505874	0.01	1.34696	0	3.95639	10.1705	0.119256	0	0.367486	0	0.0481975	17.3193	0.00139341	0.0125143	0.00586306	0.989024	3.34256	1014.1	0.389207	0.0436147
49	0.332602	4.9518	0.604953	2.6148	2.05249	0.488951	1.32982	3.68169	0.384229	0.177337	0	1	3.61577	2.18097	3.49413	0.00209479	0	0.0166124	0.000536408	0.176447	3.6075	0.01	0.165573	0.0358204	0.913498	0.0354639	5	0.505874	0.01	1.34697	0	3.95639	10.1706	0.119256	0	0.367486	0	0.0481973	17.3192	0.00139341	0.0125143	0.00586306	0.989026	3.34256	1014.1	0.389205	0.0436146
50	0.332603	4.9518	0.604951	2.6148	2.05248	0.488953	1.32982	3.6817	0.384229	0.177338	0	1	3.61577	2.18098	3.49413	0.00209479	0	0.0166124	0.000536408	0.176447	3.60752	0.01	0.165573	0.0358205	0.913495	0.0354641	5	0.505874	0.01	1.34697	0	3.95639	10.1706	0.119256	0	0.367486	0	0.0481971	17.3192	0.00139341	0.0125143	0.00586306	0.989027	3.34257	1014.11	0.389203	0.0436146
51	0.332604	4.9518	0.604949	2.6148	2.05248	0.488954	1.32982	3.68172	0.384229	0.177338	0	1	3.61577	2.18098	3.49413	0.00209479	0	0.0166124	0.000536408	0.176446	3.60754	0.01	0.165574	0.0358206	0.913493	0.0354642	5	0.505874	0.01	1.34698	0	3.95639	10.1706	0.119257	0	0.367486	0	0.048197	17.3191	0.00139341	0.0125143	0.00586306	0.989029	3.34257	1014.11	0.389202	0.0436145
52	0.332604	4.9518	0.604947	2.61481	2.05248	0.488955	1.32982	3.68173	0.384229	0.177339	0	1	3.61577	2.18098	3.49413	0.00209478	0	0.0166124	0.000536408	0.176446	3.60755	0.01	0.165574	0.0358207	0.913492	0.0354643	5	0.505874	0.01	1.34698	0	3.95639	10.1706	0.119257	0	0.367486	0	0.0481968	17.3191	0.00139341	0.0125143	0.00586306	0.98903	3.34257	1014.11	0.389201	0.0436145
53	0.332605	4.9518	0.604946	2.61481	2.05248	0.488956	1.32982	3.68174	0.384229	0.177339	0	1	3.61577	2.18098	3.49413	0.00209478	0	0.0166124	0.000536408	0.176446	3.60756	0.01	0.165574	0.0358208	0.91349	0.0354643	5	0.505874	0.01	1.34699	0	3.95639	10.1706	0.119257	0	0.367486	0	0.0481968	17.3191	0.00139341	0.0125143	0.00586306	0.989031	3.34258	1014.12	0.3892	0.0436144
54	0.332605	4.9518	0.604945	2.61481	2.05248	0.488956	1.32982	3.68174	0.384229	0.177339	0	1	3.61577	2.18098	3.49413	0.00209478	0	0.0166124	0.000536408	0.176446	3.60757	0.01	0.165575	0.0358209	0.913489	0.0354644	5	0.505874	0.01	1.34699	0	3.95639	10.1706	0.119257	0	0.367486	0	0.0481967	17.3191	0.00139341	0.0125143	0.00586306	0.989032	3.34258	1014.12	0.389199	0.0436144
55	0.332606	4.9518	0.604944	2.61481	2.05248	0.488957	1.32982	3.68175	0.384229	0.177339	0	1	3.61577	2.18099	3.49413	0.00209478	0	0.0166124	0.000536408	0.176445	3.60758	0.01	0.165575	0.0358209	0.913488	0.0354644	5	0.505874	0.01	1.34699	0	3.95639	10.1706	0.119257	0	0.367486	0	0.0481966	17.3191	0.00139341	0.0125143	0.00586306	0.989032	3.34258	1014.12	0.389199	0.0436144
56	0.332606	4.9518	0.604943	2.61481	2.05247	0.488957	1.32982	3.68176	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209478	0	0.0166124	0.000536408	0.176445	3.60759	0.01	0.165575	0.0358209	0.913488	0.0354645	5	0.505874	0.01	1.34699	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481966	17.319	0.00139341	0.0125143	0.00586306	0.989033	3.34258	1014.12	0.389198	0.0436144
57	0.332606	4.9518	0.604943	2.61481	2.05247	0.488957	1.32981	3.68176	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209478	0	0.0166124	0.000536408	0.176445	3.60759	0.01	0.165575	0.035821	0.913487	0.0354645	5	0.505874	0.01	1.34699	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481965	17.319	0.00139341	0.0125143	0.00586306	0.989033	3.34258	1014.12	0.389198	0.0436144
58	0.332606	4.9518	0.604942	2.61481	2.05247	0.488958	1.32981	3.68176	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.6076	0.01	0.165575	0.035821	0.913487	0.0354645	5	0.505874	0.01	1.34699	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481965	17.319	0.00139341	0.0125143	0.00586306	0.989033	3.34258	1014.12	0.389197	0.0436144
59	0.332606	4.9518	0.604942	2.61481	2.05247	0.488958	1.32981	3.68177	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.6076	0.01	0.165575	0.035821	0.913486	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481965	17.319	0.00139341	0.0125143	0.00586306	0.989034	3.34259	1014.12	0.389197	0.0436143
60	0.332606	4.9518	0.604942	2.61481	2.05247	0.488958	1.32981	3.68177	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.6076	0.01	0.165575	0.035821	0.913486	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989034	3.34259	1014.12	0.389197	0.0436143
61	0.332606	4.9518	0.604941	2.61481	2.05247	0.488958	1.32981	3.68177	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.6076	0.01	0.165575	0.035821	0.913486	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989034	3.34259	1014.13	0.389197	0.0436143
62	0.332607	4.9518	0.604941	2.61481	2.05247	0.488958	1.32981	3.68177	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989034	3.34259	1014.13	0.389197	0.0436143
63	0.332607	4.9518	0.604941	2.61482	2.05247	0.488959	1.32981	3.68177	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989034	3.34259	1014.13	0.389196	0.0436143
64	0.332607	4.9518	0.604941	2.61482	2.05247	0.488959	1.32981	3.68177	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989034	3.34259	1014.13	0.389196	0.0436143
65	0.332607	4.9518	0.604941	2.61482	2.05247	0.488959	1.32981	3.68177	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989034	3.34259	1014.13	0.389196	0.0436143
66	0.332607	4.9518	0.604941	2.61482	2.05247	0.488959	1.32981	3.68177	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
67	0.332607	4.9518	0.604941	2.61482	2.05247	0.488959	1.32981	3.68177	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
68	0.332607	4.9518	0.604941	2.61482	2.05247	0.488959	1.32981	3.68177	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
69	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
70	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
71	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
72	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
73	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
74	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
75	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
76	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
77	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913485	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
78	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481964	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
79	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
80	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
81	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
82	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
83	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
84	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
85	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
86	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
87	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
88	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
89	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
90	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
91	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
92	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
93	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
94	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
95	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
96	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
97	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
98	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
99	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
100	0.332607	4.9518	0.60494	2.61482	2.05247	0.488959	1.32981	3.68178	0.384229	0.17734	0	1	3.61577	2.18099	3.49413	0.00209477	0	0.0166124	0.000536408	0.176445	3.60761	0.01	0.165575	0.0358211	0.913484	0.0354646	5	0.505874	0.01	1.347	0	3.95639	10.1707	0.119257	0	0.367486	0	0.0481963	17.319	0.00139341	0.0125143	0.00586306	0.989035	3.34259	1014.13	0.389196	0.0436143
