Time	[MKKK]	[MKKK_P]	[MKK]	[MKK_P]	[MKK_PP]	[M]	[M_P]	[M_PP]	[P1]	[P2]	[P3]	[M_PP_n]	[PreP3_mRNA]	[P3mRNA]	[P3_c]	[P3_n]	[M_n]	[M_P_n]
0	1000	0	4000	0	0	1000	0	0	100	500	500	0	0	0	0	0	0	0
1	994.365	5.63527	3999.76	0.242667	8.07645e-06	216.668	6.46284e-08	1.28437e-17	100	500	500	1.07069e-17	4.69767e-77	2.66867e-80	5.366e-85	2.15085e-85	783.332	8.4584e-08
2	989.214	10.7857	3999.18	0.815458	9.85319e-05	216.667	1.24445e-06	4.71978e-15	100	500	500	6.63616e-15	1.17808e-65	1.38522e-68	5.0619e-73	3.57488e-73	783.333	2.47277e-06
3	984.468	15.5319	3998.43	1.57032	0.000389031	216.667	6.6195e-06	1.30226e-13	100	500	500	2.35146e-13	2.68781e-59	5.09318e-62	-4.5249e-66	9.13493e-66	783.333	1.57648e-05
4	980.065	19.9345	3997.57	2.43066	0.000980221	216.667	2.09214e-05	1.2745e-12	100	500	500	2.67178e-12	5.74752e-55	1.46866e-57	1.71133e-58	-1.70942e-58	783.333	5.51285e-05
5	975.959	24.0407	3996.64	3.35714	0.00194691	216.667	4.98725e-05	7.13983e-12	100	500	500	1.65245e-11	1.00334e-51	3.24562e-54	1.47121e-53	-1.47116e-53	783.333	0.000140107
6	972.112	27.8878	3995.67	4.32938	0.00334479	216.667	9.97023e-05	2.83232e-11	100	500	500	7.01666e-11	3.88186e-49	1.56339e-51	1.57019e-44	-1.57019e-44	783.333	0.000292646
7	968.494	31.5061	3994.66	5.33671	0.00521786	216.666	0.000176855	8.86064e-11	100	500	500	2.31328e-10	5.17672e-47	2.44553e-49	1.11557e-37	-1.11557e-37	783.333	0.000535802
8	965.079	34.9207	3993.62	6.37359	0.0076039	216.666	0.00028784	2.33783e-10	100	500	500	6.36642e-10	3.46539e-45	1.94904e-47	1.28089e-33	-1.28089e-33	783.332	0.000893051
9	961.848	38.1523	3992.55	7.43718	0.0105378	216.666	0.000439162	5.44245e-10	100	500	500	1.52959e-09	1.35576e-43	9.1694e-46	-1.89193e-36	1.89193e-36	783.332	0.00138791
10	958.781	41.2186	3991.46	8.52611	0.0140535	216.666	0.000637296	1.14764e-09	100	500	500	3.30879e-09	3.25012e-42	2.46237e-44	-2.2849e-35	2.2849e-35	783.331	0.00204384
11	955.865	44.1346	3990.34	9.63987	0.0181855	216.666	0.000888698	2.23632e-09	100	500	500	6.58359e-09	5.40238e-41	4.43778e-43	-4.3143e-35	4.3143e-35	783.33	0.0028842
12	953.087	46.9131	3989.2	10.7784	0.0229689	216.665	0.00119982	4.08934e-09	100	500	500	1.22507e-08	7.10283e-40	6.46012e-42	-2.77608e-36	2.77608e-36	783.329	0.0039323
13	950.434	49.5656	3988.03	11.9419	0.0284405	216.665	0.00157713	7.09347e-09	100	500	500	2.15667e-08	7.33807e-39	7.44454e-41	-2.66243e-37	2.66243e-37	783.328	0.00521152
14	947.898	52.1018	3986.83	13.1306	0.0346384	216.665	0.00202715	1.17707e-08	100	500	500	3.62418e-08	6.13875e-38	6.71961e-40	3.90088e-38	-3.90084e-38	783.327	0.00674536
15	945.469	54.5305	3985.61	14.345	0.0416023	216.664	0.00255647	1.88089e-08	100	500	500	5.85469e-08	4.35517e-37	5.08123e-39	-5.00822e-39	5.01138e-39	783.325	0.00855753
16	943.141	56.8593	3984.36	15.5856	0.0493736	216.663	0.00317176	2.90961e-08	100	500	500	9.14321e-08	2.70292e-36	3.32549e-38	1.25356e-37	-1.25334e-37	783.323	0.0106721
17	940.905	59.0951	3983.09	16.8526	0.0579954	216.663	0.00387982	4.37612e-08	100	500	500	1.38668e-07	1.49942e-35	1.94941e-37	8.52084e-39	-8.38582e-39	783.32	0.0131134
18	938.756	61.244	3981.79	18.1467	0.0675124	216.662	0.00468759	6.42158e-08	100	500	500	2.0499e-07	7.49016e-35	1.02979e-36	8.01805e-38	-7.94279e-38	783.317	0.0159064
19	936.688	63.3117	3980.45	19.468	0.0779706	216.661	0.00560213	9.22038e-08	100	500	500	2.96274e-07	3.41114e-34	4.94874e-36	-1.06457e-37	1.1027e-37	783.314	0.0190765
20	934.697	65.303	3979.09	20.8171	0.089418	216.66	0.00663069	1.29857e-07	100	500	500	4.19725e-07	1.44844e-33	2.2233e-35	1.28145e-38	5.29191e-39	783.311	0.0226496
21	932.777	67.2226	3977.7	22.1943	0.101904	216.659	0.00778069	1.79756e-07	100	500	500	5.84092e-07	5.67828e-33	9.22011e-35	3.89154e-38	4.04159e-38	783.307	0.0266524
22	930.925	69.0745	3976.28	23.5999	0.115478	216.658	0.00905971	2.44995e-07	100	500	500	7.999e-07	2.07423e-32	3.54403e-34	1.35762e-37	1.85411e-37	783.302	0.0311119
23	929.137	70.8626	3974.84	25.0341	0.130194	216.656	0.0104756	3.29259e-07	100	500	500	1.07971e-06	7.13108e-32	1.27492e-33	5.15943e-37	6.9518e-37	783.297	0.0360563
24	927.41	72.5903	3973.36	26.4973	0.146104	216.655	0.0120362	4.36905e-07	100	500	500	1.43841e-06	2.31918e-31	4.32174e-33	1.81592e-36	2.46849e-36	783.292	0.041514
25	925.739	74.2607	3971.85	27.9896	0.163262	216.653	0.0137498	5.73051e-07	100	500	500	1.89352e-06	7.17295e-31	1.38977e-32	6.06844e-36	8.26467e-36	783.286	0.0475145
26	924.123	75.8769	3970.31	29.5113	0.181726	216.651	0.0156249	7.43674e-07	100	500	500	2.46554e-06	2.11973e-30	4.26252e-32	1.9292e-35	2.63425e-35	783.279	0.0540879
27	922.558	77.4415	3968.74	31.0624	0.201551	216.649	0.0176699	9.55715e-07	100	500	500	3.17834e-06	6.02432e-30	1.25599e-31	5.88625e-35	8.05696e-35	783.272	0.0612648
28	921.043	78.9571	3967.13	32.6432	0.222797	216.647	0.0198937	1.2172e-06	100	500	500	4.05952e-06	1.64767e-29	3.55657e-31	1.72363e-34	2.36458e-34	783.264	0.0690771
29	919.574	80.4258	3965.5	34.2537	0.245521	216.644	0.0223053	1.53736e-06	100	500	500	5.14092e-06	4.3488e-29	9.70594e-31	4.85819e-34	6.67875e-34	783.256	0.0775569
30	918.15	81.85	3963.84	35.894	0.269783	216.642	0.024914	1.92677e-06	100	500	500	6.45904e-06	1.11042e-28	2.5593e-30	1.32153e-33	1.82033e-33	783.247	0.0867373
31	916.768	83.2317	3962.14	37.5641	0.295646	216.639	0.0277291	2.39749e-06	100	500	500	8.05558e-06	2.7516e-28	6.54252e-30	3.48201e-33	4.80509e-33	783.237	0.0966522
32	915.427	84.5726	3960.41	39.264	0.32317	216.636	0.0307603	2.96323e-06	100	500	500	9.978e-06	6.63119e-28	1.62506e-29	8.9067e-33	1.23124e-32	783.226	0.107336
33	914.125	85.8746	3958.65	40.9938	0.352418	216.633	0.0340173	3.63952e-06	100	500	500	1.22801e-05	1.55606e-27	3.92632e-29	2.21407e-32	3.06569e-32	783.214	0.118824
34	912.861	87.1394	3956.86	42.7533	0.383452	216.629	0.0375103	4.44388e-06	100	500	500	1.50227e-05	3.56111e-27	9.24292e-29	5.35775e-32	7.42999e-32	783.202	0.131152
