Time	[Glyin]	[Hog1]	[Hog1PP]	[Pbs2]	[Pbs2P]	[Phosphatase]	[Protein]	[RNA]	[Hog1P]	[Sho1]	[Sho1Pbs2P]	[Hog1PPActive]	[Glyex]	[Fps1]	[Fps1P]
0	180000	0.328	0.0068167	0.121341	0.000130683	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800	0.0255279	0.0255279
1	180000	0.328	0.0068167	0.121341	0.000130683	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.05	0.0255279	0.0255279
2	180000	0.328	0.0068167	0.121341	0.000130683	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.1	0.0255279	0.0255279
3	180000	0.328	0.0068167	0.121341	0.000130683	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.15	0.0255279	0.0255279
4	180000	0.328	0.0068167	0.121341	0.000130683	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.2	0.0255279	0.0255279
5	180000	0.328	0.0068167	0.121341	0.000130683	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.25	0.0255279	0.0255279
6	180000	0.328	0.0068167	0.121341	0.000130683	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.3	0.0255279	0.0255279
7	180000	0.328	0.0068167	0.121341	0.000130683	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.35	0.0255279	0.0255279
8	180000	0.328	0.0068167	0.121341	0.000130684	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.4	0.0255279	0.0255279
9	180000	0.328	0.0068167	0.121341	0.000130684	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.45	0.0255279	0.0255279
10	180000	0.328	0.0068167	0.121341	0.000130684	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.5	0.0255279	0.0255279
11	180000	0.328	0.0068167	0.121341	0.000130684	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.55	0.0255279	0.0255279
12	180000	0.328	0.0068167	0.121341	0.000130684	0.0432876	0.0454267	0.034	0.0472851	0.131041	0.000116088	0.0068167	1800.6	0.0255279	0.0255279
13	180000	0.328	0.00681671	0.121341	0.000130684	0.0432876	0.0454267	0.0340001	0.0472851	0.131041	0.000116088	0.00681671	1800.65	0.0255279	0.0255279
14	180000	0.328	0.00681671	0.121341	0.000130685	0.0432876	0.0454267	0.0340001	0.0472851	0.131041	0.000116088	0.00681671	1800.7	0.0255279	0.0255279
15	180000	0.328	0.00681671	0.121341	0.000130685	0.0432876	0.0454267	0.0340001	0.0472851	0.131041	0.000116088	0.00681671	1800.75	0.0255279	0.0255279
16	180000	0.328	0.00681672	0.121341	0.000130685	0.0432876	0.0454267	0.0340001	0.0472851	0.131041	0.000116088	0.00681672	1800.8	0.0255279	0.0255279
17	180000	0.328	0.00681672	0.121341	0.000130685	0.0432876	0.0454267	0.0340001	0.0472852	0.131041	0.000116088	0.00681672	1800.85	0.0255279	0.0255279
18	180000	0.328	0.00681672	0.121341	0.000130686	0.0432876	0.0454267	0.0340001	0.0472852	0.131041	0.000116088	0.00681672	1800.9	0.0255279	0.0255279
19	180000	0.328	0.00681673	0.121341	0.000130686	0.0432876	0.0454267	0.0340002	0.0472852	0.131041	0.000116088	0.00681673	1800.95	0.0255279	0.0255279
20	180000	0.328	0.00681673	0.121341	0.000130686	0.0432876	0.0454267	0.0340002	0.0472852	0.131041	0.000116088	0.00681673	1801	0.0255279	0.0255279
21	180000	0.328	0.00681674	0.121341	0.000130687	0.0432876	0.0454267	0.0340002	0.0472853	0.131041	0.000116088	0.00681674	1801.05	0.0255279	0.0255279
22	180000	0.328	0.00681674	0.121341	0.000130687	0.0432876	0.0454267	0.0340002	0.0472853	0.131041	0.000116088	0.00681674	1801.1	0.0255279	0.0255279
23	180000	0.328	0.00681675	0.121341	0.000130687	0.0432876	0.0454267	0.0340003	0.0472853	0.131041	0.000116088	0.00681675	1801.15	0.0255279	0.0255279
24	180000	0.328	0.00681676	0.121341	0.000130688	0.0432876	0.0454267	0.0340003	0.0472853	0.131041	0.000116088	0.00681676	1801.2	0.0255279	0.0255279
25	180000	0.328	0.00681677	0.121341	0.000130688	0.0432876	0.0454267	0.0340003	0.0472854	0.131041	0.000116088	0.00681677	1801.25	0.0255279	0.0255279
26	180000	0.328	0.00681678	0.121341	0.000130688	0.0432876	0.0454267	0.0340004	0.0472854	0.131041	0.000116088	0.00681678	1801.3	0.0255279	0.0255279
27	180000	0.328	0.00681678	0.121341	0.000130689	0.0432876	0.0454267	0.0340004	0.0472854	0.131041	0.000116088	0.00681678	1801.35	0.0255279	0.0255279
28	180000	0.328	0.00681679	0.121341	0.000130689	0.0432876	0.0454267	0.0340005	0.0472855	0.131041	0.000116089	0.00681679	1801.4	0.0255279	0.0255279
29	180000	0.328	0.0068168	0.121341	0.00013069	0.0432876	0.0454267	0.0340005	0.0472855	0.131041	0.000116089	0.0068168	1801.45	0.0255279	0.0255279
30	180000	0.328	0.00681681	0.121341	0.00013069	0.0432876	0.0454267	0.0340006	0.0472856	0.131041	0.000116089	0.00681681	1801.5	0.0255279	0.0255279
31	180000	0.327999	0.00681682	0.121341	0.000130691	0.0432876	0.0454267	0.0340006	0.0472856	0.131041	0.000116089	0.00681682	1801.55	0.0255279	0.0255279
32	180000	0.327999	0.00681684	0.121341	0.000130691	0.0432876	0.0454267	0.0340007	0.0472857	0.131041	0.000116089	0.00681684	1801.6	0.0255279	0.0255279
33	180000	0.327999	0.00681685	0.121341	0.000130691	0.0432876	0.0454267	0.0340007	0.0472857	0.131041	0.000116089	0.00681685	1801.65	0.0255279	0.0255279
34	180000	0.327999	0.00681686	0.121341	0.000130692	0.0432876	0.0454267	0.0340008	0.0472857	0.131041	0.000116089	0.00681686	1801.7	0.0255279	0.0255279
35	180000	0.327999	0.00681687	0.121341	0.000130692	0.0432876	0.0454267	0.0340009	0.0472858	0.131041	0.000116089	0.00681687	1801.75	0.0255279	0.0255279
36	180000	0.327999	0.00681689	0.121341	0.000130693	0.0432876	0.0454267	0.0340009	0.0472859	0.131041	0.000116089	0.00681689	1801.8	0.0255279	0.0255279
37	180000	0.327999	0.0068169	0.121341	0.000130693	0.0432876	0.0454267	0.034001	0.0472859	0.131041	0.000116089	0.0068169	1801.85	0.0255279	0.0255279
38	180000	0.327999	0.00681692	0.121341	0.000130694	0.0432876	0.0454267	0.0340011	0.047286	0.131041	0.000116089	0.00681692	1801.9	0.0255279	0.0255279
39	180000	0.327999	0.00681693	0.121341	0.000130695	0.0432876	0.0454267	0.0340012	0.047286	0.131041	0.000116089	0.00681693	1801.95	0.0255279	0.0255279
40	180000	0.327999	0.00681695	0.121341	0.000130695	0.0432876	0.0454267	0.0340012	0.0472861	0.131041	0.000116089	0.00681695	1802	0.0255279	0.0255279
41	180000	0.327999	0.00681697	0.121341	0.000130696	0.0432876	0.0454267	0.0340013	0.0472861	0.131041	0.000116089	0.00681697	1802.05	0.0255279	0.0255279
42	180000	0.327999	0.00681698	0.121341	0.000130696	0.0432876	0.0454267	0.0340014	0.0472862	0.131041	0.000116089	0.00681698	1802.1	0.0255279	0.0255279
43	180000	0.327999	0.006817	0.121341	0.000130697	0.0432876	0.0454267	0.0340015	0.0472863	0.131041	0.000116089	0.006817	1802.15	0.0255279	0.0255279
44	180000	0.327999	0.00681702	0.121341	0.000130697	0.0432876	0.0454267	0.0340016	0.0472863	0.131041	0.000116089	0.00681702	1802.2	0.0255279	0.0255279
45	180000	0.327999	0.00681704	0.121341	0.000130698	0.0432876	0.0454267	0.0340017	0.0472864	0.131041	0.000116089	0.00681704	1802.25	0.0255279	0.0255279
46	180000	0.327998	0.00681706	0.121341	0.000130699	0.0432876	0.0454267	0.0340018	0.0472865	0.131041	0.000116089	0.00681706	1802.3	0.0255279	0.0255279
47	180000	0.327998	0.00681708	0.121341	0.000130699	0.0432876	0.0454267	0.0340019	0.0472866	0.131041	0.000116089	0.00681708	1802.35	0.0255279	0.0255279
48	180000	0.327998	0.0068171	0.121341	0.0001307	0.0432876	0.0454267	0.034002	0.0472866	0.131041	0.000116089	0.0068171	1802.4	0.0255278	0.0255279
49	180000	0.327998	0.00681712	0.121341	0.0001307	0.0432876	0.0454267	0.0340021	0.0472867	0.131041	0.000116089	0.00681712	1802.45	0.0255278	0.0255279
50	180000	0.327998	0.00681714	0.121341	0.000130701	0.0432876	0.0454267	0.0340022	0.0472868	0.131041	0.000116089	0.00681714	1802.5	0.0255278	0.0255279
51	180000	0.327998	0.00681716	0.121341	0.000130702	0.0432876	0.0454267	0.0340023	0.0472869	0.131041	0.000116089	0.00681716	1802.55	0.0255278	0.0255279
52	180000	0.327998	0.00681718	0.121341	0.000130702	0.0432876	0.0454267	0.0340024	0.0472869	0.131041	0.000116089	0.00681718	1802.6	0.0255278	0.0255279
53	180000	0.327998	0.00681721	0.121341	0.000130703	0.0432876	0.0454267	0.0340025	0.047287	0.131042	0.000116089	0.00681721	1802.65	0.0255278	0.0255279
54	180000	0.327998	0.00681723	0.121341	0.000130704	0.0432876	0.0454267	0.0340026	0.0472871	0.131042	0.000116089	0.00681723	1802.7	0.0255278	0.0255279
55	180000	0.327998	0.00681725	0.121341	0.000130704	0.0432876	0.0454267	0.0340027	0.0472872	0.131042	0.000116089	0.00681725	1802.75	0.0255278	0.0255279
56	180000	0.327997	0.00681728	0.121341	0.000130705	0.0432876	0.0454267	0.0340028	0.0472873	0.131042	0.000116089	0.00681728	1802.8	0.0255278	0.0255279
57	180000	0.327997	0.0068173	0.121341	0.000130706	0.0432876	0.0454267	0.034003	0.0472874	0.131042	0.000116089	0.0068173	1802.85	0.0255278	0.0255279
58	180000	0.327997	0.00681733	0.121341	0.000130706	0.0432876	0.0454267	0.0340031	0.0472874	0.131042	0.000116089	0.00681733	1802.9	0.0255278	0.0255279
59	180000	0.327997	0.00681735	0.121341	0.000130707	0.0432876	0.0454267	0.0340032	0.0472875	0.131042	0.000116089	0.00681735	1802.95	0.0255278	0.0255279
60	180000	0.327997	0.00681738	0.121341	0.000130708	0.0432876	0.0454267	0.0340033	0.0472876	0.131042	0.000116089	0.00681738	1803	0.0255278	0.0255279
61	180000	0.327997	0.0068174	0.121341	0.000130708	0.0432876	0.0454267	0.0340035	0.0472877	0.131042	0.000116089	0.0068174	1803.05	0.0255278	0.0255279
62	180000	0.327997	0.00681743	0.121341	0.000130709	0.0432876	0.0454267	0.0340036	0.0472878	0.131042	0.000116089	0.00681743	1803.11	0.0255278	0.0255279
63	180000	0.327997	0.00681746	0.121341	0.00013071	0.0432876	0.0454267	0.0340037	0.0472879	0.131042	0.000116089	0.00681746	1803.16	0.0255278	0.0255279
64	180000	0.327997	0.00681749	0.121341	0.00013071	0.0432876	0.0454267	0.0340039	0.047288	0.131042	0.000116089	0.00681749	1803.21	0.0255278	0.0255279
65	180000	0.327996	0.00681751	0.121341	0.000130711	0.0432876	0.0454267	0.034004	0.0472881	0.131042	0.000116089	0.00681751	1803.26	0.0255278	0.0255279
66	180000	0.327996	0.00681754	0.121341	0.000130712	0.0432876	0.0454267	0.0340041	0.0472882	0.131042	0.000116089	0.00681754	1803.31	0.0255278	0.0255279
67	180000	0.327996	0.00681757	0.121341	0.000130712	0.0432876	0.0454267	0.0340043	0.0472883	0.131042	0.000116089	0.00681757	1803.36	0.0255278	0.0255279
68	180000	0.327996	0.0068176	0.121341	0.000130713	0.0432876	0.0454267	0.0340044	0.0472884	0.131042	0.000116089	0.0068176	1803.41	0.0255278	0.0255279
69	180000	0.327996	0.00681763	0.121341	0.000130714	0.0432876	0.0454267	0.0340046	0.0472885	0.131042	0.000116089	0.00681763	1803.46	0.0255278	0.0255279
70	180000	0.327996	0.00681766	0.121341	0.000130714	0.0432876	0.0454267	0.0340047	0.0472886	0.131042	0.000116089	0.00681766	1803.51	0.0255278	0.0255279
71	180000	0.327996	0.00681769	0.121341	0.000130715	0.0432876	0.0454267	0.0340049	0.0472887	0.131042	0.000116089	0.00681769	1803.56	0.0255278	0.0255279
72	180000	0.327996	0.00681772	0.121341	0.000130716	0.0432876	0.0454267	0.034005	0.0472888	0.131042	0.000116089	0.00681772	1803.61	0.0255278	0.0255279
73	180000	0.327995	0.00681775	0.121341	0.000130717	0.0432876	0.0454267	0.0340051	0.0472889	0.131042	0.000116089	0.00681775	1803.66	0.0255278	0.0255279
74	180000	0.327995	0.00681778	0.121341	0.000130717	0.0432876	0.0454267	0.0340053	0.047289	0.131042	0.000116089	0.00681778	1803.71	0.0255278	0.0255279
75	180000	0.327995	0.00681781	0.121341	0.000130718	0.0432876	0.0454267	0.0340054	0.0472891	0.131042	0.000116089	0.00681781	1803.76	0.0255278	0.0255279
76	180000	0.327995	0.00681784	0.121341	0.000130719	0.0432876	0.0454267	0.0340056	0.0472892	0.131042	0.000116089	0.00681784	1803.81	0.0255278	0.0255279
77	180000	0.327995	0.00681787	0.121341	0.000130719	0.0432876	0.0454267	0.0340058	0.0472893	0.131042	0.000116089	0.00681787	1803.86	0.0255278	0.0255279
78	180000	0.327995	0.0068179	0.121341	0.00013072	0.0432876	0.0454267	0.0340059	0.0472894	0.131042	0.000116089	0.0068179	1803.91	0.0255278	0.0255279
79	180000	0.327995	0.00681793	0.121341	0.000130721	0.0432876	0.0454267	0.0340061	0.0472895	0.131042	0.000116089	0.00681793	1803.96	0.0255278	0.0255279
80	180000	0.327995	0.00681796	0.121341	0.000130721	0.0432876	0.0454267	0.0340062	0.0472896	0.131042	0.000116089	0.00681796	1804.01	0.0255278	0.0255279
81	180000	0.327994	0.006818	0.121341	0.000130722	0.0432876	0.0454267	0.0340064	0.0472897	0.131042	0.00011609	0.006818	1804.06	0.0255278	0.0255279
82	180000	0.327994	0.00681803	0.121341	0.000130723	0.0432876	0.0454267	0.0340065	0.0472898	0.131042	0.00011609	0.00681803	1804.11	0.0255278	0.0255279
83	180000	0.327994	0.00681806	0.121341	0.000130724	0.0432876	0.0454267	0.0340067	0.0472899	0.131042	0.00011609	0.00681806	1804.16	0.0255278	0.0255279
84	180000	0.327994	0.00681809	0.121341	0.000130724	0.0432876	0.0454267	0.0340069	0.04729	0.131042	0.00011609	0.00681809	1804.21	0.0255278	0.0255279
85	180000	0.327994	0.00681813	0.121341	0.000130725	0.0432877	0.0454267	0.034007	0.0472901	0.131042	0.00011609	0.00681813	1804.26	0.0255278	0.0255279
86	180000	0.327994	0.00681816	0.121341	0.000130726	0.0432877	0.0454267	0.0340072	0.0472902	0.131042	0.00011609	0.00681816	1804.31	0.0255278	0.0255279
87	180000	0.327994	0.00681819	0.121341	0.000130726	0.0432877	0.0454267	0.0340073	0.0472904	0.131042	0.00011609	0.00681819	1804.36	0.0255278	0.0255279
88	180000	0.327993	0.00681823	0.121341	0.000130727	0.0432877	0.0454267	0.0340075	0.0472905	0.131042	0.00011609	0.00681823	1804.41	0.0255278	0.0255279
