Time	[Glycerol 3-phosphate]	[Glycerol]	[DHAP]
0	0	15.1	0.59
1	0.456117	15.1	0.59
2	0.456502	15.1	0.59
3	0.456502	15.1	0.59
4	0.456502	15.1	0.59
5	0.456502	15.1	0.59
6	0.456502	15.1	0.59
7	0.456502	15.1	0.59
8	0.456502	15.1	0.59
9	0.456502	15.1	0.59
10	0.456502	15.1	0.59
11	0.456502	15.1	0.59
12	0.456502	15.1	0.59
13	0.456502	15.1	0.59
14	0.456502	15.1	0.59
15	0.456502	15.1	0.59
16	0.456502	15.1	0.59
17	0.456502	15.1	0.59
18	0.456502	15.1	0.59
19	0.456502	15.1	0.59
20	0.456502	15.1	0.59
21	0.456502	15.1	0.59
22	0.456502	15.1	0.59
23	0.456502	15.1	0.59
24	0.456502	15.1	0.59
25	0.456502	15.1	0.59
26	0.456502	15.1	0.59
27	0.456502	15.1	0.59
28	0.456502	15.1	0.59
29	0.456502	15.1	0.59
30	0.456502	15.1	0.59
31	0.456502	15.1	0.59
32	0.456502	15.1	0.59
33	0.456502	15.1	0.59
34	0.456502	15.1	0.59
35	0.456502	15.1	0.59
36	0.456502	15.1	0.59
37	0.456502	15.1	0.59
38	0.456502	15.1	0.59
39	0.456502	15.1	0.59
40	0.456502	15.1	0.59
41	0.456502	15.1	0.59
42	0.456502	15.1	0.59
43	0.456502	15.1	0.59
44	0.456502	15.1	0.59
45	0.456502	15.1	0.59
46	0.456502	15.1	0.59
47	0.456502	15.1	0.59
48	0.456502	15.1	0.59
49	0.456502	15.1	0.59
50	0.456502	15.1	0.59
51	0.456502	15.1	0.59
52	0.456502	15.1	0.59
53	0.456502	15.1	0.59
54	0.456502	15.1	0.59
55	0.456502	15.1	0.59
56	0.456502	15.1	0.59
57	0.456502	15.1	0.59
58	0.456502	15.1	0.59
59	0.456502	15.1	0.59
60	0.456502	15.1	0.59
61	0.456502	15.1	0.59
62	0.456502	15.1	0.59
63	0.456502	15.1	0.59
64	0.456502	15.1	0.59
65	0.456502	15.1	0.59
66	0.456502	15.1	0.59
67	0.456502	15.1	0.59
68	0.456502	15.1	0.59
69	0.456502	15.1	0.59
70	0.456502	15.1	0.59
71	0.456502	15.1	0.59
72	0.456502	15.1	0.59
73	0.456502	15.1	0.59
74	0.456502	15.1	0.59
75	0.456502	15.1	0.59
76	0.456502	15.1	0.59
77	0.456502	15.1	0.59
78	0.456502	15.1	0.59
79	0.456502	15.1	0.59
80	0.456502	15.1	0.59
81	0.456502	15.1	0.59
82	0.456502	15.1	0.59
83	0.456502	15.1	0.59
84	0.456502	15.1	0.59
85	0.456502	15.1	0.59
86	0.456502	15.1	0.59
87	0.456502	15.1	0.59
88	0.456502	15.1	0.59
89	0.456502	15.1	0.59
90	0.456502	15.1	0.59
91	0.456502	15.1	0.59
92	0.456502	15.1	0.59
93	0.456502	15.1	0.59
94	0.456502	15.1	0.59
95	0.456502	15.1	0.59
96	0.456502	15.1	0.59
97	0.456502	15.1	0.59
98	0.456502	15.1	0.59
99	0.456502	15.1	0.59
100	0.456502	15.1	0.59
