Time	[L]	[R]	[flip]	[proC8]	[casp8]	[casp6]	[BAR]	[proC3]	[casp3]	[Bid]	[tBid]	[proC6]	[XIAP]	[Ub C3]	[PARP]	[cPARP]	[Smac]	[cytosolic Bcl-2]	[Bax]	[Bax#]	[Bcl-2]	[L:R]	[R#]	[flip:R#]	[R#:pC8]	[C6:pC8]	[BAR:C8]	[C8:pC3]	[pC3:Apop]	[Apop]	[C8:Bid]	[C3:pC6]	[XIAP:C3]	[PARP:C3]	[Apop:XIAP]	[Smac:XIAP]	[Bcl2c:tBid]	[Bax:tBid]	[Baxm:Bcl2]	[Bax4]	[Bax2:Bcl2]	[Bax4:Bcl2]	[M]	[Bax4:M]	[M#]	[Smac_m]	[M#:Smac_m]	[Smac released]	[CytoC_m]	[M#:CytoC_m]	[CytoC released]	[CytoC]	[Apaf]	[CytoC:Apaf]	[Apaf#]	[proC9]	[Baxm]	[Bax2]
0	3000	200	100	20000	0	0	1000	10000	0	40000	0	10000	100000	0	1e+06	0	0	20000	100000	0	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500000	0	0	100000	0	0	500000	0	0	0	100000	0	0	100000	0	0
1	2999.76	199.76	100	20000	1.6497e-09	7.89687e-18	1000	10000	4.31364e-14	40000	2.00993e-13	10000	100000	1.73882e-17	1e+06	7.89001e-16	1.32258e-111	20000	100000	3.54473e-17	20000	0.239725	1.19274e-06	3.9801e-11	6.30905e-09	4.90045e-22	3.40035e-13	2.89573e-13	1.35149e-136	5.74993e-129	1.15829e-12	5.93511e-17	1.32757e-15	5.92875e-15	5.40797e-133	3.02015e-115	6.13503e-16	2.71269e-16	9.98499e-22	1.67252e-95	2.07538e-47	1.0216e-98	500000	2.5486e-97	5.37195e-100	100000	5.09804e-103	2.73928e-105	500000	2.54902e-102	1.36964e-104	6.61429e-111	100000	1.07862e-115	6.42798e-122	100000	3.83229e-20	1.44886e-45
2	2999.52	199.521	100	20000	2.22841e-08	1.30325e-15	1000	10000	1.91407e-12	40000	9.94752e-12	10000	100000	3.16384e-15	1e+06	1.30107e-13	1.92897e-94	20000	100000	6.45368e-15	20000	0.478903	4.75124e-06	3.17226e-10	4.11266e-08	1.55572e-19	9.42395e-12	6.9167e-12	5.19072e-112	1.19489e-104	2.76668e-11	4.70099e-15	1.16918e-13	4.69161e-13	2.07987e-108	1.03414e-96	6.0684e-14	2.38745e-14	8.78805e-19	1.68383e-85	1.30976e-41	1.32986e-87	500000	3.28951e-86	2.52126e-88	100000	1.6556e-89	1.99628e-90	500000	8.27799e-89	9.9814e-90	9.69286e-94	100000	3.69032e-97	8.66958e-100	100000	1.445e-17	3.71832e-40
3	2999.28	199.282	100	20000	9.71265e-08	2.30713e-14	1000	10000	1.57335e-11	40000	8.94355e-11	10000	100000	6.11748e-14	1e+06	2.30173e-12	7.95913e-86	20000	100000	1.23461e-13	20000	0.717533	1.06581e-05	1.06753e-09	1.16178e-07	3.86276e-18	6.28736e-11	4.02416e-11	1.54499e-99	8.81587e-94	1.60966e-10	5.34101e-14	1.46838e-12	5.32608e-12	6.23741e-96	6.02238e-88	8.3919e-13	2.9573e-13	3.82903e-17	1.61488e-79	2.0258e-38	5.21498e-81	500000	1.26505e-79	-7.79407e-82	100000	7.74934e-82	6.17941e-84	500000	3.87467e-81	3.0897e-83	4.00756e-85	100000	2.10116e-88	1.43143e-89	100000	4.10773e-16	4.10727e-37
4	2999.04	199.044	100	20000	2.68605e-07	1.64534e-13	1000	10000	6.61416e-11	40000	4.04127e-10	10000	100000	4.74206e-13	1e+06	1.64053e-11	9.49278e-80	20000	100000	9.39781e-13	20000	0.955617	1.89034e-05	2.52442e-09	2.35614e-07	3.44594e-17	2.357e-10	1.3303e-10	1.33999e-92	-1.42135e-87	5.32121e-10	2.7603e-13	8.33631e-12	2.75069e-11	5.4023e-89	-1.63347e-81	5.17151e-12	1.64178e-12	5.25067e-16	2.20266e-75	3.58982e-36	1.55008e-76	500000	3.71739e-75	-3.81878e-75	100000	6.62768e-76	-2.19982e-76	500000	3.31384e-75	-1.09991e-75	4.67063e-79	100000	-5.95971e-82	3.57598e-83	100000	4.13407e-15	5.497e-35
5	2998.81	198.807	100	20000	5.81626e-07	7.19295e-13	1000	10000	1.94423e-10	40000	1.26066e-09	10000	100000	2.24145e-12	1e+06	7.16828e-11	2.84395e-74	20000	100000	4.3415e-12	20000	1.19316	2.94801e-05	4.92055e-09	4.00861e-07	1.76825e-16	6.46706e-10	3.25181e-10	3.64355e-87	-1.73212e-81	1.30072e-09	9.36887e-13	3.08777e-11	9.33082e-11	1.41548e-83	-7.26411e-76	2.05672e-11	5.9174e-12	3.83007e-15	3.14746e-72	1.84493e-34	3.26062e-73	500000	7.66481e-72	-1.22188e-69	100000	2.03729e-70	-7.49816e-71	500000	1.01864e-69	-3.74908e-70	1.38827e-73	100000	-2.62973e-76	9.87465e-78	100000	2.36297e-14	2.24161e-33
6	2998.57	198.57	100	20000	1.08189e-06	2.32168e-12	1000	10000	4.58318e-10	40000	3.1241e-09	10000	100000	7.78175e-12	1e+06	2.3127e-10	7.94733e-69	20000	100000	1.46909e-11	20000	1.43015	4.2382e-05	8.4877e-09	6.12359e-07	6.43841e-16	1.45994e-09	6.6007e-10	9.71148e-82	-5.07003e-76	2.64028e-09	2.45492e-12	8.77318e-11	2.44374e-10	3.74219e-78	-2.04947e-70	6.22246e-11	1.63193e-11	1.87999e-14	5.09393e-70	4.3982e-33	2.02877e-70	500000	4.77685e-69	-3.42012e-64	100000	5.7002e-65	-2.10076e-65	500000	2.8501e-64	-1.05038e-64	3.87858e-68	100000	-7.41765e-71	2.73364e-72	100000	9.47878e-14	4.3651e-32
7	2998.33	198.333	100	20000	1.81527e-06	6.10369e-12	1000	10000	9.30986e-10	40000	6.62404e-09	10000	100000	2.18971e-11	1e+06	6.07778e-10	6.43178e-64	20000	100000	4.02367e-11	20000	1.66661	5.76035e-05	1.34568e-08	8.70198e-07	1.85919e-15	2.88506e-09	1.1826e-09	7.85152e-77	-4.10519e-71	4.73039e-09	5.40626e-12	2.08242e-10	5.37936e-10	3.02491e-73	-1.65872e-65	1.56266e-10	3.75646e-11	7.03771e-14	-1.51422e-67	6.07656e-32	3.90301e-68	500000	9.47886e-67	-2.76792e-59	100000	4.61321e-60	-1.70017e-60	500000	2.3066e-59	-8.50083e-60	3.13893e-63	100000	-6.00342e-66	2.21211e-67	100000	2.98685e-13	5.05997e-31
8	2998.1	198.097	100	20000	2.82761e-06	1.3849e-11	1000	10000	1.69972e-09	40000	1.25553e-08	10000	100000	5.29335e-11	1e+06	1.37857e-09	5.42364e-59	20000	100000	9.46329e-11	20000	1.90252	7.51388e-05	2.00581e-08	1.17434e-06	4.54679e-15	5.1774e-09	1.93825e-09	6.62081e-72	-3.46174e-66	7.75299e-09	1.05176e-11	4.34237e-10	1.04615e-09	2.55075e-68	-1.39873e-60	3.43021e-10	7.59731e-11	2.16431e-13	-3.18202e-65	5.62972e-31	3.6402e-66	500000	9.0559e-65	-2.33407e-54	100000	3.89012e-55	-1.43368e-55	500000	1.94506e-54	-7.16838e-55	2.64692e-58	100000	-5.06242e-61	1.86538e-62	100000	7.90485e-13	4.04552e-30
9	2997.86	197.862	100	20000	4.16464e-06	2.81386e-11	1000	10000	2.8647e-09	40000	2.18757e-08	10000	100000	1.14103e-10	1e+06	2.80018e-09	2.59327e-54	20000	100000	1.98499e-10	20000	2.1379	9.49826e-05	2.85208e-08	1.52469e-06	9.82054e-15	8.63777e-09	2.97266e-09	3.16569e-67	-1.6552e-61	1.18906e-08	1.86555e-11	8.21399e-10	1.85503e-09	1.21962e-63	-6.68792e-56	6.80306e-10	1.39491e-10	5.73772e-13	-3.0782e-63	3.88206e-30	2.17538e-64	500000	5.62761e-63	-1.11602e-49	100000	1.86003e-50	-6.85502e-51	500000	9.30015e-50	-3.42751e-50	1.26561e-53	100000	-2.42056e-56	8.91916e-58	100000	1.83443e-12	2.44668e-29
10	2997.63	197.627	100	20000	5.87197e-06	5.24848e-11	1000	10000	4.53773e-09	40000	3.57037e-08	10000	100000	2.24922e-10	1e+06	5.22165e-09	9.4595e-50	20000	100000	3.80967e-10	20000	2.37274	0.000117129	3.90736e-08	1.92117e-06	1.92698e-14	1.36123e-08	4.33146e-09	1.15475e-62	-6.0377e-57	1.73258e-08	3.0815e-11	1.44026e-09	3.06329e-09	4.44883e-59	-2.43956e-51	1.24664e-09	2.37683e-10	1.35478e-12	-2.02081e-61	2.12603e-29	1.03655e-62	500000	2.80835e-61	-4.07091e-45	100000	6.78484e-46	-2.50051e-46	500000	3.39242e-45	-1.25025e-45	4.61656e-49	100000	-8.82949e-52	3.25345e-53	100000	3.84331e-12	1.19e-28
11	2997.39	197.393	100	20000	7.99502e-06	9.14539e-11	1000	10000	6.84117e-09	40000	5.53143e-08	10000	100000	4.12741e-10	1e+06	9.0966e-09	8.67279e-45	20000	100000	6.81207e-10	20000	2.60704	0.000141573	5.19443e-08	2.36365e-06	3.50395e-14	2.04924e-08	6.06017e-09	1.05871e-57	-5.53556e-52	2.42407e-08	4.81073e-11	2.37689e-09	4.7812e-09	4.07884e-54	-2.23667e-46	2.14439e-09	3.81707e-10	2.91621e-12	-3.36821e-59	9.8054e-29	1.35543e-60	500000	3.86361e-59	-3.73234e-40	100000	6.22057e-41	-2.29255e-41	500000	3.11029e-40	-1.14628e-40	4.23262e-44	100000	-8.09517e-47	2.98287e-48	100000	7.42142e-12	4.89452e-28
12	2997.16	197.159	100	20000	1.05791e-05	1.50775e-10	1000	10000	9.90692e-09	40000	8.2136e-08	10000	100000	7.14291e-10	1e+06	1.49941e-08	5.04623e-42	20000	100000	1.14987e-09	20000	2.8408	0.000168309	6.73599e-08	2.85203e-06	5.99018e-14	2.97143e-08	8.20416e-09	6.16009e-55	-3.22085e-49	3.28166e-08	7.17502e-11	3.73329e-09	7.12953e-09	2.37325e-51	-1.3014e-43	3.50284e-09	5.84289e-10	5.8188e-12	-1.56185e-57	3.86629e-28	6.0859e-59	500000	1.75041e-57	-2.17165e-37	100000	3.61942e-38	-1.33391e-38	500000	1.80971e-37	-6.66956e-38	2.46273e-41	100000	-4.71014e-44	1.73557e-45	100000	1.34084e-11	1.73291e-27
13	2996.93	196.926	100	20000	1.36693e-05	2.37444e-10	1000	10000	1.38755e-08	40000	1.17747e-07	10000	100000	1.1773e-09	1e+06	2.36089e-08	2.70989e-39	20000	100000	1.85054e-09	20000	3.07403	0.000197331	8.55466e-08	3.3862e-06	9.73238e-14	4.1759e-08	1.08087e-08	3.30804e-52	-1.72963e-46	4.32348e-08	1.03056e-10	5.62761e-09	1.02384e-08	1.27447e-48	-6.98865e-41	5.48116e-09	8.59683e-10	1.09013e-11	-6.19207e-56	1.33315e-27	2.38938e-57	500000	6.89417e-56	-1.1662e-34	100000	1.94367e-35	-7.16327e-36	500000	9.71835e-35	-3.58163e-35	1.32252e-38	100000	-2.5294e-41	9.32023e-43	100000	2.29257e-11	5.4489e-27
14	2996.69	196.693	100	20000	1.73107e-05	3.59814e-10	1000	10000	1.88955e-08	40000	1.63872e-07	10000	100000	1.86219e-09	1e+06	3.57706e-08	1.31908e-36	20000	100000	2.86115e-09	20000	3.30673	0.000228634	1.0673e-07	3.96606e-06	1.5153e-13	5.71521e-08	1.39188e-08	1.61025e-49	-8.41929e-44	5.56754e-08	1.43422e-10	8.19414e-09	1.42465e-08	6.20369e-46	-3.40185e-38	8.2715e-09	1.22364e-09	1.93697e-11	-2.35491e-54	4.12889e-27	9.06292e-56	500000	2.61737e-54	-5.67669e-32	100000	9.46115e-33	-3.48684e-33	500000	4.73057e-32	-1.74342e-32	6.43758e-36	100000	-1.23123e-38	4.53678e-40	100000	3.74243e-11	1.55346e-26
15	2996.46	196.461	100	20000	2.15481e-05	5.27676e-10	1000	10000	2.5122e-08	40000	2.22378e-07	10000	100000	2.84353e-09	1e+06	5.2451e-08	4.10963e-35	20000	100000	4.27526e-09	20000	3.5389	0.000262213	1.31135e-07	4.59149e-06	2.27552e-13	7.64635e-08	1.75796e-08	5.01675e-48	-2.62305e-42	7.03183e-08	1.94325e-10	1.15832e-08	1.93001e-08	1.93277e-44	-1.05985e-36	1.21016e-08	1.69337e-09	3.28942e-11	-4.32344e-53	1.17216e-26	1.66315e-54	500000	4.80394e-53	-1.76858e-30	100000	2.94764e-31	-1.08633e-31	500000	1.47382e-30	-5.43166e-31	2.00564e-34	100000	-3.83592e-37	1.41344e-38	100000	5.87288e-11	4.07734e-26
16	2996.23	196.229	100	20000	2.64261e-05	7.52325e-10	1000	10000	3.27158e-08	40000	2.95272e-07	10000	100000	4.21176e-09	1e+06	7.47717e-08	-2.7379e-36	20000	100000	6.20333e-09	20000	3.77053	0.000298062	1.58985e-07	5.26239e-06	3.31285e-13	1.00307e-07	2.18356e-08	-3.34224e-49	1.74752e-43	8.73426e-08	2.57322e-10	1.59607e-08	2.55537e-08	-1.28764e-45	7.06091e-38	1.72378e-08	2.28751e-09	5.37245e-11	-1.05234e-53	3.08619e-26	3.95283e-55	500000	1.14987e-53	1.17826e-31	100000	-1.96377e-32	7.23733e-33	500000	-9.81883e-32	3.61866e-32	-1.33619e-35	100000	2.55556e-38	-9.41659e-40	100000	8.90841e-11	9.9588e-26
17	2996	195.998	100	20000	3.19893e-05	1.04664e-09	1000	10000	4.18445e-08	40000	3.84697e-07	10000	100000	6.07465e-09	1e+06	1.04011e-07	-3.35081e-36	20000	100000	8.77402e-09	20000	4.00164	0.000336175	1.90504e-07	5.97864e-06	4.69525e-13	1.29342e-07	2.67317e-08	-4.09044e-49	2.13872e-43	1.06927e-07	3.34019e-10	2.15082e-08	3.31664e-08	-1.5759e-45	8.64157e-38	2.39876e-08	3.02611e-09	8.48128e-11	6.90747e-54	7.57751e-26	-6.83811e-55	500000	-1.58676e-53	1.44203e-31	100000	-2.40338e-32	8.85749e-33	500000	-1.20169e-31	4.42874e-32	-1.63531e-35	100000	3.12765e-38	-1.15246e-39	100000	1.31201e-10	2.27859e-25
18	2995.77	195.767	100	20000	3.82821e-05	1.42516e-09	1000	10000	5.2681e-08	40000	4.9293e-07	10000	100000	8.5589e-09	1e+06	1.41612e-07	2.01875e-36	20000	100000	1.21353e-08	20000	4.23222	0.000376548	2.25913e-07	6.74014e-06	6.50011e-13	1.64269e-07	3.23123e-08	2.46436e-49	-1.28851e-43	1.29249e-07	4.26078e-10	2.84217e-08	4.23031e-08	9.49429e-46	-5.20626e-38	3.27024e-08	3.93055e-09	1.29954e-10	-6.27928e-54	1.74981e-25	-1.70368e-54	500000	-2.63094e-53	-8.68773e-32	100000	1.44796e-32	-5.33634e-33	500000	7.23978e-32	-2.66817e-32	9.85222e-36	100000	-1.8843e-38	6.94319e-40	100000	1.883e-10	4.92618e-25
