Time	[L]	[R]	[flip]	[proC8]	[casp8]	[casp6]	[BAR]	[proC3]	[casp3]	[Bid]	[tBid]	[proC6]	[XIAP]	[Ub C3]	[PARP]	[cPARP]	[Smac]	[cytosolic Bcl-2]	[Bax]	[Bax#]	[Bcl-2]	[L:R]	[R#]	[flip:R#]	[R#:pC8]	[C6:pC8]	[BAR:C8]	[C8:pC3]	[pC3:Apop]	[Apop]	[C8:Bid]	[C3:pC6]	[XIAP:C3]	[PARP:C3]	[Apop:XIAP]	[Smac:XIAP]	[Bcl2c:tBid]	[Bax:tBid]	[Baxm:Bcl2]	[Bax4]	[Bax2:Bcl2]	[Bax4:Bcl2]	[M]	[Bax4:M]	[M#]	[Smac_m]	[M#:Smac_m]	[Smac released]	[CytoC_m]	[M#:CytoC_m]	[CytoC released]	[CytoC]	[Apaf]	[CytoC:Apaf]	[Apaf#]	[proC9]	[Baxm]	[Bax2]
19	2995.54	195.537	100	20000	4.53487e-05	1.90408e-09	1000	10000	6.54023e-08	40000	6.22377e-07	10000	100000	1.18115e-08	1e+06	1.89182e-07	8.60735e-37	20000	100000	1.64559e-08	20000	4.46227	0.000419175	2.65435e-07	7.54678e-06	8.81465e-13	2.05833e-07	3.86216e-08	1.05075e-49	-5.49378e-44	1.54486e-07	5.35218e-10	3.6912e-08	5.31342e-08	4.04823e-46	-2.21979e-38	4.378e-08	5.02356e-09	1.93937e-10	4.90114e-50	3.83219e-25	6.55777e-51	500000	1.1167e-49	-3.70418e-32	100000	6.17364e-33	-2.27525e-33	500000	3.08682e-32	-1.13763e-32	4.20068e-36	100000	-8.03409e-39	2.96036e-40	100000	2.64156e-10	1.01405e-24
20	2995.31	195.308	100	20000	5.32332e-05	2.50135e-09	1000	10000	8.01888e-08	40000	7.75571e-07	10000	100000	1.60013e-08	1e+06	2.48504e-07	-3.00678e-36	20000	100000	2.19257e-08	20000	4.69179	0.00046405	3.09291e-07	8.39845e-06	1.17362e-12	2.54825e-07	4.5704e-08	-3.67037e-49	1.91913e-43	1.82816e-07	6.63208e-10	4.72034e-08	6.58351e-08	-1.41403e-45	7.75432e-38	5.76673e-08	6.32916e-09	2.8271e-10	1.12768e-49	8.00708e-25	2.7327e-50	500000	3.98821e-49	1.29397e-31	100000	-2.15662e-32	7.94807e-33	500000	-1.07831e-31	3.97403e-32	-1.46741e-35	100000	2.80652e-38	-1.03413e-39	100000	3.63135e-10	1.99841e-24
21	2995.08	195.079	100	20000	6.19795e-05	3.23672e-09	1000	10000	9.7225e-08	40000	9.55167e-07	10000	100000	2.13201e-08	1e+06	3.21535e-07	1.12537e-36	20000	100000	2.87577e-08	20000	4.9208	0.000511169	3.577e-07	9.29505e-06	1.53726e-12	3.12074e-07	5.36033e-08	1.37407e-49	-7.18274e-44	2.14413e-07	8.11855e-10	5.95337e-08	8.05848e-08	5.29487e-46	-2.90226e-38	7.48624e-08	7.87264e-09	4.03549e-10	1.3616e-49	1.60465e-24	6.33085e-50	500000	7.49234e-49	-4.84303e-32	100000	8.07172e-33	-2.97478e-33	500000	4.03586e-32	-1.48739e-32	5.49218e-36	100000	-1.05042e-38	3.87053e-40	100000	4.90244e-10	3.7882e-24
22	2994.85	194.85	100	20000	7.16313e-05	4.13174e-09	1000	10000	1.16699e-07	40000	1.16394e-06	10000	100000	2.79843e-08	1e+06	4.10416e-07	7.58066e-36	20000	100000	3.71885e-08	20000	5.14927	0.000560525	4.10882e-07	1.02365e-05	1.98422e-12	3.78458e-07	6.23636e-08	9.25476e-49	-4.83846e-43	2.49454e-07	9.83e-10	7.41531e-08	9.75658e-08	3.56585e-45	-1.95501e-37	9.59174e-08	9.68052e-09	5.65254e-10	1.9041e-49	3.10096e-24	1.1748e-49	500000	1.16362e-48	-3.26234e-31	100000	5.43724e-32	-2.00386e-32	500000	2.71862e-31	-1.00193e-31	3.69962e-35	100000	-7.07578e-38	2.60725e-39	100000	6.51162e-10	6.9391e-24
23	2994.62	194.622	100	20000	8.22324e-05	5.20984e-09	1000	10000	1.38802e-07	40000	1.4048e-06	10000	100000	3.62357e-08	1e+06	5.17471e-07	1.66337e-35	20000	100000	4.74793e-08	20000	5.37723	0.000612113	4.69056e-07	1.12226e-05	2.52744e-12	4.54893e-07	7.20285e-08	2.03072e-48	-1.06167e-42	2.88114e-07	1.17852e-09	9.13239e-08	1.16964e-07	7.82449e-45	-4.28974e-37	1.21441e-07	1.17805e-08	7.78332e-10	3.59048e-49	5.79007e-24	2.06013e-49	500000	1.92098e-48	-7.15833e-31	100000	1.19306e-31	-4.39693e-32	500000	5.96528e-31	-2.19846e-31	8.11782e-35	100000	-1.55259e-37	5.72091e-39	100000	8.52282e-10	1.23126e-23
24	2994.39	194.395	100	20000	9.38261e-05	6.49633e-09	1000	10000	1.63728e-07	40000	1.68073e-06	10000	100000	4.63432e-08	1e+06	6.45212e-07	-5.55349e-36	20000	100000	5.9917e-08	20000	5.60467	0.000665929	5.32439e-07	1.22533e-05	3.18097e-12	5.4234e-07	8.26417e-08	-6.77526e-49	3.54475e-43	3.30567e-07	1.40031e-09	1.1132e-07	1.38968e-07	-2.60819e-45	1.43222e-37	1.52098e-07	1.42016e-08	1.05521e-09	6.26604e-49	1.04809e-23	3.58269e-49	500000	3.20191e-48	2.38995e-31	100000	-3.98325e-32	1.468e-32	500000	-1.99163e-31	7.34e-32	-2.71029e-35	100000	5.18362e-38	-1.91003e-39	100000	1.10075e-09	2.12231e-23
25	2994.17	194.168	100	20000	0.000106456	8.01842e-09	1000	10000	1.91671e-07	40000	1.99488e-06	10000	100000	5.86032e-08	1e+06	7.96338e-07	2.42702e-35	20000	100000	7.48152e-08	20000	5.83159	0.000721967	6.01249e-07	1.33286e-05	3.95998e-12	6.41802e-07	9.42465e-08	2.96352e-48	-1.54907e-42	3.76986e-07	1.65031e-09	1.34425e-07	1.63769e-07	1.14218e-44	-6.25916e-37	1.88618e-07	1.69738e-08	1.41047e-09	1.00764e-48	1.84485e-23	5.9347e-49	500000	5.0069e-48	-1.04447e-30	100000	1.74079e-31	-6.41555e-32	500000	8.70393e-31	-3.20777e-31	1.18447e-34	100000	-2.26538e-37	8.34737e-39	100000	1.40449e-09	3.56363e-23
26	2993.94	193.941	100	20000	0.000120165	9.80529e-09	1000	10000	2.2283e-07	40000	2.35047e-06	10000	100000	7.33415e-08	1e+06	9.73746e-07	1.5939e-36	20000	100000	9.25146e-08	20000	6.05799	0.000780221	6.75702e-07	1.44482e-05	4.88082e-12	7.54324e-07	1.06886e-07	1.95932e-49	-1.01692e-43	4.27545e-07	1.93047e-09	1.60934e-07	1.91561e-07	7.63545e-46	-4.11058e-38	2.3179e-07	2.01283e-08	1.86104e-09	1.36634e-48	3.16479e-23	9.2607e-49	500000	7.23079e-48	-6.85936e-32	100000	1.14323e-32	-4.21329e-33	500000	5.71613e-32	-2.10664e-32	7.77877e-36	100000	-1.48774e-38	5.48203e-40	100000	1.77227e-09	5.84206e-23
27	2993.72	193.715	100	20000	0.000134996	1.18881e-08	1000	10000	2.57403e-07	40000	2.75083e-06	10000	100000	9.09135e-08	1e+06	1.18052e-06	-9.65019e-35	20000	100000	1.13385e-07	20000	6.28387	0.000840687	7.56014e-07	1.56121e-05	5.96096e-12	8.80992e-07	1.20604e-07	-1.17781e-47	6.15947e-42	4.82417e-07	2.24276e-09	1.91151e-07	2.2254e-07	-4.53607e-44	2.48873e-36	2.82469e-07	2.36973e-08	2.42646e-09	1.62639e-48	5.30104e-23	1.35467e-48	500000	9.5967e-48	4.15297e-30	100000	-6.92162e-31	2.55091e-31	500000	-3.46081e-30	1.27546e-30	-4.70962e-34	100000	9.00748e-37	-3.31903e-38	100000	2.21368e-09	9.36821e-23
28	2993.49	193.49	100	20000	0.000150992	1.42998e-08	1000	10000	2.95593e-07	40000	3.19942e-06	10000	100000	1.11706e-07	1e+06	1.41995e-06	2.99356e-34	20000	100000	1.37823e-07	20000	6.50924	0.000903358	8.42399e-07	1.68202e-05	7.21907e-12	1.02294e-06	1.35443e-07	3.65468e-47	-1.91069e-41	5.41772e-07	2.58918e-09	2.25388e-07	2.56903e-07	1.40829e-43	-7.72024e-36	3.41577e-07	2.77142e-08	3.12912e-09	2.17915e-48	8.68771e-23	1.87319e-48	500000	1.18703e-47	-1.28828e-29	100000	2.14714e-30	-7.91314e-31	500000	1.07357e-29	-3.95657e-30	1.46096e-33	100000	-2.79419e-36	1.02959e-37	100000	2.73923e-09	1.47224e-22
29	2993.26	193.265	100	20000	0.000168197	1.70758e-08	1000	10000	3.37601e-07	40000	3.69978e-06	10000	100000	1.36136e-07	1e+06	1.69552e-06	-6.81819e-34	20000	100000	1.66259e-07	20000	6.73409	0.00096823	9.35072e-07	1.80724e-05	8.67501e-12	1.18133e-06	1.51446e-07	-8.32267e-47	4.35185e-41	6.05784e-07	2.97174e-09	2.63968e-07	2.94848e-07	-3.20598e-43	1.75838e-35	4.10105e-07	3.22135e-08	3.99453e-09	2.27769e-48	1.3955e-22	2.5371e-48	500000	1.515e-47	2.93422e-29	100000	-4.89036e-30	1.80231e-30	500000	-2.44518e-29	9.01155e-30	-3.32751e-33	100000	6.36409e-36	-2.34501e-37	100000	3.36031e-09	2.27104e-22
30	2993.04	193.041	100	20000	0.000186651	2.02529e-08	1000	10000	3.8363e-07	40000	4.25555e-06	10000	100000	1.64655e-07	1e+06	2.01091e-06	2.93414e-34	20000	100000	1.9915e-07	20000	6.95843	0.0010353	1.03425e-06	1.93685e-05	1.03498e-11	1.35738e-06	1.68656e-07	3.58251e-47	-1.87275e-41	6.74622e-07	3.39245e-09	3.07218e-07	3.36577e-07	1.3809e-43	-7.56699e-36	4.89114e-07	3.72304e-08	5.05153e-09	3.19426e-48	2.20059e-22	3.33952e-48	500000	1.85379e-47	-1.26271e-29	100000	2.10452e-30	-7.75606e-31	500000	1.05226e-29	-3.87803e-30	1.43196e-33	100000	-2.73872e-36	1.00915e-37	100000	4.08929e-09	3.44362e-22
31	2992.82	192.817	100	20000	0.000206399	2.38705e-08	1000	10000	4.33886e-07	40000	4.87047e-06	10000	100000	1.97746e-07	1e+06	2.37e-06	1.44421e-33	20000	100000	2.36987e-07	20000	7.18226	0.00110456	1.14013e-06	2.07085e-05	1.22658e-11	1.55234e-06	1.87114e-07	1.76309e-46	-9.21788e-41	7.48457e-07	3.85335e-09	3.55475e-07	3.82291e-07	6.79356e-43	-3.72453e-35	5.79739e-07	4.28014e-08	6.33264e-09	4.66283e-48	3.41028e-22	4.35604e-48	500000	2.29576e-47	-6.21516e-29	100000	1.03586e-29	-3.81759e-30	500000	5.1793e-29	-1.9088e-29	7.04822e-33	100000	-1.34802e-35	4.96713e-37	100000	4.93951e-09	5.13842e-22
32	2992.59	192.593	100	20000	0.000227482	2.79696e-08	1000	10000	4.88575e-07	40000	5.54837e-06	10000	100000	2.35928e-07	1e+06	2.77689e-06	-5.98753e-33	20000	100000	2.80292e-07	20000	7.40557	0.001176	1.25295e-06	2.20923e-05	1.44463e-11	1.76751e-06	2.06865e-07	-7.30903e-46	3.82165e-40	8.27458e-07	4.35646e-09	4.09082e-07	4.32191e-07	-2.81575e-42	1.54415e-34	6.83189e-07	4.89639e-08	7.87427e-09	3.87511e-48	5.20037e-22	5.78306e-48	500000	3.21718e-47	2.57674e-28	100000	-4.29457e-29	1.58273e-29	500000	-2.14728e-28	7.91367e-29	-2.92212e-32	100000	5.58876e-35	-2.05932e-36	100000	5.92529e-09	7.55376e-22
33	2992.37	192.37	100	20000	0.000249942	3.25935e-08	1000	10000	5.479e-07	40000	6.2932e-06	10000	100000	2.79753e-07	1e+06	3.23585e-06	1.52016e-32	20000	100000	3.29618e-07	20000	7.62838	0.00124962	1.3729e-06	2.35197e-05	1.69162e-11	2.00422e-06	2.27949e-07	1.85572e-45	-9.70267e-40	9.11795e-07	4.90387e-09	4.68388e-07	4.86482e-07	7.14962e-42	-3.9204e-34	8.00749e-07	5.57561e-08	9.71705e-09	1.03491e-47	7.81181e-22	7.40548e-48	500000	3.70819e-47	-6.54201e-28	100000	1.09033e-28	-4.01836e-29	500000	5.45167e-28	-2.00918e-28	7.41888e-32	100000	-1.41891e-34	5.22834e-36	100000	7.062e-09	1.09511e-21
