Time	[thrombin]	[thrombin_R]	[pro_thrombinR]	[thrombin_ligand]	[thrombinR active]	[RGS]	[Inositol]	[sa40_degraded]	[thrombinR]	[RGS]	[GTP]	[G_sub_q_endsub__alpha_.GTP]	[GDP]	[IP3R]	[3IP3.IP3R]	[p115RhoGEF]	[Rho-kinase]	[RhoGAP]	[DAG]	[IP3]	[Rho_GAP]	[Rho.GTP]	[PIP2]	[PC]	[Rho.GDP]	[Rho_GEF]	[Rho_GEF_active]	[Rho.GTP.Rho-kinase]	[Ca_super_2_plus__endsuper_.CaM]	[2Ca_super_2_plus__endsuper_.CaM]	[3Ca_super_2_plus__endsuper_.CaM]	[4Ca_super_2_plus__endsuper_.CaM]	[MLCK]	[MLCK.Ca_super_2_plus__endsuper_.CaM]	[MLCK.2Ca_super_2_plus__endsuper_.CaM]	[MLCK.3Ca_super_2_plus__endsuper_.CaM]	[MLCK.4Ca_super_2_plus__endsuper_.CaM]	[PKC]	[PKC active1]	[PKC.DAG]	[PKC active_2]	[PKC active_3]	[csa39_degraded]	[csa36_degraded]	[csa35_degraded]	[PKC active_1.CPI]	[PKC active_2.CPI]	[PKC active_3.CPI]	[CPI-17.MYPT1_PPase]	[CPI-17.MYPT1_PPase]	[CPI-17]	[MLC]	[MLC]	[Rho-kinase.MLC]	[Rho-kinase.MLC]	[CPI-17]	[Ca_super_2_plus__endsuper_]	[CaM]	[Ca_super_2_plus__endsuper_ store]	[G_beta__gamma__1]	[G_beta__gamma__2]	[PLC_beta_]	[Ca_super_2_plus__endsuper_ trunsp]	[Ca_super_2_plus__endsuper_ pump]	[G_sub_12_endsub__alpha__beta__gamma__thrombinR active]	[p115RhoGEF.GTP_alpha_]	[G_sub_12_endsub__alpha__beta__gamma_]	[G_sub_12_endsub__alpha_.GDP]	[G_sub_12_endsub__alpha_.GTP]	[G_sub_q_endsub__alpha_.GDP]	[G_sub_q_endsub__alpha__beta__gamma__thrombinR active]	[G_sub_q_endsub__alpha__beta__gamma_]	[PLC_beta_.G_sub_q_endsub__alpha_.GTP]	[2Ca_super_2_plus__endsuper_ .Ca_super_2_plus__endsuper_ trunsp]	[Ca_super_2_plus__endsuper_  pump.Ca_super_2_plus__endsuper_]	[Rho.GTP.Rho-kinase.MLC]	[Rho.GTP.Rho-kinase.MLC]	[MLC]	[MYPT1.Rho-kinase]	[MYPT1.MLC]	[MYPT1.MLC]	[MYPT1.MLC]	[MYPT1.MLC]	[MLCK.MLC]	[MLCK.MLC]	[MYPT1.Rho-kinase]	[MLCK.4Ca_super_2_plus__endsuper_.CaM.MLC]	[MLCK.3Ca_super_2_plus__endsuper_.CaM.MLC]	[MLCK.4Ca_super_2_plus__endsuper_.CaM.MLC]	[MLCK.3Ca_super_2_plus__endsuper_.CaM.MLC]	[MLCK.2Ca_super_2_plus__endsuper_.CaM.MLC]	[MLCK.2Ca_super_2_plus__endsuper_.CaM.MLC]	[MLCK.Ca_super_2_plus__endsuper_.CaM.MLC]	[MLCK.Ca_super_2_plus__endsuper_.CaM.MLC]	[Ca_super_2_plus__endsuper_ ext leak]	[Ca_super_2_plus__endsuper_ ext]	[Ca_super_2_plus__endsuper_ int leak]	[PLC_beta_.G_sub_q_endsub__alpha_.GTP.Ca_super_2_plus__endsuper_]	[PKC.Ca_super_2_plus__endsuper_.DAG]	[PKC.Ca_super_2_plus__endsuper_]	[PLC_beta_.G_sub_q_endsub_.GTP.Ca.PIP2]	[PLC_beta_.Ca.PIP2]	[PLC_beta_.Ca_super_2_plus__endsuper_]	[MYPT1_PPase]	[MYPT1_PPase]
0	0	0	0.42	0	0	0.2	0	0	0	0.2	50	0	5	0.008333	0	0.1	0.042	0.1	0	0.3	0	0.005	10	0	0.09	0	0	0.005	0.3	0	0	0	0.69	0.05	0	0	0	2	0.039823	0	0.68193	0	0	0	0	0	0	0	0	0	0.059	0.1	0.1	0	0	0.059	0.0833	19.65	155	0	0	0.57	0.5	0.1	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833	4000	0.001	0	0	0.094	0	0.08	0.15	0.7	0.7
1	0	0	0.42	0	0	0.2	0.743702	0	0	0.2	50	0	5	0.0083309	2.10336e-06	0.0991911	0.00784314	0.09984	0.683324	0.293015	0.000159962	0.00452078	10	0.0530172	0.0893278	0.00080891	0	0.000580847	0.352636	0.0070051	3.57381e-05	6.36963e-08	0.665231	0.0355614	0.000207924	0.000106438	1.68595e-07	2.15025	0.0429553	0.000214625	0.180218	5.12525e-05	7.07459e-10	1.33984e-05	1.91007e-06	0.000293395	0.00126689	3.09854e-07	0.0399543	0.0399543	8.45853e-06	0.0816144	0.0816144	0.00752552	0.00752552	8.45853e-06	0.0904534	19.5873	154.835	0	0	0.581152	0.47453	0.0307205	0	0	0.5	0	0	0	0	0.5	0	0.02547	0.0692795	0.000123938	0.000123938	0.0816144	0.0255303	0.000681009	0.000681009	0.000681009	0.000681009	0.00236065	0.00236065	0.0255303	7.478e-09	4.80878e-06	7.478e-09	4.80878e-06	9.66398e-06	9.66398e-06	0.00185675	0.00185675	0.00833	4000	0.001	0	0.00011513	0.440373	0	0.0732853	0.145563	0.596831	0.596831
2	0	0	0.42	0	0	0.2	1.48924	0	0	0.2	50	0	5	0.00833064	2.35941e-06	0.09854	0.007753	0.0998458	1.2932	0.306847	0.000154241	0.00436206	10	0.201695	0.0887884	0.00145996	0	0.000587216	0.399	0.00902867	5.22679e-05	1.05523e-07	0.658415	0.0398118	0.000469933	0.000308528	5.59985e-07	2.27949	0.0455463	0.000827653	0.136641	0.00019334	6.16032e-09	2.06086e-05	3.96305e-06	0.000192244	0.000584847	7.83524e-07	0.0268665	0.0268665	6.04892e-06	0.0719144	0.0719144	0.00747897	0.00747897	6.04892e-06	0.102318	19.5319	154.932	0	0	0.56458	0.464933	0.0281216	0	0	0.5	0	0	0	0	0.5	0	0.0350675	0.0718784	0.000119192	0.000119192	0.0719144	0.0256715	0.000601964	0.000601964	0.000601964	0.000601964	0.00222436	0.00222436	0.0256715	2.57753e-08	1.4324e-05	2.57753e-08	1.4324e-05	2.22473e-05	2.22473e-05	0.00197362	0.00197362	0.00833	4000	0.001	0	0.000185736	0.352071	0	0.0788169	0.156603	0.595554	0.595554
3	0	0	0.42	0	0	0.2	2.28227	0	0	0.2	50	1.09014e-23	5	0.00833014	2.86212e-06	0.0980161	0.00774889	0.09985	1.86751	0.326884	0.000150009	0.00424446	10	0.439249	0.0883478	0.00198395	0	0.000591742	0.416024	0.00983903	5.94842e-05	1.25322e-07	0.652014	0.0437234	0.000707771	0.000555181	1.07194e-06	2.36322	0.0472355	0.00180442	0.111229	0.000371272	1.91486e-08	2.63047e-05	6.11374e-06	0.000288016	0.000685569	2.21021e-06	0.0189934	0.0189934	8.67217e-06	0.065164	0.065164	0.00750922	0.00750922	8.67217e-06	0.106718	19.5075	155.055	0	0	0.550833	0.461184	0.0272688	0	0	0.5	0	0	1.68885e-26	0	0.5	1.33648e-24	0.0388159	0.0727312	0.000116602	0.000116602	0.065164	0.025632	0.000547175	0.000547175	0.000547175	0.000547175	0.00214104	0.00214104	0.025632	4.95018e-08	2.57509e-05	4.95018e-08	2.57509e-05	3.33444e-05	3.33444e-05	0.00210869	0.00210869	0.00833	4000	0.001	1.65953e-24	0.00022592	0.290655	3.25343e-24	0.0834504	0.165716	0.594898	0.594898
4	0	0	0.42	0	0	0.2	3.11801	0	0	0.2	50	3.79762e-25	5	0.00832974	3.25748e-06	0.0975943	0.00775082	0.0998531	2.39501	0.340505	0.0001469	0.00415818	10	0.759596	0.0879869	0.00240566	0	0.00059547	0.422655	0.0101668	6.25081e-05	1.33862e-07	0.646886	0.0467827	0.000899818	0.000818496	1.63313e-06	2.41789	0.0483387	0.00309537	0.0945226	0.000562448	4.0739e-08	3.10414e-05	8.32808e-06	0.000367511	0.000724607	4.20613e-06	0.0147	0.0147	1.07451e-05	0.060658	0.060658	0.00752829	0.00752829	1.07451e-05	0.108443	19.4952	155.118	0	0	0.542873	0.459677	0.0269483	0	0	0.5	0	0	8.43447e-26	0	0.5	9.43878e-25	0.0403227	0.0730517	0.000115694	0.000115694	0.060658	0.0255937	0.00051082	0.00051082	0.00051082	0.00051082	0.00209618	0.00209618	0.0255937	7.55416e-08	3.79547e-05	7.55416e-08	3.79547e-05	4.22986e-05	4.22986e-05	0.0022293	0.0022293	0.00833	4000	0.001	3.07683e-24	0.000252106	0.249954	6.18556e-24	0.0861405	0.170987	0.593895	0.593895
5	0	0	0.42	0	0	0.2	3.97956	0	0	0.2	50	6.23749e-25	5	0.00832951	3.49036e-06	0.097255	0.00775586	0.0998553	2.86682	0.347876	0.000144659	0.00409611	10	1.15496	0.0876905	0.00274503	0	0.000598547	0.424338	0.010254	6.33372e-05	1.36216e-07	0.643037	0.0490058	0.00104632	0.00108578	2.2081e-06	2.45377	0.0490628	0.00463799	0.0833686	0.00075623	7.12688e-08	3.51426e-05	1.05841e-05	0.000426462	0.000729175	6.49247e-06	0.0123671	0.0123671	1.22412e-05	0.0577928	0.0577928	0.00753965	0.00753965	1.22412e-05	0.108881	19.4895	155.128	0	0	0.538956	0.459204	0.0268672	0	0	0.5	0	0	1.45878e-25	0	0.5	8.80436e-25	0.0407957	0.0731328	0.000115813	0.000115813	0.0577928	0.0255586	0.000487971	0.000487971	0.000487971	0.000487971	0.00207611	0.00207611	0.0255586	1.02633e-07	5.05424e-05	1.02633e-07	5.05424e-05	4.93139e-05	4.93139e-05	0.00232946	0.00232946	0.00833	4000	0.001	2.9079e-24	0.000271135	0.222675	5.8165e-24	0.087467	0.173577	0.592745	0.592745
6	0	0	0.42	0	0	0.2	4.85397	0	0	0.2	50	6.06403e-25	5	0.0083294	3.5994e-06	0.0969819	0.00776233	0.0998569	3.28075	0.351121	0.000143088	0.00405269	10	1.61674	0.0874463	0.0030181	0	0.000601091	0.423214	0.0102027	6.28798e-05	1.34889e-07	0.640278	0.0505239	0.00115313	0.00135028	2.77729e-06	2.47744	0.0495403	0.00636718	0.0758138	0.000947577	1.10727e-07	3.88166e-05	1.28675e-05	0.000468601	0.000720443	8.87604e-06	0.0110997	0.0110997	1.32931e-05	0.0560879	0.0560879	0.00754613	0.00754613	1.32931e-05	0.108585	19.4878	155.102	0	0	0.537516	0.459308	0.0269195	0	0	0.5	0	0	2.08649e-25	0	0.5	8.60928e-25	0.0406923	0.0730805	0.000116486	0.000116486	0.0560879	0.0255276	0.000474682	0.000474682	0.000474682	0.000474682	0.00207089	0.00207089	0.0255276	1.30033e-07	6.32768e-05	1.30033e-07	6.32768e-05	5.46645e-05	5.46645e-05	0.00240838	0.00240838	0.00833	4000	0.001	2.82609e-24	0.000286389	0.204108	5.6527e-24	0.0879581	0.174526	0.591582	0.591582
7	0	0	0.42	0	0	0.2	5.73309	0	0	0.2	50	5.99759e-25	5	0.00832937	3.62829e-06	0.0967622	0.00776914	0.099858	3.6389	0.351856	0.00014203	0.00402355	10	2.13639	0.0872444	0.00323778	0	0.000603206	0.420439	0.0100703	6.16737e-05	1.31435e-07	0.638393	0.051483	0.00122729	0.00160826	3.32965e-06	2.49315	0.0498574	0.00822217	0.0706008	0.00113407	1.58939e-07	4.21989e-05	1.51691e-05	0.000498217	0.000707929	1.12426e-05	0.0104112	0.0104112	1.40252e-05	0.0551731	0.0551731	0.00754969	0.00754969	1.40252e-05	0.107857	19.4888	155.055	0	0	0.537557	0.459749	0.0270514	0	0	0.5	0	0	2.72138e-25	0	0.5	8.46475e-25	0.0402512	0.0729486	0.000117404	0.000117404	0.0551731	0.0255005	0.000467903	0.000467903	0.000467903	0.000467903	0.0020739	0.0020739	0.0255005	1.5719e-07	7.59627e-05	1.5719e-07	7.59627e-05	5.85987e-05	5.85987e-05	0.00246706	0.00246706	0.00833	4000	0.001	2.76018e-24	0.000299385	0.191213	5.52121e-24	0.0879496	0.174494	0.590485	0.590485
8	0	0	0.42	0	0	0.2	6.61201	0	0	0.2	50	5.95644e-25	5	0.00832939	3.60846e-06	0.0965855	0.00777568	0.0998586	3.9455	0.351093	0.000141363	0.00400531	10	2.70583	0.0870767	0.00341448	0	0.000604988	0.416727	0.00989297	6.00634e-05	1.26866e-07	0.63718	0.052015	0.0012755	0.00185772	3.85941e-06	2.50368	0.0500697	0.0101499	0.066917	0.00131442	2.15647e-07	4.53777e-05	1.74827e-05	0.000519013	0.000695436	1.35343e-05	0.0100372	0.0100372	1.45368e-05	0.0547723	0.0547723	0.0075516	0.0075516	1.45368e-05	0.106883	19.4914	154.997	0	0	0.538474	0.460381	0.0272303	0	0	0.5	0	0	3.36116e-25	0	0.5	8.36983e-25	0.039619	0.0727697	0.000118374	0.000118374	0.0547723	0.025477	0.000465341	0.000465341	0.000465341	0.000465341	0.00208088	0.00208088	0.025477	1.83688e-07	8.84396e-05	1.83688e-07	8.84396e-05	6.1345e-05	6.1345e-05	0.0025075	0.0025075	0.00833	4000	0.001	2.70705e-24	0.000310706	0.182025	5.40885e-24	0.0876452	0.173881	0.589492	0.589492
9	0	0	0.42	0	0	0.2	7.48783	0	0	0.2	50	5.92482e-25	5	0.00832944	3.56027e-06	0.0964434	0.00778159	0.099859	4.20565	0.349452	0.000140992	0.00399528	10	3.31772	0.0869368	0.00355656	0	0.000606516	0.412529	0.00969357	5.82668e-05	1.21819e-07	0.636471	0.0522304	0.0013037	0.00209779	4.36407e-06	2.51081	0.0502135	0.0121058	0.0642375	0.00148774	2.80546e-07	4.84108e-05	1.98045e-05	0.0005338	0.000684226	1.57258e-05	0.00983414	0.00983414	1.49005e-05	0.0546851	0.0546851	0.00755268	0.00755268	1.49005e-05	0.105783	19.4951	154.933	0	0	0.5399	0.461112	0.0274357	0	0	0.5	0	0	4.00387e-25	0	0.5	8.31121e-25	0.0388883	0.0725643	0.00011929	0.00011929	0.0546851	0.0254569	0.000465332	0.000465332	0.000465332	0.000465332	0.00208923	0.00208923	0.0254569	2.09235e-07	0.000100585	2.09235e-07	0.000100585	6.31166e-05	6.31166e-05	0.00253226	0.00253226	0.00833	4000	0.001	2.66362e-24	0.000320534	0.175277	5.31074e-24	0.0871692	0.172931	0.588615	0.588615
