Time	[Clb2T]	[Clb5T]	[Cln]	[Cdc20]	[Cdh1]	[Sic1T]	[Trim2]	[Trim5]	[Swi5]	[Mcm]	[MBF]	[Pds1T]	[Esp1T]	[PoloT]	[Polo]	[Net1dep]	[Net1pp]	[RENT]	[RENTp]	[Cdc14n]	[Tem1]	[Cdc15]	[MEN]	[Clb2]	[Clb5]	[Sic1]	[Pds1]	[Esp1b]	[Esp1]	[Net1p]	[Net1]	[Cdc14c]
0	0.999107	0.201977	0.04079	0	0	0.001683	0.00145	0	0	0.996743	0.001977	0.601977	0.25	1	1	0.0119	0.0119	0.483	0.014	0.00214	1	0.933	0	0.997657	0.201977	0.000233	0.353407	0.24857	0.00143	0.013	0.4921	0.01486
1	0.995675	0.197091	0.0407907	0.0482879	0.00742285	0.00349214	0.00304275	0.00014594	0.0468225	0.996723	0.00199599	0.573202	0.25	0.999574	0.983088	0.000471973	0.857492	0.137122	0.136877	0.0561105	0.504665	0.836871	0.484614	0.992632	0.196945	0.000303453	0.324897	0.248305	0.00169495	0.013	-0.00761418	0.306768
2	0.984059	0.183836	0.040795	0.091217	0.0145756	0.00838089	0.00745977	0.000350693	0.0985303	0.996652	0.0020564	0.498715	0.25	0.994447	0.977677	0.00257314	0.9706	0.0286547	0.0264147	0.140852	0.0532448	0.769916	0.0461519	0.9766	0.183485	0.000570436	0.251068	0.247648	0.00235249	0.013	-0.0122551	0.330493
3	0.969874	0.164811	0.0408045	0.129921	0.00517917	0.00805771	0.00733676	0.000314662	0.0598935	0.996587	0.00212953	0.400932	0.25	0.990838	0.973765	0.0112624	0.972083	0.0275054	0.0165514	0.336189	0.00652373	0.703685	0.00275769	0.962537	0.164496	0.000406287	0.154942	0.24599	0.00400965	0.013	-0.0125882	0.136305
4	0.954941	0.142596	0.0408186	0.165412	0.00287667	0.00537376	0.0049182	0.00018511	0.0324589	0.996527	0.0022114	0.30043	0.25	0.990307	0.972977	0.0150561	0.963704	0.0358764	0.0211296	0.396984	0.00816254	0.634193	0.00349358	0.950023	0.142411	0.000270453	0.0606343	0.239795	0.0102047	0.013	-0.0125806	0.0671396
5	0.937748	0.119549	0.0408377	0.197558	0.00307852	0.00446409	0.00407925	0.000130791	0.0288654	0.996446	0.00231259	0.211786	0.25	0.990251	0.972581	0.01489	0.960077	0.0394755	0.0249014	0.391149	0.0288527	0.569323	0.0176207	0.933669	0.119418	0.000254047	0.00934134	0.202444	0.0475558	0.013	-0.0125524	0.0693753
6	0.917097	0.0975502	0.0408625	0.22577	0.0133494	0.00606485	0.00547969	0.000146415	0.0643138	0.996331	0.00243717	0.142057	0.25	0.988376	0.970249	0.00403405	0.970024	0.029364	0.0256621	0.202343	0.152476	0.52698	0.125953	0.911617	0.0974038	0.000438739	0.00266176	0.139395	0.110605	0.013	-0.0123881	0.268293
7	0.887172	0.0780084	0.040895	0.245965	0.0485351	0.0123836	0.011231	0.000248615	0.143873	0.996129	0.00261325	0.0923504	0.25	0.97575	0.956887	0.00115702	0.982682	0.0162929	0.01555	0.0751737	0.365223	0.522277	0.310112	0.875941	0.0777598	0.000903985	0.00122991	0.0911205	0.158879	0.013	-0.0119751	0.408533
8	0.842682	0.0618851	0.0409394	0.253195	0.100914	0.020916	0.0191126	0.000354961	0.221144	0.995787	0.00287039	0.0600821	0.25	0.943174	0.923125	0.000758468	0.986293	0.0123537	0.0120149	0.0488804	0.606581	0.531534	0.461374	0.823569	0.0615301	0.0014484	0.000688888	0.0593932	0.190607	0.013	-0.0116465	0.438766
9	0.783075	0.0494715	0.0410019	0.245822	0.165015	0.0307886	0.02821	0.000453427	0.297656	0.995236	0.00324817	0.0407551	0.25	0.887641	0.865796	0.000689241	0.986423	0.0120466	0.0117776	0.0430167	0.837099	0.545144	0.519543	0.754865	0.0490181	0.00212517	0.000443041	0.040312	0.209688	0.013	-0.01147	0.444937
10	0.710429	0.0404673	0.0410923	0.225457	0.238631	0.0433657	0.0396858	0.000580497	0.383387	0.994329	0.00382405	0.0299417	0.25	0.810546	0.786033	0.000671494	0.985441	0.0128983	0.0126493	0.0408903	0.991078	0.561701	0.545524	0.670744	0.0398868	0.00309943	0.00032404	0.0296177	0.220382	0.013	-0.0113392	0.446211
11	0.628297	0.0342681	0.0412286	0.196248	0.320442	0.0609765	0.0555282	0.000790697	0.486387	0.992729	0.0047622	0.0243531	0.25	0.716667	0.68816	0.000660674	0.983857	0.0143458	0.0141085	0.0394879	0.989937	0.581465	0.564108	0.572769	0.0334774	0.00465761	0.000267004	0.0240861	0.225914	0.013	-0.0112027	0.446166
12	0.541018	0.030217	0.0414486	0.163495	0.409423	0.0869834	0.0784396	0.00118034	0.610619	0.989451	0.0064756	0.021913	0.25	0.613128	0.578436	0.000644079	0.981641	0.0163842	0.0161608	0.0379495	0.983218	0.604904	0.585661	0.462579	0.0290366	0.00736341	0.000243087	0.0216699	0.22833	0.013	-0.0110254	0.445666
13	0.45317	0.0277454	0.0418512	0.131955	0.504835	0.126494	0.111973	0.00196448	0.752279	0.980544	0.0102876	0.0214233	0.25	0.507895	0.463067	0.000623864	0.978573	0.0192143	0.0190063	0.0362839	0.963154	0.632452	0.609781	0.341197	0.0257809	0.0125564	0.000238655	0.0211846	0.228815	0.013	-0.0107869	0.444502
14	0.369052	0.026439	0.0427734	0.104392	0.60625	0.18742	0.159369	0.00371097	0.888781	0.946616	0.021567	0.0222364	0.25	0.407928	0.345441	0.000604402	0.974232	0.0232283	0.023034	0.0346269	0.907705	0.664485	0.633208	0.209683	0.022728	0.0243397	0.000247562	0.0219889	0.228011	0.013	-0.0104606	0.442145
15	0.292157	0.0261261	0.0454683	0.080548	0.713575	0.280583	0.212123	0.00811101	0.970217	0.836325	0.0580545	0.02412	0.25	0.317004	0.22457	0.000600063	0.967752	0.0292716	0.0290804	0.0335331	0.793911	0.700982	0.64045	0.0800336	0.0180151	0.0603488	0.000269301	0.0238507	0.226149	0.013	-0.0100236	0.437195
16	0.224865	0.0269612	0.0526523	0.0584734	0.825896	0.408619	0.2121	0.0177219	0.99267	0.635823	0.13381	0.0272592	0.25	0.235668	0.110879	0.000688547	0.957443	0.0392007	0.0389488	0.0360739	0.611473	0.739021	0.561255	0.0127649	0.00923931	0.178797	0.000307653	0.0269515	0.223048	0.013	-0.00964372	0.424725
17	0.168769	0.0291351	0.0659195	0.0384444	0.934781	0.538467	0.164449	0.0254653	0.996258	0.4074	0.226467	0.0319357	0.25	0.165232	0.0396901	0.00112969	0.941842	0.0550206	0.0544044	0.0499024	0.371958	0.771769	0.352717	0.00431992	0.00366978	0.348552	0.000364992	0.0315707	0.218429	0.013	-0.00986262	0.395077
18	0.125094	0.0326536	0.084621	0.0220399	0.998788	0.643633	0.122555	0.0298806	0.996471	0.179168	0.322052	0.0382551	0.25	0.1082	0.0111013	0.00393949	0.920541	0.0773733	0.0739743	0.101111	0.103809	0.795988	0.0940988	0.00253825	0.00277295	0.491197	0.00044365	0.0378114	0.212189	0.013	-0.0109143	0.321516
19	0.0946047	0.0374663	0.107671	0.00972316	0.999409	0.714563	0.0927536	0.0346335	0.994826	0.00108771	0.418096	0.046242	0.25	0.0657819	0.00295611	0.0347153	0.888247	0.110563	0.0764297	0.252201	3.06139e-05	0.806223	8.39212e-06	0.00185111	0.0028328	0.587176	0.000547456	0.0456946	0.204305	0.013	-0.0118099	0.137237
