Time	[RuBP]	[PGA]	[TP]	[Ru5P]	[Pi]	[ATP]	[ADP]	[RuBisCo]	[totRuBP]	[TPc]	[Pic]
50	0.689274	9.70365	0.229625	0.259072	0.845837	0.213343	1.28666	3.56	2.37424	0.2	1.4
51	0.689261	9.70368	0.229624	0.259072	0.845833	0.213341	1.28666	3.56	2.37422	0.2	1.4
52	0.689251	9.70371	0.229623	0.259072	0.84583	0.21334	1.28666	3.56	2.37421	0.2	1.4
53	0.689243	9.70373	0.229623	0.259072	0.845828	0.213339	1.28666	3.56	2.37421	0.2	1.4
54	0.689237	9.70374	0.229623	0.259072	0.845826	0.213338	1.28666	3.56	2.3742	0.2	1.4
55	0.689232	9.70375	0.229622	0.259072	0.845825	0.213337	1.28666	3.56	2.3742	0.2	1.4
56	0.689229	9.70376	0.229622	0.259072	0.845824	0.213337	1.28666	3.56	2.37419	0.2	1.4
57	0.689226	9.70377	0.229622	0.259071	0.845823	0.213337	1.28666	3.56	2.37419	0.2	1.4
58	0.689224	9.70378	0.229622	0.259071	0.845822	0.213336	1.28666	3.56	2.37419	0.2	1.4
59	0.689222	9.70378	0.229622	0.259071	0.845822	0.213336	1.28666	3.56	2.37418	0.2	1.4
60	0.689221	9.70378	0.229622	0.259071	0.845821	0.213336	1.28666	3.56	2.37418	0.2	1.4
61	0.68922	9.70379	0.229622	0.259071	0.845821	0.213336	1.28666	3.56	2.37418	0.2	1.4
62	0.689219	9.70379	0.229622	0.259071	0.845821	0.213336	1.28666	3.56	2.37418	0.2	1.4
63	0.689219	9.70379	0.229621	0.259071	0.845821	0.213336	1.28666	3.56	2.37418	0.2	1.4
64	0.689218	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
65	0.689218	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
66	0.689218	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
67	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
68	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
69	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
70	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
71	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
72	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
73	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
74	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
75	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
