Time	[ClosedState_3]	[ClosedState_2]	[ClosedState_1]	[OpenState]	[InactivationState]	[cardiac delayed rectifier current]
88	0.302005	0.180196	0.356427	0.0564084	0.164963	0.179096
89	0.293932	0.18083	0.357844	0.0578993	0.169495	0.183829
90	0.286088	0.181383	0.359097	0.059393	0.174039	0.188572
91	0.278465	0.181861	0.360193	0.0608887	0.178593	0.193321
92	0.271057	0.182265	0.361137	0.0623859	0.183155	0.198074
93	0.263859	0.182598	0.361936	0.0638839	0.187723	0.20283
94	0.256864	0.182863	0.362596	0.0653821	0.192295	0.207587
95	0.250066	0.183064	0.363122	0.0668799	0.196869	0.212343
96	0.24346	0.183202	0.363519	0.0683769	0.201443	0.217096
97	0.237039	0.18328	0.363793	0.0698725	0.206016	0.221844
98	0.230799	0.183301	0.363948	0.0713661	0.210585	0.226586
99	0.224735	0.183267	0.36399	0.0728574	0.21515	0.231321
100	0.218841	0.183181	0.363923	0.0743459	0.219709	0.236047
