Time	[ADPi]	[ATPi]	[Cri]	[PCri]	[PCr]	[ADP]	[ATP]	[Cr]	[Pii]	[Pi]
0	0	0	0	0	0	0	9700	26000	32000	0
1	57645.8	554.145	155997	3.19248	0.145494	4849.92	0.0821536	12999.9	73796.7	6170.27
2	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
3	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
4	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
5	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
6	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
7	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
8	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
9	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
10	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
11	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
12	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
13	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
14	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
15	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
16	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
17	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
18	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
19	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
20	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
21	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
22	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
23	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
24	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
25	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
26	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
27	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
28	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
29	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
30	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
31	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
32	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
33	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
34	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
35	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
36	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
37	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
38	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
39	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
40	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
41	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
42	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
43	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
44	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
45	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
46	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
47	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
48	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
49	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
50	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
51	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
52	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
53	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
54	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
55	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
56	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
57	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
58	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
59	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
60	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
61	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
62	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
63	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
64	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
65	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
66	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
67	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
68	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
69	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
70	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
71	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
72	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
73	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
74	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
75	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
76	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
77	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
78	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
79	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
80	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
81	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
82	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
83	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
84	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
85	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
86	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
87	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
