Time	[PGA]	[DPGA]	[GAP]	[DHAP]	[TP]	[FBP]	[F6P]	[G6P]	[G1P]	[HeP]	[E4P]	[SBP]	[S7P]	[X5P]	[R5P]	[Ru5P]	[PeP]	[RuBP]	[ATP]	[ADP]	[NADPH]	[Pi]	[PGCA]	[GCA]	[GCEA]	[CO2]	[O2]	[NADP]	[HPRc]	[GCAc]	[GOAc]	[GLYc]	[SERc]	[GCEAc]	[PGAc]	[GAPc]	[DHAPc]	[TPc]	[FBPc]	[F6Pc]	[G6Pc]	[G1Pc]	[HePc]	[F26BPc]	[UDPGc]	[SucPc]	[Succ]	[UTPc]	[UDPc]	[NAD]	[NADH]	[GLUc]	[KGc]	[Pic]	[PiTc]	[ATPc]	[ADPc]	[PiPic]
41	5.47836	0.00592561	0.157136	3.14273	3.29987	0.0322714	0.122749	0.282323	0.0163747	0.421446	0.237568	0.377344	0.436134	0.164465	0.275479	0.110192	0.550135	1.74736	0.159679	1.34032	0.21	0.0908924	0.000121733	0.0463299	0.46242	0.009	0.2646	0.29	0.00216181	0.0193325	0.00800571	0.927228	8.3966	0.463427	0.0856597	0.298317	5.96634	6.26466	1.52933	1.25138	2.87817	0.168085	4.29763	0.0498425	1.58148	0.0183195	0.0675047	0.75	-0.831481	0.4	0.47	24	0.4	0.0753975	0.0753975	0.35	0.65	5.62101e-10
42	5.44258	0.00593452	0.157823	3.15645	3.31428	0.0325038	0.123712	0.284537	0.0165032	0.424752	0.241188	0.386631	0.432592	0.164078	0.274831	0.109932	0.548841	1.74734	0.159813	1.34019	0.21	0.0910074	0.000121635	0.0462494	0.46161	0.009	0.2646	0.29	0.00216051	0.0193138	0.00799688	0.926251	8.40477	0.462871	0.0849054	0.30062	6.0124	6.31302	1.52809	1.23812	2.84767	0.166304	4.25209	0.0500574	1.58608	0.0184842	0.0683834	0.75	-0.836075	0.4	0.47	24	0.4	0.0751999	0.0751999	0.35	0.65	-2.06715e-11
43	5.40632	0.00593674	0.158375	3.16749	3.32587	0.0326993	0.124699	0.286807	0.0166348	0.428141	0.244825	0.39582	0.429753	0.163758	0.274294	0.109718	0.547769	1.74867	0.159879	1.34012	0.21	0.0910771	0.000121554	0.0461588	0.460314	0.009	0.2646	0.29	0.0021595	0.0192985	0.00798942	0.925461	8.41282	0.461823	0.084111	0.302908	6.05815	6.36106	1.52703	1.2249	2.81726	0.164528	4.20669	0.0502479	1.59021	0.0186209	0.0691557	0.75	-0.840209	0.4	0.47	24	0.4	0.0749629	0.0749629	0.35	0.65	-8.11884e-11
44	5.37034	0.00593303	0.158796	3.17592	3.33471	0.0328581	0.125698	0.289105	0.0167681	0.431571	0.248445	0.40482	0.427565	0.163499	0.27386	0.109544	0.546903	1.75106	0.159884	1.34012	0.21	0.0911056	0.000121487	0.0460601	0.458617	0.009	0.2646	0.29	0.00215874	0.0192861	0.00798315	0.924844	8.42076	0.460361	0.0832959	0.305178	6.10357	6.40875	1.52612	1.21173	2.78698	0.162759	4.16146	0.0504145	1.59392	0.0187311	0.0698237	0.75	-0.843924	0.4	0.47	24	0.4	0.0746938	0.0746938	0.35	0.65	8.16256e-10
45	5.33529	0.0059242	0.159093	3.18185	3.34095	0.0329813	0.126698	0.291405	0.0169015	0.435005	0.252014	0.413547	0.425975	0.163296	0.27352	0.109408	0.546224	1.75429	0.159834	1.34017	0.21	0.0910974	0.000121431	0.0459555	0.456599	0.009	0.2646	0.29	0.00215818	0.019276	0.00797789	0.924384	8.42859	0.458562	0.0824769	0.307429	6.14859	6.45602	1.52536	1.19862	2.75683	0.160999	4.11645	0.0505578	1.59726	0.0188162	0.0703905	0.75	-0.847259	0.4	0.47	24	0.4	0.0743993	0.0743993	0.35	0.65	-3.326e-10
46	5.30168	0.00591107	0.159273	3.18546	3.34474	0.0330706	0.127689	0.293684	0.0170337	0.438406	0.255503	0.421929	0.424928	0.163144	0.273266	0.109306	0.545715	1.75814	0.159739	1.34026	0.21	0.0910571	0.000121386	0.045847	0.454335	0.009	0.2646	0.29	0.0021578	0.019268	0.00797349	0.924066	8.43632	0.4565	0.0816685	0.309659	6.19318	6.50284	1.52474	1.18559	2.72685	0.159248	4.07169	0.0506783	1.60025	0.0188777	0.0708601	0.75	-0.85025	0.4	0.47	24	0.4	0.0740857	0.0740857	0.35	0.65	2.0885e-10
47	5.26993	0.00589446	0.159347	3.18694	3.34629	0.0331282	0.128661	0.29592	0.0171633	0.441744	0.258885	0.429904	0.424369	0.163037	0.273087	0.109235	0.545359	1.76243	0.159604	1.3404	0.21	0.0909895	0.00012135	0.0457365	0.451899	0.009	0.2646	0.29	0.00215756	0.0192616	0.00796982	0.923875	8.44397	0.454246	0.0808828	0.311865	6.23731	6.54917	1.52425	1.17264	2.69706	0.157509	4.02721	0.0507765	1.60293	0.0189173	0.071237	0.75	-0.85293	0.4	0.47	24	0.4	0.0737588	0.0737588	0.35	0.65	9.45926e-10
48	5.24036	0.0058751	0.159325	3.18651	3.34583	0.0331567	0.129606	0.298095	0.0172895	0.44499	0.262137	0.437418	0.424244	0.162971	0.272976	0.10919	0.545138	1.76697	0.159437	1.34056	0.21	0.0908991	0.00012132	0.0456259	0.449356	0.009	0.2646	0.29	0.00215743	0.0192567	0.00796674	0.923795	8.45155	0.451864	0.0801294	0.314047	6.28094	6.59498	1.52389	1.15978	2.66749	0.155781	3.98305	0.0508529	1.60533	0.0189368	0.0715264	0.75	-0.85533	0.4	0.47	24	0.4	0.0734236	0.0734236	0.35	0.65	-1.22542e-10
49	5.2132	0.00585369	0.159219	3.18437	3.34359	0.0331592	0.130518	0.300192	0.0174111	0.448122	0.265237	0.444431	0.424502	0.16294	0.272925	0.10917	0.545035	1.77164	0.159245	1.34076	0.21	0.0907901	0.000121296	0.0455167	0.446767	0.009	0.2646	0.29	0.0021574	0.0192528	0.00796416	0.923812	8.45905	0.449416	0.0794157	0.316202	6.32405	6.64025	1.52363	1.14702	2.63814	0.154067	3.93923	0.050908	1.60748	0.0189377	0.0717337	0.75	-0.857479	0.4	0.47	24	0.4	0.0730844	0.0730844	0.35	0.65	9.87319e-10
50	5.1886	0.00583078	0.159039	3.18077	3.33981	0.0331386	0.131391	0.302199	0.0175275	0.451117	0.268168	0.450913	0.425092	0.162941	0.272926	0.10917	0.545037	1.7763	0.159033	1.34097	0.21	0.0906661	0.000121277	0.0454105	0.444187	0.009	0.2646	0.29	0.00215744	0.0192499	0.00796197	0.923914	8.4665	0.446955	0.0787471	0.318331	6.36662	6.68495	1.52349	1.13437	2.60904	0.152368	3.89578	0.0509422	1.6094	0.0189219	0.0718646	0.75	-0.859402	0.4	0.47	24	0.4	0.072745	0.072745	0.35	0.65	9.22542e-10
51	5.16665	0.00580691	0.158796	3.17592	3.33472	0.0330979	0.132219	0.304103	0.017638	0.45396	0.270917	0.456841	0.425968	0.162968	0.272972	0.109189	0.545129	1.78085	0.158805	1.34119	0.21	0.0905307	0.000121262	0.0453086	0.441663	0.009	0.2646	0.29	0.00215754	0.0192477	0.00796011	0.924089	8.47389	0.44453	0.0781271	0.320432	6.40863	6.72906	1.52344	1.12183	2.58021	0.150684	3.85272	0.0509561	1.61112	0.0188908	0.0719249	0.75	-0.861123	0.4	0.47	24	0.4	0.0724084	0.0724084	0.35	0.65	7.13305e-10
52	5.1474	0.00578247	0.158502	3.17003	3.32853	0.0330402	0.132998	0.305896	0.0177419	0.456636	0.273472	0.462206	0.427088	0.163019	0.273057	0.109223	0.545299	1.78522	0.158568	1.34143	0.21	0.0903865	0.000121249	0.0452122	0.439238	0.009	0.2646	0.29	0.00215768	0.019246	0.00795851	0.924326	8.48123	0.442184	0.0775579	0.322504	6.45008	6.77258	1.52347	1.10942	2.55165	0.149017	3.81009	0.0509501	1.61266	0.0188461	0.0719204	0.75	-0.862664	0.4	0.47	24	0.4	0.0720771	0.0720771	0.35	0.65	5.12282e-10
53	5.13086	0.00575779	0.158165	3.1633	3.32146	0.0329681	0.133726	0.307569	0.017839	0.459134	0.275827	0.467002	0.42841	0.16309	0.273175	0.10927	0.545534	1.78932	0.158323	1.34168	0.21	0.090236	0.000121239	0.0451222	0.436945	0.009	0.2646	0.29	0.00215786	0.0192447	0.0079571	0.924615	8.48854	0.439952	0.0770403	0.324548	6.49095	6.8155	1.52359	1.09713	2.52339	0.147366	3.76788	0.0509246	1.61404	0.0187891	0.0718567	0.75	-0.864044	0.4	0.47	24	0.4	0.0717531	0.0717531	0.35	0.65	6.00448e-10
54	5.11698	0.00573314	0.157795	3.1559	3.31369	0.0328843	0.1344	0.309119	0.0179289	0.461448	0.277974	0.471232	0.429901	0.163177	0.273321	0.109328	0.545826	1.7931	0.158073	1.34193	0.21	0.0900813	0.000121231	0.0450395	0.434815	0.009	0.2646	0.29	0.00215805	0.0192437	0.00795583	0.924947	8.4958	0.437864	0.076574	0.326562	6.53124	6.8578	1.52379	1.08497	2.49543	0.145733	3.72613	0.0508802	1.61528	0.0187213	0.0717392	0.75	-0.86528	0.4	0.47	24	0.4	0.071438	0.071438	0.35	0.65	6.49093e-10
55	5.10573	0.00570871	0.157399	3.14798	3.30538	0.032791	0.135018	0.310542	0.0180114	0.463571	0.279913	0.474906	0.431527	0.163278	0.273491	0.109396	0.546166	1.79652	0.157821	1.34218	0.21	0.089924	0.000121223	0.0449646	0.432872	0.009	0.2646	0.29	0.00215826	0.0192428	0.00795465	0.925315	8.50303	0.435947	0.0761583	0.328547	6.57095	6.89949	1.52404	1.07295	2.46778	0.144119	3.68485	0.0508173	1.61639	0.0186438	0.0715732	0.75	-0.866388	0.4	0.47	24	0.4	0.0711327	0.0711327	0.35	0.65	8.8655e-10
56	5.09703	0.00568466	0.156985	3.1397	3.29668	0.0326902	0.13558	0.311835	0.0180864	0.465501	0.281643	0.478036	0.433259	0.163391	0.273681	0.109472	0.546544	1.79953	0.157568	1.34243	0.21	0.0897653	0.000121216	0.0448981	0.431135	0.009	0.2646	0.29	0.00215847	0.0192421	0.00795353	0.925711	8.51023	0.434221	0.0757916	0.330504	6.61007	6.94057	1.52436	1.06107	2.44046	0.142523	3.64405	0.0507363	1.61738	0.0185579	0.0713637	0.75	-0.867381	0.4	0.47	24	0.4	0.0708383	0.0708383	0.35	0.65	6.8195e-10
57	5.0908	0.00566108	0.156558	3.13116	3.28772	0.0325838	0.136086	0.312998	0.0181539	0.467237	0.283164	0.480642	0.435073	0.163514	0.273886	0.109554	0.546955	1.80212	0.157316	1.34268	0.21	0.0896064	0.000121209	0.0448402	0.42962	0.009	0.2646	0.29	0.00215867	0.0192413	0.00795244	0.926129	8.51741	0.432701	0.0754722	0.332431	6.64861	6.98104	1.52472	1.04933	2.41347	0.140946	3.60375	0.0506377	1.61827	0.0184647	0.0711154	0.75	-0.868273	0.4	0.47	24	0.4	0.0705553	0.0705553	0.35	0.65	4.60822e-10
58	5.08695	0.00563805	0.156123	3.12247	3.27859	0.0324734	0.136535	0.314031	0.0182138	0.46878	0.284482	0.482743	0.436947	0.163645	0.274105	0.109642	0.547391	1.80426	0.157066	1.34293	0.21	0.0894479	0.000121202	0.0447913	0.428338	0.009	0.2646	0.29	0.00215887	0.0192405	0.00795133	0.926565	8.52457	0.4314	0.0751979	0.334329	6.68657	7.0209	1.52513	1.03774	2.38681	0.13939	3.56395	0.0505218	1.61907	0.018365	0.0708326	0.75	-0.869075	0.4	0.47	24	0.4	0.0702841	0.0702841	0.35	0.65	8.47976e-10
59	5.08538	0.00561561	0.155686	3.11371	3.2694	0.0323601	0.136929	0.314937	0.0182664	0.470133	0.285599	0.484362	0.438861	0.163781	0.274334	0.109734	0.547849	1.80594	0.156817	1.34318	0.21	0.0892905	0.000121194	0.0447513	0.427295	0.009	0.2646	0.29	0.00215905	0.0192395	0.00795019	0.927012	8.5317	0.430326	0.0749665	0.336198	6.72396	7.06016	1.52557	1.02631	2.3605	0.137853	3.52466	0.0503892	1.6198	0.0182599	0.0705194	0.75	-0.869796	0.4	0.47	24	0.4	0.070025	0.070025	0.35	0.65	7.54712e-10
60	5.08601	0.00559377	0.155248	3.10495	3.2602	0.032245	0.137269	0.315719	0.0183117	0.471299	0.286524	0.485524	0.4408	0.163923	0.274571	0.109828	0.548322	1.80715	0.156572	1.34343	0.21	0.0891347	0.000121185	0.0447204	0.426497	0.009	0.2646	0.29	0.00215921	0.0192383	0.00794898	0.927466	8.53882	0.429484	0.0747758	0.338039	6.76078	7.09882	1.52605	1.01502	2.33454	0.136337	3.4859	0.0502402	1.62044	0.01815	0.0701796	0.75	-0.870445	0.4	0.47	24	0.4	0.0697779	0.0697779	0.35	0.65	8.01894e-10
61	5.08872	0.00557256	0.154812	3.09625	3.25106	0.0321291	0.137556	0.316378	0.0183499	0.472283	0.287261	0.486254	0.442749	0.164068	0.274814	0.109925	0.548807	1.80789	0.156329	1.34367	0.21	0.0889808	0.000121175	0.0446984	0.425946	0.009	0.2646	0.29	0.00215934	0.0192369	0.00794768	0.927924	8.54592	0.428878	0.0746235	0.339852	6.79704	7.13689	1.52654	1.00389	2.30894	0.134842	3.44767	0.0500752	1.62103	0.0180361	0.0698165	0.75	-0.87103	0.4	0.47	24	0.4	0.0695431	0.0695431	0.35	0.65	9.67422e-11
62	5.09343	0.00555196	0.154382	3.08765	3.24203	0.0320131	0.137791	0.316919	0.0183813	0.473091	0.28782	0.486578	0.444697	0.164215	0.27506	0.110024	0.549299	1.80815	0.15609	1.34391	0.21	0.0888289	0.000121163	0.0446853	0.425641	0.009	0.2646	0.29	0.00215945	0.0192352	0.00794629	0.928382	8.553	0.428507	0.0745077	0.341637	6.83274	7.17438	1.52706	0.99291	2.28369	0.133368	3.40997	0.0498946	1.62156	0.017919	0.0694332	0.75	-0.871557	0.4	0.47	24	0.4	0.0693204	0.0693204	0.35	0.65	6.94101e-10
63	5.10003	0.00553197	0.153959	3.07918	3.23314	0.0318975	0.137977	0.317347	0.0184061	0.47373	0.288209	0.486522	0.446633	0.164364	0.275309	0.110124	0.549797	1.80795	0.155854	1.34415	0.21	0.0886793	0.00012115	0.0446808	0.425581	0.009	0.2646	0.29	0.00215952	0.0192331	0.00794477	0.928837	8.56008	0.428371	0.0744262	0.343395	6.8679	7.21129	1.52758	0.982091	2.25881	0.131914	3.37281	0.0496989	1.62203	0.0177991	0.0690327	0.75	-0.872034	0.4	0.47	24	0.4	0.0691099	0.0691099	0.35	0.65	-2.11871e-10
64	5.10843	0.00551258	0.153543	3.07087	3.22441	0.0317828	0.138115	0.317665	0.0184246	0.474205	0.288435	0.486111	0.44855	0.164513	0.275559	0.110224	0.550296	1.80729	0.155622	1.34438	0.21	0.0885321	0.000121134	0.0446848	0.425762	0.009	0.2646	0.29	0.00215956	0.0192306	0.00794311	0.929285	8.56714	0.428466	0.0743771	0.345126	6.90252	7.24764	1.52811	0.971431	2.23429	0.130483	3.33621	0.0494885	1.62247	0.017677	0.0686175	0.75	-0.872466	0.4	0.47	24	0.4	0.0689113	0.0689113	0.35	0.65	4.44221e-10
65	5.11854	0.00549376	0.153137	3.06274	3.21588	0.0316694	0.138208	0.317879	0.018437	0.474525	0.288508	0.48537	0.450441	0.164662	0.275808	0.110323	0.550794	1.80618	0.155393	1.34461	0.21	0.0883873	0.000121116	0.0446969	0.42618	0.009	0.2646	0.29	0.00215956	0.0192278	0.0079413	0.929726	8.57419	0.428789	0.0743586	0.34683	6.9366	7.28343	1.52863	0.960931	2.21014	0.129072	3.30015	0.0492637	1.62286	0.0175531	0.06819	0.75	-0.872856	0.4	0.47	24	0.4	0.0687247	0.0687247	0.35	0.65	5.67177e-10
66	5.13026	0.00547551	0.15274	3.0548	3.20754	0.0315575	0.138258	0.317994	0.0184437	0.474696	0.288437	0.484324	0.452299	0.16481	0.276056	0.110422	0.551288	1.80462	0.155168	1.34483	0.21	0.088245	0.000121096	0.0447169	0.426829	0.009	0.2646	0.29	0.00215952	0.0192245	0.00793934	0.930155	8.58124	0.429334	0.0743691	0.348508	6.97017	7.31868	1.52914	0.950592	2.18636	0.127684	3.26464	0.0490249	1.62321	0.017428	0.0677522	0.75	-0.873211	0.4	0.47	24	0.4	0.0685499	0.0685499	0.35	0.65	8.6348e-10
67	5.1435	0.0054578	0.152354	3.04707	3.19942	0.0314474	0.138267	0.318015	0.0184448	0.474727	0.28823	0.482996	0.45412	0.164956	0.276301	0.11052	0.551777	1.80263	0.154946	1.34505	0.21	0.0881052	0.000121073	0.0447444	0.427702	0.009	0.2646	0.29	0.00215944	0.0192208	0.00793719	0.930572	8.58827	0.430095	0.0744071	0.350161	7.00322	7.35338	1.52965	0.940415	2.16295	0.126316	3.22968	0.0487725	1.62353	0.0173019	0.0673061	0.75	-0.873532	0.4	0.47	24	0.4	0.0683867	0.0683867	0.35	0.65	-1.29514e-10
68	5.15817	0.00544063	0.151977	3.03955	3.19152	0.0313392	0.138237	0.317946	0.0184409	0.474624	0.287896	0.481409	0.455899	0.1651	0.276542	0.110617	0.552259	1.80021	0.154729	1.34527	0.21	0.087968	0.000121048	0.0447791	0.428793	0.009	0.2646	0.29	0.00215931	0.0192165	0.00793487	0.930975	8.5953	0.431066	0.0744712	0.351789	7.03577	7.38756	1.53013	0.930399	2.13992	0.124971	3.19529	0.0485069	1.62382	0.0171752	0.0668535	0.75	-0.873824	0.4	0.47	24	0.4	0.0682351	0.0682351	0.35	0.65	-2.18424e-10
69	5.17419	0.00542397	0.151612	3.03224	3.18385	0.031233	0.138171	0.317794	0.018432	0.474397	0.287445	0.479586	0.457634	0.165241	0.276779	0.110712	0.552732	1.7974	0.154514	1.34549	0.21	0.0878333	0.00012102	0.0448207	0.430093	0.009	0.2646	0.29	0.00215914	0.0192118	0.00793237	0.931362	8.60232	0.432239	0.0745599	0.353392	7.06783	7.42122	1.53058	0.920545	2.11725	0.123648	3.16145	0.0482285	1.62409	0.0170483	0.0663958	0.75	-0.874089	0.4	0.47	24	0.4	0.0680949	0.0680949	0.35	0.65	9.85485e-10
70	5.19147	0.00540781	0.151257	3.02514	3.1764	0.031129	0.13807	0.317562	0.0184186	0.474051	0.286885	0.477546	0.459321	0.165379	0.277011	0.110804	0.553194	1.7942	0.154304	1.3457	0.21	0.0877013	0.00012099	0.0448689	0.431596	0.009	0.2646	0.29	0.00215892	0.0192066	0.00792967	0.931732	8.60933	0.433607	0.074672	0.35497	7.09941	7.45438	1.53101	0.910855	2.09497	0.122346	3.12817	0.0479377	1.62433	0.0169214	0.0659344	0.75	-0.874331	0.4	0.47	24	0.4	0.067966	0.067966	0.35	0.65	5.96495e-10
71	5.20992	0.00539214	0.150913	3.01826	3.16917	0.0310271	0.137938	0.317257	0.0184009	0.473596	0.286223	0.475311	0.460959	0.165514	0.277236	0.110894	0.553645	1.79062	0.154097	1.3459	0.21	0.0875718	0.000120956	0.0449233	0.433292	0.009	0.2646	0.29	0.00215865	0.0192009	0.00792678	0.932084	8.61634	0.435162	0.0748064	0.356525	7.13051	7.48703	1.5314	0.901326	2.07305	0.121066	3.09544	0.0476349	1.62455	0.0167947	0.0654707	0.75	-0.87455	0.4	0.47	24	0.4	0.0678482	0.0678482	0.35	0.65	8.90855e-10
72	5.22946	0.00537695	0.150579	3.01159	3.16217	0.0309275	0.137775	0.316883	0.0183792	0.473037	0.285469	0.472899	0.462545	0.165645	0.277455	0.110982	0.554082	1.78669	0.153895	1.34611	0.21	0.087445	0.00012092	0.0449836	0.435174	0.009	0.2646	0.29	0.00215834	0.0191947	0.00792369	0.932417	8.62334	0.436895	0.0749619	0.358057	7.16115	7.5192	1.53175	0.891961	2.05151	0.119808	3.06328	0.0473203	1.62475	0.0166684	0.0650057	0.75	-0.87475	0.4	0.47	24	0.4	0.0677413	0.0677413	0.35	0.65	-1.71621e-10
73	5.25	0.00536224	0.150256	3.00513	3.15538	0.0308302	0.137585	0.316445	0.0183538	0.472383	0.28463	0.470329	0.464077	0.165771	0.277667	0.111067	0.554505	1.78242	0.153696	1.3463	0.21	0.0873209	0.000120881	0.0450493	0.437233	0.009	0.2646	0.29	0.00215798	0.0191879	0.00792041	0.932729	8.63033	0.438799	0.0751375	0.359567	7.19133	7.5509	1.53206	0.882757	2.03034	0.118572	3.03167	0.0469945	1.62493	0.0165429	0.0645405	0.75	-0.874932	0.4	0.47	24	0.4	0.0676453	0.0676453	0.35	0.65	-1.81654e-10
74	5.27147	0.00534798	0.149944	2.99888	3.14882	0.0307351	0.137368	0.315947	0.0183249	0.47164	0.283713	0.467618	0.465555	0.165893	0.277871	0.111148	0.554913	1.77783	0.153501	1.3465	0.21	0.0871995	0.00012084	0.0451203	0.43946	0.009	0.2646	0.29	0.00215757	0.0191807	0.00791692	0.933022	8.63732	0.440865	0.0753322	0.361054	7.22107	7.58213	1.53231	0.873716	2.00955	0.117358	3.00062	0.0466578	1.6251	0.0164181	0.0640759	0.75	-0.875097	0.4	0.47	24	0.4	0.0675599	0.0675599	0.35	0.65	3.70328e-10
75	5.29379	0.00533419	0.149642	2.99283	3.14247	0.0306424	0.137128	0.315395	0.0182929	0.470816	0.282726	0.464782	0.466977	0.16601	0.278067	0.111227	0.555305	1.77294	0.15331	1.34669	0.21	0.0870808	0.000120795	0.045196	0.441846	0.009	0.2646	0.29	0.00215711	0.0191729	0.00791324	0.933293	8.64431	0.443084	0.0755448	0.362519	7.25038	7.6129	1.53251	0.864837	1.98913	0.116165	2.97013	0.0463106	1.62525	0.0162943	0.0636127	0.75	-0.875246	0.4	0.47	24	0.4	0.067485	0.067485	0.35	0.65	6.22975e-10
76	5.31687	0.00532084	0.14935	2.98699	3.13634	0.0305521	0.136866	0.314793	0.018258	0.469917	0.281676	0.461839	0.468342	0.166122	0.278255	0.111302	0.55568	1.76777	0.153124	1.34688	0.21	0.0869649	0.000120748	0.0452763	0.444383	0.009	0.2646	0.29	0.00215661	0.0191646	0.00790937	0.933544	8.65128	0.445449	0.0757746	0.363963	7.27927	7.64323	1.53265	0.85612	1.96908	0.114994	2.94019	0.0459532	1.62538	0.0161717	0.0631517	0.75	-0.875381	0.4	0.47	24	0.4	0.0674204	0.0674204	0.35	0.65	-7.82059e-11
77	5.34064	0.00530794	0.149068	2.98135	3.13042	0.030464	0.136584	0.314144	0.0182204	0.468949	0.280569	0.458801	0.469649	0.166229	0.278434	0.111374	0.556037	1.76234	0.152942	1.34706	0.21	0.0868518	0.000120698	0.0453608	0.447063	0.009	0.2646	0.29	0.00215606	0.0191559	0.00790531	0.933773	8.65825	0.447951	0.0760206	0.365387	7.30774	7.67312	1.53273	0.847563	1.94939	0.113845	2.9108	0.0455861	1.6255	0.0160503	0.0626935	0.75	-0.875503	0.4	0.47	24	0.4	0.0673659	0.0673659	0.35	0.65	5.42894e-10
78	5.36502	0.00529549	0.148796	2.97591	3.12471	0.0303784	0.136284	0.313454	0.0181803	0.467919	0.279413	0.455685	0.470898	0.166331	0.278604	0.111442	0.556376	1.75666	0.152764	1.34724	0.21	0.0867416	0.000120646	0.0454491	0.449876	0.009	0.2646	0.29	0.00215547	0.0191467	0.00790106	0.93398	8.66522	0.450582	0.0762818	0.36679	7.3358	7.70259	1.53274	0.839167	1.93008	0.112717	2.88197	0.0452096	1.62561	0.0159302	0.0622387	0.75	-0.875613	0.4	0.47	24	0.4	0.0673213	0.0673213	0.35	0.65	8.70083e-10
79	5.38993	0.00528348	0.148534	2.97067	3.1192	0.0302951	0.135968	0.312727	0.0181381	0.466833	0.278213	0.452504	0.472088	0.166427	0.278764	0.111506	0.556697	1.75076	0.152591	1.34741	0.21	0.0866343	0.000120591	0.045541	0.452815	0.009	0.2646	0.29	0.00215484	0.019137	0.00789663	0.934166	8.67217	0.453333	0.0765573	0.368174	7.36348	7.73165	1.53268	0.83093	1.91114	0.111611	2.85368	0.0448241	1.62571	0.0158116	0.0617878	0.75	-0.87571	0.4	0.47	24	0.4	0.0672864	0.0672864	0.35	0.65	1.86279e-10
80	5.4153	0.00527191	0.148281	2.96562	3.1139	0.0302142	0.135637	0.311965	0.018094	0.465697	0.276976	0.44927	0.473218	0.166517	0.278915	0.111566	0.556998	1.74466	0.152423	1.34758	0.21	0.08653	0.000120534	0.0456362	0.45587	0.009	0.2646	0.29	0.00215416	0.0191268	0.00789203	0.934331	8.67912	0.456196	0.0768462	0.369538	7.39076	7.7603	1.53255	0.822853	1.89256	0.110526	2.82594	0.0444301	1.6258	0.0156946	0.0613413	0.75	-0.875797	0.4	0.47	24	0.4	0.0672611	0.0672611	0.35	0.65	1.73886e-10
81	5.44106	0.00526077	0.148038	2.96077	3.10881	0.0301358	0.135293	0.311174	0.0180481	0.464516	0.275706	0.445996	0.474288	0.166601	0.279057	0.111623	0.55728	1.73837	0.15226	1.34774	0.21	0.0864287	0.000120475	0.0457343	0.459033	0.009	0.2646	0.29	0.00215345	0.0191163	0.00788726	0.934475	8.68607	0.459163	0.0771477	0.370884	7.41768	7.78856	1.53233	0.814934	1.87435	0.109462	2.79875	0.0440279	1.62587	0.0155791	0.0608996	0.75	-0.875873	0.4	0.47	24	0.4	0.0672451	0.0672451	0.35	0.65	2.47587e-10
82	5.46714	0.00525008	0.147805	2.95611	3.10391	0.0300598	0.134938	0.310357	0.0180007	0.463296	0.27441	0.442693	0.475297	0.166679	0.279188	0.111675	0.557543	1.73192	0.152101	1.3479	0.21	0.0863305	0.000120413	0.0458351	0.462296	0.009	0.2646	0.29	0.0021527	0.0191053	0.00788233	0.934599	8.693	0.462227	0.0774608	0.372212	7.44423	7.81644	1.53203	0.807173	1.8565	0.10842	2.77209	0.0436178	1.62594	0.0154654	0.0604631	0.75	-0.875938	0.4	0.47	24	0.4	0.0672381	0.0672381	0.35	0.65	3.20519e-10
83	5.49346	0.00523982	0.147582	2.95163	3.09921	0.0299862	0.134573	0.309518	0.017952	0.462042	0.273093	0.439373	0.476247	0.166752	0.279309	0.111724	0.557785	1.72533	0.151948	1.34805	0.21	0.0862354	0.00012035	0.0459382	0.465651	0.009	0.2646	0.29	0.00215191	0.0190939	0.00787725	0.934703	8.69993	0.465379	0.0777847	0.373521	7.47043	7.84395	1.53165	0.799569	1.83901	0.107398	2.74598	0.0432003	1.62599	0.0153534	0.0600322	0.75	-0.875994	0.4	0.47	24	0.4	0.06724	0.06724	0.35	0.65	9.50937e-10
84	5.51995	0.00523	0.147367	2.94735	3.09472	0.0299151	0.1342	0.308659	0.0179022	0.460761	0.27176	0.436046	0.477136	0.166818	0.279421	0.111768	0.558007	1.71861	0.151799	1.3482	0.21	0.0861435	0.000120284	0.0460436	0.469089	0.009	0.2646	0.29	0.00215108	0.0190822	0.00787203	0.934787	8.70685	0.46861	0.0781186	0.374814	7.49628	7.87109	1.53117	0.792121	1.82188	0.106398	2.7204	0.0427758	1.62604	0.0152433	0.059607	0.75	-0.87604	0.4	0.47	24	0.4	0.0672505	0.0672505	0.35	0.65	2.13918e-10
85	5.54655	0.00522061	0.147163	2.94325	3.09041	0.0298465	0.133819	0.307784	0.0178515	0.459455	0.270415	0.432722	0.477964	0.166879	0.279522	0.111809	0.55821	1.71179	0.151656	1.34834	0.21	0.0860548	0.000120217	0.0461507	0.472602	0.009	0.2646	0.29	0.00215023	0.0190702	0.00786667	0.934852	8.71376	0.471915	0.0784615	0.37609	7.5218	7.89789	1.53061	0.784827	1.8051	0.105418	2.69535	0.0423447	1.62608	0.015135	0.059188	0.75	-0.876077	0.4	0.47	24	0.4	0.0672694	0.0672694	0.35	0.65	2.5137e-10
