Time	[PGA]	[DPGA]	[GAP]	[DHAP]	[TP]	[FBP]	[F6P]	[G6P]	[G1P]	[HeP]	[E4P]	[SBP]	[S7P]	[X5P]	[R5P]	[Ru5P]	[PeP]	[RuBP]	[ATP]	[ADP]	[NADPH]	[Pi]	[PGCA]	[GCA]	[GCEA]	[CO2]	[O2]	[NADP]	[HPRc]	[GCAc]	[GOAc]	[GLYc]	[SERc]	[GCEAc]	[PGAc]	[GAPc]	[DHAPc]	[TPc]	[FBPc]	[F6Pc]	[G6Pc]	[G1Pc]	[HePc]	[F26BPc]	[UDPGc]	[SucPc]	[Succ]	[UTPc]	[UDPc]	[NAD]	[NADH]	[GLUc]	[KGc]	[Pic]	[PiTc]	[ATPc]	[ADPc]	[PiPic]
10	1.7509	0.00456809	0.111358	2.22716	2.33852	0.0216794	0.193034	0.443978	0.0257507	0.662763	0.384711	0.520605	0.783931	0.182543	0.305759	0.122304	0.610606	3.56815	0.155499	1.3445	0.21	0.0829464	0.000134024	0.0361372	0.0954338	0.009	0.2646	0.29	0.00233814	0.0217089	0.0090832	1.12085	8.0271	0.10401	0.0277736	0.226121	4.52243	4.74855	1.72251	1.62023	3.72652	0.217629	5.56438	0.0264705	0.995751	0.00511645	0.0164667	0.75	-0.245751	0.4	0.47	24	0.4	0.0562302	0.0562302	0.35	0.65	9.40933e-10
11	2.04102	0.00455536	0.114372	2.28744	2.40181	0.0222436	0.182457	0.41965	0.0243397	0.626447	0.361101	0.498197	0.775614	0.184784	0.309512	0.123805	0.618101	3.44531	0.15274	1.34726	0.21	0.0824311	0.000133614	0.0367972	0.113538	0.009	0.2646	0.29	0.00233652	0.0216322	0.00902752	1.09232	8.05201	0.12187	0.0308174	0.228757	4.57514	4.80389	1.70779	1.61073	3.70469	0.216354	5.53177	0.0280015	1.03161	0.00550283	0.0179054	0.75	-0.281612	0.4	0.47	24	0.4	0.0564295	0.0564295	0.35	0.65	9.93694e-12
12	2.32532	0.00454964	0.1169	2.338	2.4549	0.0227128	0.173618	0.399321	0.0231606	0.5961	0.340335	0.475409	0.766658	0.186369	0.312168	0.124867	0.623405	3.32748	0.150761	1.34924	0.21	0.0820813	0.000133213	0.0374651	0.131927	0.009	0.2646	0.29	0.00233394	0.0215563	0.00897781	1.06978	8.07367	0.139958	0.0341474	0.23131	4.62619	4.8575	1.69413	1.60102	3.68234	0.215048	5.4984	0.0294447	1.06628	0.0059024	0.0193712	0.75	-0.316276	0.4	0.47	24	0.4	0.0569033	0.0569033	0.35	0.65	3.44681e-10
13	2.60282	0.00455152	0.119031	2.38062	2.49965	0.0231028	0.166107	0.382046	0.0221586	0.570311	0.322011	0.452977	0.757058	0.187411	0.313914	0.125565	0.62689	3.21434	0.149339	1.35066	0.21	0.0818578	0.000132813	0.0381345	0.150512	0.009	0.2646	0.29	0.00233052	0.0214801	0.0089323	1.05187	8.09278	0.158189	0.037632	0.233797	4.67594	4.90974	1.68141	1.59109	3.65951	0.213715	5.46431	0.0308077	1.09974	0.00631523	0.0208711	0.75	-0.349744	0.4	0.47	24	0.4	0.0575567	0.0575567	0.35	0.65	5.81739e-11
14	2.87248	0.00456032	0.12085	2.41701	2.53786	0.0234309	0.159619	0.367125	0.0212932	0.548037	0.305784	0.431437	0.746825	0.188008	0.314913	0.125965	0.628887	3.10554	0.148326	1.35167	0.21	0.0817316	0.000132405	0.0387996	0.169205	0.009	0.2646	0.29	0.00232635	0.0214023	0.00888959	1.03754	8.10992	0.176475	0.0411901	0.236232	4.72464	4.96087	1.66956	1.58097	3.63622	0.212356	5.42955	0.0320971	1.13202	0.00674127	0.0224097	0.75	-0.382015	0.4	0.47	24	0.4	0.058334	0.058334	0.35	0.65	-2.67965e-10
15	3.13335	0.0045752	0.122435	2.44871	2.57114	0.0237128	0.153937	0.354055	0.0205352	0.528528	0.291375	0.411151	0.735966	0.18824	0.315302	0.126121	0.629663	3.00083	0.147624	1.35238	0.21	0.0816826	0.000131987	0.039455	0.18792	0.009	0.2646	0.29	0.00232149	0.0213222	0.0088486	1.02594	8.12553	0.194736	0.0447686	0.238623	4.77247	5.01109	1.65849	1.57066	3.61251	0.210971	5.39414	0.0333185	1.16309	0.00718032	0.0239898	0.75	-0.413089	0.4	0.47	24	0.4	0.0591998	0.0591998	0.35	0.65	6.45448e-10
16	3.38454	0.00459547	0.12385	2.477	2.60085	0.0239627	0.148905	0.342482	0.0198639	0.511251	0.278568	0.392351	0.724493	0.188171	0.315187	0.126075	0.629434	2.90002	0.147165	1.35284	0.21	0.0816974	0.000131553	0.0400962	0.206575	0.009	0.2646	0.29	0.002316	0.0212392	0.00880851	1.01642	8.13995	0.212895	0.0483306	0.240979	4.81958	5.06056	1.64815	1.56016	3.58838	0.209561	5.3581	0.0344766	1.19296	0.00763204	0.025613	0.75	-0.442965	0.4	0.47	24	0.4	0.0601298	0.0601298	0.35	0.65	9.02448e-10
17	3.62524	0.0046207	0.125148	2.50295	2.6281	0.0241925	0.144416	0.332157	0.0192651	0.495838	0.267193	0.375175	0.712419	0.187853	0.314655	0.125862	0.62837	2.80303	0.146901	1.3531	0.21	0.0817676	0.000131103	0.0407188	0.225093	0.009	0.2646	0.29	0.00230991	0.0211529	0.00876873	1.00849	8.15346	0.230881	0.0518484	0.243305	4.8661	5.10941	1.63846	1.5495	3.56384	0.208128	5.32146	0.0355757	1.22164	0.00809594	0.0272796	0.75	-0.471641	0.4	0.47	24	0.4	0.0611063	0.0611063	0.35	0.65	3.33106e-10
18	3.85469	0.00465068	0.126372	2.52743	2.6538	0.0244123	0.140395	0.322908	0.0187287	0.482031	0.257117	0.359692	0.699768	0.187327	0.313773	0.125509	0.626609	2.70983	0.146801	1.3532	0.21	0.0818882	0.000130636	0.041319	0.243397	0.009	0.2646	0.29	0.0023033	0.0210633	0.00872885	1.00175	8.16625	0.248623	0.0552993	0.245607	4.91215	5.15776	1.62939	1.53865	3.5389	0.206672	5.28423	0.0366193	1.24912	0.00857133	0.0289891	0.75	-0.499118	0.4	0.47	24	0.4	0.0621153	0.0621153	0.35	0.65	-8.01439e-11
19	4.07217	0.00468532	0.127557	2.55114	2.67869	0.0246304	0.136789	0.314614	0.0182476	0.469651	0.248234	0.34593	0.686574	0.186626	0.312599	0.125039	0.624264	2.62045	0.146843	1.35316	0.21	0.0820565	0.000130152	0.0418937	0.261408	0.009	0.2646	0.29	0.0022962	0.0209704	0.0086886	0.995901	8.17849	0.266053	0.0586632	0.247891	4.95781	5.20571	1.6209	1.52764	3.51358	0.205193	5.24641	0.0376109	1.2754	0.00905733	0.0307401	0.75	-0.525395	0.4	0.47	24	0.4	0.0631453	0.0631453	0.35	0.65	3.02848e-10
