Time	Values[h_post]	Values[V_post]	Values[n_post]	Values[s]	Values[V_pre]	Values[h_pre]	Values[n_pre]
0	0.780348	-64	0.0891984	1.5197e-12	-64	0.780348	0.0891984
1	0.780356	-64.0012	0.0891957	1.51966e-12	-64.0012	0.780356	0.0891957
2	0.780373	-64.0022	0.0891901	1.51954e-12	-64.0022	0.780373	0.0891901
3	0.780394	-64.0033	0.0891836	1.51935e-12	-64.0033	0.780394	0.0891836
4	0.780417	-64.0042	0.089177	1.51911e-12	-64.0042	0.780417	0.089177
5	0.78044	-64.0051	0.0891705	1.51883e-12	-64.0051	0.78044	0.0891705
6	0.780462	-64.0059	0.0891644	1.51852e-12	-64.0059	0.780462	0.0891644
7	0.780483	-64.0067	0.0891587	1.51817e-12	-64.0067	0.780483	0.0891587
8	0.780503	-64.0074	0.0891534	1.51781e-12	-64.0074	0.780503	0.0891534
9	0.780522	-64.0081	0.0891483	1.51743e-12	-64.0081	0.780522	0.0891483
10	0.78054	-64.0087	0.0891437	1.51703e-12	-64.0087	0.78054	0.0891437
11	0.780557	-64.0093	0.0891393	1.6193e-12	-62.0596	0.767713	0.0938275
12	0.780573	-64.0099	0.0891352	2.10667e-12	-60.1631	0.735981	0.104411
13	0.780587	-64.0104	0.0891314	3.57724e-12	-58.2166	0.690883	0.118446
14	0.780601	-64.0109	0.0891278	7.9382e-12	-56.0242	0.633287	0.135842
15	0.780613	-64.0113	0.0891245	2.44175e-11	-53.0411	0.557732	0.15919
16	0.780625	-64.0117	0.0891214	3.1473e-10	-44.8843	0.427162	0.205111
17	0.783546	-64.6696	0.0880329	0.957347	-42.2614	0.0324209	0.695227
18	0.794773	-65.4968	0.0842073	0.866244	-66.392	0.344235	0.35195
19	0.808268	-66.1208	0.0800314	0.78381	-65.391	0.570998	0.189304
20	0.820797	-66.5863	0.0764415	0.70922	-63.5039	0.670696	0.129358
21	0.831223	-66.9283	0.0736248	0.641729	-63.5757	0.714958	0.107706
22	0.839374	-67.1734	0.0715182	0.580661	-63.6196	0.739884	0.0984958
23	0.845473	-67.3424	0.0699979	0.525403	-63.6523	0.753987	0.0945217
24	0.849856	-67.4513	0.0689425	0.475405	-63.6793	0.76206	0.0927528
25	0.852856	-67.5125	0.0682512	0.430164	-63.7029	0.766777	0.0919166
26	0.854759	-67.5358	0.0678449	0.389228	-63.7243	0.769622	0.0914785
27	0.855796	-67.5289	0.0676622	0.352188	-63.7439	0.771418	0.0912139
28	0.856152	-67.4979	0.0676563	0.318673	-63.762	0.77262	0.0910278
29	0.855969	-67.4479	0.0677905	0.288348	-63.7789	0.773481	0.0908797
30	0.855356	-67.3828	0.0680363	0.260908	-63.7946	0.774141	0.0907524
31	0.854402	-67.306	0.0683709	0.236079	-63.8093	0.774678	0.0906381
32	0.853176	-67.2202	0.0687762	0.213613	-63.823	0.775136	0.0905334
33	0.851731	-67.1275	0.0692373	0.193286	-63.8358	0.77554	0.0904364
34	0.850114	-67.0297	0.0697421	0.174892	-63.8478	0.775905	0.0903462
35	0.84836	-66.9285	0.0702806	0.158249	-63.859	0.776238	0.090262
36	0.846501	-66.825	0.0708443	0.143189	-63.8694	0.776545	0.0901836
37	0.844561	-66.7203	0.0714262	0.129563	-63.8792	0.776829	0.0901103
38	0.842563	-66.6153	0.0720205	0.117233	-63.8883	0.777093	0.0900418
39	0.840524	-66.5107	0.0726219	0.106077	-63.8969	0.77734	0.0899779
40	0.83846	-66.407	0.0732263	0.0959826	-63.9049	0.777569	0.0899182
41	0.836386	-66.3048	0.0738301	0.0868488	-63.9123	0.777784	0.0898625
42	0.834312	-66.2045	0.0744301	0.078584	-63.9193	0.777984	0.0898104
43	0.832249	-66.1063	0.0750237	0.0711058	-63.9258	0.778171	0.0897617
44	0.830205	-66.0106	0.0756088	0.0643392	-63.9319	0.778345	0.0897163
45	0.828187	-65.9175	0.0761834	0.0582165	-63.9375	0.778507	0.089674
46	0.826203	-65.8272	0.0767461	0.0526765	-63.9429	0.778659	0.0896344
47	0.824256	-65.7398	0.0772956	0.0476636	-63.9478	0.778801	0.0895974
48	0.822352	-65.6554	0.0778309	0.0431278	-63.9524	0.778933	0.0895629
49	0.820495	-65.574	0.0783511	0.0390237	-63.9568	0.779057	0.0895307
50	0.818686	-65.4957	0.0788557	0.0353101	-63.9608	0.779172	0.0895006
51	0.81693	-65.4204	0.0793442	0.0319499	-63.9646	0.77928	0.0894725
52	0.815227	-65.3481	0.0798162	0.0289095	-63.9681	0.779381	0.0894463
53	0.813579	-65.2788	0.0802716	0.0261583	-63.9714	0.779474	0.0894218
54	0.811986	-65.2125	0.0807103	0.023669	-63.9744	0.779562	0.0893989
55	0.81045	-65.1491	0.0811323	0.0214166	-63.9773	0.779644	0.0893776
56	0.808971	-65.0885	0.0815377	0.0193786	-63.98	0.77972	0.0893576
57	0.807548	-65.0307	0.0819267	0.0175344	-63.9825	0.779792	0.089339
58	0.806181	-64.9755	0.0822994	0.0158658	-63.9848	0.779858	0.0893217
59	0.804869	-64.923	0.0826562	0.014356	-63.987	0.77992	0.0893054
60	0.803612	-64.873	0.0829975	0.0129898	-63.989	0.779978	0.0892903
61	0.802409	-64.8254	0.0833234	0.0117537	-63.9909	0.780032	0.0892762
62	0.801259	-64.7802	0.0836346	0.0106352	-63.9927	0.780083	0.089263
63	0.80016	-64.7373	0.0839312	0.00962311	-63.9943	0.78013	0.0892507
64	0.799111	-64.6965	0.0842139	0.00870735	-63.9959	0.780174	0.0892392
65	0.798111	-64.6578	0.084483	0.00787874	-63.9973	0.780215	0.0892285
66	0.797158	-64.6211	0.084739	0.00712898	-63.9987	0.780254	0.0892185
67	0.796251	-64.5864	0.0849824	0.00645057	-63.9999	0.780289	0.0892091
68	0.795388	-64.5535	0.0852136	0.00583671	-64.0011	0.780323	0.0892004
69	0.794568	-64.5223	0.0854331	0.00528128	-64.0022	0.780354	0.0891922
70	0.793789	-64.4928	0.0856413	0.0047787	-64.0032	0.780383	0.0891846
71	0.793049	-64.4649	0.0858387	0.00432394	-64.0042	0.78041	0.0891775
72	0.792347	-64.4386	0.0860258	0.00391246	-64.0051	0.780436	0.0891709
73	0.791682	-64.4137	0.086203	0.00354014	-64.0059	0.780459	0.0891647
74	0.791052	-64.3902	0.0863707	0.00320325	-64.0067	0.780482	0.0891589
