Time	[Bhi]	[VattHi]	[Vex]	[Blo]	[VattLo]	[Ven]	[Vfus]	[VpCyt]	[VpNuc]	[Rc]	[P_Rdrp]	[RcRdrp]	[P_Np]	[P_M1]	[VpNucM1]	[VpCytM1]	[Cp]	[Rv]	[RvRdrp]	[Rm1]	[Rm2]	[Rm3]	[Rm4]	[Rm5]	[Rm6]	[Rm7]	[Rm8]	[P_Pb1]	[P_Pb2]	[P_Pa]	[P_Nep]	[P_Ha]	[P_Na]	[P_M2]	[Vrel]	[total cRNA]	[total cRNA of a segment]	[total vRNA]	[total vRNA of a segment]
10	150	5.11347e-12	3.86529e-12	1000	2.35254e-13	7.31924e-12	5.1	5.84882e-11	315.08	4.50233e-06	9.65747e+07	0.0143912	1.00364e+08	1.9806e+08	2796.76	410031	6259.36	0.000898316	2.87136	20800.9	20800.9	21826.4	27466.2	31336.4	34668.2	48018	55596.9	1.32449	1.32449	4.80217e+06	3.10268e+07	1.25697e+08	1.61764e+08	4.26329e+06	5850.12	6259.37	782.421	413146	51643.2
11	150	3.01964e-13	2.28256e-13	1000	1.38924e-14	4.3222e-13	5.1	3.45388e-12	289.623	3.83e-06	1.04355e+08	0.0125848	1.05497e+08	2.1062e+08	2543.14	444670	6118.7	0.00081266	2.67029	18409.6	18409.6	19317.1	24308.6	27733.9	30682.6	42497.7	49205.3	1.19824	1.19824	5.19287e+06	3.33404e+07	1.3537e+08	1.74814e+08	4.56589e+06	7432.52	6118.71	764.839	447506	55938.2
12	150	1.7801e-14	1.34558e-14	1000	8.18963e-16	2.54796e-14	5.1	2.03608e-13	269.029	3.33716e-06	1.1125e+08	0.011273	1.09399e+08	2.20857e+08	2336.21	473412	5960.01	0.000742521	2.50826	16429.4	16429.4	17239.4	21693.9	24750.8	27382.4	37926.6	43912.7	1.09593	1.09593	5.54004e+06	3.53427e+07	1.4382e+08	1.86381e+08	4.82304e+06	9132.02	5960.02	745.002	476020	59502.5
13	150	1.06215e-15	8.02887e-16	1000	4.88662e-17	1.52033e-15	5.1	1.2149e-14	251.87	2.96031e-06	1.17414e+08	0.0102793	1.12324e+08	2.29179e+08	2162.45	496745	5790.22	0.000683502	2.37338	14791.4	14791.4	15520.6	19531.1	22283.2	24652.4	34145.4	39534.7	1.01184	1.01184	5.85121e+06	3.70881e+07	1.51256e+08	1.96721e+08	5.04263e+06	10927.7	5790.24	723.779	499162	62395.2
14	150	5.88639e-17	4.44955e-17	1000	2.70813e-18	8.42557e-17	5.1	6.73289e-16	237.225	2.66215e-06	1.22972e+08	0.00949965	1.14475e+08	2.35928e+08	2013.19	515173	5614.18	0.000632766	2.25797	13432.9	13432.9	14095.1	17737.2	20236.6	22388.2	31009.3	35903.6	0.941872	0.941872	6.13255e+06	3.86218e+07	1.57855e+08	2.06045e+08	5.2312e+06	12800.5	5614.19	701.774	517426	64678.3
15	150	2.42108e-18	1.8301e-18	1000	1.11386e-19	3.46545e-18	5.1	2.76925e-17	224.473	2.41957e-06	1.28028e+08	0.00886935	1.1602e+08	2.41384e+08	1882.64	529197	5435.29	0.000588412	2.15692	12300.1	12300.1	12906.5	16241.5	18530.1	20500.2	28394.4	32876	0.883003	0.883003	6.38911e+06	3.99806e+07	1.63761e+08	2.14526e+08	5.39417e+06	14733.1	5435.29	679.412	531306	66413.3
16	150	-8.72817e-19	-6.59766e-19	1000	-4.01554e-20	-1.24932e-18	5.1	-9.98334e-18	213.184	2.21759e-06	1.32664e+08	0.00834644	1.17089e+08	2.45778e+08	1766.78	539294	5255.98	0.000549117	2.06673	11348.7	11348.7	11908.1	14985.2	17096.7	18914.4	26197.9	30332.8	0.832931	0.832931	6.62493e+06	4.11943e+07	1.69088e+08	2.223e+08	5.53593e+06	16710.3	5255.99	656.999	541276	67659.5
17	150	-1.84246e-19	-1.39272e-19	1000	-8.47654e-21	-2.63723e-19	5.1	-2.10741e-18	203.055	2.04617e-06	1.36946e+08	0.00790275	1.17787e+08	2.49301e+08	1662.76	545917	5078.02	0.000513935	1.98492	10542.4	10542.4	11062.1	13920.5	15882	17570.6	24336.6	28177.8	0.789888	0.789888	6.84325e+06	4.22871e+07	1.73932e+08	2.2948e+08	5.66007e+06	18718.2	5078.03	634.753	547785	68473.1
18	150	-1.1608e-20	-8.77451e-21	1000	-5.34044e-22	-1.66152e-20	5.1	-1.32773e-19	193.86	1.89832e-06	1.40928e+08	0.00751877	1.18196e+08	2.52107e+08	1568.51	549483	4902.65	0.000482166	1.90974	9852.36	9852.36	10338.1	13009.4	14842.5	16420.6	22743.8	26333.5	0.752498	0.752498	7.04668e+06	4.32785e+07	1.78367e+08	2.36155e+08	5.76952e+06	20744.9	4902.66	612.833	551248	68906
19	150	-3.15305e-22	-2.3834e-22	1000	-1.45061e-23	-4.51316e-22	5.1	-3.60648e-21	185.435	1.76907e-06	1.44652e+08	0.00718069	1.18382e+08	2.5432e+08	1482.46	550380	4730.78	0.000453284	1.83989	9255.57	9255.57	9711.86	12221.4	13943.5	15426	21366.1	24738.4	0.719683	0.719682	7.2373e+06	4.41841e+07	1.82455e+08	2.42396e+08	5.86664e+06	22779.7	4730.79	591.348	552050	69006.2
