Time	[Bhi]	[VattHi]	[Vex]	[Blo]	[VattLo]	[Ven]	[Vfus]	[VpCyt]	[VpNuc]	[Rc]	[P_Rdrp]	[RcRdrp]	[P_Np]	[P_M1]	[VpNucM1]	[VpCytM1]	[Cp]	[Rv]	[RvRdrp]	[Rm1]	[Rm2]	[Rm3]	[Rm4]	[Rm5]	[Rm6]	[Rm7]	[Rm8]	[P_Pb1]	[P_Pb2]	[P_Pa]	[P_Nep]	[P_Ha]	[P_Na]	[P_M2]	[Vrel]	[total cRNA]	[total cRNA of a segment]	[total vRNA]	[total vRNA of a segment]
55	150	8.51309e-39	6.43508e-39	1000	3.91659e-40	1.21853e-38	5.1	9.73732e-38	51.1788	3.35268e-07	2.10658e+08	0.00219085	1.07086e+08	2.50002e+08	306.469	208763	1283.55	8.44495e-05	0.551845	2328.55	2328.55	2443.34	3074.69	3507.94	3880.91	5375.35	6223.76	0.297583	0.297583	1.06493e+07	5.79792e+07	2.48307e+08	3.52641e+08	7.01907e+06	73854.8	1283.55	160.443	209121	26140.2
56	150	7.46098e-39	5.63979e-39	1000	3.43255e-40	1.06794e-38	5.1	8.53391e-38	49.4755	3.22759e-07	2.11539e+08	0.00212146	1.06908e+08	2.49725e+08	295.061	201685	1239.46	8.1209e-05	0.533776	2250.85	2250.85	2361.82	2972.1	3390.89	3751.42	5196	6016.1	0.29195	0.291951	1.06951e+07	5.81524e+07	2.49152e+08	3.5411e+08	7.03152e+06	74613.8	1239.46	154.933	202030	25253.7
57	150	1.60938e-39	1.21654e-39	1000	7.40424e-41	2.30361e-39	5.1	1.84082e-38	47.8298	3.10771e-07	2.12391e+08	0.00205417	1.06738e+08	2.4946e+08	284.124	194839	1196.96	7.81096e-05	0.516296	2175.8	2175.8	2283.07	2873	3277.84	3626.34	5022.75	5815.51	0.286451	0.286451	1.07392e+07	5.83198e+07	2.49968e+08	3.55531e+08	7.04357e+06	75347.1	1196.96	149.62	195172	24396.5
58	150	-9.51778e-40	-7.19453e-40	1000	-4.37882e-41	-1.36234e-39	5.1	-1.08865e-38	46.2397	2.99279e-07	2.13215e+08	0.00198892	1.06575e+08	2.49204e+08	273.637	188221	1155.98	7.51441e-05	0.499386	2103.31	2103.31	2207	2777.28	3168.62	3505.51	4855.4	5621.75	0.28108	0.28108	1.0782e+07	5.84818e+07	2.50758e+08	3.56904e+08	7.05524e+06	76055.5	1155.98	144.498	188541	23567.7
59	150	6.97627e-41	5.27339e-41	1000	3.20955e-42	9.98558e-41	5.1	7.9795e-40	44.7032	2.88257e-07	2.14012e+08	0.00192566	1.06418e+08	2.48959e+08	263.578	181824	1116.47	7.23054e-05	0.483027	2033.27	2033.27	2133.51	2684.8	3063.11	3388.79	4693.72	5434.55	0.275833	0.275833	1.08233e+07	5.86385e+07	2.51522e+08	3.58231e+08	7.06653e+06	76739.8	1116.47	139.558	182133	22766.6
60	150	5.84824e-40	4.42071e-40	1000	2.69058e-41	8.37096e-40	5.1	6.68926e-39	43.2183	2.77683e-07	2.14782e+08	0.00186433	1.06267e+08	2.48723e+08	253.925	175642	1078.36	6.95873e-05	0.467201	1965.61	1965.61	2062.51	2595.45	2961.18	3276.01	4537.52	5253.7	0.270706	0.270706	1.08632e+07	5.879e+07	2.52261e+08	3.59515e+08	7.07748e+06	77400.8	1078.36	134.795	175939	21992.4
61	150	-3.39964e-41	-2.5698e-41	1000	-1.56406e-42	-4.86612e-41	5.1	-3.88852e-40	41.7834	2.67537e-07	2.15526e+08	0.00180489	1.06123e+08	2.48497e+08	244.661	169668	1041.61	6.69836e-05	0.451892	1900.23	1900.23	1993.91	2509.13	2862.69	3167.05	4386.6	5078.96	0.265694	0.265694	1.09018e+07	5.89366e+07	2.52975e+08	3.60756e+08	7.08807e+06	78039.3	1041.61	130.201	169955	21244.4
62	150	-2.71678e-40	-2.05363e-40	1000	-1.2499e-41	-3.8887e-40	5.1	-3.10747e-39	40.3967	2.57797e-07	2.16246e+08	0.00174726	1.05985e+08	2.4828e+08	235.767	163897	1006.16	6.44886e-05	0.437083	1837.06	1837.06	1927.63	2425.71	2767.52	3061.77	4240.78	4910.11	0.260795	0.260795	1.09391e+07	5.90784e+07	2.53666e+08	3.61955e+08	7.09834e+06	78656.2	1006.16	125.77	164174	20521.7
63	150	1.22493e-41	9.25927e-42	1000	5.63548e-43	1.75332e-41	5.1	1.40108e-40	39.0565	2.48445e-07	2.16941e+08	0.00169142	1.05852e+08	2.48071e+08	227.227	158323	971.965	6.20971e-05	0.422758	1776.02	1776.02	1863.57	2345.11	2675.56	2960.03	4099.86	4746.96	0.256004	0.256004	1.09751e+07	5.92156e+07	2.54334e+08	3.63115e+08	7.10828e+06	79252	971.967	121.496	158589	19823.7
64	150	1.5975e-40	1.20755e-40	1000	7.34955e-42	2.2866e-40	5.1	1.82723e-39	37.7613	2.39463e-07	2.17614e+08	0.0016373	1.05724e+08	2.47871e+08	219.023	152938	938.974	5.98039e-05	0.408901	1717.03	1717.03	1801.68	2267.23	2586.7	2861.72	3963.7	4589.3	0.251318	0.251318	1.101e+07	5.93483e+07	2.5498e+08	3.64236e+08	7.11791e+06	79827.6	938.975	117.372	153195	19149.4
65	150	3.51683e-40	2.65839e-40	1000	1.61798e-41	5.03387e-40	5.1	4.02257e-39	36.5094	2.30835e-07	2.18265e+08	0.00158485	1.05602e+08	2.47679e+08	211.141	147738	907.142	5.76043e-05	0.395497	1660.03	1660.03	1741.87	2191.96	2500.82	2766.72	3832.11	4436.95	0.246733	0.246734	1.10437e+07	5.94767e+07	2.55605e+08	3.6532e+08	7.12724e+06	80383.6	907.144	113.393	147986	18498.3
66	150	2.12805e-40	1.6086e-40	1000	9.79046e-42	3.04602e-40	5.1	2.43408e-39	35.2995	2.22544e-07	2.18893e+08	0.00153404	1.05484e+08	2.47495e+08	203.567	142716	876.426	5.5494e-05	0.382531	1604.94	1604.94	1684.06	2119.22	2417.83	2674.9	3704.94	4289.71	0.242248	0.242248	1.10763e+07	5.96009e+07	2.56209e+08	3.66368e+08	7.13628e+06	80920.7	876.428	109.554	142955	17869.4
67	150	1.03821e-41	7.84789e-42	1000	4.77647e-43	1.48606e-41	5.1	1.18751e-40	34.13	2.14575e-07	2.19501e+08	0.0014848	1.05371e+08	2.47318e+08	196.286	137867	846.785	5.34687e-05	0.369989	1551.7	1551.7	1628.2	2048.92	2337.63	2586.17	3582.04	4147.41	0.237858	0.237858	1.11078e+07	5.97211e+07	2.56794e+08	3.67382e+08	7.14503e+06	81439.6	846.787	105.848	138098	17262.2
68	150	4.02747e-43	3.04438e-43	1000	1.85291e-44	5.76478e-43	5.1	4.60665e-42	32.9996	2.06914e-07	2.20089e+08	0.0014371	1.05263e+08	2.47149e+08	189.287	133184	818.178	5.15243e-05	0.357858	1500.25	1500.25	1574.21	1980.98	2260.11	2500.41	3463.26	4009.88	0.233561	0.233561	1.11383e+07	5.98373e+07	2.57359e+08	3.68361e+08	7.15351e+06	81940.8	818.179	102.272	133407	16675.8
69	150	5.5711e-43	4.21122e-43	1000	2.56308e-44	7.97428e-43	5.1	6.37226e-42	31.907	1.99547e-07	2.20658e+08	0.00139089	1.05159e+08	2.46986e+08	182.556	128663	790.567	4.96573e-05	0.346124	1450.52	1450.52	1522.03	1915.31	2185.19	2417.53	3348.46	3876.96	0.229354	0.229354	1.11677e+07	5.99498e+07	2.57906e+08	3.69309e+08	7.16173e+06	82425.1	790.568	98.8211	128877	16109.7
70	150	1.16597e-43	8.81364e-44	1000	5.36425e-45	1.66893e-43	5.1	1.33365e-42	30.8508	1.92463e-07	2.21207e+08	0.00134613	1.05059e+08	2.4683e+08	176.082	124297	763.915	4.78641e-05	0.334774	1402.45	1402.45	1471.59	1851.84	2112.78	2337.42	3237.5	3748.49	0.225235	0.225235	1.11962e+07	6.00586e+07	2.58435e+08	3.70225e+08	7.16969e+06	82892.8	763.917	95.4896	124504	15563
71	150	-1.86479e-44	-1.40961e-44	1000	-8.5793e-46	-2.6692e-44	5.1	-2.13296e-43	29.8299	1.85648e-07	2.21738e+08	0.00130278	1.04963e+08	2.4668e+08	169.854	120082	738.188	4.61412e-05	0.323795	1355.99	1355.99	1422.84	1790.5	2042.79	2259.99	3130.25	3624.31	0.221201	0.221201	1.12237e+07	6.01638e+07	2.58946e+08	3.7111e+08	7.1774e+06	83344.7	738.189	92.2736	120282	15035.2
72	150	1.34147e-44	1.01403e-44	1000	6.17168e-46	1.92014e-44	5.1	1.53439e-43	28.8431	1.79091e-07	2.22252e+08	0.00126079	1.0487e+08	2.46536e+08	163.861	116012	713.35	4.44857e-05	0.313176	1311.09	1311.09	1375.72	1731.2	1975.14	2185.14	3026.59	3504.29	0.21725	0.21725	1.12504e+07	6.02657e+07	2.59441e+08	3.71967e+08	7.18487e+06	83781.3	713.352	89.1689	116205	14525.6
73	150	1.35592e-44	1.02494e-44	1000	6.23812e-46	1.94081e-44	5.1	1.55091e-43	27.8891	1.72782e-07	2.22749e+08	0.00122012	1.04782e+08	2.46398e+08	158.095	112083	689.371	4.28944e-05	0.302905	1267.68	1267.68	1330.18	1673.89	1909.75	2112.8	2926.39	3388.27	0.213379	0.21338	1.12761e+07	6.03642e+07	2.5992e+08	3.72795e+08	7.1921e+06	84203.1	689.372	86.1715	112269	14033.6
74	150	1.67587e-45	1.2668e-45	1000	7.71012e-47	2.39878e-45	5.1	1.91687e-44	26.9669	1.66709e-07	2.23229e+08	0.00118074	1.04696e+08	2.46265e+08	152.544	108289	666.217	4.13645e-05	0.29297	1225.72	1225.72	1286.15	1618.49	1846.54	2042.87	2829.53	3276.13	0.209587	0.209588	1.1301e+07	6.04595e+07	2.60383e+08	3.73596e+08	7.19911e+06	84610.6	666.219	83.2773	108469	13558.6
75	150	-1.18315e-45	-8.9435e-46	1000	-5.4433e-47	-1.69352e-45	5.1	-1.3533e-44	26.0754	1.60863e-07	2.23694e+08	0.0011426	1.04614e+08	2.46138e+08	147.2	104626	643.861	3.98934e-05	0.283361	1185.17	1185.17	1243.59	1564.93	1785.45	1975.28	2735.91	3167.73	0.205872	0.205872	1.13251e+07	6.05517e+07	2.6083e+08	3.7437e+08	7.2059e+06	85004.4	643.862	80.4827	104800	13100
76	150	5.4974e-46	4.15551e-46	1000	2.52917e-47	7.86878e-46	5.1	6.28796e-45	25.2136	1.55235e-07	2.24143e+08	0.00110567	1.04535e+08	2.46016e+08	142.055	101089	622.272	3.84785e-05	0.274067	1145.96	1145.96	1202.46	1513.16	1726.38	1909.94	2645.4	3062.94	0.20223	0.202231	1.13483e+07	6.06409e+07	2.61263e+08	3.75118e+08	7.21248e+06	85384.8	622.273	77.7841	101257	12657.1
77	150	2.20817e-45	1.66916e-45	1000	1.01591e-46	3.16069e-45	5.1	2.52572e-44	24.3805	1.49815e-07	2.24577e+08	0.00106992	1.04459e+08	2.45899e+08	137.101	97674.8	601.423	3.71174e-05	0.265077	1108.06	1108.06	1162.69	1463.12	1669.29	1846.77	2557.92	2961.64	0.198661	0.198662	1.13708e+07	6.07272e+07	2.61682e+08	3.75842e+08	7.21885e+06	85752.3	601.424	75.178	97836.5	12229.6
78	150	-1.72731e-45	-1.30568e-45	1000	-7.94678e-47	-2.47241e-45	5.1	-1.97571e-44	23.575	1.44595e-07	2.24997e+08	0.00103529	1.04386e+08	2.45786e+08	132.329	94377.6	581.288	3.58078e-05	0.256382	1071.43	1071.43	1124.25	1414.75	1614.1	1785.71	2473.34	2863.72	0.195163	0.195163	1.13926e+07	6.08107e+07	2.62087e+08	3.76542e+08	7.22502e+06	86107.5	581.289	72.6611	94533.8	11816.7
79	150	-1.81537e-45	-1.37225e-45	1000	-8.35192e-47	-2.59846e-45	5.1	-2.07643e-44	22.7963	1.39567e-07	2.25403e+08	0.00100177	1.04316e+08	2.45678e+08	127.732	91194.1	561.841	3.45475e-05	0.247972	1036.01	1036.01	1087.08	1367.98	1560.74	1726.68	2391.58	2769.06	0.191733	0.191733	1.14136e+07	6.08915e+07	2.62479e+08	3.77219e+08	7.23099e+06	86450.6	561.842	70.2302	91344.8	11418.1
80	150	8.46537e-46	6.39901e-46	1000	3.89464e-47	1.2117e-45	5.1	9.68275e-45	22.0435	1.34724e-07	2.25796e+08	0.000969321	1.04248e+08	2.45574e+08	123.304	88120	543.058	3.33344e-05	0.239837	1001.77	1001.77	1051.16	1322.77	1509.16	1669.62	2312.55	2677.55	0.188371	0.188371	1.1434e+07	6.09697e+07	2.62858e+08	3.77874e+08	7.23678e+06	86782.2	543.059	67.8823	88265.6	11033.2
81	150	2.67118e-45	2.01916e-45	1000	1.22892e-46	3.82344e-45	5.1	3.05531e-44	21.3157	1.30057e-07	2.26176e+08	0.000937904	1.04183e+08	2.45475e+08	119.036	85151.7	524.915	3.21667e-05	0.23197	968.672	968.672	1016.43	1279.07	1459.3	1614.45	2236.14	2589.08	0.185073	0.185074	1.14536e+07	6.10453e+07	2.63225e+08	3.78507e+08	7.24238e+06	87102.6	524.916	65.6145	85292.3	10661.5
82	150	3.51561e-45	2.65747e-45	1000	1.61742e-46	5.03212e-45	5.1	4.02118e-44	20.6121	1.2556e-07	2.26543e+08	0.00090749	1.0412e+08	2.45379e+08	114.924	82285.4	507.389	3.10423e-05	0.22436	936.674	936.674	982.851	1236.81	1411.09	1561.12	2162.27	2503.55	0.18184	0.18184	1.14727e+07	6.11184e+07	2.6358e+08	3.79119e+08	7.24781e+06	87412.3	507.39	63.4238	82421.2	10302.6
83	150	1.85538e-45	1.40249e-45	1000	8.53598e-47	2.65572e-45	5.1	2.12219e-44	19.9318	1.21226e-07	2.26898e+08	0.000878048	1.0406e+08	2.45287e+08	110.961	79517.5	490.459	2.99596e-05	0.216999	905.738	905.738	950.39	1195.97	1364.49	1509.56	2090.86	2420.87	0.178669	0.178669	1.1491e+07	6.11892e+07	2.63923e+08	3.79711e+08	7.25306e+06	87711.5	490.46	61.3075	79648.6	9956.07
84	150	3.37498e-46	2.55116e-46	1000	1.55272e-47	4.83083e-46	5.1	3.86032e-45	19.2741	1.17049e-07	2.27241e+08	0.000849549	1.04002e+08	2.45198e+08	107.141	76844.5	474.104	2.89168e-05	0.20988	875.831	875.831	919.008	1156.48	1319.43	1459.72	2021.82	2340.93	0.175558	0.175559	1.15088e+07	6.12576e+07	2.64254e+08	3.80283e+08	7.25815e+06	88000.6	474.105	59.2631	76971.1	9621.39
85	150	-6.13053e-46	-4.63409e-46	1000	-2.82045e-47	-8.77502e-46	5.1	-7.01214e-45	18.6382	1.13022e-07	2.27573e+08	0.000821963	1.03946e+08	2.45113e+08	103.459	74263.1	458.303	2.79123e-05	0.202995	846.916	846.916	888.668	1118.3	1275.87	1411.53	1955.07	2263.65	0.172507	0.172508	1.1526e+07	6.13238e+07	2.64575e+08	3.80836e+08	7.26308e+06	88280.1	458.304	57.288	74385.4	9298.17
86	150	-7.02076e-46	-5.30702e-46	1000	-3.23002e-47	-1.00493e-45	5.1	-8.03039e-45	18.0234	1.0914e-07	2.27894e+08	0.000795262	1.03892e+08	2.45031e+08	99.9081	71770	443.037	2.69445e-05	0.196335	818.962	818.962	859.336	1081.38	1233.76	1364.94	1890.54	2188.93	0.169514	0.169514	1.15427e+07	6.13879e+07	2.64886e+08	3.81371e+08	7.26785e+06	88550.1	443.038	55.3798	71888.2	8986.02
87	150	-4.2429e-46	-3.20722e-46	1000	-1.95202e-47	-6.07313e-46	5.1	-4.85305e-45	17.4289	1.05396e-07	2.28205e+08	0.000769418	1.0384e+08	2.44953e+08	96.4846	69362.3	428.288	2.60121e-05	0.189894	791.935	791.935	830.976	1045.7	1193.04	1319.89	1828.15	2116.69	0.166578	0.166578	1.15587e+07	6.14499e+07	2.65186e+08	3.81889e+08	7.27247e+06	88811.1	428.289	53.5361	69476.4	8684.55
88	150	-1.44335e-46	-1.09104e-46	1000	-6.64038e-48	-2.06596e-46	5.1	-1.65091e-45	16.8542	1.01787e-07	2.28505e+08	0.000744404	1.03789e+08	2.44877e+08	93.1832	67036.9	414.037	2.51135e-05	0.183664	765.804	765.804	803.558	1011.19	1153.68	1276.34	1767.83	2046.85	0.163696	0.163697	1.15743e+07	6.15098e+07	2.65476e+08	3.82389e+08	7.27694e+06	89063.3	414.038	51.7547	67147.1	8393.38
89	150	1.61095e-46	1.21772e-46	1000	7.41144e-48	2.30585e-46	5.1	1.84261e-45	16.2985	9.8306e-08	2.28795e+08	0.000720195	1.03741e+08	2.44805e+08	89.9992	64790.8	400.267	2.42474e-05	0.177638	740.54	740.54	777.048	977.834	1115.62	1234.23	1709.51	1979.32	0.160869	0.160869	1.15893e+07	6.15678e+07	2.65757e+08	3.82873e+08	7.28127e+06	89307.1	400.268	50.0335	64897.3	8112.16
90	150	2.55149e-46	1.92868e-46	1000	1.17386e-47	3.65211e-46	5.1	2.91841e-45	15.7612	9.49487e-08	2.29076e+08	0.000696766	1.03695e+08	2.44735e+08	86.9283	62621.3	386.961	2.34127e-05	0.17181	716.114	716.114	751.418	945.58	1078.82	1193.52	1653.12	1914.04	0.158095	0.158095	1.16039e+07	6.16239e+07	2.66029e+08	3.83341e+08	7.28547e+06	89542.7	386.962	48.3702	62724.2	7840.52
91	150	1.311e-46	9.90992e-47	1000	6.03149e-48	1.87652e-46	5.1	1.49953e-45	15.2417	9.17104e-08	2.29347e+08	0.000674091	1.0365e+08	2.44667e+08	83.966	60525.8	374.104	2.2608e-05	0.166173	692.497	692.497	726.637	914.396	1043.24	1154.16	1598.6	1850.91	0.155372	0.155372	1.16179e+07	6.16782e+07	2.66291e+08	3.83794e+08	7.28953e+06	89770.4	374.104	46.763	60625.2	7578.15
92	150	-9.0802e-47	-6.86376e-47	1000	-4.1775e-48	-1.29971e-46	5.1	-1.0386e-45	14.7394	8.85865e-08	2.2961e+08	0.000652147	1.03607e+08	2.44603e+08	81.1082	58501.6	361.679	2.18321e-05	0.160721	669.663	669.663	702.677	884.245	1008.84	1116.1	1545.89	1789.88	0.152699	0.1527	1.16315e+07	6.17307e+07	2.66546e+08	3.84232e+08	7.29346e+06	89990.6	361.679	45.2099	58597.6	7324.7
93	150	-1.28252e-46	-9.69463e-47	1000	-5.90045e-48	-1.83575e-46	5.1	-1.46696e-45	14.2537	8.55728e-08	2.29864e+08	0.000630911	1.03565e+08	2.4454e+08	78.3511	56546.2	349.672	2.1084e-05	0.155448	647.585	647.585	679.51	855.092	975.582	1079.31	1494.92	1730.87	0.150076	0.150076	1.16447e+07	6.17815e+07	2.66791e+08	3.84655e+08	7.29726e+06	90203.3	349.672	43.709	56639	7079.87
94	150	-1.09885e-46	-8.30626e-47	1000	-5.05545e-48	-1.57286e-46	5.1	-1.25687e-45	13.7841	8.2665e-08	2.30109e+08	0.00061036	1.03525e+08	2.4448e+08	75.6908	54657.3	338.068	2.03626e-05	0.150348	626.238	626.238	657.111	826.905	943.423	1043.73	1445.64	1673.82	0.147501	0.147502	1.16574e+07	6.18306e+07	2.67029e+08	3.85064e+08	7.30094e+06	90408.9	338.068	42.2586	54746.9	6843.36
95	150	9.15487e-49	6.92019e-49	1000	4.21185e-50	1.31039e-48	5.1	1.04714e-47	13.33	7.98593e-08	2.30347e+08	0.000590474	1.03486e+08	2.44423e+08	73.1238	52832.5	326.854	1.96668e-05	0.145415	605.597	605.597	635.453	799.651	912.329	1009.33	1398	1618.65	0.144974	0.144974	1.16697e+07	6.18781e+07	2.67259e+08	3.8546e+08	7.30451e+06	90607.7	326.854	40.8568	52919.1	6614.89
96	150	8.99082e-47	6.7962e-47	1000	4.13638e-48	1.28691e-46	5.1	1.02838e-45	12.8909	7.71519e-08	2.30576e+08	0.00057123	1.03449e+08	2.44367e+08	70.6466	51069.6	316.015	1.89958e-05	0.140644	585.64	585.64	614.512	773.298	882.263	976.067	1351.93	1565.31	0.142493	0.142493	1.16816e+07	6.19241e+07	2.67481e+08	3.85843e+08	7.30796e+06	90799.9	316.016	39.502	51153.2	6394.15
97	150	6.24827e-47	4.7231e-47	1000	2.87462e-48	8.94355e-47	5.1	7.14681e-46	12.4663	7.45391e-08	2.30798e+08	0.000552608	1.03413e+08	2.44314e+08	68.2559	49366.4	305.54	1.83484e-05	0.136029	566.343	566.343	594.263	747.818	853.192	943.905	1307.38	1513.73	0.140056	0.140057	1.16931e+07	6.19685e+07	2.67697e+08	3.86213e+08	7.3113e+06	90985.6	305.541	38.1926	49447.2	6180.9
98	150	3.18037e-47	2.40405e-47	1000	1.46318e-48	4.55227e-47	5.1	3.63772e-46	12.0558	7.20174e-08	2.31013e+08	0.00053459	1.03378e+08	2.44262e+08	65.9484	47720.8	295.416	1.7724e-05	0.131566	547.684	547.684	574.685	723.18	825.083	912.807	1264.31	1463.86	0.137664	0.137665	1.17042e+07	6.20116e+07	2.67905e+08	3.86571e+08	7.31453e+06	91165.1	295.417	36.9271	47798.9	5974.87
99	150	-2.26171e-47	-1.70964e-47	1000	-1.04054e-48	-3.23734e-47	5.1	-2.58696e-46	11.6588	6.95835e-08	2.31221e+08	0.000517155	1.03345e+08	2.44213e+08	63.7212	46130.9	285.631	1.71215e-05	0.127249	529.643	529.643	555.754	699.358	797.903	882.738	1222.66	1415.64	0.135316	0.135316	1.17149e+07	6.20532e+07	2.68106e+08	3.86917e+08	7.31766e+06	91338.7	285.631	35.7039	46206.4	5775.8
100	150	-5.28314e-47	-3.99355e-47	1000	-2.4306e-48	-7.5621e-47	5.1	-6.04289e-46	11.275	6.72341e-08	2.31422e+08	0.000500284	1.03312e+08	2.44165e+08	61.5712	44594.7	276.173	1.65402e-05	0.123074	512.198	512.198	537.448	676.322	771.622	853.663	1182.39	1369.01	0.13301	0.13301	1.17253e+07	6.20934e+07	2.68301e+08	3.87252e+08	7.32069e+06	91506.4	276.173	34.5217	44667.7	5583.46
