Time	[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[VIII_f]	[VIII_l]	[VIIIa_f]	[VIIIa_l]	[IX_f]	[IX_l]	[IXa_f]	[IXa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[VIIIai_f]	[VIIIai_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_IX_l]	[TF_VIIa_IXa_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[IXa_VIIIa_l]	[Xa_Va_l]	[IXa_VIIIa_X_l]	[V_Xa_l]	[VIII_Xa_l]	[IIa_f]	[V_IIa_l]	[VIII_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[XI_f]	[XI_IIa_l]	[XIa_l]	[APC_PS_l]	[APC_PS_VIIIa_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[IXa_AT_f]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[VIII_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[XIa_IX_l]	[LIPID]
0	1400	0	0	0	20	0	0	0	10	0	0.1	0	0.7	0	0	0	90	0	0	0	170	0	0	0	0	0	300	0	0	0	0	0	60	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	2.5	3400	0	0	0	0	0	0	0	0	0	1	0	0	0	0	849079
1	48.3915	1351.61	2.33171e-17	1.63928e-14	0.00892526	19.9911	1.64985e-11	3.63647e-08	0.02028	9.97948	6.9681e-05	0.099694	0.000215467	0.699784	5.91489e-13	5.81061e-10	0.0318569	89.9681	1.46292e-09	4.16185e-06	4.83134	165.169	1.41526e-07	8.18414e-06	5.98296e-20	5.73826e-18	0.184629	299.815	8.92321e-34	9.13937e-31	2.46962e-32	5.64671e-29	2.05189	57.9481	0.00452708	0.000118394	0.000236304	2.91168e-05	0	5.61807e-05	3.29204e-05	1.5249e-12	1.89471e-17	1.56107e-14	1.15874e-17	3.76012e-06	1.08823e-07	3.00744e-15	3.57706e-16	8.72271e-18	1.74454e-14	2.54677e-15	30	4.31055e-16	5.42118e-17	1.37931e-17	4.18087e-29	2.5	3400	6.91968e-17	1.59679e-09	3.48678e-16	2.59908e-27	7.00169e-13	3.12194e-10	6.53954e-08	1.84909e-15	4.72671e-17	1	2.2443e-16	6.33847e-17	5.27694e-20	3.69929e-18	649551
2	48.3915	1351.61	9.87507e-15	6.83887e-12	0.00892524	19.991	3.10885e-10	6.80744e-07	0.0202796	9.97927	6.95335e-05	0.099483	0.000215467	0.699784	9.88628e-12	9.6407e-09	0.0318569	89.9681	7.00649e-09	1.98525e-05	4.83134	165.168	6.79952e-07	3.90421e-05	7.55457e-17	7.11492e-15	0.184629	299.815	1.75926e-28	1.74894e-25	5.43321e-27	1.20999e-23	2.05189	57.9481	0.00409997	0.000202333	0.000449626	6.23217e-05	0	9.7181e-05	8.85713e-05	1.42658e-11	3.03549e-15	2.83753e-12	2.22047e-15	3.16979e-05	7.97058e-07	1.11798e-12	1.95315e-13	4.14323e-15	3.28964e-12	5.05441e-13	30	2.14434e-13	5.65418e-14	3.63142e-14	3.60932e-24	2.5	3400	5.62225e-14	1.67506e-08	1.3298e-14	2.52357e-22	7.20012e-12	3.27524e-09	3.18978e-07	1.10875e-12	2.52137e-14	1	1.62276e-13	6.38928e-14	4.86141e-17	7.50073e-15	649551
3	48.3915	1351.61	2.61991e-13	1.80591e-10	0.00892522	19.991	1.49608e-09	3.2693e-06	0.0202792	9.97907	6.94043e-05	0.0992982	0.000215466	0.699782	4.36599e-11	4.24805e-08	0.0318568	89.968	1.62517e-08	4.59922e-05	4.83133	165.168	1.5716e-06	9.00511e-05	3.41452e-15	3.19801e-13	0.184629	299.815	1.21573e-25	1.19744e-22	4.07648e-24	9.0042e-21	2.05189	57.9481	0.00371508	0.000275089	0.000641692	9.08533e-05	0	0.000132652	0.000144634	4.73974e-11	4.73081e-14	4.69028e-11	3.67997e-14	9.47979e-05	2.17046e-06	2.70249e-11	5.50571e-12	1.09347e-13	5.50095e-11	8.5898e-12	30	5.77486e-12	2.32342e-12	2.48247e-12	1.55199e-21	2.5	3400	2.15309e-12	6.06767e-08	1.01468e-13	1.18214e-19	2.60977e-11	1.18651e-08	7.40557e-07	3.37703e-11	7.27283e-13	1	5.78541e-12	2.59038e-12	2.03252e-15	4.3404e-13	649551
4	48.3915	1351.61	2.40465e-12	1.65383e-09	0.00892517	19.9909	4.27744e-09	9.33827e-06	0.0202788	9.97888	6.92934e-05	0.0991397	0.000215466	0.69978	1.17384e-10	1.14095e-07	0.0318568	89.9679	2.87235e-08	8.1241e-05	4.83132	165.168	2.77214e-06	0.000158686	4.40596e-14	4.11577e-12	0.184629	299.815	9.80528e-24	9.61466e-21	3.49605e-22	7.69147e-19	2.05189	57.9481	0.00336816	0.000340088	0.000814602	0.000116092	0	0.000164328	0.000196729	1.06499e-10	3.02377e-13	3.09102e-10	2.42408e-13	0.000193367	4.15969e-06	2.29488e-10	5.0706e-11	9.70407e-13	3.64541e-10	5.73655e-11	30	5.1814e-11	2.80323e-11	4.2405e-11	8.92323e-20	2.5	3400	2.53681e-11	1.46547e-07	4.12819e-13	7.23395e-18	6.31404e-11	2.86593e-08	1.30898e-06	3.33329e-10	6.9634e-12	1	6.45199e-11	3.08955e-11	2.57536e-14	6.48673e-12	649551
5	48.3915	1351.61	1.26437e-11	8.68456e-09	0.00892511	19.9907	9.3321e-09	2.03621e-05	0.0202784	9.9787	6.92011e-05	0.0990077	0.000215465	0.699778	2.44845e-10	2.37846e-07	0.0318568	89.9679	4.40732e-08	0.000124614	4.83131	165.168	4.24888e-06	0.000243081	2.96395e-13	2.76456e-11	0.184629	299.815	2.5691e-22	2.51267e-19	9.59104e-21	2.10523e-17	2.05189	57.9481	0.0030554	0.000398618	0.000970244	0.00013874	0	0.000192847	0.00024415	1.94814e-10	1.21412e-12	1.25852e-09	9.90685e-13	0.000324915	6.69718e-06	1.12699e-09	2.61666e-10	4.89202e-12	1.48902e-09	2.3537e-10	30	2.62979e-10	1.7888e-10	3.51109e-10	1.80124e-18	2.5	3400	1.60704e-10	2.86025e-07	1.20053e-12	1.52911e-16	1.23402e-10	5.59409e-08	2.00868e-06	1.83224e-09	3.75493e-11	1	3.89904e-10	1.94497e-10	1.73876e-13	4.79579e-11	649551
6	48.3915	1351.61	4.72508e-11	3.24278e-08	0.00892503	19.9906	1.7282e-08	3.76951e-05	0.0202781	9.97852	6.91275e-05	0.0989025	0.000215464	0.699774	4.38403e-10	4.2571e-07	0.0318568	89.9678	6.20126e-08	0.000175299	4.83131	165.167	5.97428e-06	0.000341667	1.34137e-12	1.24991e-10	0.184629	299.815	3.40274e-21	3.32244e-18	1.31598e-19	2.88427e-16	2.05189	57.9481	0.00277337	0.000451464	0.00111032	0.000159165	0	0.000218595	0.000287083	3.13889e-10	3.67089e-12	3.81731e-09	3.03014e-12	0.000486483	9.72679e-06	3.96127e-09	9.50745e-10	1.74937e-11	4.52586e-09	7.17487e-10	30	9.44698e-10	7.75023e-10	1.86859e-09	1.92688e-17	2.5	3400	6.95785e-10	4.89573e-07	2.83294e-12	1.69382e-15	2.1143e-10	9.57597e-08	2.82656e-06	7.05422e-09	1.42686e-10	1	1.61739e-09	8.29158e-10	7.97144e-13	2.31356e-10	649551
7	48.3915	1351.61	1.40317e-10	9.62416e-08	0.00892493	19.9903	2.86926e-08	6.25682e-05	0.0202777	9.97834	6.90727e-05	0.0988241	0.000215463	0.699771	7.09259e-10	6.88546e-07	0.0318567	89.9677	8.22899e-08	0.000232585	4.83129	165.167	7.92409e-06	0.000453059	4.65494e-12	4.33462e-10	0.184629	299.815	2.84594e-20	2.77557e-17	1.13129e-18	2.47693e-15	2.05189	57.9481	0.00251901	0.000499236	0.00123636	0.000177618	0	0.00024187	0.000325905	4.64026e-10	9.17297e-12	9.50149e-09	7.63357e-12	0.000675219	1.32e-05	1.11267e-08	2.73432e-09	4.97366e-11	1.12815e-08	1.79209e-09	30	2.69465e-09	2.59184e-09	7.39159e-09	1.34782e-16	2.5	3400	2.33166e-09	7.66622e-07	5.79664e-12	1.21716e-14	3.31325e-10	1.49963e-07	3.75107e-06	2.13985e-08	4.28752e-10	1	5.2073e-09	2.72198e-09	2.81404e-12	8.39609e-10	649551
8	48.3915	1351.61	3.5336e-10	2.4226e-07	0.00892482	19.9901	4.40782e-08	9.61013e-05	0.0202774	9.97817	6.90367e-05	0.0987727	0.000215462	0.699766	1.06768e-09	1.0363e-06	0.0318567	89.9677	1.04681e-07	0.000295837	4.83128	165.167	1.00767e-05	0.00057602	1.33643e-11	1.24385e-09	0.184629	299.815	1.71857e-19	1.67465e-16	6.98272e-18	1.52768e-14	2.05189	57.9481	0.00228957	0.000542455	0.00134973	0.000194307	0	0.000262927	0.000361013	6.44636e-10	1.99945e-11	2.05306e-08	1.67393e-11	0.000888507	1.70736e-05	2.66294e-08	6.66008e-09	1.20104e-10	2.44028e-08	3.88222e-09	30	6.52291e-09	7.20632e-09	2.36533e-08	6.96726e-16	2.5	3400	6.50364e-09	1.12568e-06	1.06947e-11	6.42681e-14	4.86793e-10	2.20221e-07	4.77192e-06	5.47512e-08	1.08922e-09	1	1.3981e-08	7.41502e-09	8.23319e-12	2.48918e-09	649551
9	48.3915	1351.61	7.86302e-10	5.38901e-07	0.0089247	19.9898	6.39092e-08	0.000139319	0.020277	9.97798	6.90197e-05	0.0987485	0.00021546	0.699762	1.52321e-09	1.47824e-06	0.0318567	89.9676	1.28984e-07	0.000364488	4.83127	165.166	1.24125e-05	0.00070944	3.32955e-11	3.09771e-09	0.184629	299.815	8.12844e-19	7.91557e-16	3.36147e-17	7.34997e-14	2.05189	57.9481	0.00208255	0.000581582	0.00145169	0.000209411	0	0.000281989	0.000392777	8.54504e-10	3.93322e-11	3.99046e-08	3.30811e-11	0.00112398	2.13091e-05	5.65442e-08	1.43349e-08	2.5678e-10	4.74696e-08	7.56052e-09	30	1.39722e-08	1.74545e-08	6.4583e-08	2.87372e-15	2.5	3400	1.58087e-08	1.57443e-06	1.82419e-11	2.69611e-13	6.81183e-10	3.0804e-07	5.87984e-06	1.23341e-07	2.44016e-09	1	3.27603e-08	1.75705e-08	2.09152e-11	6.34854e-09	649551
