Time	[MAPK]	[MAPK_MEK-PP]	[MAPK-P]	[MAPK phosphatase]	[MAPK-P_MAPKPase]	[MAPK-P_MEK-PP]	[MAPK-PP]	[MAPK-PP_MAPKPase]	[MEK]	[MEK-P]	[MEK phosphatase]	[MEK-P_MEKPase]	[MEK-PP]	[MEK-PP_MEKPase]	[MEK-P_RAF-P]	[MEK_RAF-P]	[RAF]	[RAFK]	[RAF-P]	[RAF phosphatase]	[RAF-P_RAFPase]	[RAF_RAFK]
18	0.399301	0.000539745	5.45722e-05	0.299895	0.000104648	5.7083e-08	3.90837e-09	5.515e-09	0.140539	0.00752376	0.185639	0.0142576	6.20295e-05	0.000103867	0.00162095	0.0353535	0.161445	0.150017	0.0422214	0.290623	0.00937654	0.049983
19	0.399127	0.000665981	6.9891e-05	0.299863	0.000137382	9.12805e-08	6.49513e-09	9.49826e-09	0.13728	0.00810445	0.184493	0.0153804	7.53231e-05	0.000127017	0.00186612	0.0365008	0.158211	0.15078	0.0443211	0.290119	0.0098814	0.0492196
20	0.398924	0.000810207	8.80915e-05	0.299823	0.000177114	1.41538e-07	1.04476e-08	1.57904e-08	0.134119	0.00867522	0.183371	0.0164756	9.03244e-05	0.000153205	0.0021251	0.0375514	0.155085	0.151526	0.0463873	0.289623	0.0103772	0.0484736
21	0.398692	0.000973253	0.000109452	0.299775	0.000224659	2.13488e-07	1.63212e-08	2.54328e-08	0.131057	0.00923397	0.182278	0.017539	0.000107098	0.000182537	0.00239652	0.0385105	0.152065	0.152255	0.048419	0.289136	0.0108636	0.0477451
22	0.398429	0.00115583	0.000134243	0.299719	0.000280834	3.14091e-07	2.48339e-08	3.98119e-08	0.128094	0.00977891	0.181217	0.0185676	0.000125697	0.000215096	0.00267895	0.0393835	0.149148	0.152966	0.0504152	0.28866	0.0113405	0.0470339
23	0.398132	0.00135851	0.000162729	0.299653	0.000346443	4.51787e-07	3.68953e-08	6.07325e-08	0.12523	0.0103085	0.18019	0.0195588	0.000146165	0.000250951	0.00297091	0.0401755	0.146331	0.15366	0.052375	0.288192	0.0118078	0.0463402
24	0.3978	0.00158176	0.000195162	0.299578	0.000422272	6.36631e-07	5.36367e-08	9.04965e-08	0.122464	0.0108215	0.179199	0.020511	0.000168537	0.000290149	0.00327093	0.0408916	0.143611	0.154336	0.0542978	0.287735	0.0122652	0.0456639
25	0.397432	0.0018259	0.000231781	0.299491	0.00050908	8.80411e-07	7.64418e-08	1.31986e-07	0.119794	0.0113168	0.178245	0.0214227	0.000192837	0.000332724	0.00357754	0.0415367	0.140985	0.154995	0.0561828	0.287287	0.0127128	0.0450049
26	0.397027	0.00209114	0.00027281	0.299392	0.000607589	1.19674e-06	1.06977e-07	1.88749e-07	0.117218	0.0117938	0.177328	0.0222932	0.00021908	0.000378693	0.00388928	0.0421154	0.138452	0.155637	0.0580297	0.28685	0.0131504	0.0443631
27	0.396584	0.00237754	0.000318456	0.299281	0.000718482	1.60115e-06	1.47223e-07	2.65086e-07	0.114735	0.0122517	0.17645	0.0231222	0.000247271	0.000428056	0.00420477	0.0426323	0.136008	0.156262	0.0598382	0.286422	0.0135781	0.0437383
28	0.396101	0.00268509	0.000368909	0.299157	0.00084239	2.11108e-06	1.99498e-07	3.66133e-07	0.112341	0.0126902	0.17561	0.0239096	0.000277409	0.000480804	0.00452267	0.0430916	0.133652	0.156869	0.0616079	0.286004	0.0139957	0.0431305
