Time	[s35]	[s37]	[pre_time]	[Time]	[AP-1]	[pp-JNKK]	[pp-JNK]	[KLF2]	[eNOS-Cav-1]	[Shc]	[p-Src]	[p-FAK]	[Src]	[FAK]	[JNKK]	[MEKK1]	[p-Shc]	[JNK]	[p-JNKK]	[p-MEKK1]	[Ras:GTP]	[Ras:GDP]	[p-JNK]	[KLF2]	[eNOS{Cell}]	[aAP-1]	[eNOS{nucleus}]	[p-FAK:Shc]	[Grb2:Sos]	[p-FAK:p-Shc]	[p-FAK:p-Shc:Grb2:Sos]	[p-Shc:Grb2:Sos]	[eNOS{nucleus}]	[Shear Stress]
82	0.00737934	9999.61	-82	82	50	0.00942844	9.97003e-08	10.0378	35.3674	746.207	33.3397	0.738978	56.6603	9.64069	299.586	97.2083	182.852	299.997	0.404828	2.79171	1.84747	118.153	0.00317121	10.0378	3.214	1.02106e-10	-0.00739394	1.28851	1.14285	60.7962	7.53661	1.32054	-0.00739394	0
83	0.00746934	9999.61	-83	83	50	0.00956125	1.01374e-07	10.0383	35.3721	746.21	33.562	0.738897	56.438	9.66449	299.582	97.1819	182.873	299.997	0.408157	2.81809	1.85983	118.14	0.00317789	10.0383	3.214	1.04745e-10	-0.00748428	1.27972	1.14308	60.7816	7.53629	1.32062	-0.00748428	0
84	0.00755933	9999.6	-84	84	50	0.00969719	1.03076e-07	10.0388	35.3768	746.214	33.7845	0.738816	56.2155	9.68894	299.579	97.1554	182.893	299.997	0.411529	2.84463	1.87215	118.128	0.00318479	10.0388	3.214	1.07429e-10	-0.00757463	1.27103	1.14332	60.7662	7.53597	1.32071	-0.00757463	0
85	0.00764932	9999.6	-85	85	50	0.00983631	1.04805e-07	10.0392	35.3815	746.219	34.0071	0.738735	55.9929	9.71401	299.575	97.1287	182.913	299.997	0.414944	2.87133	1.88444	118.116	0.00319192	10.0392	3.214	1.10157e-10	-0.00766498	1.26244	1.14357	60.7502	7.53563	1.3208	-0.00766498	0
86	0.00773931	9999.59	-86	86	50	0.00997863	1.06563e-07	10.0397	35.3862	746.224	34.2298	0.738653	55.7702	9.73968	299.572	97.1018	182.933	299.997	0.418403	2.89819	1.89669	118.103	0.00319928	10.0397	3.214	1.12931e-10	-0.00775533	1.25394	1.14384	60.7334	7.53528	1.32088	-0.00775533	0
87	0.00782931	9999.59	-87	87	50	0.0101242	1.08351e-07	10.0402	35.391	746.231	34.4527	0.738572	55.5473	9.76593	299.568	97.0748	182.952	299.997	0.421904	2.92522	1.9089	118.091	0.00320688	10.0402	3.214	1.1575e-10	-0.00784569	1.24554	1.14411	60.716	7.53492	1.32096	-0.00784569	0
88	0.0079193	9999.58	-88	88	50	0.010273	1.10169e-07	10.0406	35.3957	746.239	34.6757	0.73849	55.3243	9.79273	299.564	97.0476	182.971	299.997	0.425447	2.9524	1.92108	118.079	0.00321472	10.0406	3.214	1.18617e-10	-0.00793606	1.23722	1.1444	60.698	7.53455	1.32105	-0.00793606	0
89	0.00800929	9999.58	-89	89	50	0.0104252	1.1202e-07	10.0411	35.4004	746.247	34.8988	0.738408	55.1012	9.82007	299.561	97.0203	182.99	299.997	0.429033	2.97974	1.93323	118.067	0.00322281	10.0411	3.214	1.21531e-10	-0.00802642	1.229	1.1447	60.6793	7.53418	1.32113	-0.00802642	0
90	0.00809928	9999.57	-90	90	50	0.0105807	1.13902e-07	10.0416	35.4051	746.257	35.122	0.738326	54.878	9.84792	299.557	96.9928	183.008	299.997	0.432661	3.00723	1.94535	118.055	0.00323115	10.0416	3.214	1.24494e-10	-0.0081168	1.22087	1.145	60.6601	7.53379	1.3212	-0.0081168	0
91	0.00818927	9999.57	-91	91	50	0.0107396	1.15819e-07	10.042	35.4099	746.267	35.3453	0.738244	54.6547	9.87627	299.553	96.9651	183.027	299.997	0.43633	3.03488	1.95743	118.043	0.00323975	10.042	3.214	1.27507e-10	-0.00820717	1.21283	1.14532	60.6403	7.5334	1.32128	-0.00820717	0
92	0.00827927	9999.57	-92	92	50	0.010902	1.17769e-07	10.0425	35.4146	746.278	35.5686	0.738162	54.4314	9.9051	299.549	96.9373	183.044	299.997	0.440041	3.06269	1.96948	118.031	0.00324861	10.0425	3.214	1.3057e-10	-0.00829755	1.20488	1.14564	60.6199	7.533	1.32136	-0.00829755	0
93	0.00836926	9999.56	-93	93	50	0.0110678	1.19755e-07	10.043	35.4193	746.289	35.792	0.73808	54.208	9.93439	299.545	96.9094	183.062	299.997	0.443794	3.09064	1.9815	118.018	0.00325773	10.043	3.214	1.33684e-10	-0.00838794	1.19702	1.14598	60.5989	7.53259	1.32143	-0.00838794	0
94	0.00845925	9999.56	-94	94	50	0.0112372	1.21778e-07	10.0434	35.424	746.302	36.0155	0.737998	53.9845	9.96413	299.541	96.8813	183.079	299.997	0.447587	3.11875	1.99349	118.007	0.00326714	10.0434	3.214	1.3685e-10	-0.00847833	1.18924	1.14632	60.5775	7.53217	1.32151	-0.00847833	0
95	0.00854924	9999.55	-95	95	50	0.01141	1.23838e-07	10.0439	35.4288	746.315	36.239	0.737915	53.761	9.9943	299.537	96.853	183.096	299.997	0.451421	3.14701	2.00545	117.995	0.00327682	10.0439	3.214	1.40069e-10	-0.00856872	1.18155	1.14668	60.5555	7.53175	1.32158	-0.00856872	0
96	0.00863923	9999.55	-96	96	50	0.0115865	1.25938e-07	10.0443	35.4335	746.329	36.4625	0.737833	53.5375	10.0249	299.533	96.8246	183.113	299.997	0.455295	3.17541	2.01737	117.983	0.00328678	10.0443	3.214	1.43343e-10	-0.00865912	1.17394	1.14704	60.533	7.53131	1.32165	-0.00865912	0
97	0.00872923	9999.54	-97	97	50	0.0117666	1.28076e-07	10.0448	35.4382	746.343	36.6861	0.737751	53.3139	10.0559	299.529	96.796	183.129	299.997	0.45921	3.20397	2.02927	117.971	0.00329704	10.0448	3.214	1.46672e-10	-0.00874952	1.16642	1.14741	60.5101	7.53087	1.32172	-0.00874952	0
98	0.00881922	9999.54	-98	98	50	0.0119504	1.30256e-07	10.0453	35.4429	746.358	36.9096	0.737669	53.0904	10.0872	299.525	96.7673	183.145	299.997	0.463164	3.23267	2.04114	117.959	0.00330759	10.0453	3.214	1.50057e-10	-0.00883992	1.15899	1.14778	60.4867	7.53043	1.32179	-0.00883992	0
99	0.00890921	9999.53	-99	99	50	0.0121379	1.32478e-07	10.0457	35.4477	746.374	37.1332	0.737586	52.8668	10.119	299.521	96.7385	183.161	299.997	0.467159	3.26152	2.05297	117.947	0.00331845	10.0457	3.214	1.53499e-10	-0.00893033	1.15163	1.14817	60.4629	7.52998	1.32185	-0.00893033	0
100	0.0089992	9999.53	-100	100	50	0.0123291	1.34743e-07	10.0462	35.4524	746.39	37.3567	0.737504	52.6433	10.151	299.516	96.7095	183.176	299.997	0.471193	3.29051	2.06478	117.935	0.00332961	10.0462	3.214	1.57e-10	-0.00902075	1.14436	1.14856	60.4386	7.52952	1.32192	-0.00902075	0
