Time	[ErbB1]	[ErbB2]	[ErbB3]	[ErbB4]	[EGF-ErbB1]	[HRG-ErbB3]	[HRG-ErbB4]	[(EGF-ErbB1)2]	[EGF-ErbB1-ErbB2]	[HRG-ErbB3-ErbB2]	[(HRG-ErbB3/4)2]	[HRG-Erb4-ErbB2]	[(HRG-Erb4)2]	[E11_p]	[E12_p]	[E23_p]	[E34_p]	[E24_p]	[E44_p]	[Grb2]	[Shc]	[PI-3K]	[RasGAP]	[SOS]	[Gab1]	[E11-Grb2]	[E11-Shc]	[E11-RasGAP]	[E12-Grb2]	[E12-Shc]	[E12-RasGAP]	[E23-Grb2]	[E23-Shc]	[E23-PI-3K]	[E23-RasGAP]	[E34-Grb2]	[E34-Shc]	[E34-PI-3K]	[E34-RasGAP]	[E24-Grb2]	[E24-Shc]	[E24-PI-3K]	[E24-RasGAP]	[E44-Grb2]	[E44-Shc]	[E44-PI-3K]	[E44-RasGAP]	[Sum Grb2]	[Sum Shc]	[Sum PI-3K]	[Sum RasGAP]	[Sum Gab1]	[Sum Shc_p]	[Sum Gab1_p]	[Sum Grb2-SOS]	[Sum Grb2-Gab1]	[Sum Shc_p-Grb2]	[Sum Gab1_p-Shc]	[Sum Gab1_p-PI-3K]	[Sum Gab1_p-RasGAP]	[Empty]	[PIP3-Gab1]	[PIP2]	[PIP3]	[Akt]	[RasGDP]	[RasGTP]	[Sum RasGAP_p]	[Raf]	[Raf*]	[MEK]	[MEK*]	[ERK]	[ERK*]	[SOS_p]	[Gab1_p]	[Gab1_SumGrb2-SOS]	[Sum PIP3-Gab1-Grb2]	[Sum PIP3-Gab1-Grb2_SOS]	[Sum SOS]	[ErbB1-ErbB3]	[ErbB1-ErbB4]	[ErbB1-ErbB3_p]	[ErbB1-ErbB3_p]	[E13-Grb2]	[E13-Shc]	[E13-PI-3K]	[E13-RasGAP]	[E14-Grb2]	[E14-Shc]	[E14-PI-3K]	[E14-RasGAP]	[PTP-1B]	[E11-PTP-1B]	[E12-PTP-1B]	[E23-PTP-1B]	[E34-PTP-1B]	[E24-PTP-1B]	[E44-PTP-1B]	[E13-PTP-1B]	[E14-PTP-1B]	[Sig-PTP-1B]	[E1_p-PTP-1B]	[E2_p-PTP-1B]	[E4_p-PTP-1B]	[E_E1_p-PTP-1B]	[H_E4_p-PTP-1B]	[Aktstar]	[SumGab1_p-PTP-1B]	[EGF]	[HRG]	[fint]	[p_ERK]	[ERK-MEK*]	[p_ERK-MEK*]	[p_ERK-ERKpase]	[ERKpase]	[ERK*-ERKpase]	[normalized Akt*]	[normalized Erk*]
0	274	158	294	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.4	11.5	46.4	93.6	82.3	43.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	444	95.7	0	0	743	0	772	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	35	0	0.0593723
1	262.962	71.0967	280.103	292.19	0.0111528	1.82746	6.19295	1.49839e-05	0.350744	8.22352	1.23881	47.8544	12.2002	4.70193e-08	0.000256112	0.174646	0.00303308	0.812758	0.0416834	82.2465	11.3321	46.3581	88.0711	82.1372	42.7025	3.3285e-08	3.09485e-09	1.83556e-08	0.00204539	0.000458163	0.000143643	0.00911948	0.0342939	0.0242215	1.36252	0.0172809	0.000726275	0.00069113	0.00654042	0.120893	0.0938472	0.00907804	3.90892	0.000352887	0.0379041	0.00529379	0.250217	0.0993653	0.10575	0.0419082	3.31261	0.00438102	0.058877	0.00348961	0.04035	0.0116396	0.00330576	0.000691833	0.00261934	0.000479306	3.22268	0.0051481	196.975	0.0194184	443.937	95.6754	0.0246422	2.21633	742.974	0.0261774	771.996	0.0016126	750.956	30.6464	0.120701	0.378566	0.00171236	0.000397996	7.1295e-05	0.0421337	0.0020229	0.0152474	3.03821e-05	3.03821e-05	3.84408e-05	7.77483e-08	6.2719e-08	5.3984e-06	3.17019e-05	1.12596e-05	4.43116e-06	0.000114638	493.79	1.55991e-07	0.00204335	0.967329	0.00424942	5.09485	0.133888	8.5403e-05	3.24291e-06	6.20976	10.5417	17.8572	13.3902	0.111605	2.70583	0.0626182	0.0073082	9.9851	6.7773	0.0149199	1.3217	0.00196343	4.03539e-06	0.0720228	32.9257	2.00228	0.00333075	0.0553836
2	257.96	54.834	270.669	238.441	0.03301	3.0566	8.7374	0.000244794	0.904106	12.5608	3.26152	53.6759	28.8133	6.19279e-07	0.000518779	0.230327	0.00627422	0.710506	0.0775141	82.1814	11.2124	46.3312	85.7324	82.1044	42.561	7.29173e-07	5.11651e-08	3.35809e-07	0.00525841	0.00130794	0.000275106	0.0152608	0.0563077	0.034445	2.24629	0.0717984	0.00213009	0.00165679	0.0185808	0.115182	0.114858	0.00785653	4.66071	0.000992352	0.110643	0.0162204	0.940003	0.134821	0.197299	0.0688315	5.2035	0.0104656	0.0840921	0.00641062	0.0576094	0.020261	0.00619341	0.00227489	0.00862763	0.00097691	5.02058	0.0177893	196.945	0.0339268	443.825	95.6683	0.0317019	2.66411	742.918	0.0822469	771.974	0.0115966	752.478	28.8221	0.134848	0.495024	0.00254175	0.00276624	0.000633325	0.0607844	0.0122789	0.0778324	0.000157469	0.000157469	0.000368487	5.69867e-07	4.78747e-07	3.71548e-05	0.000178765	6.22524e-05	2.46223e-05	0.000748307	491.935	2.7458e-06	0.00517216	1.74345	0.011701	5.75937	0.529104	0.000681389	1.71392e-05	8.06473	14.7922	20.3181	16.9987	0.204865	5.35015	0.174656	0.0152359	9.96253	4.98827	0.0286253	1.70418	0.0143692	3.82135e-05	0.0933293	33.0183	1.88839	0.00929023	0.0520959
3	255.731	49.2639	263.767	207.365	0.0598115	3.98868	10.0438	0.00121246	1.55011	15.5791	5.05673	55.6566	39.7767	2.82451e-06	0.000811078	0.266369	0.00885171	0.66701	0.09764	82.0844	11.1398	46.3072	84.5045	82.0825	42.5078	4.73881e-06	2.66295e-07	1.89102e-06	0.0093225	0.00254389	0.000435626	0.0186779	0.0684227	0.0407042	2.72295	0.160001	0.00352085	0.00246294	0.0301771	0.107012	0.114938	0.00728166	4.57548	0.00143119	0.166158	0.0251535	1.76279	0.191806	0.253234	0.0928245	6.18743	0.0181001	0.0990984	0.0101898	0.0815789	0.0291881	0.00791336	0.00451046	0.017162	0.00154012	6.17361	0.034118	196.91	0.046822	443.718	95.6573	0.0426543	2.9081	742.845	0.154511	771.927	0.0323266	753.958	27.1021	0.130494	0.515893	0.00358627	0.00753203	0.00186034	0.0870255	0.0316138	0.174375	0.000382921	0.000382921	0.00137375	1.68092e-06	1.44178e-06	0.000105491	0.0004227	0.000149499	5.87526e-05	0.00206202	491.076	1.47385e-05	0.00925685	2.23189	0.0185643	5.60235	1.03448	0.00213117	3.96591e-05	8.92351	16.1768	19.5049	17.0054	0.243806	6.66799	0.282274	0.0247822	9.93718	3.84799	0.0412152	2.00861	0.0402914	0.000126131	0.110297	33.1091	1.78059	0.0150146	0.0489953
4	254.782	46.584	258.484	187.594	0.087952	4.71036	10.8313	0.00353821	2.21555	17.8739	6.53435	56.8183	47.0873	7.80186e-06	0.00109128	0.290045	0.0107484	0.63764	0.108919	81.9573	11.0982	46.2856	83.6882	82.0542	42.4792	1.69716e-05	7.92491e-07	5.96481e-06	0.0135975	0.00401533	0.000590656	0.0208793	0.0756845	0.0447874	2.99919	0.273334	0.00462366	0.0030617	0.039158	0.102027	0.110173	0.00693152	4.32552	0.00168971	0.19957	0.030943	2.54105	0.264532	0.286976	0.114397	6.86604	0.0277899	0.106002	0.0147776	0.11369	0.0411468	0.00882698	0.00748382	0.0285725	0.00223331	6.97578	0.0529796	196.87	0.0584247	443.619	95.6421	0.0579363	3.04578	742.748	0.252142	771.85	0.0663865	755.152	25.4817	0.123312	0.503312	0.00502274	0.0146007	0.00373849	0.122452	0.0573682	0.286399	0.000668669	0.000668669	0.00331405	3.27897e-06	2.85679e-06	0.000200265	0.000706376	0.000251448	9.85778e-05	0.00387039	490.469	4.48425e-05	0.0136216	2.5459	0.0238423	5.35707	1.54923	0.00435106	6.53136e-05	9.53076	16.2618	17.9595	15.8271	0.254144	7.17176	0.380717	0.0366312	9.91124	3.06021	0.0527803	2.46907	0.0830118	0.000318847	0.135831	33.1861	1.67803	0.0202509	0.0460725
5	254.425	45.033	254.314	174.133	0.115844	5.28523	11.3516	0.00773368	2.86788	19.6884	7.74445	57.5913	52.1949	1.63367e-05	0.00134843	0.306004	0.0121455	0.614732	0.115399	81.8083	11.0748	46.265	83.1095	82.0196	42.4541	4.33219e-05	1.73305e-06	1.35999e-05	0.01773	0.00557003	0.000729447	0.0224087	0.0800954	0.0475116	3.15919	0.40467	0.00542857	0.00350095	0.0455593	0.0985581	0.104704	0.0066662	4.06888	0.0018437	0.21785	0.0344277	3.20693	0.347896	0.307646	0.135014	7.37359	0.0392703	0.10829	0.0199107	0.151421	0.0557265	0.00923747	0.011165	0.042764	0.00301098	7.56349	0.073821	196.827	0.0694618	443.528	95.6239	0.0760641	3.11695	742.618	0.381786	771.734	0.117561	755.921	23.9564	0.116009	0.479725	0.00673179	0.0237309	0.00620278	0.164355	0.0870142	0.403221	0.00098293	0.00098293	0.00628814	5.14145e-06	4.54084e-06	0.000307834	0.000994831	0.000353269	0.00013876	0.00591445	489.981	9.98068e-05	0.0178372	2.75173	0.0277352	5.13675	2.02738	0.0070735	9.08921e-05	10.0188	15.7678	16.3789	14.3841	0.251147	7.25654	0.471675	0.0500921	9.88567	2.48744	0.0634041	3.21698	0.147289	0.000736107	0.177201	33.2425	1.58028	0.0250891	0.0433191
6	254.335	44.0212	250.947	164.527	0.142831	5.7524	11.7167	0.0141415	3.49379	21.1498	8.74162	58.1208	55.9064	2.88529e-05	0.00158263	0.317119	0.0131976	0.596206	0.119242	81.6433	11.0611	46.2443	82.6926	81.98	42.4256	8.93702e-05	3.1427e-06	2.54122e-05	0.0215786	0.00710639	0.000852438	0.0234899	0.0828141	0.0493852	3.25224	0.548973	0.00600623	0.00382926	0.0500579	0.0957989	0.0997203	0.0064529	3.84564	0.00193726	0.227365	0.0364881	3.74628	0.438921	0.321092	0.155744	7.75949	0.0522974	0.108468	0.0254572	0.193105	0.0721501	0.00937352	0.0154624	0.0594051	0.00384452	8.00955	0.096535	196.779	0.0805258	443.441	95.6038	0.0962145	3.14786	742.452	0.547682	771.57	0.19015	756.152	22.5218	0.10904	0.453228	0.0086266	0.0346906	0.0091853	0.210917	0.118746	0.519478	0.00130647	0.00130647	0.0102896	7.10299e-06	6.34864e-06	0.000419171	0.0012721	0.000449	0.000177113	0.00800265	489.577	0.000183612	0.0217456	2.89028	0.03063	4.95365	2.45156	0.0100552	0.000115182	10.4229	15.0324	14.9489	13.0037	0.242232	7.13094	0.559394	0.064721	9.86089	2.05639	0.0731631	4.35889	0.238456	0.00161401	0.240268	33.2727	1.48701	0.029755	0.0407274
7	254.36	43.3057	248.18	157.446	0.168658	6.13716	11.9837	0.0229458	4.08868	22.34	9.56898	58.486	58.6867	4.55056e-05	0.00179684	0.325122	0.014009	0.581038	0.121582	81.4661	11.052	46.2228	82.3925	81.9365	42.3916	0.000159641	5.04054e-06	4.16644e-05	0.0251139	0.00857007	0.00096257	0.0242611	0.0845318	0.0507153	3.30762	0.702749	0.00642619	0.00408043	0.0532791	0.0934792	0.0954968	0.00627831	3.66197	0.00199472	0.232112	0.0377126	4.16837	0.535724	0.330709	0.177178	8.05279	0.0667252	0.107884	0.0313751	0.237717	0.0898328	0.00938126	0.0202864	0.0781703	0.00472586	8.35688	0.121201	196.727	0.0919538	443.352	95.5821	0.11794	3.15473	742.247	0.752773	771.346	0.288571	755.736	21.174	0.10247	0.426721	0.0106535	0.0473154	0.0126357	0.261006	0.151343	0.632564	0.00162857	0.00162857	0.0152554	9.06804e-06	8.18899e-06	0.000529575	0.0015325	0.000537311	0.000213021	0.0100272	489.24	0.000298005	0.0253271	2.98652	0.0328299	4.80345	2.81822	0.0131297	0.000137885	10.7603	14.2142	13.6973	11.7803	0.230916	6.89964	0.647521	0.0803559	9.83707	1.72392	0.0821278	5.99609	0.361848	0.00337109	0.33049	33.2715	1.39798	0.0344426	0.0382901
8	254.427	42.7718	245.871	152.116	0.193249	6.4572	12.1849	0.0342026	4.6519	23.3184	10.2596	58.7384	60.8178	6.62654e-05	0.00199423	0.331072	0.0146479	0.568532	0.123033	81.2793	11.0451	46.2004	82.1783	81.8899	42.3516	0.000257329	7.42245e-06	6.23819e-05	0.0283547	0.00993873	0.00106267	0.0248173	0.0856513	0.0516885	3.34198	0.863521	0.00673869	0.00427665	0.055658	0.0914918	0.0920114	0.00613411	3.51388	0.00202998	0.234308	0.0384482	4.4908	0.636972	0.338345	0.199623	8.27428	0.0824666	0.107169	0.0376594	0.284553	0.108383	0.0093409	0.0255707	0.0988192	0.00565579	8.63266	0.147946	196.67	0.103923	443.262	95.559	0.140955	3.14738	742.001	0.999237	771.054	0.417154	754.568	19.9094	0.096297	0.401218	0.0127765	0.0615085	0.0165233	0.313853	0.18399	0.741251	0.00194345	0.00194345	0.0210958	1.09875e-05	1.00097e-05	0.000636866	0.00177495	0.000618572	0.000246469	0.0119401	488.957	0.000443161	0.0286127	3.05561	0.0345396	4.68013	3.13011	0.0161961	0.000159032	11.0428	13.387	12.6065	10.7228	0.218858	6.61634	0.738422	0.0969656	9.81424	1.46274	0.0903628	8.22744	0.522467	0.00669011	0.453001	33.234	1.31302	0.0392778	0.0360007
9	254.502	42.3585	243.919	148.048	0.216606	6.72554	12.3398	0.0478719	5.18456	24.1296	10.8393	58.9122	62.4795	9.09793e-05	0.00217756	0.33563	0.0151599	0.558158	0.123937	81.0847	11.0391	46.1768	82.0281	81.8406	42.3055	0.000384307	1.02695e-05	8.74406e-05	0.0313345	0.0112085	0.00115494	0.0252232	0.0864063	0.0524207	3.36455	1.02949	0.006977	0.00443263	0.0574724	0.0897756	0.0891569	0.00601415	3.39509	0.0020512	0.235137	0.0388928	4.73248	0.741661	0.344986	0.223247	8.44009	0.0994649	0.106597	0.0443175	0.333094	0.127539	0.00929208	0.0312731	0.121198	0.00663757	8.85507	0.176892	196.609	0.11653	443.167	95.5349	0.165055	3.13185	741.711	1.28873	770.683	0.580042	752.546	18.7245	0.090508	0.37705	0.01497	0.077224	0.020832	0.368896	0.216158	0.845013	0.00224814	0.00224814	0.0277106	1.28383e-05	1.17825e-05	0.000740146	0.00200022	0.000693598	0.000277636	0.0137278	488.72	0.000618205	0.0316448	3.10685	0.0358946	4.57842	3.39258	0.0191974	0.000178752	11.28	12.5846	11.6499	9.81233	0.206834	6.30988	0.833483	0.114566	9.79238	1.25462	0.0979275	11.1482	0.724749	0.0126111	0.612454	33.1556	1.23197	0.0443342	0.0338532
