Time	[X]	[Xa]	[Xa_ATIII]	[PL]	[PT]	[Va]	[IIa]	[V]	[II]	[IIa_alpha2M]	[IIa_ATIII]	[RVV]
27	5.60076e-05	4.01802e-06	0.19994	0.05	2.57475e-11	0.000835385	7.06958e-05	0.0291646	0.88128	0.094986	0.423663	0.03
28	4.13549e-05	2.96682e-06	0.199956	0.05	1.90136e-11	0.000835478	5.22002e-05	0.0291645	0.88124	0.0949967	0.423711	0.03
29	3.05356e-05	2.19064e-06	0.199967	0.05	1.40404e-11	0.000835547	3.85435e-05	0.0291644	0.88121	0.0950046	0.423747	0.03
30	2.25469e-05	1.61753e-06	0.199976	0.05	1.03678e-11	0.000835598	2.84597e-05	0.0291644	0.881188	0.0950105	0.423773	0.03
31	1.66482e-05	1.19435e-06	0.199982	0.05	7.6557e-12	0.000835635	2.1014e-05	0.0291644	0.881172	0.0950148	0.423792	0.03
32	1.22927e-05	8.81884e-07	0.199987	0.05	5.653e-12	0.000835663	1.55163e-05	0.0291643	0.88116	0.095018	0.423806	0.03
33	9.07666e-06	6.51165e-07	0.19999	0.05	4.17417e-12	0.000835683	1.14569e-05	0.0291643	0.881151	0.0950204	0.423817	0.03
34	6.70202e-06	4.80807e-07	0.199993	0.05	3.08218e-12	0.000835698	8.45954e-06	0.0291643	0.881145	0.0950221	0.423825	0.03
35	4.94863e-06	3.55018e-07	0.199995	0.05	2.27585e-12	0.000835709	6.24635e-06	0.0291643	0.88114	0.0950234	0.42383	0.03
36	3.65397e-06	2.62138e-07	0.199996	0.05	1.68045e-12	0.000835718	4.61217e-06	0.0291643	0.881137	0.0950244	0.423835	0.03
37	2.69802e-06	1.93557e-07	0.199997	0.05	1.24082e-12	0.000835724	3.40553e-06	0.0291643	0.881134	0.0950251	0.423838	0.03
38	1.99216e-06	1.42919e-07	0.199998	0.05	9.16203e-13	0.000835728	2.51458e-06	0.0291643	0.881132	0.0950256	0.42384	0.03
39	1.47097e-06	1.05528e-07	0.199998	0.05	6.76508e-13	0.000835732	1.85671e-06	0.0291643	0.881131	0.095026	0.423842	0.03
