Time	[Wnt{default}]	[Complex_br_(Wnt/Frizzled)]	[Frizzled]	[Complex_br_(Frizzled/Wnt/_br_LRP5/6)]	[LRP5/6]	[Casein Kinase 1]	[Casein Kinase 2]	[ATP]	[ADP]	[Glycogen Synthase Kinase-3_Beta_]	[Diversin]	[Complex_br_(Ebi/Siah-1)]	[Complex_br_(Siah-1/Ebi)]	[FRAT]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Axin/PP2A/_br_Adenomatous Polyposis Coli)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/Casein Kinase 1/_br_Glycogen Synthase Kinase-3_Beta_/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A)]	[Pygo]	[CBP]	[SWI/SNF]	[Bcl9]	[Wnt Target Genes]	[Complex_br_(TCF/Smad4)]	[Wnt{"Cell Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br__Beta_-Catenin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/_Beta_-Catenin/_br_PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/_Beta_-Catenin/_br_Siah-1/Ebi)]	[_Beta_-Catenin{Nucleus}]	[Complex_br_(TCF/Smad4/_br__Beta_-Catenin)]	[Complex_br_(TCF/_Beta_-Catenin/_br_Smad4/Bcl9)]	[Complex_br_(Bcl9/_Beta_-Catenin/_br_TCF/Smad4/_br_Pygo)]	[Complex_br_(_Beta_-Catenin/TCF/_br_Smad4/Bcl9/_br_Pygo/SWI/_br_SNF)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A/_br_Diversin/Casein Kinase 1)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Glycogen Synthase Kinase-3_Beta_/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1)]	[Ubiquitin]	[_Beta_-Catenin{"Plasma Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Siah-1/Ebi/_br_Axin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo/Casein Kinase 2)]	[Complex_br_(Dishevelled/Casein Kinase 2/_br_Beta-Arrestin/Frodo/_br_FRAT)]	[_beta_TrCP]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(_beta_TrCP/_Beta_-Catenin)]	[6 bromoindirubin 3'oxime]	[Complex_br_(Bcl9/Pygo/../Smad4)]
35	1.24138	0.809357	0.681921	1.50872	1.49128	0.0482925	2.42122	0.692345	0.307655	0.0725326	0.713606	1.78388	0.922571	2.68202	2.27608	2.14997	0.0741042	0.919103	0.0259017	0.0968041	0.0529855	0.00767977	1.90181	0.660936	1.44054	0.100298	0.347519	0.154578	0.291586	0.702289	1.34674	0.0182219	0.0270838	0.0438186	0.314509	3.90782	0.00113916	0.100298	0.100298	0.00196244	0.00346778	2.27608	0.260809	0.245443	1.16435	0.835155	0.835155	0.000271667	0.5	0.001382
36	1.24138	0.809357	0.681921	1.50872	1.49128	0.0485616	2.4187	0.692485	0.307515	0.0728393	0.713057	1.78365	0.922926	2.6807	2.26731	2.14902	0.0741575	0.919884	0.0251829	0.0942009	0.0517437	0.00746432	1.9045	0.660879	1.44054	0.100354	0.347681	0.154557	0.291704	0.702254	1.34659	0.0177186	0.0265607	0.0424572	0.318239	3.90497	0.000998697	0.100354	0.100354	0.00172219	0.00304232	2.26731	0.261997	0.246465	1.16474	0.834825	0.834825	0.00023787	0.5	0.00130219
37	1.24138	0.809357	0.681921	1.50872	1.49128	0.0488259	2.41623	0.692627	0.307373	0.0731397	0.712544	1.78345	0.923237	2.67939	2.2587	2.14817	0.0742043	0.920568	0.0245066	0.0917438	0.0505705	0.00726173	1.90703	0.660836	1.44054	0.100402	0.347819	0.154532	0.291804	0.702207	1.34643	0.0172448	0.026064	0.0411733	0.321873	3.90218	0.000875656	0.100402	0.100402	0.00151134	0.00266915	2.2587	0.263162	0.247466	1.16512	0.834499	0.834499	0.000208315	0.5	0.00122909
38	1.24138	0.809357	0.681921	1.50872	1.49128	0.0490854	2.41382	0.69277	0.30723	0.0734339	0.712064	1.78327	0.92351	2.67812	2.25026	2.1474	0.0742453	0.921169	0.0238689	0.0894208	0.0494604	0.00707088	1.90942	0.660803	1.44054	0.100443	0.347934	0.154504	0.291889	0.702151	1.34627	0.016798	0.0255915	0.0399603	0.325413	3.89945	0.00076786	0.100443	0.100443	0.00132631	0.00234182	2.25026	0.264303	0.248446	1.16549	0.834178	0.834178	0.000182464	0.5	0.00116198
39	1.24138	0.809357	0.681921	1.50872	1.49128	0.0493401	2.41145	0.692915	0.307085	0.0737219	0.711617	1.78313	0.92375	2.67687	2.24198	2.14671	0.0742812	0.921695	0.0232669	0.0872211	0.0484083	0.0068908	1.91168	0.660779	1.44054	0.100478	0.348032	0.154474	0.29196	0.702088	1.34611	0.0163761	0.0251415	0.0388128	0.328859	3.89678	0.000673403	0.100478	0.100478	0.00116392	0.00205469	2.24198	0.265422	0.249405	1.16585	0.833861	0.833861	0.000159847	0.5	0.00110023
40	1.24138	0.809357	0.681921	1.50872	1.49128	0.0495901	2.40913	0.69306	0.30694	0.074004	0.7112	1.783	0.92396	2.67565	2.23385	2.14609	0.0743127	0.922157	0.0226975	0.0851353	0.0474097	0.0067206	1.91382	0.660762	1.44054	0.100508	0.348114	0.154441	0.292019	0.702021	1.34596	0.0159769	0.0247122	0.0377257	0.332213	3.89417	0.000590618	0.100508	0.100508	0.00102142	0.0018028	2.23385	0.266517	0.250345	1.1662	0.833549	0.833549	0.000140056	0.5	0.00104328
41	1.24138	0.809357	0.681921	1.50872	1.49128	0.0498355	2.40687	0.693206	0.306794	0.07428	0.710813	1.78289	0.924144	2.67446	2.22589	2.14552	0.0743404	0.922562	0.0221583	0.0831547	0.0464603	0.0065595	1.91585	0.660751	1.44054	0.100534	0.348182	0.154409	0.292068	0.70195	1.34581	0.0155988	0.0243021	0.0366944	0.335477	3.89162	0.000518051	0.100534	0.100534	0.000896362	0.00158183	2.22589	0.267591	0.251264	1.16653	0.833242	0.833242	0.000122732	0.5	0.000990647
42	1.24138	0.809357	0.681921	1.50872	1.49128	0.0500762	2.40464	0.693353	0.306647	0.0745502	0.710455	1.7828	0.924306	2.67329	2.21808	2.14501	0.0743646	0.922918	0.0216469	0.0812715	0.0455567	0.00640679	1.91779	0.660745	1.44054	0.100555	0.348239	0.154377	0.29211	0.701878	1.34566	0.0152401	0.0239099	0.0357148	0.33865	3.88913	0.000454432	0.100555	0.100555	0.000786615	0.00138797	2.21808	0.268641	0.252164	1.16686	0.83294	0.83294	0.000107566	0.5	0.000941909
43	1.24138	0.809357	0.681921	1.50872	1.49128	0.0503123	2.40247	0.6935	0.3065	0.0748145	0.710123	1.78272	0.924447	2.67214	2.21042	2.14455	0.0743858	0.92323	0.0211612	0.0794787	0.0446955	0.00626185	1.91962	0.660741	1.44054	0.100574	0.348287	0.154345	0.292144	0.701805	1.34552	0.0148994	0.0235343	0.0347832	0.341735	3.88669	0.000398651	0.100574	0.100574	0.000690304	0.00121788	2.21042	0.269671	0.253044	1.16718	0.832643	0.832643	9.42851e-05	0.5	0.00089669
44	1.24138	0.809357	0.681921	1.50872	1.49128	0.0505439	2.40034	0.693648	0.306352	0.0750732	0.709817	1.78265	0.924572	2.67102	2.20292	2.14414	0.0744044	0.923503	0.0206995	0.0777699	0.0438737	0.00612409	1.92138	0.660741	1.44054	0.100589	0.348327	0.154315	0.292172	0.701732	1.34538	0.0145754	0.0231742	0.0338962	0.344733	3.88431	0.000349735	0.100589	0.100589	0.000605785	0.00106865	2.20292	0.270678	0.253905	1.1675	0.832352	0.832352	8.26535e-05	0.5	0.000854661
45	1.24138	0.809357	0.681921	1.50872	1.49128	0.050771	2.39826	0.693796	0.306204	0.0753262	0.709536	1.78259	0.924681	2.66993	2.19557	2.14377	0.0744208	0.923743	0.02026	0.0761393	0.0430886	0.00599301	1.92305	0.660742	1.44054	0.100603	0.348361	0.154286	0.292196	0.70166	1.34525	0.014267	0.0228286	0.0330507	0.347646	3.88199	0.000306836	0.100603	0.100603	0.000531615	0.000937724	2.19557	0.271664	0.254747	1.1678	0.832067	0.832067	7.24643e-05	0.5	0.000815529
46	1.24138	0.809357	0.681921	1.50872	1.49128	0.0509936	2.39623	0.693944	0.306056	0.0755737	0.709279	1.78254	0.924777	2.66886	2.18837	2.14343	0.0744351	0.923954	0.0198411	0.0745816	0.0423376	0.00586813	1.92464	0.660744	1.44054	0.100614	0.348389	0.15426	0.292216	0.701591	1.34512	0.0139729	0.0224966	0.032244	0.350474	3.87971	0.000269209	0.100614	0.100614	0.000466525	0.000822842	2.18837	0.272629	0.255571	1.1681	0.831787	0.831787	6.35368e-05	0.5	0.000779034
47	1.24138	0.809357	0.681921	1.50872	1.49128	0.0512117	2.39423	0.694092	0.305908	0.0758157	0.709044	1.7825	0.924861	2.66781	2.18132	2.14313	0.0744476	0.924139	0.0194414	0.0730921	0.0416187	0.00574903	1.92616	0.660748	1.44054	0.100624	0.348413	0.154236	0.292233	0.701523	1.345	0.0136924	0.0221772	0.0314735	0.35322	3.8775	0.000236206	0.100624	0.100624	0.000409408	0.000722048	2.18132	0.273574	0.256377	1.16839	0.831512	0.831512	5.57143e-05	0.5	0.000744946
48	1.24138	0.809357	0.681921	1.50872	1.49128	0.0514256	2.39228	0.69424	0.30576	0.0760524	0.708831	1.78246	0.924934	2.66678	2.17441	2.14286	0.0744587	0.924301	0.0190598	0.0716664	0.0409296	0.00563532	1.92762	0.660751	1.44054	0.100632	0.348434	0.154214	0.292247	0.701458	1.34488	0.0134244	0.0218698	0.0307368	0.355884	3.87533	0.000207255	0.100632	0.100632	0.000359283	0.000633605	2.17441	0.274498	0.257165	1.16867	0.831243	0.831243	4.88584e-05	0.5	0.000713058
49	1.24138	0.809357	0.681921	1.50872	1.49128	0.0516351	2.39038	0.694388	0.305612	0.0762838	0.708639	1.78243	0.924999	2.66578	2.16764	2.14261	0.0744683	0.924443	0.0186949	0.0703003	0.0402685	0.00552665	1.92902	0.660754	1.44054	0.100639	0.348452	0.154196	0.292259	0.701397	1.34477	0.0131682	0.0215736	0.0300318	0.358469	3.87321	0.000181857	0.100639	0.100639	0.000315295	0.000556	2.16764	0.275402	0.257935	1.16894	0.83098	0.83098	4.2849e-05	0.5	0.000683183
50	1.24138	0.809357	0.681921	1.50872	1.49128	0.0518403	2.38852	0.694535	0.305465	0.0765101	0.708467	1.7824	0.925056	2.6648	2.16102	2.1424	0.0744768	0.924568	0.0183458	0.0689903	0.0396337	0.0054227	1.93035	0.660757	1.44054	0.100645	0.348469	0.15418	0.292271	0.701339	1.34467	0.0129231	0.021288	0.0293566	0.360975	3.87115	0.000159575	0.100645	0.100645	0.000276694	0.000487904	2.16102	0.276286	0.258688	1.16921	0.830722	0.830722	3.7581e-05	0.5	0.000655158
51	1.24138	0.809357	0.681921	1.50872	1.49128	0.0520414	2.38669	0.694682	0.305318	0.0767312	0.708315	1.78237	0.925106	2.66385	2.15454	2.1422	0.0744842	0.924678	0.0180114	0.0677329	0.0390237	0.00532316	1.93164	0.660759	1.44054	0.100651	0.348484	0.154168	0.292281	0.701284	1.34456	0.0126882	0.0210123	0.0287092	0.363405	3.86913	0.000140025	0.100651	0.100651	0.000242818	0.000428152	2.15454	0.277151	0.259423	1.16947	0.83047	0.83047	3.29625e-05	0.5	0.000628832
52	1.24138	0.809357	0.681921	1.50872	1.49128	0.0522383	2.38491	0.694829	0.305171	0.0769474	0.708181	1.78235	0.925149	2.66291	2.14819	2.14203	0.0744908	0.924774	0.0176909	0.066525	0.0384368	0.00522776	1.93287	0.66076	1.44054	0.100656	0.348499	0.154158	0.292291	0.701233	1.34447	0.0124631	0.020746	0.0280882	0.36576	3.86716	0.000122873	0.100656	0.100656	0.000213091	0.00037572	2.14819	0.277997	0.260143	1.16972	0.830223	0.830223	2.89129e-05	0.5	0.00060407
53	1.24138	0.809357	0.681921	1.50872	1.49128	0.0524311	2.38317	0.694975	0.305025	0.0771586	0.708065	1.78233	0.925188	2.662	2.14198	2.14188	0.0744965	0.924858	0.0173834	0.0653638	0.0378719	0.00513626	1.93406	0.66076	1.44054	0.10066	0.348514	0.154152	0.2923	0.701187	1.34438	0.0122471	0.0204885	0.0274919	0.368041	3.86524	0.000107823	0.10066	0.10066	0.000187004	0.000329711	2.14198	0.278824	0.260845	1.16997	0.829982	0.829982	2.53619e-05	0.5	0.000580752
54	1.24138	0.809357	0.681921	1.50872	1.49128	0.0526198	2.38147	0.69512	0.30488	0.077365	0.707965	1.7823	0.925221	2.6611	2.13591	2.14174	0.0745015	0.924932	0.0170881	0.0642464	0.0373276	0.00504843	1.93519	0.660759	1.44054	0.100665	0.348528	0.154149	0.29231	0.701144	1.34429	0.0120397	0.0202395	0.0269188	0.370251	3.86337	9.46171e-05	0.100665	0.100665	0.00016411	0.000289338	2.13591	0.279633	0.261532	1.17021	0.829746	0.829746	2.22479e-05	0.5	0.000558767
55	1.24138	0.809357	0.681921	1.50872	1.49128	0.0528046	2.37981	0.695264	0.304736	0.0775667	0.707883	1.78229	0.925251	2.66023	2.12996	2.14162	0.0745059	0.924997	0.0168044	0.0631706	0.0368028	0.00496404	1.93629	0.660757	1.44054	0.100669	0.348543	0.15415	0.29232	0.701105	1.34421	0.0118404	0.0199984	0.0263678	0.372391	3.86154	8.30295e-05	0.100669	0.100669	0.00014402	0.000253911	2.12996	0.280423	0.262203	1.17045	0.829516	0.829516	1.95169e-05	0.5	0.000538015
56	1.24138	0.809357	0.681921	1.50872	1.49128	0.0529855	2.37818	0.695408	0.304592	0.0777638	0.707816	1.78227	0.925277	2.65938	2.12415	2.14152	0.0745098	0.925054	0.0165316	0.062134	0.0362965	0.00488291	1.93735	0.660753	1.44054	0.100673	0.348559	0.154154	0.29233	0.70107	1.34413	0.0116487	0.0197649	0.0258375	0.374461	3.85975	7.28615e-05	0.100673	0.100673	0.000126389	0.000222822	2.12415	0.281196	0.262858	1.17068	0.829291	0.829291	1.71216e-05	0.5	0.000518407
57	1.24138	0.809357	0.681921	1.50872	1.49128	0.0531625	2.37659	0.695551	0.304449	0.0779562	0.707764	1.78225	0.9253	2.65855	2.11846	2.14144	0.0745132	0.925104	0.0162691	0.0611344	0.0358076	0.00480485	1.93837	0.660747	1.44054	0.100676	0.348575	0.154161	0.292341	0.70104	1.34406	0.0114642	0.0195385	0.0253269	0.376465	3.85801	6.3939e-05	0.100676	0.100676	0.000110917	0.000195541	2.11846	0.281951	0.263499	1.1709	0.829071	0.829071	1.50206e-05	0.5	0.000499859
58	1.24138	0.809357	0.681921	1.50872	1.49128	0.0533357	2.37504	0.695693	0.304307	0.0781443	0.707727	1.78223	0.92532	2.65773	2.11289	2.14136	0.0745161	0.925148	0.0160163	0.06017	0.0353352	0.00472969	1.93935	0.66074	1.44054	0.10068	0.348593	0.154171	0.292353	0.701013	1.34399	0.0112866	0.0193189	0.0248348	0.378403	3.85632	5.61094e-05	0.10068	0.10068	9.73395e-05	0.000171601	2.11289	0.282689	0.264124	1.17112	0.828856	0.828856	1.31778e-05	0.5	0.000482296
59	1.24138	0.809357	0.681921	1.50872	1.49128	0.0535052	2.37353	0.695834	0.304166	0.0783279	0.707704	1.78221	0.925337	2.65694	2.10745	2.1413	0.0745187	0.925186	0.0157727	0.0592388	0.0348785	0.00465728	1.9403	0.660731	1.44054	0.100684	0.348611	0.154184	0.292365	0.700991	1.34393	0.0111154	0.0191058	0.0243603	0.380277	3.85466	4.92386e-05	0.100684	0.100684	8.5424e-05	0.000150592	2.10745	0.28341	0.264735	1.17133	0.828646	0.828646	1.15613e-05	0.5	0.00046565
60	1.24138	0.809357	0.681921	1.50872	1.49128	0.053671	2.37205	0.695974	0.304026	0.0785073	0.707694	1.78219	0.925352	2.65616	2.10213	2.14126	0.074521	0.92522	0.0155378	0.0583393	0.0344367	0.00458748	1.94121	0.66072	1.44054	0.100688	0.348631	0.1542	0.292379	0.700973	1.34387	0.0109503	0.0188989	0.0239026	0.382088	3.85305	4.32092e-05	0.100688	0.100688	7.49672e-05	0.000132156	2.10213	0.284115	0.265331	1.17154	0.828441	0.828441	1.01432e-05	0.5	0.000449859
61	1.24138	0.809357	0.681921	1.50872	1.49128	0.0538331	2.3706	0.696113	0.303887	0.0786824	0.707697	1.78217	0.925366	2.6554	2.09693	2.14122	0.074523	0.92525	0.0153112	0.0574697	0.034009	0.00452013	1.9421	0.660708	1.44054	0.100692	0.348652	0.154219	0.292393	0.700958	1.34381	0.0107911	0.0186978	0.0234607	0.383839	3.85147	3.79182e-05	0.100692	0.100692	6.57906e-05	0.000115977	2.09693	0.284803	0.265914	1.17174	0.828241	0.828241	8.8992e-06	0.5	0.000434864
62	1.24138	0.809357	0.681921	1.50872	1.49128	0.0539918	2.36919	0.696251	0.303749	0.0788535	0.707712	1.78216	0.925378	2.65466	2.09185	2.14119	0.0745248	0.925276	0.0150924	0.0566286	0.0335948	0.00445513	1.94295	0.660695	1.44054	0.100696	0.348675	0.154242	0.292409	0.700948	1.34376	0.0106373	0.0185023	0.0230338	0.38553	3.84994	3.3275e-05	0.100696	0.100696	5.77373e-05	0.00010178	2.09185	0.285476	0.266483	1.17194	0.828046	0.828046	7.80786e-06	0.5	0.000420613
63	1.24138	0.809357	0.681921	1.50872	1.49128	0.0541469	2.36781	0.696388	0.303612	0.0790205	0.707739	1.78214	0.925388	2.65394	2.08687	2.14118	0.0745263	0.925299	0.0148811	0.0558146	0.0331933	0.00439234	1.94378	0.660679	1.44054	0.1007	0.348699	0.154266	0.292425	0.700941	1.34371	0.0104888	0.0183122	0.0226212	0.387164	3.84844	2.92005e-05	0.1007	0.1007	5.067e-05	8.93203e-05	2.08687	0.286133	0.267038	1.17213	0.827856	0.827856	6.85044e-06	0.5	0.000407057
64	1.24138	0.809357	0.681921	1.50872	1.49128	0.0542986	2.36646	0.696523	0.303477	0.0791835	0.707777	1.78212	0.925397	2.65324	2.08202	2.14117	0.0745277	0.925319	0.0146769	0.0550264	0.0328041	0.00433167	1.94458	0.660662	1.44054	0.100705	0.348724	0.154294	0.292443	0.700938	1.34367	0.0103452	0.0181272	0.0222223	0.388741	3.84698	2.56248e-05	0.100705	0.100705	4.44678e-05	7.83864e-05	2.08202	0.286775	0.26758	1.17232	0.827671	0.827671	6.01047e-06	0.5	0.000394152
65	1.24138	0.809357	0.681921	1.50872	1.49128	0.0544469	2.36515	0.696657	0.303343	0.0793427	0.707826	1.78209	0.925405	2.65255	2.07727	2.14117	0.0745289	0.925336	0.0144794	0.0542627	0.0324265	0.00427301	1.94536	0.660643	1.44054	0.10071	0.348751	0.154324	0.292461	0.700938	1.34363	0.0102064	0.017947	0.0218363	0.390263	3.84556	2.24869e-05	0.10071	0.10071	3.90248e-05	6.87911e-05	2.07727	0.287401	0.268109	1.1725	0.82749	0.82749	5.27354e-06	0.5	0.000381857
66	1.24138	0.809357	0.681921	1.50872	1.49128	0.0545919	2.36386	0.696791	0.303209	0.0794981	0.707885	1.78207	0.925412	2.65188	2.07263	2.14118	0.0745299	0.925352	0.0142884	0.0535226	0.0320599	0.00421625	1.94611	0.660623	1.44054	0.100715	0.34878	0.154357	0.292481	0.700942	1.34359	0.0100721	0.0177716	0.0214626	0.391732	3.84418	1.97332e-05	0.100715	0.100715	3.42481e-05	6.03705e-05	2.07263	0.288013	0.268626	1.17268	0.827313	0.827313	4.62699e-06	0.5	0.000370134
67	1.24138	0.809357	0.681921	1.50872	1.49128	0.0547337	2.36261	0.696922	0.303078	0.0796498	0.707954	1.78205	0.925418	2.65122	2.06809	2.14119	0.0745308	0.925365	0.0141034	0.0528048	0.031704	0.00416132	1.94684	0.660601	1.44054	0.10072	0.348809	0.154392	0.292502	0.700949	1.34356	0.0099421	0.0176006	0.0211008	0.393148	3.84283	1.73166e-05	0.10072	0.10072	3.00561e-05	5.29807e-05	2.06809	0.288611	0.26913	1.17285	0.827141	0.827141	4.05973e-06	0.5	0.000358948
68	1.24138	0.809357	0.681921	1.50872	1.49128	0.0548722	2.36138	0.697053	0.302947	0.0797978	0.708032	1.78203	0.925424	2.65058	2.06366	2.14122	0.0745317	0.925377	0.0139243	0.0521083	0.0313582	0.00410812	1.94754	0.660578	1.44054	0.100725	0.34884	0.15443	0.292524	0.70096	1.34353	0.00981618	0.0174339	0.0207501	0.394514	3.84152	1.5196e-05	0.100725	0.100725	2.63772e-05	4.64956e-05	2.06366	0.289195	0.269622	1.17302	0.826973	0.826973	3.56203e-06	0.5	0.000348266
69	1.24138	0.809357	0.681921	1.50872	1.49128	0.0550077	2.36019	0.697182	0.302818	0.0799423	0.70812	1.782	0.925429	2.64995	2.05933	2.14125	0.0745324	0.925388	0.0137507	0.0514323	0.031022	0.00405658	1.94823	0.660553	1.44054	0.100731	0.348873	0.15447	0.292546	0.700973	1.3435	0.00969417	0.0172713	0.0204103	0.395831	3.84024	1.3335e-05	0.100731	0.100731	2.31487e-05	4.08044e-05	2.05933	0.289765	0.270103	1.17318	0.826809	0.826809	3.12535e-06	0.5	0.000338059
70	1.24138	0.809357	0.681921	1.50872	1.49128	0.05514	2.35902	0.69731	0.30269	0.0800834	0.708215	1.78198	0.925433	2.64934	2.0551	2.14129	0.074533	0.925397	0.0135825	0.0507757	0.0306951	0.00400662	1.9489	0.660527	1.44054	0.100736	0.348907	0.154511	0.29257	0.70099	1.34348	0.00957588	0.0171126	0.0200806	0.3971	3.83899	1.17019e-05	0.100736	0.100736	2.03153e-05	3.58098e-05	2.0551	0.290321	0.270572	1.17334	0.82665	0.82665	2.74222e-06	0.5	0.000328299
71	1.24138	0.809357	0.681921	1.50872	1.49128	0.0552694	2.35788	0.697437	0.302563	0.080221	0.708319	1.78195	0.925436	2.64875	2.05097	2.14133	0.0745335	0.925405	0.0134193	0.0501379	0.0303771	0.00395817	1.94954	0.660499	1.44054	0.100743	0.348942	0.154555	0.292595	0.70101	1.34346	0.00946117	0.0169578	0.0197608	0.398323	3.83777	1.02687e-05	0.100743	0.100743	1.78287e-05	3.14266e-05	2.05097	0.290865	0.271029	1.1735	0.826495	0.826495	2.40606e-06	0.5	0.000318961
72	1.24138	0.809357	0.681921	1.50872	1.49128	0.0553958	2.35677	0.697562	0.302438	0.0803554	0.708431	1.78192	0.92544	2.64817	2.04693	2.14138	0.074534	0.925412	0.013261	0.0495179	0.0300676	0.00391117	1.95017	0.66047	1.44054	0.100749	0.348978	0.154601	0.29262	0.701032	1.34344	0.00934986	0.0168065	0.0194503	0.3995	3.83659	9.01106e-06	0.100749	0.100749	1.56465e-05	2.758e-05	2.04693	0.291395	0.271476	1.17365	0.826343	0.826343	2.11111e-06	0.5	0.000310019
73	1.24138	0.809357	0.681921	1.50872	1.49128	0.0555193	2.35569	0.697686	0.302314	0.0804865	0.708549	1.7819	0.925442	2.6476	2.04299	2.14143	0.0745344	0.925418	0.0131074	0.0489151	0.0297662	0.00386554	1.95078	0.66044	1.44054	0.100755	0.349015	0.154649	0.292647	0.701057	1.34343	0.00924182	0.0166588	0.0191489	0.400634	3.83544	7.90739e-06	0.100755	0.100755	1.37314e-05	2.42042e-05	2.04299	0.291913	0.271912	1.1738	0.826196	0.826196	1.85232e-06	0.5	0.000301452
74	1.24138	0.809357	0.681921	1.50872	1.49128	0.05564	2.35463	0.697809	0.302191	0.0806144	0.708675	1.78187	0.925445	2.64705	2.03914	2.14149	0.0745348	0.925424	0.0129581	0.0483286	0.0294726	0.00382124	1.95138	0.660408	1.44054	0.100762	0.349054	0.154699	0.292674	0.701085	1.34341	0.0091369	0.0165145	0.018856	0.401724	3.83431	6.93888e-06	0.100762	0.100762	1.20507e-05	2.12416e-05	2.03914	0.292418	0.272337	1.17395	0.826052	0.826052	1.62526e-06	0.5	0.00029324
75	1.24138	0.809357	0.681921	1.50872	1.49128	0.0557579	2.3536	0.69793	0.30207	0.0807392	0.708807	1.78184	0.925447	2.64651	2.03538	2.14155	0.0745351	0.925428	0.0128132	0.047758	0.0291866	0.00377821	1.95196	0.660375	1.44054	0.100769	0.349094	0.15475	0.292702	0.701115	1.3434	0.00903498	0.0163734	0.0185714	0.402774	3.83322	6.08897e-06	0.100769	0.100769	1.05758e-05	1.86417e-05	2.03538	0.292912	0.272752	1.17409	0.825912	0.825912	1.42603e-06	0.5	0.000285363
76	1.24138	0.809357	0.681921	1.50872	1.49128	0.0558731	2.35259	0.69805	0.30195	0.080861	0.708946	1.78181	0.925449	2.64598	2.03171	2.14162	0.0745354	0.925433	0.0126723	0.0472024	0.0289077	0.00373639	1.95252	0.660342	1.44054	0.100776	0.349135	0.154802	0.292731	0.701148	1.34339	0.00893592	0.0162354	0.0182947	0.403783	3.83216	5.34314e-06	0.100776	0.100776	9.2813e-06	1.63599e-05	2.03171	0.293393	0.273157	1.17422	0.825775	0.825775	1.25122e-06	0.5	0.000277802
77	1.24138	0.809357	0.681921	1.50872	1.49128	0.0559856	2.35161	0.698168	0.301832	0.0809799	0.70909	1.78178	0.925451	2.64547	2.02812	2.14169	0.0745356	0.925436	0.0125354	0.0466614	0.0286358	0.00369574	1.95307	0.660307	1.44054	0.100783	0.349176	0.154856	0.292761	0.701183	1.34339	0.00883962	0.0161004	0.0180256	0.404754	3.83112	4.68864e-06	0.100783	0.100783	8.14528e-06	1.43575e-05	2.02812	0.293863	0.273552	1.17436	0.825643	0.825643	1.09784e-06	0.5	0.000270542
78	1.24138	0.809357	0.681921	1.50872	1.49128	0.0560955	2.35064	0.698285	0.301715	0.0810958	0.709239	1.78175	0.925452	2.64497	2.02462	2.14177	0.0745358	0.925439	0.0124022	0.0461343	0.0283705	0.0036562	1.9536	0.660271	1.44054	0.10079	0.349219	0.154912	0.292792	0.70122	1.34339	0.00874595	0.0159683	0.0177638	0.405687	3.83011	4.1143e-06	0.10079	0.10079	7.14831e-06	1.26001e-05	2.02462	0.294322	0.273937	1.17448	0.825513	0.825513	9.63267e-07	0.5	0.000263566
79	1.24138	0.809357	0.681921	1.50872	1.49128	0.0562028	2.34971	0.698401	0.301599	0.0812089	0.709394	1.78172	0.925453	2.64448	2.0212	2.14185	0.074536	0.925442	0.0122726	0.0456206	0.0281116	0.00361774	1.95412	0.660234	1.44054	0.100798	0.349263	0.154969	0.292823	0.701259	1.34338	0.00865483	0.0158391	0.017509	0.406583	3.82913	3.6103e-06	0.100798	0.100798	6.27337e-06	1.10579e-05	2.0212	0.29477	0.274313	1.17461	0.825387	0.825387	8.45186e-07	0.5	0.000256859
80	1.24138	0.809357	0.681921	1.50872	1.49128	0.0563077	2.34879	0.698515	0.301485	0.0813193	0.709554	1.78169	0.925455	2.644	2.01786	2.14193	0.0745362	0.925445	0.0121464	0.0451199	0.0278589	0.00358031	1.95463	0.660196	1.44054	0.100806	0.349307	0.155027	0.292854	0.7013	1.34338	0.00856614	0.0157125	0.0172609	0.407443	3.82817	3.16803e-06	0.100806	0.100806	5.50551e-06	9.7044e-06	2.01786	0.295207	0.27468	1.17473	0.825265	0.825265	7.41579e-07	0.5	0.000250409
