Time	[Wnt{default}]	[Complex_br_(Wnt/Frizzled)]	[Frizzled]	[Complex_br_(Frizzled/Wnt/_br_LRP5/6)]	[LRP5/6]	[Casein Kinase 1]	[Casein Kinase 2]	[ATP]	[ADP]	[Glycogen Synthase Kinase-3_Beta_]	[Diversin]	[Complex_br_(Ebi/Siah-1)]	[Complex_br_(Siah-1/Ebi)]	[FRAT]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Axin/PP2A/_br_Adenomatous Polyposis Coli)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/Casein Kinase 1/_br_Glycogen Synthase Kinase-3_Beta_/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A)]	[Pygo]	[CBP]	[SWI/SNF]	[Bcl9]	[Wnt Target Genes]	[Complex_br_(TCF/Smad4)]	[Wnt{"Cell Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br__Beta_-Catenin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/_Beta_-Catenin/_br_PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/_Beta_-Catenin/_br_Siah-1/Ebi)]	[_Beta_-Catenin{Nucleus}]	[Complex_br_(TCF/Smad4/_br__Beta_-Catenin)]	[Complex_br_(TCF/_Beta_-Catenin/_br_Smad4/Bcl9)]	[Complex_br_(Bcl9/_Beta_-Catenin/_br_TCF/Smad4/_br_Pygo)]	[Complex_br_(_Beta_-Catenin/TCF/_br_Smad4/Bcl9/_br_Pygo/SWI/_br_SNF)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A/_br_Diversin/Casein Kinase 1)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Glycogen Synthase Kinase-3_Beta_/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1)]	[Ubiquitin]	[_Beta_-Catenin{"Plasma Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Siah-1/Ebi/_br_Axin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo/Casein Kinase 2)]	[Complex_br_(Dishevelled/Casein Kinase 2/_br_Beta-Arrestin/Frodo/_br_FRAT)]	[_beta_TrCP]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(_beta_TrCP/_Beta_-Catenin)]	[6 bromoindirubin 3'oxime]	[Complex_br_(Bcl9/Pygo/../Smad4)]
10	1.24136	0.80934	0.681978	1.50868	1.49132	0.0401691	2.50081	0.677318	0.322682	0.0627756	0.732671	1.80239	0.84672	2.7243	2.54674	2.18811	0.0626899	0.741871	0.105919	0.349835	0.178694	0.0343285	1.62945	0.755628	1.44061	0.0937737	0.346952	0.160397	0.29629	0.602586	1.2787	0.0715904	0.0727752	0.171141	0.186105	4.01089	0.0300848	0.0937737	0.0937737	0.0545988	0.104849	2.54674	0.223493	0.212922	1.14435	0.841338	0.841338	0.00840162	0.5	0.0207143
11	1.24137	0.809352	0.68194	1.50871	1.49129	0.0404916	2.4971	0.681082	0.318918	0.0632582	0.734176	1.80489	0.856734	2.72228	2.53476	2.19756	0.0641162	0.766836	0.0940253	0.316279	0.161001	0.0299032	1.66685	0.733209	1.44057	0.0936715	0.341504	0.157438	0.291045	0.624342	1.29669	0.0641221	0.0669762	0.155278	0.193289	4.00433	0.026614	0.0936715	0.0936715	0.047328	0.0898974	2.53476	0.22518	0.214465	1.14618	0.841446	0.841446	0.00716942	0.5	0.016871
12	1.24138	0.809355	0.681927	1.50872	1.49128	0.0408368	2.49345	0.683775	0.316225	0.0637132	0.734768	1.8059	0.865381	2.72032	2.52267	2.20251	0.0653801	0.788061	0.0844976	0.288469	0.146625	0.0264953	1.69756	0.716467	1.44055	0.0938382	0.338153	0.155456	0.287614	0.64155	1.31003	0.0580023	0.0621272	0.141845	0.20007	3.99825	0.0235325	0.0938382	0.0938382	0.0411065	0.0773202	2.52267	0.22687	0.215964	1.14777	0.841473	0.841473	0.00615524	0.5	0.0139703
13	1.24138	0.809357	0.681923	1.50872	1.49128	0.0411924	2.48984	0.685704	0.314296	0.0641565	0.734703	1.80584	0.872892	2.7184	2.51053	2.20425	0.0664996	0.806194	0.0767089	0.265091	0.13473	0.0237952	1.72317	0.703855	1.44055	0.0941698	0.336293	0.154184	0.285504	0.655072	1.31994	0.0529137	0.0580213	0.130361	0.20654	3.99258	0.0207795	0.0941698	0.0941698	0.0357677	0.0666976	2.51053	0.22856	0.217445	1.14919	0.841436	0.841436	0.00531195	0.5	0.0117361
14	1.24138	0.809357	0.681922	1.50872	1.49128	0.0415519	2.48625	0.687087	0.312913	0.0645945	0.734177	1.80505	0.879438	2.71649	2.49842	2.20375	0.0674895	0.82175	0.0702319	0.245191	0.124736	0.0216053	1.74482	0.69428	1.44054	0.0945972	0.335478	0.153419	0.284343	0.665653	1.32732	0.0486266	0.0545044	0.120455	0.212762	3.98722	0.0183177	0.0945972	0.0945972	0.0311724	0.0576871	2.49842	0.230245	0.218915	1.15047	0.841347	0.841347	0.0046031	0.5	0.00998393
15	1.24138	0.809357	0.681921	1.50872	1.49128	0.041912	2.48268	0.688083	0.311917	0.0650291	0.733335	1.80379	0.885155	2.7146	2.48636	2.20174	0.0683627	0.835144	0.0647666	0.228067	0.116227	0.0197945	1.76335	0.686961	1.44054	0.0950736	0.335381	0.15301	0.283849	0.673911	1.33283	0.0449721	0.0514603	0.11184	0.218783	3.98214	0.0161203	0.0950736	0.0950736	0.0272053	0.0500111	2.48636	0.23192	0.220375	1.15163	0.841214	0.841214	0.00400122	0.5	0.00858757
16	1.24138	0.809357	0.681921	1.50872	1.49128	0.0422709	2.47913	0.688805	0.311195	0.0654604	0.732285	1.80226	0.890156	2.71272	2.47439	2.19878	0.0691313	0.846711	0.0600968	0.213189	0.108897	0.0182726	1.77935	0.681331	1.44054	0.0955676	0.335764	0.152845	0.283815	0.680347	1.33694	0.0418242	0.0488005	0.104291	0.224633	3.97728	0.0141648	0.0955676	0.0955676	0.0237708	0.0434451	2.47439	0.233582	0.221823	1.15269	0.841046	0.841046	0.00348572	0.5	0.00745876
17	1.24138	0.809357	0.681921	1.50872	1.49128	0.0426272	2.47563	0.689334	0.310666	0.0658878	0.731108	1.80059	0.894534	2.71086	2.46253	2.19525	0.0698064	0.856726	0.0560628	0.200149	0.10252	0.0169756	1.79332	0.676975	1.44054	0.096058	0.336451	0.152841	0.284087	0.68536	1.34	0.0390873	0.0464568	0.0976297	0.230336	3.97262	0.0124306	0.096058	0.096058	0.02079	0.0378072	2.46253	0.235227	0.223257	1.15367	0.840846	0.840846	0.00304117	0.5	0.00653452
18	1.24138	0.809357	0.681921	1.50872	1.49128	0.0429803	2.47216	0.689728	0.310272	0.0663106	0.729861	1.79888	0.898366	2.70902	2.4508	2.19143	0.0703984	0.865417	0.0525449	0.188635	0.0969206	0.015857	1.8056	0.673586	1.44054	0.0965311	0.337319	0.152941	0.284552	0.689264	1.34227	0.0366879	0.0443757	0.091714	0.235908	3.96813	0.0108975	0.0965311	0.0965311	0.0181973	0.0329495	2.4508	0.236853	0.224674	1.15458	0.840619	0.840619	0.00265584	0.5	0.00576907
19	1.24138	0.809357	0.681921	1.50872	1.49128	0.0433297	2.46874	0.69003	0.30997	0.0667283	0.728585	1.79721	0.901723	2.7072	2.43921	2.18752	0.0709169	0.872971	0.0494511	0.178396	0.0919661	0.0148824	1.81648	0.670936	1.44054	0.0969782	0.338276	0.1531	0.28513	0.692304	1.34395	0.0345687	0.042515	0.0864299	0.241359	3.96379	0.009546	0.0969782	0.0969782	0.015938	0.0287514	2.43921	0.238457	0.226073	1.15543	0.840369	0.840369	0.00232064	0.5	0.00512858
