Time	[cytosolic free ca concentration]	[ER ca concentration]	Values[nIR]	Values[rIR]	Values[n]	Values[a]	Values[V]
0	0.1	100	0.008	0.282	0.01	0.46	-60
1	0.10007	99.9995	0.00908112	0.267021	0.00940328	0.46	-59.9849
2	0.10014	99.999	0.0101591	0.254447	0.00884273	0.46	-59.9675
3	0.100209	99.9985	0.0112337	0.243885	0.00831619	0.459999	-59.9479
4	0.100278	99.998	0.0123048	0.23501	0.00782158	0.459999	-59.9262
5	0.100347	99.9975	0.013372	0.227545	0.00735699	0.459999	-59.9025
6	0.100416	99.997	0.0144351	0.221261	0.00692058	0.459999	-59.877
7	0.100485	99.9966	0.0154941	0.215965	0.00651067	0.459999	-59.8496
8	0.100554	99.9961	0.0165486	0.211496	0.00612565	0.459998	-59.8205
9	0.100623	99.9956	0.0175985	0.207717	0.00576401	0.459998	-59.7898
10	0.100692	99.9951	0.0186437	0.204516	0.00542434	0.459998	-59.7575
11	0.100761	99.9946	0.019684	0.201798	0.00510531	0.459998	-59.7237
12	0.10083	99.9941	0.0207193	0.199483	0.00480568	0.459998	-59.6885
13	0.100898	99.9937	0.0217494	0.197505	0.00452427	0.459998	-59.652
14	0.100967	99.9932	0.0227743	0.195807	0.00425999	0.459997	-59.6141
15	0.101036	99.9927	0.0237937	0.194344	0.00401179	0.459997	-59.5749
16	0.101105	99.9922	0.0248077	0.193075	0.00377871	0.459997	-59.5345
17	0.101174	99.9917	0.025816	0.191969	0.00355983	0.459997	-59.4929
18	0.101244	99.9913	0.0268187	0.190998	0.0033543	0.459997	-59.4501
19	0.101313	99.9908	0.0278156	0.190139	0.00316131	0.459996	-59.4062
20	0.101383	99.9903	0.0288067	0.189373	0.00298011	0.459996	-59.3613
21	0.101452	99.9899	0.0297918	0.188684	0.00280998	0.459996	-59.3153
22	0.101522	99.9894	0.0307709	0.188058	0.00265025	0.459996	-59.2682
23	0.101592	99.9889	0.0317439	0.187484	0.0025003	0.459996	-59.2201
24	0.101662	99.9885	0.0327108	0.186953	0.00235954	0.459995	-59.1711
25	0.101733	99.988	0.0336715	0.186457	0.00222741	0.459995	-59.121
26	0.101803	99.9875	0.034626	0.185989	0.0021034	0.459995	-59.07
27	0.101874	99.9871	0.0355741	0.185545	0.00198702	0.459995	-59.018
28	0.101946	99.9866	0.0365159	0.185119	0.0018778	0.459995	-58.9651
29	0.102017	99.9862	0.0374513	0.184707	0.00177533	0.459995	-58.9112
30	0.102089	99.9857	0.0383802	0.184306	0.00167918	0.459994	-58.8565
31	0.102161	99.9853	0.0393026	0.183915	0.00158898	0.459994	-58.8007
32	0.102233	99.9848	0.0402184	0.183529	0.00150438	0.459994	-58.7441
33	0.102306	99.9843	0.0411277	0.183148	0.00142504	0.459994	-58.6865
34	0.102379	99.9839	0.0420304	0.18277	0.00135065	0.459994	-58.628
35	0.102452	99.9834	0.0429264	0.182394	0.0012809	0.459993	-58.5686
36	0.102526	99.983	0.0438157	0.182019	0.00121553	0.459993	-58.5082
37	0.1026	99.9826	0.0446982	0.181643	0.00115427	0.459993	-58.4469
38	0.102674	99.9821	0.045574	0.181266	0.00109687	0.459993	-58.3846
39	0.102749	99.9817	0.046443	0.180887	0.0010431	0.459993	-58.3214
40	0.102824	99.9812	0.0473051	0.180505	0.000992762	0.459993	-58.2572
41	0.1029	99.9808	0.0481604	0.180121	0.000945637	0.459992	-58.1919
42	0.102976	99.9803	0.0490088	0.179734	0.00090154	0.459992	-58.1257
43	0.103052	99.9799	0.0498502	0.179343	0.000860292	0.459992	-58.0584
44	0.103129	99.9795	0.0506846	0.178948	0.000821725	0.459992	-57.9901
45	0.103207	99.979	0.051512	0.178549	0.000785683	0.459992	-57.9208
46	0.103285	99.9786	0.0523324	0.178146	0.000752018	0.459992	-57.8503
47	0.103363	99.9782	0.0531457	0.177738	0.000720592	0.459991	-57.7787
48	0.103443	99.9778	0.0539519	0.177325	0.000691276	0.459991	-57.706
49	0.103522	99.9773	0.054751	0.176907	0.000663947	0.459991	-57.6321
50	0.103602	99.9769	0.0555428	0.176484	0.000638493	0.459991	-57.557
51	0.103683	99.9765	0.0563275	0.176055	0.000614806	0.459991	-57.4806
52	0.103765	99.9761	0.0571049	0.175621	0.000592787	0.459991	-57.403
53	0.103847	99.9756	0.057875	0.175181	0.000572343	0.45999	-57.3241
54	0.10393	99.9752	0.0586377	0.174735	0.000553385	0.45999	-57.2439
55	0.104013	99.9748	0.0593931	0.174283	0.000535832	0.45999	-57.1622
56	0.104097	99.9744	0.0601411	0.173825	0.000519608	0.45999	-57.0791
57	0.104182	99.974	0.0608816	0.17336	0.000504642	0.45999	-56.9946
58	0.104268	99.9736	0.0616146	0.172889	0.000490866	0.45999	-56.9085
59	0.104354	99.9731	0.0623401	0.172411	0.000478219	0.459989	-56.8209
60	0.104441	99.9727	0.063058	0.171926	0.000466644	0.459989	-56.7316
61	0.104529	99.9723	0.0637683	0.171434	0.000456086	0.459989	-56.6406
62	0.104618	99.9719	0.0644709	0.170934	0.000446497	0.459989	-56.5479
63	0.104708	99.9715	0.0651658	0.170427	0.000437829	0.459989	-56.4533
64	0.104799	99.9711	0.0658529	0.169911	0.000430041	0.459989	-56.3569
65	0.10489	99.9707	0.0665321	0.169388	0.000423093	0.459989	-56.2585
66	0.104983	99.9703	0.0672035	0.168856	0.00041695	0.459988	-56.1581
67	0.105077	99.9699	0.0678669	0.168315	0.000411578	0.459988	-56.0556
68	0.105171	99.9695	0.0685224	0.167765	0.000406948	0.459988	-55.9509
69	0.105267	99.9691	0.0691697	0.167206	0.000403034	0.459988	-55.8439
70	0.105364	99.9687	0.069809	0.166638	0.00039981	0.459988	-55.7345
71	0.105462	99.9684	0.07044	0.166059	0.000397255	0.459988	-55.6226
