Time	[cG]	[cG_m]	[cL]	[cL_m]	[cLm]	[cNI]	[cNI_m]	[cP]	[cP7]	[cP7_m]	[cP9]	[cP9_m]	[cT]	[cT_m]	[cTm]	[cY]	[cY_m]	[cZG]	[cZTL]
11	0.0348702	0.923395	0.107239	0.00557407	0.111315	0.972375	1.00977	0.00110633	0.849973	0.427499	0.163443	0.00698863	0.2625	0.594361	0.0577265	0.954417	0.855119	0.707461	0.20354
12	0.0610576	0.744119	0.0881471	0.00418683	0.0924247	1.01211	0.96555	0.0421136	0.67387	0.332879	0.0950503	0.022203	0.334976	0.785904	0.0669287	0.980547	0.582106	0.724725	0.236074
13	0.228389	0.340361	0.0724581	0.00351822	0.076391	0.953371	0.811385	0.240969	0.352963	0.256379	0.0279203	0.0323879	0.375144	0.924528	0.0858793	0.890126	0.313312	0.52556	0.387689
14	0.363179	0.127065	0.0597389	0.00326658	0.0629464	0.839724	0.579019	0.435907	0.185966	0.196388	0.00973447	0.0138936	0.425985	0.983782	0.107346	0.747616	0.174682	0.298646	0.461105
15	0.394156	0.0467808	0.0495426	0.00396643	0.051764	0.698993	0.382639	0.582068	0.110985	0.1499	0.00361334	0.00522743	0.487402	0.965608	0.129659	0.605112	0.105796	0.164179	0.450119
16	0.373082	0.0172104	0.0416895	0.00672775	0.0425131	0.556448	0.245399	0.690388	0.0732717	0.114129	0.0013475	0.00195316	0.541284	0.891421	0.151696	0.48044	0.0690097	0.0901082	0.424726
17	0.332006	0.00633137	0.03648	0.0139422	0.0348895	0.428596	0.155381	0.770633	0.0516313	0.0867493	0.000504035	0.000734096	0.575786	0.788756	0.172334	0.377857	0.0495112	0.0494525	0.404852
18	0.285993	0.00232918	0.0350405	0.0304451	0.0286276	0.32212	0.0977671	0.830081	0.0377403	0.0658835	0.000190228	0.000281185	0.587334	0.680593	0.190896	0.296603	0.0399797	0.0271401	0.392155
19	0.241778	0.000856856	0.0399719	0.0653219	0.0235097	0.237615	0.0612973	0.874121	0.0281223	0.0500578	7.42192e-05	0.000116634	0.578308	0.580894	0.207051	0.234079	0.036481	0.0148948	0.384647
20	0.202083	0.000315244	0.0563349	0.133837	0.019401	0.172742	0.038346	0.906747	0.0211817	0.0381796	3.4745e-05	7.43456e-05	0.553889	0.495446	0.220632	0.187248	0.0367957	0.00817451	0.380364
21	0.167696	0.000117321	0.0925153	0.256871	0.0164636	0.124129	0.0239583	0.930915	0.0161253	0.0296834	3.98916e-05	0.000165699	0.519603	0.42426	0.231528	0.153119	0.0389588	0.00448889	0.377963
22	0.138411	0.000116768	0.158999	0.452614	0.0162654	0.0883619	0.0149869	0.948746	0.0127013	0.0255236	0.000173564	0.00096326	0.479802	0.363206	0.239614	0.128506	0.0397399	0.00258129	0.376538
23	0.109144	0.00383113	0.262035	0.718709	0.0250279	0.0624677	0.00953546	0.957993	0.0117816	0.0324062	0.00187699	0.0133954	0.437057	0.306425	0.244567	0.109888	0.0378829	0.00650637	0.371791
24	0.0242587	0.120253	0.413923	0.994962	0.0537447	0.0447794	0.00698394	0.824981	0.0189346	0.0740935	0.0559278	0.35059	0.396796	0.251507	0.240951	0.101798	0.092808	0.0786391	0.321801
25	0.00875374	0.364306	0.589081	0.752083	0.104905	0.0350146	0.0100929	0.36797	0.0575224	0.209029	0.46826	0.989421	0.371359	0.200576	0.216087	0.138385	0.2041	0.131604	0.315936
26	0.00878385	0.356603	0.623095	0.451468	0.157121	0.0319938	0.0338457	0.136427	0.159525	0.473102	0.881034	0.77239	0.341581	0.159972	0.190723	0.17462	0.166315	0.18335	0.308678
27	0.00782312	0.321673	0.566695	0.267297	0.198401	0.0459384	0.118901	0.0502034	0.32849	0.733188	0.995589	0.447605	0.306425	0.131043	0.168378	0.182294	0.119222	0.219427	0.310889
28	0.00802099	0.338734	0.476459	0.158253	0.224704	0.0965588	0.286313	0.0184691	0.528471	0.914372	0.919118	0.23867	0.27071	0.112633	0.147667	0.177176	0.110407	0.245883	0.313011
29	0.00980632	0.413332	0.384627	0.0939748	0.233751	0.194043	0.492421	0.00679439	0.720572	1.00152	0.772151	0.129462	0.237873	0.103911	0.127971	0.179716	0.151786	0.275805	0.307733
30	0.013122	0.531512	0.306317	0.0560779	0.22634	0.328928	0.683158	0.00249952	0.874697	0.997741	0.619523	0.0760037	0.209931	0.10494	0.109392	0.209364	0.255498	0.319032	0.293648
31	0.0177713	0.670644	0.244635	0.033717	0.207256	0.48164	0.831773	0.000919523	0.972534	0.921092	0.48587	0.0483465	0.188327	0.118436	0.092425	0.284716	0.429112	0.379811	0.272873
32	0.0233831	0.805871	0.196983	0.0205246	0.182538	0.63326	0.933277	0.00033828	1.00916	0.800928	0.376173	0.0316896	0.175518	0.155659	0.0776789	0.418396	0.656674	0.456782	0.249166
33	0.0291576	0.911001	0.15985	0.012756	0.156737	0.770021	0.992111	0.000124813	0.991365	0.666424	0.288323	0.0201838	0.177573	0.241411	0.0659277	0.605378	0.877107	0.544059	0.226717
34	0.0334455	0.956546	0.130488	0.00820568	0.13241	0.883561	1.01478	6.5908e-05	0.932634	0.537717	0.218671	0.0119011	0.204418	0.39427	0.0585817	0.807278	0.97411	0.631948	0.20994
35	0.0348531	0.923588	0.106985	0.00558039	0.110693	0.969179	1.00663	0.00110633	0.845564	0.424893	0.162905	0.00693002	0.262107	0.591957	0.0581213	0.951394	0.855608	0.707198	0.203638
36	0.0610857	0.744822	0.0879513	0.00419765	0.091907	1.00879	0.962197	0.0421135	0.670257	0.330799	0.0947381	0.0221791	0.334174	0.783455	0.0671665	0.978821	0.583861	0.724578	0.236055
37	0.228465	0.340733	0.0723054	0.00353032	0.0759625	0.950085	0.807895	0.240969	0.351	0.254751	0.0278599	0.0323784	0.374216	0.92239	0.0860004	0.889445	0.314644	0.525502	0.387646
38	0.363273	0.127204	0.0596196	0.00328111	0.0625931	0.83657	0.576077	0.435907	0.184886	0.195128	0.00972462	0.0138899	0.425045	0.98211	0.107383	0.747526	0.175578	0.298616	0.461082
39	0.394243	0.0468322	0.0494507	0.0039897	0.0514734	0.696146	0.380504	0.582068	0.110313	0.148931	0.00361137	0.00522592	0.4865	0.964439	0.129642	0.605319	0.106373	0.164162	0.450107
40	0.373155	0.0172293	0.0416232	0.00677537	0.0422745	0.55403	0.243945	0.690388	0.0728142	0.113387	0.00134697	0.00195254	0.540465	0.890697	0.151649	0.480766	0.0693711	0.0900993	0.424719
41	0.332066	0.00633833	0.0364443	0.0140508	0.0346938	0.426635	0.154419	0.770633	0.0513023	0.0861837	0.000503858	0.00073385	0.575083	0.788361	0.172271	0.378207	0.0497407	0.0494476	0.404849
42	0.286041	0.00233174	0.0350534	0.0306934	0.0284673	0.320583	0.0971397	0.830081	0.0374969	0.0654532	0.000190166	0.000281108	0.586761	0.680408	0.190825	0.296934	0.0401329	0.0271374	0.392153
43	0.241818	0.0008578	0.0400757	0.0658612	0.0233788	0.236442	0.0608918	0.874121	0.0279399	0.0497315	7.42134e-05	0.000116693	0.577859	0.580826	0.206976	0.234373	0.0365894	0.0148933	0.384646
44	0.202115	0.000315591	0.056612	0.134913	0.0192957	0.171864	0.0380854	0.906747	0.0210444	0.0379341	3.48264e-05	7.48018e-05	0.553547	0.495429	0.220556	0.1875	0.0368711	0.0081737	0.380364
45	0.167722	0.000117448	0.0930953	0.258783	0.0163876	0.123482	0.0237917	0.930915	0.0160229	0.0295073	4.03882e-05	0.000168383	0.519345	0.424237	0.231452	0.153326	0.0389886	0.00448844	0.377963
46	0.138432	0.000116774	0.160015	0.455518	0.0162553	0.0878913	0.0148813	0.948746	0.0126315	0.0254407	0.000176348	0.00097758	0.479596	0.363113	0.239539	0.128655	0.0396891	0.00258107	0.376538
47	0.10916	0.00382643	0.263503	0.722341	0.0251991	0.0621293	0.0094716	0.957993	0.0117648	0.0325632	0.00188762	0.013441	0.436868	0.306218	0.244491	0.109963	0.0377545	0.00650701	0.37179
48	0.0242552	0.120053	0.415794	0.998451	0.0541905	0.0445368	0.00696212	0.824981	0.0190579	0.0748824	0.0559521	0.350659	0.396592	0.251221	0.240874	0.101796	0.0926371	0.0786436	0.321799
49	0.00873501	0.36356	0.591312	0.754165	0.105509	0.034844	0.0101656	0.36797	0.0580347	0.210745	0.46831	0.989484	0.371125	0.200278	0.216011	0.138312	0.203908	0.131519	0.315999
50	0.008758	0.35567	0.625327	0.452657	0.157782	0.0319327	0.0342383	0.136427	0.160614	0.475458	0.881106	0.772448	0.341327	0.159682	0.190644	0.174496	0.166134	0.183111	0.308807
51	0.00779429	0.320638	0.56868	0.267978	0.199112	0.0461264	0.120032	0.0502034	0.330176	0.735942	0.995679	0.447672	0.306166	0.130753	0.168292	0.18213	0.119014	0.219033	0.311056
52	0.00798887	0.337579	0.478071	0.15864	0.225486	0.0971892	0.288263	0.018469	0.530709	0.917411	0.91923	0.23876	0.270454	0.112332	0.147573	0.176961	0.110115	0.245341	0.313204
53	0.00977031	0.412111	0.385835	0.0941917	0.234609	0.195204	0.494844	0.00679438	0.723297	1.00476	0.772296	0.129586	0.23762	0.103587	0.127869	0.179418	0.15135	0.27512	0.307947
54	0.0130838	0.530386	0.307174	0.0561968	0.227232	0.33057	0.685716	0.00249951	0.877827	1.00106	0.619713	0.0761604	0.20968	0.104583	0.109285	0.208948	0.254922	0.318233	0.293865
55	0.0177352	0.669793	0.245239	0.0337799	0.208117	0.483649	0.834295	0.00091952	0.975962	0.924336	0.486107	0.0485145	0.18807	0.118018	0.0923152	0.284179	0.428524	0.378954	0.273066
56	0.0233547	0.805408	0.197416	0.0205557	0.18332	0.635519	0.935711	0.00033828	1.01275	0.803942	0.376442	0.0318404	0.175237	0.155119	0.0775674	0.417817	0.65635	0.455942	0.249309
57	0.0291442	0.910971	0.16017	0.012769	0.15742	0.77244	0.994478	0.000124813	0.994976	0.669088	0.288598	0.0202993	0.17724	0.240702	0.0658118	0.604947	0.877461	0.543312	0.226795
58	0.0334535	0.956902	0.13073	0.00820835	0.132992	0.886085	1.01714	6.59078e-05	0.936126	0.539972	0.218927	0.011977	0.204023	0.393505	0.0584537	0.807288	0.97545	0.631354	0.209948
59	0.0348797	0.924143	0.107171	0.0055769	0.111181	0.971786	1.00903	0.00110633	0.848816	0.426741	0.163124	0.00697242	0.261689	0.591371	0.0579747	0.952041	0.857448	0.706792	0.203586
60	0.0611196	0.745288	0.0880952	0.00419045	0.0923128	1.01144	0.964722	0.0421136	0.672901	0.332275	0.0948723	0.0221998	0.333824	0.783231	0.0670097	0.979931	0.585231	0.724345	0.235976
61	0.228498	0.340932	0.0724178	0.00352173	0.0762982	0.952656	0.810491	0.240969	0.352427	0.255909	0.027888	0.0323878	0.374043	0.922595	0.085843	0.890635	0.315293	0.525373	0.387585
62	0.363291	0.127278	0.0597074	0.00326914	0.0628698	0.838998	0.578251	0.435907	0.185666	0.196026	0.00973017	0.013894	0.425054	0.982705	0.10724	0.748566	0.175829	0.298545	0.461042
63	0.394248	0.0468592	0.0495175	0.00396722	0.0517009	0.698314	0.382076	0.582068	0.110795	0.149623	0.00361285	0.00522768	0.486684	0.965295	0.129522	0.606142	0.10643	0.164123	0.450083
64	0.373152	0.0172392	0.0416691	0.00672678	0.0424612	0.555858	0.245013	0.690388	0.073142	0.113917	0.00134748	0.00195327	0.540807	0.891646	0.151555	0.481379	0.0693427	0.0900779	0.424706
65	0.332059	0.00634197	0.0364632	0.013943	0.0348469	0.42811	0.155125	0.770633	0.0515377	0.086588	0.00050405	0.000734133	0.575545	0.789265	0.172201	0.378642	0.0496772	0.0494359	0.404841
66	0.286033	0.00233308	0.0350285	0.03046	0.0285926	0.321734	0.0975997	0.830081	0.0376709	0.0657608	0.000190235	0.00028119	0.587295	0.68119	0.190777	0.297228	0.0400544	0.027131	0.392149
67	0.24181	0.000858292	0.0399704	0.0653801	0.023481	0.237319	0.0611889	0.874121	0.0280703	0.0499646	7.42187e-05	0.000116626	0.578418	0.581465	0.206948	0.234559	0.0365031	0.0148898	0.384644
68	0.202107	0.000315772	0.0563587	0.133992	0.0193777	0.172519	0.0382762	0.906747	0.0211425	0.0381089	3.47438e-05	7.43489e-05	0.554095	0.495939	0.220547	0.187605	0.0367826	0.00817175	0.380363
69	0.167715	0.000117515	0.0925917	0.257198	0.0164457	0.123963	0.0239136	0.930915	0.0160957	0.0296308	3.99167e-05	0.000165867	0.519861	0.424657	0.231462	0.153372	0.0389165	0.00448738	0.377962
70	0.138426	0.000116817	0.159162	0.453167	0.0162585	0.0882411	0.0149584	0.948746	0.0126799	0.025491	0.000173794	0.000964515	0.480075	0.363504	0.239568	0.128672	0.0396706	0.00258048	0.376538
71	0.109156	0.00382948	0.2623	0.719468	0.0250532	0.0623805	0.00951784	0.957993	0.0117711	0.0324187	0.00187791	0.0133992	0.43732	0.306628	0.244541	0.109981	0.0377981	0.00650647	0.37179
72	0.024259	0.120189	0.4143	0.995801	0.0538239	0.0447163	0.00697583	0.824981	0.0189505	0.0742291	0.055929	0.350592	0.397033	0.251634	0.240946	0.101833	0.0927134	0.0786444	0.321798
73	0.0087478	0.364067	0.589577	0.752627	0.105021	0.0349687	0.0101033	0.36797	0.0576135	0.209364	0.468259	0.989414	0.371572	0.200652	0.216099	0.138371	0.203992	0.131581	0.315955
74	0.00877539	0.356295	0.623614	0.451783	0.157254	0.0319713	0.0339184	0.136427	0.159735	0.473585	0.881027	0.772376	0.341767	0.160012	0.19075	0.174569	0.166206	0.183276	0.308719
75	0.00781339	0.321322	0.567167	0.26748	0.19855	0.0459667	0.119123	0.0502034	0.32883	0.733771	0.995575	0.447589	0.306583	0.131054	0.168415	0.182211	0.119088	0.219301	0.310944
76	0.00800973	0.338325	0.476848	0.158358	0.224874	0.0966778	0.286707	0.0184691	0.528935	0.915029	0.919099	0.238657	0.270841	0.112618	0.147711	0.177052	0.110208	0.245704	0.313077
77	0.00979292	0.41287	0.384922	0.0940354	0.233943	0.194273	0.492923	0.00679439	0.721148	1.00223	0.772131	0.129456	0.237976	0.103871	0.128018	0.179527	0.151469	0.275571	0.30781
78	0.0131063	0.531032	0.306528	0.0561122	0.226544	0.329262	0.683696	0.00249952	0.875368	0.998468	0.619508	0.0760082	0.210008	0.104872	0.109439	0.209072	0.255021	0.318746	0.293732
79	0.017754	0.670201	0.244785	0.033736	0.207455	0.482056	0.832311	0.000919523	0.973274	0.9218	0.485864	0.0483607	0.188375	0.118317	0.0924674	0.284287	0.428492	0.379485	0.272957
80	0.0233656	0.805523	0.197091	0.0205347	0.18272	0.633733	0.933801	0.00033828	1.00993	0.801583	0.37618	0.0317087	0.175525	0.155435	0.0777139	0.417834	0.656038	0.456435	0.249242
81	0.0291436	0.91082	0.159931	0.012761	0.156897	0.770533	0.992624	0.000124813	0.992147	0.667002	0.28834	0.0202029	0.177515	0.241008	0.0659516	0.604762	0.876736	0.543719	0.226775
82	0.0334409	0.956595	0.13055	0.00820761	0.132547	0.884099	1.0153	6.5908e-05	0.933391	0.538207	0.218693	0.0119169	0.204273	0.393712	0.0585885	0.806794	0.974354	0.631648	0.209969
83	0.0348613	0.923836	0.107033	0.00558048	0.110808	0.969738	1.00715	0.00110633	0.846269	0.425295	0.162929	0.00694049	0.261883	0.59139	0.0581036	0.951253	0.856413	0.706974	0.20363
84	0.0611024	0.745103	0.0879886	0.00419663	0.0920026	1.00936	0.962748	0.0421136	0.670831	0.331121	0.094755	0.0221848	0.333923	0.783027	0.0671259	0.97904	0.584649	0.724444	0.23602
85	0.228485	0.340863	0.0723347	0.00352878	0.0760417	0.950641	0.808461	0.240969	0.35131	0.255005	0.0278641	0.0323812	0.374021	0.922177	0.0859451	0.889835	0.315084	0.525429	0.387614
86	0.363286	0.127253	0.0596427	0.00327838	0.0626584	0.837096	0.576551	0.435907	0.185056	0.195325	0.00972573	0.0138912	0.424923	0.982119	0.107323	0.747935	0.175799	0.298576	0.46106
87	0.394249	0.0468499	0.0494683	0.00398372	0.0515271	0.696617	0.380847	0.582068	0.110418	0.149083	0.00361176	0.00522649	0.486453	0.964622	0.129585	0.605679	0.106473	0.16414	0.450094
88	0.373157	0.0172358	0.0416352	0.00676189	0.0423186	0.554427	0.244179	0.690388	0.0728862	0.113504	0.00134712	0.00195278	0.540493	0.890978	0.151599	0.481057	0.069408	0.0900872	0.424712
89	0.332065	0.00634072	0.036449	0.0140213	0.03473	0.426956	0.154574	0.770633	0.0513541	0.0862729	0.000503919	0.000733944	0.575174	0.788669	0.172229	0.37843	0.0497458	0.049441	0.404844
90	0.286039	0.00233262	0.0350464	0.0306316	0.0284969	0.320834	0.0972404	0.830081	0.0375352	0.0655211	0.000190189	0.000281137	0.586899	0.680696	0.190792	0.297097	0.0401217	0.0271338	0.392151
91	0.241815	0.000858122	0.0400479	0.0657381	0.0234029	0.236633	0.0609569	0.874121	0.0279686	0.049783	7.42163e-05	0.000116677	0.578023	0.581073	0.206951	0.234488	0.0365691	0.0148913	0.384645
92	0.202112	0.000315709	0.0565473	0.134684	0.019315	0.172007	0.0381273	0.906747	0.021066	0.0379726	3.48048e-05	7.4682e-05	0.553721	0.495631	0.220539	0.187576	0.0368456	0.0081726	0.380363
93	0.16772	0.000117492	0.0929696	0.258397	0.0164011	0.123587	0.0238185	0.930915	0.0160389	0.0295342	4.02646e-05	0.000167726	0.519517	0.424403	0.231443	0.153373	0.0389637	0.00448784	0.377962
94	0.13843	0.000116792	0.159806	0.454956	0.0162554	0.0879677	0.0148982	0.948746	0.012642	0.0254503	0.000175687	0.00097421	0.479761	0.363257	0.239538	0.128682	0.0396751	0.00258073	0.376538
95	0.109158	0.00382704	0.263213	0.721664	0.0251631	0.0621842	0.00948169	0.957993	0.0117653	0.032526	0.00188511	0.0134302	0.437024	0.306355	0.244499	0.109981	0.0377552	0.00650674	0.37179
96	0.0242558	0.120082	0.41544	0.997845	0.054102	0.0445759	0.00696471	0.824981	0.019031	0.0747238	0.0559461	0.350641	0.396742	0.251349	0.240891	0.101811	0.0926453	0.0786431	0.321799
97	0.00873767	0.363666	0.590908	0.75382	0.105393	0.0348709	0.0101501	0.36797	0.057933	0.210416	0.468296	0.989464	0.371274	0.200389	0.216035	0.138327	0.203917	0.131531	0.31599
98	0.00876158	0.355799	0.624931	0.452462	0.157657	0.0319396	0.0341613	0.136427	0.160404	0.475015	0.881084	0.772427	0.34147	0.159776	0.190675	0.174509	0.166139	0.183145	0.308789
99	0.00779818	0.320777	0.568333	0.267867	0.19898	0.0460865	0.119816	0.0502033	0.329857	0.735432	0.995648	0.447648	0.306299	0.130836	0.16833	0.182141	0.119017	0.219088	0.311033
100	0.00799303	0.337727	0.477791	0.158577	0.225343	0.0970663	0.287895	0.018469	0.530291	0.916854	0.919192	0.238731	0.270576	0.112407	0.147616	0.176969	0.110114	0.245415	0.313178
