Time	[E4P]	[G6L]	[NADPH]	[P6G]	[R5P]	[Ru5P]	[S7P]	[X5P]	[NADP]	[G6P]	[F6P]	[GAP]	[GND1]	[GND2]	[NQM1]	[RKI1]	[RPE1]	[SOL3]	[TAL1]	[TKL1]	[ZWF1]
0	0.029	0.1	0.16	0.25	0.118	0.033	0.082	0.041	0.17	0.9	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
1	0.0171586	0.354117	0.248002	0.227326	0.0856401	0.0313341	0.0770268	0.0457434	0.0819984	1.79181	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
2	0.0149142	0.530748	0.248105	0.225805	0.0791828	0.0295356	0.0664044	0.043173	0.0818946	2.6027	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
3	0.0147959	0.697178	0.247579	0.23266	0.0743094	0.0280787	0.0583704	0.0410066	0.082421	3.30327	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
4	0.0150895	0.855389	0.246841	0.245269	0.0705222	0.0269669	0.0524671	0.0393346	0.0831594	3.87973	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
5	0.0154086	1.00646	0.245879	0.261831	0.067701	0.0261721	0.0482544	0.0381235	0.0841213	4.33191	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
6	0.0156669	1.15112	0.24471	0.281077	0.0657161	0.0256503	0.0453715	0.0373109	0.0852905	4.66923	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
7	0.0158505	1.28991	0.243361	0.302097	0.0644302	0.0253546	0.0435225	0.0368287	0.0866391	4.90649	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
8	0.0159644	1.42323	0.241864	0.324227	0.0637114	0.0252406	0.0424703	0.0366123	0.0881364	5.06038	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
9	0.016019	1.55137	0.240248	0.346976	0.0634413	0.0252696	0.042029	0.036605	0.089752	5.14719	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
10	0.0160257	1.67458	0.238542	0.369978	0.0635195	0.0254087	0.0420552	0.036759	0.0914575	5.18155	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
11	0.0159953	1.79307	0.236772	0.392953	0.0638633	0.0256313	0.0424389	0.0370355	0.0932278	5.17589	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
12	0.015937	1.90702	0.23496	0.41569	0.0644071	0.0259162	0.0430962	0.0374036	0.0950405	5.14038	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
13	0.0158583	2.01659	0.233123	0.438028	0.0650991	0.0262466	0.0439629	0.037839	0.0968768	5.08314	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
14	0.0157652	2.12193	0.231279	0.459845	0.065899	0.0266096	0.0449893	0.0383229	0.0987207	5.01052	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
15	0.0156625	2.2232	0.229441	0.48105	0.0667757	0.0269949	0.0461373	0.0388404	0.100559	4.9274	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
16	0.0155537	2.32053	0.227619	0.501576	0.0677051	0.0273949	0.047377	0.0393805	0.102381	4.8375	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
17	0.0154416	2.41405	0.225823	0.521375	0.0686687	0.0278035	0.0486848	0.0399342	0.104177	4.74363	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
18	0.0153282	2.5039	0.224059	0.540413	0.0696523	0.0282161	0.050042	0.040495	0.105941	4.64788	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
19	0.015215	2.59021	0.222332	0.558671	0.0706449	0.028629	0.0514337	0.0410574	0.107668	4.55178	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
20	0.0151032	2.6731	0.220647	0.576138	0.0716379	0.0290394	0.0528478	0.0416176	0.109353	4.45645	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
21	0.0149935	2.7527	0.219006	0.59281	0.0726249	0.0294452	0.0542744	0.0421724	0.110994	4.3627	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
22	0.0148865	2.82912	0.217412	0.608691	0.0736008	0.0298449	0.0557056	0.0427194	0.112588	4.27109	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
23	0.0147827	2.90248	0.215866	0.623788	0.0745617	0.0302371	0.0571346	0.0432568	0.114134	4.18199	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
24	0.0146822	2.97289	0.214368	0.638114	0.0755048	0.030621	0.058556	0.0437833	0.115632	4.09565	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
25	0.0145852	3.04046	0.212918	0.651683	0.0764278	0.0309957	0.0599653	0.0442978	0.117082	4.01221	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
26	0.0144918	3.1053	0.211517	0.664513	0.0773292	0.031361	0.0613589	0.0447996	0.118483	3.93173	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
27	0.0144021	3.16751	0.210163	0.676622	0.0782078	0.0317164	0.0627335	0.0452881	0.119837	3.85422	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
28	0.0143159	3.22718	0.208857	0.688031	0.0790628	0.0320617	0.0640868	0.0457632	0.121143	3.77966	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
29	0.0142333	3.28442	0.207596	0.698761	0.0798937	0.0323969	0.0654166	0.0462245	0.122404	3.70799	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
30	0.0141542	3.3393	0.20638	0.708832	0.0807004	0.0327219	0.0667213	0.0466721	0.12362	3.63913	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
31	0.0140784	3.39193	0.205207	0.718268	0.0814828	0.0330368	0.0679997	0.0471059	0.124793	3.57299	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
