Time	[RuBP]	[PGA]	[NADPH]	[CO2]	[O2]	[NADP]
0	2	2.4	0.21	35	21	0.29
1	2	3.4835	0.0512902	35	21	0.44871
2	2	4.64367	0.0432943	35	21	0.456706
3	2	5.76744	0.0428914	35	21	0.457109
4	2	6.84822	0.0428711	35	21	0.457129
5	2	7.88716	0.0428701	35	21	0.45713
6	2	8.88584	0.0428701	35	21	0.45713
7	2	9.84583	0.0428701	35	21	0.45713
8	2	10.7686	0.0428701	35	21	0.45713
9	2	11.6556	0.0428701	35	21	0.45713
10	2	12.5083	0.0428701	35	21	0.45713
11	2	13.3279	0.0428701	35	21	0.45713
12	2	14.1158	0.0428701	35	21	0.45713
13	2	14.8731	0.0428701	35	21	0.45713
14	2	15.6011	0.0428701	35	21	0.45713
15	2	16.3009	0.0428701	35	21	0.45713
16	2	16.9735	0.0428701	35	21	0.45713
17	2	17.6201	0.0428701	35	21	0.45713
18	2	18.2417	0.0428701	35	21	0.45713
19	2	18.8391	0.0428701	35	21	0.45713
20	2	19.4134	0.0428701	35	21	0.45713
21	2	19.9655	0.0428701	35	21	0.45713
22	2	20.4961	0.0428701	35	21	0.45713
23	2	21.0062	0.0428701	35	21	0.45713
24	2	21.4966	0.0428701	35	21	0.45713
25	2	21.9679	0.0428701	35	21	0.45713
26	2	22.421	0.0428701	35	21	0.45713
27	2	22.8565	0.04287	35	21	0.45713
28	2	23.2751	0.04287	35	21	0.45713
29	2	23.6776	0.0428701	35	21	0.45713
30	2	24.0644	0.0428701	35	21	0.45713
31	2	24.4362	0.0428701	35	21	0.45713
32	2	24.7937	0.0428701	35	21	0.45713
33	2	25.1372	0.0428701	35	21	0.45713
34	2	25.4675	0.04287	35	21	0.45713
35	2	25.785	0.04287	35	21	0.45713
36	2	26.0901	0.0428701	35	21	0.45713
37	2	26.3835	0.0428701	35	21	0.45713
38	2	26.6655	0.0428701	35	21	0.45713
39	2	26.9365	0.0428701	35	21	0.45713
40	2	27.1971	0.0428701	35	21	0.45713
41	2	27.4475	0.0428701	35	21	0.45713
42	2	27.6883	0.0428701	35	21	0.45713
43	2	27.9197	0.0428701	35	21	0.45713
44	2	28.1421	0.0428701	35	21	0.45713
45	2	28.356	0.0428701	35	21	0.45713
46	2	28.5615	0.0428701	35	21	0.45713
47	2	28.7591	0.0428701	35	21	0.45713
48	2	28.949	0.0428701	35	21	0.45713
49	2	29.1316	0.0428701	35	21	0.45713
50	2	29.3071	0.0428701	35	21	0.45713
51	2	29.4758	0.0428701	35	21	0.45713
52	2	29.6379	0.0428701	35	21	0.45713
53	2	29.7938	0.0428701	35	21	0.45713
54	2	29.9436	0.0428701	35	21	0.45713
55	2	30.0877	0.0428701	35	21	0.45713
56	2	30.2261	0.0428701	35	21	0.45713
57	2	30.3592	0.0428701	35	21	0.45713
58	2	30.4871	0.0428701	35	21	0.45713
59	2	30.6101	0.0428701	35	21	0.45713
60	2	30.7283	0.0428701	35	21	0.45713
61	2	30.8419	0.0428701	35	21	0.45713
62	2	30.9511	0.0428701	35	21	0.45713
63	2	31.0561	0.0428701	35	21	0.45713
64	2	31.157	0.0428701	35	21	0.45713
65	2	31.254	0.0428701	35	21	0.45713
66	2	31.3473	0.0428701	35	21	0.45713
67	2	31.4369	0.0428701	35	21	0.45713
68	2	31.5231	0.0428701	35	21	0.45713
69	2	31.6059	0.0428701	35	21	0.45713
70	2	31.6855	0.0428701	35	21	0.45713
71	2	31.762	0.0428701	35	21	0.45713
72	2	31.8356	0.0428701	35	21	0.45713
73	2	31.9063	0.0428701	35	21	0.45713
74	2	31.9743	0.0428701	35	21	0.45713
75	2	32.0396	0.0428701	35	21	0.45713
76	2	32.1024	0.0428701	35	21	0.45713
77	2	32.1628	0.0428701	35	21	0.45713
78	2	32.2208	0.0428701	35	21	0.45713
79	2	32.2766	0.0428701	35	21	0.45713
80	2	32.3302	0.0428701	35	21	0.45713
81	2	32.3818	0.0428701	35	21	0.45713
82	2	32.4313	0.0428701	35	21	0.45713
83	2	32.479	0.0428701	35	21	0.45713
84	2	32.5247	0.0428701	35	21	0.45713
85	2	32.5688	0.0428701	35	21	0.45713
86	2	32.6111	0.0428701	35	21	0.45713
87	2	32.6517	0.0428701	35	21	0.45713
88	2	32.6908	0.0428701	35	21	0.45713
89	2	32.7284	0.0428701	35	21	0.45713
90	2	32.7645	0.0428701	35	21	0.45713
91	2	32.7992	0.0428701	35	21	0.45713
92	2	32.8326	0.0428701	35	21	0.45713
93	2	32.8647	0.0428701	35	21	0.45713
94	2	32.8955	0.0428701	35	21	0.45713
95	2	32.9251	0.0428701	35	21	0.45713
96	2	32.9536	0.0428701	35	21	0.45713
97	2	32.981	0.0428701	35	21	0.45713
98	2	33.0073	0.0428701	35	21	0.45713
99	2	33.0326	0.0428701	35	21	0.45713
100	2	33.057	0.0428701	35	21	0.45713
