Time	[x1]	[x2]	[y2]	[x0]	[y0]
0	0	0	0	1	0
1	1.26424	1.05696	0.528482	1	0
2	0.465089	1.31901	0.659505	0	0
3	0.171097	0.82743	0.413715	0	0
4	0.0629429	0.430281	0.21514	0	0
5	0.0231554	0.204602	0.102301	0	0
6	0.00851838	0.0923057	0.0461529	0	0
7	0.00313373	0.0402248	0.0201124	0	0
8	0.00115284	0.0171036	0.00855178	0	0
9	0.000424104	0.00714026	0.00357013	0	0
10	0.000156019	0.00293879	0.0014694	0	0
11	5.73962e-05	0.00119591	0.000597957	0	0
12	2.11149e-05	0.000482181	0.000241091	0	0
13	7.76772e-06	0.00019292	9.646e-05	0	0
14	2.85758e-06	7.66864e-05	3.83432e-05	0	0
15	1.05124e-06	3.03138e-05	1.51569e-05	0	0
16	3.86731e-07	1.19253e-05	5.96265e-06	0	0
17	1.4227e-07	4.67161e-06	2.3358e-06	0	0
18	5.23382e-08	1.82326e-06	9.11632e-07	0	0
19	1.92541e-08	7.09249e-07	3.54624e-07	0	0
20	7.08318e-09	2.75084e-07	1.37542e-07	0	0
21	2.60575e-09	1.06409e-07	5.32046e-08	0	0
22	9.58601e-10	4.10628e-08	2.05314e-08	0	0
23	3.52649e-10	1.58115e-08	7.90573e-09	0	0
24	1.29732e-10	6.07616e-09	3.03808e-09	0	0
25	4.77281e-11	2.33082e-09	1.16541e-09	0	0
26	1.75579e-11	8.9258e-10	4.4629e-10	0	0
27	6.45656e-12	3.41172e-10	1.70586e-10	0	0
28	2.37555e-12	1.30264e-10	6.51321e-11	0	0
29	8.75513e-13	4.97232e-11	2.48616e-11	0	0
30	3.22645e-13	1.89578e-11	9.47892e-12	0	0
31	1.19808e-13	7.26515e-12	3.63257e-12	0	0
32	4.26803e-14	2.69274e-12	1.34637e-12	0	0
33	1.52858e-14	1.00009e-12	5.00047e-13	0	0
34	5.9043e-15	3.92461e-13	1.9623e-13	0	0
35	2.31821e-15	1.56698e-13	7.83491e-14	0	0
36	8.78515e-16	6.09469e-14	3.04734e-14	0	0
37	1.62002e-16	1.22881e-14	6.14404e-15	0	0
38	-3.46437e-16	-2.2258e-14	-1.1129e-14	0	0
39	-4.69299e-16	-3.10448e-14	-1.55224e-14	0	0
40	-3.63986e-16	-2.45089e-14	-1.22544e-14	0	0
41	-3.96795e-16	-2.69378e-14	-1.34689e-14	0	0
42	-3.29291e-16	-2.25222e-14	-1.12611e-14	0	0
43	-1.98763e-16	-1.4056e-14	-7.02801e-15	0	0
44	-1.48492e-16	-1.05264e-14	-5.2632e-15	0	0
45	-9.82202e-17	-6.99675e-15	-3.49838e-15	0	0
46	-5.01996e-17	-3.625e-15	-1.8125e-15	0	0
47	-4.86463e-17	-3.51294e-15	-1.75647e-15	0	0
48	-4.70931e-17	-3.40087e-15	-1.70044e-15	0	0
49	-4.55399e-17	-3.28881e-15	-1.6444e-15	0	0
50	-4.39866e-17	-3.17674e-15	-1.58837e-15	0	0
51	-4.24334e-17	-3.06468e-15	-1.53234e-15	0	0
52	-4.08802e-17	-2.95261e-15	-1.4763e-15	0	0
53	-3.93269e-17	-2.84054e-15	-1.42027e-15	0	0
54	-3.77737e-17	-2.72848e-15	-1.36424e-15	0	0
55	-3.62205e-17	-2.61641e-15	-1.30821e-15	0	0
56	-3.46672e-17	-2.50435e-15	-1.25217e-15	0	0
57	-3.3114e-17	-2.39228e-15	-1.19614e-15	0	0
58	-3.15608e-17	-2.28022e-15	-1.14011e-15	0	0
59	-3.00076e-17	-2.16815e-15	-1.08408e-15	0	0
60	-2.84543e-17	-2.05608e-15	-1.02804e-15	0	0
61	-2.69011e-17	-1.94402e-15	-9.7201e-16	0	0
62	-2.53479e-17	-1.83195e-15	-9.15977e-16	0	0
63	-2.37946e-17	-1.71989e-15	-8.59944e-16	0	0
64	-2.22414e-17	-1.60782e-15	-8.03911e-16	0	0
65	-2.06882e-17	-1.49576e-15	-7.47878e-16	0	0
66	-1.91349e-17	-1.38369e-15	-6.91846e-16	0	0
67	-1.75817e-17	-1.27163e-15	-6.35813e-16	0	0
68	-1.60285e-17	-1.15956e-15	-5.7978e-16	0	0
69	-1.44752e-17	-1.04749e-15	-5.23747e-16	0	0
70	-1.2922e-17	-9.35429e-16	-4.67714e-16	0	0
71	-1.13688e-17	-8.23363e-16	-4.11682e-16	0	0
72	-9.81554e-18	-7.11298e-16	-3.55649e-16	0	0
73	-8.26231e-18	-5.99232e-16	-2.99616e-16	0	0
74	-6.70908e-18	-4.87167e-16	-2.43583e-16	0	0
75	-5.15585e-18	-3.75101e-16	-1.87551e-16	0	0
76	-3.60262e-18	-2.63035e-16	-1.31518e-16	0	0
77	-2.04939e-18	-1.5097e-16	-7.54849e-17	0	0
78	-1.52057e-18	-1.12753e-16	-5.63763e-17	0	0
79	-1.47258e-18	-1.09197e-16	-5.45985e-17	0	0
80	-1.42459e-18	-1.05642e-16	-5.28208e-17	0	0
81	-1.3766e-18	-1.02086e-16	-5.1043e-17	0	0
82	-1.32861e-18	-9.85306e-17	-4.92653e-17	0	0
83	-1.28062e-18	-9.49751e-17	-4.74875e-17	0	0
84	-1.23263e-18	-9.14195e-17	-4.57098e-17	0	0
85	-1.18464e-18	-8.7864e-17	-4.3932e-17	0	0
86	-1.13665e-18	-8.43085e-17	-4.21543e-17	0	0
