Time	[x1]	[x2]	[y2]	[x0]	[y0]
87	-1.08866e-18	-8.0753e-17	-4.03765e-17	0	0
88	-1.04067e-18	-7.71975e-17	-3.85987e-17	0	0
89	-9.92679e-19	-7.3642e-17	-3.6821e-17	0	0
90	-9.44689e-19	-7.00865e-17	-3.50432e-17	0	0
91	-8.96699e-19	-6.6531e-17	-3.32655e-17	0	0
92	-8.48709e-19	-6.29754e-17	-3.14877e-17	0	0
93	-8.00719e-19	-5.94199e-17	-2.971e-17	0	0
94	-7.52729e-19	-5.58644e-17	-2.79322e-17	0	0
95	-7.04738e-19	-5.23089e-17	-2.61545e-17	0	0
96	-6.56748e-19	-4.87534e-17	-2.43767e-17	0	0
97	-6.08758e-19	-4.51979e-17	-2.25989e-17	0	0
98	-5.60768e-19	-4.16424e-17	-2.08212e-17	0	0
99	-5.12778e-19	-3.80869e-17	-1.90434e-17	0	0
100	-4.64788e-19	-3.45314e-17	-1.72657e-17	0	0
