Time	[OCT4_Gene]	[NANOG_Gene]	[SOX2_Gene]	[GATA6_Gene]	[CDX2_Gene]	[GCNF_Gene]	[targetGene]	[degradation]	[p53]	[A]	[SG]	[SN]	[OCT4]	[SOX2]	[NANOG]	[GATA6]	[CDX2]	[GCNF]	[OCT4_SOX2]	[Protein]
40	0	0	0	0	0	0	0.01	0	0	25	0	0	2.71489	0.0116698	0.000416739	7.54497	1.10047	4.37761	0.1	0
41	0	0	0	0	0	0	0.01	0	0	25	0	0	2.69487	0.0116582	0.000396365	7.54635	1.11166	4.40296	0.1	0
42	0	0	0	0	0	0	0.01	0	0	25	0	0	2.67598	0.0116464	0.000377946	7.54642	1.12254	4.42622	0.1	0
43	0	0	0	0	0	0	0.01	0	0	25	0	0	2.65816	0.0116346	0.000361297	7.54538	1.1331	4.44754	0.1	0
44	0	0	0	0	0	0	0.01	0	0	25	0	0	2.64138	0.0116229	0.000346251	7.54337	1.14334	4.46708	0.1	0
45	0	0	0	0	0	0	0.01	0	0	25	0	0	2.62556	0.0116112	0.000332658	7.54054	1.15327	4.48496	0.1	0
46	0	0	0	0	0	0	0.01	0	0	25	0	0	2.61067	0.0115996	0.000320378	7.53702	1.16288	4.50132	0.1	0
47	0	0	0	0	0	0	0.01	0	0	25	0	0	2.59665	0.0115882	0.000309289	7.53292	1.17217	4.51628	0.1	0
48	0	0	0	0	0	0	0.01	0	0	25	0	0	2.58346	0.011577	0.000299276	7.52833	1.18114	4.52994	0.1	0
49	0	0	0	0	0	0	0.01	0	0	25	0	0	2.57105	0.0115661	0.000290238	7.52336	1.18979	4.54242	0.1	0
50	0	0	0	0	0	0	0.01	0	0	25	0	0	2.55937	0.0115554	0.000282082	7.51808	1.19813	4.55379	0.1	0
51	0	0	0	0	0	0	0.01	0	0	25	0	0	2.5484	0.011545	0.000274724	7.51255	1.20617	4.56416	0.1	0
52	0	0	0	0	0	0	0.01	0	0	25	0	0	2.53807	0.0115349	0.000268088	7.50685	1.21389	4.57361	0.1	0
53	0	0	0	0	0	0	0.01	0	0	25	0	0	2.52837	0.011525	0.000262105	7.50103	1.22132	4.5822	0.1	0
54	0	0	0	0	0	0	0.01	0	0	25	0	0	2.51924	0.0115155	0.000256713	7.49512	1.22846	4.59001	0.1	0
55	0	0	0	0	0	0	0.01	0	0	25	0	0	2.51067	0.0115063	0.000251854	7.48919	1.23531	4.59711	0.1	0
56	0	0	0	0	0	0	0.01	0	0	25	0	0	2.50261	0.0114974	0.000247478	7.48325	1.24187	4.60356	0.1	0
57	0	0	0	0	0	0	0.01	0	0	25	0	0	2.49504	0.0114889	0.000243538	7.47735	1.24817	4.6094	0.1	0
58	0	0	0	0	0	0	0.01	0	0	25	0	0	2.48793	0.0114806	0.000239992	7.4715	1.25419	4.6147	0.1	0
59	0	0	0	0	0	0	0.01	0	0	25	0	0	2.48125	0.0114727	0.000236803	7.46573	1.25995	4.6195	0.1	0
60	0	0	0	0	0	0	0.01	0	0	25	0	0	2.47497	0.0114651	0.000233935	7.46007	1.26547	4.62383	0.1	0
61	0	0	0	0	0	0	0.01	0	0	25	0	0	2.46908	0.0114578	0.000231357	7.45452	1.27073	4.62775	0.1	0
62	0	0	0	0	0	0	0.01	0	0	25	0	0	2.46354	0.0114508	0.000229042	7.4491	1.27576	4.63129	0.1	0
63	0	0	0	0	0	0	0.01	0	0	25	0	0	2.45834	0.0114442	0.000226964	7.44382	1.28056	4.63447	0.1	0
64	0	0	0	0	0	0	0.01	0	0	25	0	0	2.45345	0.0114377	0.000225099	7.43868	1.28514	4.63734	0.1	0
65	0	0	0	0	0	0	0.01	0	0	25	0	0	2.44887	0.0114316	0.000223426	7.4337	1.2895	4.63992	0.1	0
66	0	0	0	0	0	0	0.01	0	0	25	0	0	2.44456	0.0114258	0.000221928	7.42888	1.29366	4.64224	0.1	0
67	0	0	0	0	0	0	0.01	0	0	25	0	0	2.44051	0.0114202	0.000220586	7.42422	1.29762	4.64432	0.1	0
68	0	0	0	0	0	0	0.01	0	0	25	0	0	2.43671	0.0114149	0.000219385	7.41972	1.30138	4.64618	0.1	0
69	0	0	0	0	0	0	0.01	0	0	25	0	0	2.43315	0.0114098	0.000218311	7.41539	1.30497	4.64784	0.1	0
70	0	0	0	0	0	0	0.01	0	0	25	0	0	2.4298	0.011405	0.000217352	7.41122	1.30838	4.64933	0.1	0
71	0	0	0	0	0	0	0.01	0	0	25	0	0	2.42665	0.0114004	0.000216495	7.40721	1.31161	4.65065	0.1	0
72	0	0	0	0	0	0	0.01	0	0	25	0	0	2.4237	0.011396	0.000215731	7.40337	1.31469	4.65183	0.1	0
73	0	0	0	0	0	0	0.01	0	0	25	0	0	2.42093	0.0113919	0.000215051	7.39969	1.31761	4.65287	0.1	0
74	0	0	0	0	0	0	0.01	0	0	25	0	0	2.41832	0.0113879	0.000214446	7.39616	1.32039	4.6538	0.1	0
75	0	0	0	0	0	0	0.01	0	0	25	0	0	2.41588	0.0113842	0.000213908	7.39278	1.32302	4.65461	0.1	0
76	0	0	0	0	0	0	0.01	0	0	25	0	0	2.41358	0.0113806	0.00021343	7.38955	1.32552	4.65533	0.1	0
77	0	0	0	0	0	0	0.01	0	0	25	0	0	2.41143	0.0113772	0.000213006	7.38647	1.32788	4.65596	0.1	0
78	0	0	0	0	0	0	0.01	0	0	25	0	0	2.40941	0.011374	0.000212631	7.38353	1.33013	4.65651	0.1	0
79	0	0	0	0	0	0	0.01	0	0	25	0	0	2.40751	0.011371	0.0002123	7.38072	1.33225	4.65699	0.1	0
80	0	0	0	0	0	0	0.01	0	0	25	0	0	2.40572	0.0113681	0.000212008	7.37805	1.33427	4.65741	0.1	0
81	0	0	0	0	0	0	0.01	0	0	25	0	0	2.40405	0.0113654	0.000211751	7.3755	1.33617	4.65777	0.1	0
82	0	0	0	0	0	0	0.01	0	0	25	0	0	2.40248	0.0113628	0.000211525	7.37308	1.33798	4.65807	0.1	0
83	0	0	0	0	0	0	0.01	0	0	25	0	0	2.401	0.0113603	0.000211327	7.37077	1.33969	4.65834	0.1	0
84	0	0	0	0	0	0	0.01	0	0	25	0	0	2.39961	0.011358	0.000211154	7.36858	1.3413	4.65856	0.1	0
85	0	0	0	0	0	0	0.01	0	0	25	0	0	2.39831	0.0113558	0.000211003	7.3665	1.34283	4.65874	0.1	0
86	0	0	0	0	0	0	0.01	0	0	25	0	0	2.39709	0.0113537	0.000210872	7.36453	1.34428	4.65889	0.1	0
87	0	0	0	0	0	0	0.01	0	0	25	0	0	2.39595	0.0113518	0.000210758	7.36265	1.34565	4.65902	0.1	0
88	0	0	0	0	0	0	0.01	0	0	25	0	0	2.39487	0.0113499	0.000210661	7.36087	1.34694	4.65912	0.1	0
89	0	0	0	0	0	0	0.01	0	0	25	0	0	2.39386	0.0113482	0.000210577	7.35918	1.34816	4.65919	0.1	0
90	0	0	0	0	0	0	0.01	0	0	25	0	0	2.39291	0.0113465	0.000210505	7.35758	1.34931	4.65925	0.1	0
91	0	0	0	0	0	0	0.01	0	0	25	0	0	2.39202	0.0113449	0.000210445	7.35607	1.3504	4.65929	0.1	0
92	0	0	0	0	0	0	0.01	0	0	25	0	0	2.39118	0.0113434	0.000210394	7.35463	1.35143	4.65931	0.1	0
93	0	0	0	0	0	0	0.01	0	0	25	0	0	2.3904	0.011342	0.000210352	7.35328	1.3524	4.65932	0.1	0
94	0	0	0	0	0	0	0.01	0	0	25	0	0	2.38966	0.0113407	0.000210317	7.35199	1.35332	4.65932	0.1	0
95	0	0	0	0	0	0	0.01	0	0	25	0	0	2.38897	0.0113395	0.000210289	7.35077	1.35419	4.65931	0.1	0
96	0	0	0	0	0	0	0.01	0	0	25	0	0	2.38832	0.0113383	0.000210267	7.34962	1.355	4.65929	0.1	0
97	0	0	0	0	0	0	0.01	0	0	25	0	0	2.38771	0.0113372	0.000210249	7.34853	1.35577	4.65927	0.1	0
98	0	0	0	0	0	0	0.01	0	0	25	0	0	2.38714	0.0113361	0.000210236	7.3475	1.3565	4.65924	0.1	0
99	0	0	0	0	0	0	0.01	0	0	25	0	0	2.3866	0.0113351	0.000210227	7.34653	1.35719	4.6592	0.1	0
100	0	0	0	0	0	0	0.01	0	0	25	0	0	2.3861	0.0113342	0.000210222	7.34561	1.35783	4.65916	0.1	0
