Time	[MK]	[MKK-PP]	[MK_MKK-PP]	[MK-P]	[MK-P_MKK-PP]	[MK-PP]	[MKK]	[MKKK-P]	[MKK_MKKK-P]	[MKK-P]	[MKK-P_MKKK-P]	[MKK-PP_P2]	[P2]	[MKK-P_P2]	[MKK_P2]	[MKKK]	[MKKK_Sig]	[Sig]	[MKKK-P_P1]	[P1]	[MK-PP_P2]	[MK-P_P2]	[MK_P2]	[MKK-PP_P1]	[MKK-P_P1]	[MKK_P1]	[MKKK_P1]
10	1199.89	0.00603035	0.106294	0.000941823	1.08464e-08	3.14679e-08	1136.15	2.97832	61.2699	0.723223	0.00424134	0.037447	198.822	1.13978	0	224.044	6.92342	3.07658	4.77991	94.6575	1.44433e-07	0.00121243	0	0.0178859	0.544656	0	0
11	1199.85	0.00821119	0.148436	0.00141471	2.22786e-08	6.82895e-08	1129.92	3.24762	67.0182	0.840435	0.00538279	0.0521581	198.601	1.3445	0	217.644	6.86166	3.13834	5.22362	94.1121	3.26573e-07	0.00187369	0	0.0247975	0.639504	0	0
12	1199.79	0.010877	0.200932	0.00204835	4.28823e-08	1.38417e-07	1123.75	3.51557	72.6749	0.961395	0.00667432	0.0704316	198.37	1.55716	0	211.345	6.7984	3.2016	5.65982	93.5696	6.8594e-07	0.00277918	0	0.0333323	0.737257	0	0
13	1199.73	0.0140745	0.264934	0.00287504	7.81218e-08	2.64783e-07	1117.64	3.78206	78.2392	1.08524	0.0081143	0.092649	198.127	1.77602	0	205.148	6.73364	3.26636	6.08848	93.0308	1.35376e-06	0.00398253	0	0.0436486	0.837058	0	0
14	1199.65	0.0178481	0.341545	0.00392928	1.35754e-07	4.81944e-07	1111.6	4.04698	83.7105	1.21117	0.00969964	0.119172	197.876	1.99945	0	199.056	6.66736	3.33264	6.50955	92.4964	2.53289e-06	0.00554152	0	0.0558932	0.938135	0	0
15	1199.56	0.022239	0.431806	0.00524746	2.26422e-07	8.40111e-07	1105.62	4.31021	89.088	1.33848	0.011426	0.150339	197.616	2.22598	0	193.068	6.59953	3.40047	6.92297	91.967	4.5248e-06	0.00751754	0	0.0701996	1.03979	0	0
16	1199.45	0.0272853	0.536685	0.0068675	3.64311e-07	1.40997e-06	1099.72	4.57165	94.3711	1.46649	0.0132881	0.186462	197.349	2.45428	0	187.185	6.53014	3.46986	7.32873	91.4432	7.76235e-06	0.00997495	0	0.0866875	1.14142	0	0
17	1199.32	0.0330216	0.657076	0.0088285	5.67833e-07	2.28828e-06	1093.88	4.83116	99.5589	1.59464	0.0152795	0.227823	197.076	2.68313	0	181.409	6.45919	3.54081	7.72679	90.9253	1.28486e-05	0.0129804	0	0.105462	1.24247	0	0
18	1199.18	0.0394788	0.793786	0.0111704	8.60348e-07	3.60429e-06	1088.12	5.08862	104.651	1.72239	0.0173934	0.274675	196.797	2.91148	0	175.74	6.38668	3.61332	8.11711	90.4138	2.06014e-05	0.0166022	0	0.126612	1.34248	0	0
19	1199.02	0.046684	0.947536	0.0139335	1.27089e-06	5.52681e-06	1082.43	5.34392	109.646	1.8493	0.0196223	0.327239	196.513	3.13836	0	170.178	6.3126	3.6874	8.49968	89.9091	3.21042e-05	0.0209096	0	0.150212	1.44104	0	0
20	1198.84	0.0546608	1.11896	0.0171583	1.83488e-06	8.27198e-06	1076.82	5.59691	114.543	1.97497	0.0219582	0.385705	196.225	3.36296	0	164.726	6.23695	3.76305	8.87446	89.4114	4.87616e-05	0.025972	0	0.176324	1.53781	0	0
21	1198.64	0.0634287	1.30859	0.020885	2.59479e-06	1.21116e-05	1071.29	5.84746	119.343	2.09905	0.0243931	0.45023	195.933	3.58456	0	159.384	6.15974	3.84026	9.24143	88.9211	7.23595e-05	0.0318589	0	0.204991	1.63251	0	0
22	1198.42	0.0730037	1.51687	0.0251533	3.60083e-06	1.7382e-05	1065.83	6.09545	124.043	2.22125	0.0269186	0.52094	195.638	3.80256	0	154.153	6.081	3.919	9.60057	88.4383	0.00010513	0.0386383	0	0.236245	1.72491	0	0
23	1198.18	0.0833983	1.74417	0.0300021	4.91146e-06	2.4493e-05	1060.46	6.34075	128.644	2.34134	0.0295263	0.59793	195.339	4.01645	0	149.033	6.00073	3.99927	9.95185	87.9632	0.000149816	0.0463771	0	0.270105	1.81482	0	0
24	1197.92	0.0946214	1.99076	0.035469	6.59394e-06	3.39371e-05	1055.16	6.58321	133.145	2.45912	0.0322081	0.681264	195.038	4.22581	0	144.025	5.91897	4.08103	10.2953	87.4961	0.000209743	0.05514	0	0.306575	1.90211	0	0
25	1197.64	0.106678	2.25683	0.0415904	8.72467e-06	4.62988e-05	1049.95	6.8227	137.545	2.57444	0.0349557	0.770981	194.733	4.43031	0	139.131	5.83574	4.16426	10.6308	87.0369	0.000288887	0.0649891	0	0.34565	1.98668	0	0
26	1197.33	0.119572	2.54247	0.0484009	1.13896e-05	6.22639e-05	1044.82	7.0591	141.843	2.68718	0.0377612	0.867088	194.427	4.6297	0	134.35	5.75109	4.24891	10.9583	86.5859	0.000391938	0.0759836	0	0.387314	2.06846	0	0
27	1197.01	0.133301	2.84772	0.0559335	1.46843e-05	8.2628e-05	1039.77	7.29226	146.04	2.79726	0.0406168	0.969569	194.118	4.82377	0	129.684	5.66507	4.33493	11.278	86.1431	0.000524375	0.0881794	0	0.431538	2.14742	0	0
28	1196.66	0.147863	3.17254	0.064219	1.8714e-05	0.000108305	1034.81	7.52205	150.134	2.90462	0.0435152	1.07838	193.807	5.01241	0	125.134	5.57773	4.42227	11.5897	85.7085	0.000692519	0.101629	0	0.478289	2.22356	0	0
29	1196.29	0.163252	3.51682	0.0732862	2.3594e-05	0.000140335	1029.93	7.74835	154.124	3.00925	0.0464491	1.19347	193.494	5.19553	0	120.698	5.48914	4.51086	11.8934	85.2822	0.000903599	0.116379	0	0.527521	2.29689	0	0
30	1195.9	0.179458	3.88037	0.0831616	2.94489e-05	0.00017989	1025.13	7.97103	158.012	3.11113	0.0494118	1.31475	193.178	5.37312	0	116.379	5.39936	4.60064	12.1891	84.8643	0.0011658	0.132475	0	0.579185	2.36744	0	0
31	1195.49	0.196473	4.26297	0.0938693	3.64127e-05	0.000228283	1020.43	8.18996	161.795	3.21028	0.0523969	1.4421	192.861	5.54518	0	112.177	5.30849	4.69151	12.4768	84.4546	0.00148831	0.149956	0	0.633224	2.43529	0	0
32	1195.06	0.214283	4.66433	0.105431	4.46284e-05	0.00028697	1015.81	8.40502	165.475	3.30673	0.0553983	1.57543	192.542	5.71177	0	108.091	5.21661	4.78339	12.7566	84.0534	0.00188135	0.168857	0	0.689576	2.50048	0	0
33	1194.61	0.232873	5.08412	0.117866	5.42475e-05	0.000357555	1011.27	8.6161	169.051	3.40054	0.0584104	1.71458	192.221	5.87296	0	104.123	5.12382	4.87618	13.0283	83.6604	0.00235622	0.189207	0	0.748173	2.56311	0	0
34	1194.13	0.252229	5.52196	0.131191	6.54295e-05	0.000441795	1006.83	8.82308	172.522	3.49177	0.0614277	1.85941	191.898	6.02886	0	100.271	5.03022	4.96978	13.2921	83.2757	0.00292533	0.211033	0	0.808946	2.62326	0	0
35	1193.64	0.272333	5.97743	0.145421	7.83411e-05	0.000541599	1002.47	9.02587	175.89	3.58049	0.0644455	2.00977	191.573	6.17959	0	96.5363	4.93594	5.06406	13.5479	82.8993	0.00360215	0.234356	0	0.871821	2.68102	0	0
36	1193.13	0.293165	6.45007	0.160566	9.31559e-05	0.000659031	998.205	9.22436	179.153	3.66677	0.067459	2.16546	191.246	6.3253	0	92.9184	4.8411	5.1589	13.7957	82.5311	0.00440129	0.259191	0	0.936721	2.73651	0	0
37	1192.59	0.314707	6.93942	0.176637	0.000110053	0.000796307	994.026	9.41846	182.313	3.7507	0.0704641	2.32632	190.917	6.46615	0	89.417	4.74583	5.25417	14.0355	82.1711	0.00533846	0.285549	0	1.00357	2.78981	0	0
38	1192.04	0.336937	7.44496	0.19364	0.000129217	0.000955797	989.935	9.60809	185.369	3.83237	0.0734569	2.49216	190.586	6.60229	0	86.0316	4.65028	5.34972	14.2675	81.8192	0.00643042	0.313439	0	1.07228	2.84105	0	0
39	1191.47	0.359835	7.96615	0.21158	0.000150836	0.00114002	985.933	9.79317	188.323	3.91187	0.0764337	2.66277	190.253	6.73391	0	82.7615	4.55458	5.44542	14.4916	81.4753	0.00769503	0.342862	0	1.14279	2.89032	0	0
