Time	[p53]	[Mdm2]	[precursor Mdm2]
0	0.02	0.2	0.5
1	0.0520578	0.297445	0.200249
2	0.143672	0.23628	0.154627
3	0.444288	0.261087	0.320425
4	0.853116	0.512023	0.758538
5	0.478207	0.851436	0.875504
6	0.138183	0.835042	0.512733
7	0.0715706	0.591027	0.251099
8	0.0912076	0.374084	0.154193
9	0.21336	0.269397	0.188046
10	0.556298	0.327928	0.422808
11	0.770201	0.608749	0.812564
12	0.350502	0.849473	0.757782
13	0.122163	0.75425	0.425895
14	0.0848775	0.522341	0.225691
15	0.129877	0.345313	0.170018
16	0.310148	0.289363	0.256729
17	0.665517	0.41555	0.555916
18	0.624441	0.70664	0.824168
19	0.245406	0.823227	0.626029
20	0.109919	0.66431	0.344041
21	0.103998	0.453334	0.205329
22	0.189122	0.323043	0.199812
23	0.439657	0.329967	0.358169
24	0.704911	0.527657	0.685695
25	0.448805	0.774088	0.763683
26	0.176324	0.763484	0.4969
27	0.107984	0.57197	0.279662
28	0.136514	0.394673	0.200337
29	0.279818	0.319825	0.256082
30	0.575268	0.402983	0.492835
31	0.626733	0.64522	0.757953
32	0.30123	0.788466	0.647751
33	0.13913	0.678709	0.387433
34	0.119428	0.486722	0.23815
35	0.191708	0.354836	0.218693
36	0.405353	0.346683	0.349532
37	0.648841	0.508662	0.632369
38	0.469155	0.732765	0.735785
39	0.20628	0.748613	0.516132
40	0.126198	0.584537	0.306514
41	0.148767	0.4175	0.222501
42	0.279823	0.341968	0.269322
43	0.540065	0.412044	0.479529
44	0.599122	0.625613	0.718131
45	0.317767	0.761526	0.636564
46	0.156776	0.671438	0.400754
47	0.133636	0.496149	0.256546
48	0.203744	0.372042	0.236784
49	0.40262	0.364664	0.360438
50	0.614224	0.513401	0.615379
51	0.456765	0.714088	0.706258
52	0.217402	0.72907	0.510328
53	0.139289	0.579679	0.316183
54	0.16306	0.425297	0.238152
55	0.293172	0.357876	0.287709
56	0.530385	0.429127	0.487894
57	0.566304	0.625872	0.695723
58	0.31276	0.742331	0.613248
59	0.16575	0.655224	0.397478
60	0.146555	0.49288	0.265826
61	0.221012	0.380847	0.253965
62	0.414982	0.382763	0.381002
63	0.590783	0.529254	0.61571
64	0.430582	0.707208	0.678331
65	0.217243	0.708494	0.492287
66	0.148898	0.566015	0.316013
67	0.17897	0.424901	0.250127
68	0.314399	0.370664	0.309562
69	0.531997	0.450759	0.507229
70	0.531312	0.635683	0.68114
71	0.297172	0.726955	0.584397
72	0.169605	0.634512	0.38547
73	0.159129	0.48289	0.270223
74	0.242435	0.385529	0.271561
75	0.435202	0.401948	0.40779
76	0.570124	0.551064	0.623354
77	0.398232	0.705213	0.650155
78	0.21142	0.686842	0.468168
79	0.156897	0.547682	0.310873
80	0.196971	0.420517	0.260956
81	0.341133	0.382927	0.334912
82	0.536671	0.475927	0.532094
83	0.493694	0.649401	0.667852
84	0.277207	0.712095	0.552346
85	0.171189	0.611066	0.369372
86	0.172486	0.469655	0.272814
87	0.267825	0.38906	0.291013
88	0.458745	0.423342	0.439068
89	0.546839	0.575935	0.632075
90	0.363569	0.703702	0.619969
91	0.203601	0.663575	0.441351
92	0.16488	0.527018	0.30399
93	0.217741	0.414934	0.272658
94	0.37171	0.396634	0.364039
95	0.538687	0.504019	0.558623
96	0.453474	0.663301	0.651755
97	0.256538	0.695584	0.518429
98	0.172537	0.585896	0.352126
99	0.187683	0.45546	0.275839
100	0.297093	0.393599	0.313536
